Middle layer Super Output Areas Code,Middle layer Super Output Areas,shared_ownership
E02006612,Mid Sussex 009,79
E02006613,Mid Sussex 010,47
E02006614,Mid Sussex 011,132
E02006615,Mid Sussex 012,53
E02006616,Mid Sussex 013,84
E02006617,Mid Sussex 014,30
E02006618,Mid Sussex 015,28
E02006619,Mid Sussex 016,41
E02006620,Mid Sussex 017,34
E02006621,Worthing 001,7
E02006622,Worthing 002,9
E02006623,Worthing 003,16
E02006624,Worthing 004,4
E02006625,Worthing 005,27
E02006626,Worthing 006,102
E02006627,Worthing 007,35
E02006628,Worthing 008,20
E02006629,Worthing 009,15
E02006630,Worthing 010,23
E02006631,Worthing 011,29
E02006632,Worthing 012,19
E02006633,Worthing 013,9
E02006782,Bromley 040,31
E02006783,Lewisham 037,17
E02006784,Lewisham 038,23
E02006785,Bexley 029,25
E02006786,Greenwich 033,49
E02006787,Bromley 041,34
E02006788,Croydon 045,12
E02006789,Bromley 042,16
E02006790,Tandridge 012,9
E02006791,Ealing 040,37
E02006792,Hounslow 029,33
E02006793,Enfield 037,45
E02006794,Haringey 037,164
E02006795,Harrow 032,11
E02006796,Hillingdon 033,37
E02006798,Lewisham 039,52
E02006799,Barking and Dagenham 023,75
E02006800,Redbridge 034,42
E02006801,Lambeth 036,53
E02006802,Southwark 034,183
E02006821,Portsmouth 026,8
E02006822,Havant 018,25
E02006823,Buckinghamshire 039,22
E02006824,Buckinghamshire 036,17
E02006825,East Cambridgeshire 011,42
E02006826,West Suffolk 015,22
E02006829,East Hampshire 016,64
E02006830,Havant 019,59
E02006831,Havant 020,6
E02006832,Sevenoaks 016,33
E02006833,Tonbridge and Malling 014,109
E02006836,Sutton 025,35
E02006837,Epsom and Ewell 010,33
E02006838,East Hampshire 017,25
E02006839,Waverley 018,24
E02006853,Tower Hamlets 032,130
E02006854,Tower Hamlets 033,78
E02006855,Canterbury 019,26
E02006856,Canterbury 020,63
E02006857,Eastbourne 013,18
E02006858,Eastbourne 014,28
E02006859,Thurrock 019,5
E02006873,South Cambridgeshire 020,282
E02006874,South Cambridgeshire 021,130
E02006877,Peterborough 022,91
E02006878,Peterborough 023,126
E02006879,Folkestone and Hythe 014,29
E02006880,Folkestone and Hythe 015,6
E02006882,Harrow 033,53
E02006886,Vale of White Horse 016,125
E02006907,Norwich 014,27
E02006908,Norwich 015,13
E02006918,Hackney 028,95
E02006921,Hackney 029,19
E02006922,Colchester 022,26
E02006924,Redbridge 035,18
E02006925,Redbridge 036,5
E02006926,Thurrock 020,10
E02006927,Greenwich 034,196
E02006928,Greenwich 035,252
E02006930,Greenwich 037,164
E02006931,Greenwich 038,35
E02006937,Luton 022,34
E02006938,Luton 023,12
E02006939,Reading 019,84
E02006940,Reading 020,53
E02006941,Southwark 035,22
E02006942,Southwark 036,67
E02006953,Barnet 042,153
E02006954,Barnet 043,154
E02006955,Brent 035,131
E02006956,Brent 036,31
E02006968,Ealing 041,16
E02006969,Ealing 042,93
E02006970,Ealing 043,80
E02006971,Ealing 044,31
E02006972,Hounslow 030,87
E02006973,Hounslow 031,122
E02006975,Portsmouth 027,57
E02006976,Portsmouth 028,49
E02006978,Chelmsford 022,69
E02006979,Chelmsford 023,170
E02006980,Rochford 011,9
E02006981,Rochford 012,16
E02006987,Croydon 046,158
E02006988,Croydon 047,22
E02006991,Greenwich 039,271
E02006992,Greenwich 040,147
E02006993,Greenwich 041,243
E02006994,Greenwich 042,45
E02006995,Newham 038,215
E02006996,Newham 039,219
E02006997,Newham 040,199
E02006998,Newham 041,56
E02006999,Newham 042,212
E02007004,Thurrock 021,53
E02007005,Thurrock 022,89
E02007008,Lewisham 040,146
E02007009,Lewisham 041,83
E02007010,Bedford 021,114
E02007011,Bedford 022,190
E02007012,Milton Keynes 033,309
E02007013,Milton Keynes 034,408
E02007014,Milton Keynes 035,344
E02007015,Milton Keynes 036,489
E02007016,Milton Keynes 037,350
E02007017,Redbridge 037,37
E02007018,Redbridge 038,48
E02007019,Redbridge 039,31
E02007020,Redbridge 040,11
E02007021,Oxford 020,20
E02007032,North Norfolk 015,22
E02007033,North Norfolk 016,19
E02007046,Ashford 015,26
E02007047,Ashford 016,68
E02007052,Norwich 016,8
E02007053,Norwich 017,9
E02007054,South Norfolk 016,57
E02007055,South Norfolk 017,53
E02007056,Colchester 023,59
E02007057,Colchester 024,26
E02007068,Slough 015,42
E02007069,Slough 016,33
E02007074,Southampton 033,69
E02007075,Southampton 034,50
E02007076,Test Valley 016,220
E02007077,Test Valley 017,235
E02007078,Test Valley 018,20
E02007083,Wandsworth 038,329
E02007084,Wandsworth 039,91
E02007085,South Cambridgeshire 022,89
E02007086,Cambridge 015,294
E02007087,Cambridge 014,54
E02007088,North Hertfordshire 016,30
E02007089,North Hertfordshire 017,66
E02007090,St Albans 021,14
E02007091,Stevenage 013,10
E02007092,Welwyn Hatfield 017,7
E02007093,East Hertfordshire 019,41
E02007108,Hackney 030,49
E02007109,Hackney 031,65
E02007110,Hackney 032,85
E02007111,Hackney 033,66
E02007112,Tower Hamlets 034,62
E02007113,Tower Hamlets 035,90
E02007114,Tower Hamlets 036,93
E02007115,Camden 029,23
E02007116,Oxford 019,94
