Middle layer Super Output Areas Code,Middle layer Super Output Areas,shared_ownership
E02000212,Croydon 019,70
E02000213,Croydon 020,106
E02000214,Croydon 021,22
E02000215,Croydon 022,62
E02000216,Croydon 023,9
E02000217,Croydon 024,115
E02000218,Croydon 025,6
E02000219,Croydon 026,8
E02000221,Croydon 028,114
E02000222,Croydon 029,43
E02000223,Croydon 030,6
E02000224,Croydon 031,49
E02000225,Croydon 032,25
E02000226,Croydon 033,15
E02000227,Croydon 034,30
E02000228,Croydon 035,5
E02000229,Croydon 036,19
E02000230,Croydon 037,100
E02000231,Croydon 038,6
E02000232,Croydon 039,23
E02000233,Croydon 040,40
E02000234,Croydon 041,182
E02000235,Croydon 042,33
E02000236,Croydon 043,22
E02000237,Croydon 044,6
E02000238,Ealing 001,38
E02000239,Ealing 002,22
E02000240,Ealing 003,69
E02000241,Ealing 004,11
E02000242,Ealing 005,17
E02000243,Ealing 006,33
E02000244,Ealing 007,33
E02000245,Ealing 008,178
E02000246,Ealing 009,14
E02000247,Ealing 010,134
E02000248,Ealing 011,59
E02000249,Ealing 012,74
E02000250,Ealing 013,32
E02000251,Ealing 014,25
E02000252,Ealing 015,162
E02000253,Ealing 016,43
E02000254,Ealing 017,9
E02000255,Ealing 018,28
E02000256,Ealing 019,65
E02000258,Ealing 021,16
E02000259,Ealing 022,41
E02000260,Ealing 023,19
E02000261,Ealing 024,243
E02000262,Ealing 025,72
E02000263,Ealing 026,80
E02000264,Ealing 027,32
E02000265,Ealing 028,115
E02000266,Ealing 029,241
E02000267,Ealing 030,116
E02000268,Ealing 031,34
E02000269,Ealing 032,11
E02000270,Ealing 033,268
E02000271,Ealing 034,17
E02000272,Ealing 035,19
E02000275,Ealing 038,19
E02000276,Ealing 039,15
E02000277,Enfield 001,19
E02000278,Enfield 002,40
E02000279,Enfield 003,202
E02000280,Enfield 004,34
E02000281,Enfield 005,69
E02000282,Enfield 006,23
E02000283,Enfield 007,16
E02000284,Enfield 008,34
E02000285,Enfield 009,6
E02000286,Enfield 010,12
E02000287,Enfield 011,50
E02000288,Enfield 012,70
E02000289,Enfield 013,8
E02000290,Enfield 014,47
E02000291,Enfield 015,23
E02000292,Enfield 016,15
E02000293,Enfield 017,7
E02000294,Enfield 018,32
E02000295,Enfield 019,48
E02000296,Enfield 020,29
E02000297,Enfield 021,10
E02000298,Enfield 022,5
E02000299,Enfield 023,56
E02000300,Enfield 024,9
E02000301,Enfield 025,44
E02000302,Enfield 026,8
E02000303,Enfield 027,17
E02000304,Enfield 028,14
E02000305,Enfield 029,15
E02000306,Enfield 030,81
E02000307,Enfield 031,7
E02000308,Enfield 032,57
E02000309,Enfield 033,37
E02000311,Enfield 035,30
E02000312,Enfield 036,99
E02000313,Greenwich 001,46
E02000314,Greenwich 002,165
E02000315,Greenwich 003,19
E02000317,Greenwich 005,40
E02000318,Greenwich 006,13
E02000319,Greenwich 007,78
E02000320,Greenwich 008,9
E02000321,Greenwich 009,32
E02000323,Greenwich 011,164
E02000324,Greenwich 012,25
E02000326,Greenwich 014,33
E02000327,Greenwich 015,41
E02000328,Greenwich 016,87
E02000329,Greenwich 017,14
E02000331,Greenwich 019,31
E02000332,Greenwich 020,19
E02000333,Greenwich 021,6
E02000334,Greenwich 022,10
E02000335,Greenwich 023,12
E02000337,Greenwich 025,76
E02000339,Greenwich 027,26
E02000340,Greenwich 028,33
E02000341,Greenwich 029,13
E02000342,Greenwich 030,60
E02000343,Greenwich 031,8
E02000344,Greenwich 032,12
E02000345,Hackney 001,99
E02000346,Hackney 002,185
E02000347,Hackney 003,27
E02000348,Hackney 004,36
E02000350,Hackney 006,76
E02000351,Hackney 007,97
E02000352,Hackney 008,57
E02000353,Hackney 009,21
E02000354,Hackney 010,68
E02000355,Hackney 011,48
E02000356,Hackney 012,37
E02000357,Hackney 013,14
