Local authority code ,Local authority name,Year ending Dec 2019,Year ending Dec 2020,Year ending Dec 2021,Year ending Dec 2022
E07000202,Ipswich,"139,878","143,441","147,425",142438.3804
E07000203,Mid Suffolk,"130,103","131,427","137,437",150150.6849
E07000240,St Albans,"365,622","356,394","360,710",349538.9331
E07000241,Welwyn Hatfield,"265,625","269,699","276,316",269817.7224
E07000242,East Hertfordshire,"252,332","271,595","274,292",269590.9732
E07000243,Stevenage,"184,543","179,543","183,869",181660.9091
E07000244,East Suffolk,"165,871","187,535","202,201",201549.9153
E07000245,West Suffolk,"196,470","199,324","182,134",196989.4893
E09000001,City of London,"1,084,810","1,170,006","920,663",899996.5615
E09000002,Barking and Dagenham,"238,784","261,111","248,890",230999.8386
E09000003,Barnet,"440,735","447,685","450,868",436503.8403
E09000004,Bexley,"234,347","237,931","262,355",268588.4223
E09000005,Brent,"406,877","437,995","441,781",448964.5779
E09000006,Bromley,"339,364","336,054","351,427",346610.6727
E09000007,Camden,"855,908","879,026","867,948",839356.0332
E09000008,Croydon,"297,799","309,141","304,354",295651.9046
E09000009,Ealing,"422,716","440,921","446,725",449883.5451
E09000010,Enfield,"325,835","341,617","356,822",337815.1525
E09000011,Greenwich,"469,956","446,650","420,251",413325.1533
E09000012,Hackney,"629,742","622,028","583,397",572597.5472
E09000013,Hammersmith and Fulham,"754,407","810,204","698,804",661091.9588
E09000014,Haringey,"469,272","469,520","494,487",501651.5674
E09000015,Harrow,"365,865","363,101","376,063",373263.7258
E09000016,Havering,"254,980","252,915","259,407",257018.2521
E09000017,Hillingdon,"309,296","320,907","327,799",317968.1122
E09000018,Hounslow,"380,554","387,640","399,812",392496.9639
E09000019,Islington,"614,069","660,947","632,855",629347.7905
E09000020,Kensington and Chelsea,"1,435,195","1,481,150","1,426,968",1495750.133
E09000021,Kingston upon Thames,"407,734","392,020","395,856",406017.3804
E09000022,Lambeth,"565,485","620,366","541,255",524908.0088
E09000023,Lewisham,"373,299","393,436","383,787",389730.7534
E09000024,Merton,"409,282","417,637","454,738",440396.8696
E09000025,Newham,"434,722","442,226","423,045",396663.7981
E09000026,Redbridge,"283,487","301,400","323,519",318656.5185
E09000027,Richmond upon Thames,"519,979","518,909","509,770",542093.5882
E09000028,Southwark,"609,739","538,072","526,505",515259.294
E09000029,Sutton,"270,513","298,411","282,630",294412.4339
E09000030,Tower Hamlets,"541,309","578,047","624,140",571109.0184
E09000031,Waltham Forest,"372,765","376,546","377,886",393595.9981
E09000032,Wandsworth,"615,264","634,208","604,623",605992.6272
E09000033,Westminster,"1,711,474","1,610,574","1,316,788",1487092.42
E06000035,Medway,"189,886","181,686","200,130",192423.6689
E06000036,Bracknell Forest,"256,675","262,877","250,282",248457.6694
E06000037,West Berkshire,"223,875","217,182","236,426",236063.6511
E06000038,Reading,"254,325","249,953","242,157",235977.2611
E06000039,Slough,"238,982","224,648","235,051",226689.396
E06000040,Windsor and Maidenhead,"369,533","349,950","364,625",384733.7191
E06000041,Wokingham,"254,468","248,251","259,752",256588.3889
E06000042,Milton Keynes,"180,386","166,080","178,565",179196.1966
E06000043,Brighton and Hove,"299,327","310,896","333,500",346643.4389
E06000044,Portsmouth,"171,083","187,743","187,775",189455.7201
E06000045,Southampton,"169,551","164,022","167,812",172724.2493
E06000046,Isle of Wight,"152,546","167,353","179,224",175456.6426
E06000060,Buckinghamshire,"292,014","279,664","282,439",278876.8989
E07000061,Eastbourne,"212,998","196,623","222,611",233097.9416
E07000062,Hastings,"156,306","163,087","184,572",201087.6634
E07000063,Lewes,"250,461","237,426","250,162",259718.2435
E07000064,Rother,"179,985","179,374","194,710",215334.8783
E07000065,Wealden,"180,328","194,078","203,563",214023.2537
E07000084,Basingstoke and Deane,"188,909","189,844","184,481",184512.1968
E07000085,East Hampshire,"226,554","213,895","225,018",225116.251
E07000086,Eastleigh,"188,792","183,867","182,505",194905.5356
E07000087,Fareham,"179,236","167,811","177,385",181357.6799
E07000088,Gosport,"160,654","169,279","176,648",167810.9291
E07000089,Hart,"240,147","237,352","241,056",239655.0711
E07000090,Havant,"172,309","170,579","180,165",176960.444
E07000091,New Forest,"218,464","238,851","249,773",249816.5359
E07000092,Rushmoor,"199,856","202,090","205,934",206049.8256
E07000093,Test Valley,"214,869","236,237","218,234",200449.4925
E07000094,Winchester,"256,659","304,912","279,299",285739.7793
E07000105,Ashford,"179,081","185,943","189,630",184970.2018
E07000106,Canterbury,"198,774","209,254","226,507",218057.8026
E07000107,Dartford,"221,001","226,911","219,733",232362.6844
E07000108,Dover,"165,392","177,980","190,644",191993.3299
E07000109,Gravesham,"174,426","174,574","176,817",186720.1871
E07000110,Maidstone,"179,758","189,275","192,813",201746.8156
E07000111,Sevenoaks,"292,027","269,495","303,826",292183.7966
E07000112,Folkestone and Hythe,"175,934","203,462","222,270",218588.9276
E07000113,Swale,"165,563","166,577","165,598",178552.7368
E07000114,Thanet,"164,894","174,073","199,247",197384.6222
E07000115,Tonbridge and Malling,"234,266","241,827","246,418",256113.5374
E07000116,Tunbridge Wells,"299,569","276,626","322,986",298009.9707
E07000177,Cherwell,"171,568","174,875","189,676",189197.6089
E07000178,Oxford,"317,676","322,555","327,625",348803.5387
E07000179,South Oxfordshire,"329,394","327,781","318,573",278727.6693
E07000180,Vale of White Horse,"229,868","242,861","231,233",225511.7061
E07000181,West Oxfordshire,"209,117","206,385","216,608",224667.4353
E07000207,Elmbridge,"375,579","367,812","404,758",399271.2763
E07000208,Epsom and Ewell,"315,978","323,718","320,491",316182.916
E07000209,Guildford,"294,457","300,121","298,948",307090.8704
E07000210,Mole Valley,"277,844","290,465","292,948",293175.8821
E07000211,Reigate and Banstead,"265,539","281,897","286,533",290477.9916
E07000212,Runnymede,"308,543","315,014","315,487",280310.3261
E07000213,Spelthorne,"298,779","304,831","260,487",265528.4691
E07000214,Surrey Heath,"248,468","254,381","244,746",244901.3077
E07000215,Tandridge,"288,599","286,552","338,833",302227.6351
E07000216,Waverley,"274,396","288,720","320,507",319017.292
E07000217,Woking,"261,406","267,928","273,285",283353.9054
E07000223,Adur,"232,607","238,385","235,975",240237.7938
E07000224,Arun,"177,892","182,812","196,440",204250.2266
E07000225,Chichester,"233,140","254,963","257,324",253472.459
E07000226,Crawley,"215,062","206,614","204,869",222377.1231
E07000227,Horsham,"218,242","227,281","235,948",245602.851
E07000228,Mid Sussex,"234,407","235,437","238,672",242721.0987
E07000229,Worthing,"207,269","204,691","255,055",235556.9363
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
