Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_outright
E02000199,Croydon 006,830
E02000200,Croydon 007,692
E02000201,Croydon 008,527
E02000202,Croydon 009,866
E02000203,Croydon 010,530
E02000204,Croydon 011,923
E02000206,Croydon 013,597
E02000207,Croydon 014,612
E02000208,Croydon 015,421
E02000209,Croydon 016,591
E02000210,Croydon 017,811
E02000211,Croydon 018,1367
E02000212,Croydon 019,516
E02000213,Croydon 020,463
E02000214,Croydon 021,924
E02000215,Croydon 022,814
E02000216,Croydon 023,775
E02000217,Croydon 024,677
E02000218,Croydon 025,716
E02000219,Croydon 026,1487
E02000221,Croydon 028,705
E02000222,Croydon 029,862
E02000223,Croydon 030,316
E02000224,Croydon 031,721
E02000225,Croydon 032,662
E02000226,Croydon 033,1315
E02000227,Croydon 034,1614
E02000228,Croydon 035,1455
E02000229,Croydon 036,407
E02000230,Croydon 037,1308
E02000231,Croydon 038,1077
E02000232,Croydon 039,1048
E02000233,Croydon 040,640
E02000234,Croydon 041,1000
E02000235,Croydon 042,970
E02000236,Croydon 043,1070
E02000237,Croydon 044,1309
E02000238,Ealing 001,814
E02000239,Ealing 002,1030
E02000240,Ealing 003,720
E02000241,Ealing 004,694
E02000242,Ealing 005,701
E02000243,Ealing 006,836
E02000244,Ealing 007,782
E02000245,Ealing 008,399
E02000246,Ealing 009,557
E02000247,Ealing 010,712
E02000248,Ealing 011,745
E02000249,Ealing 012,747
E02000250,Ealing 013,949
E02000251,Ealing 014,861
E02000252,Ealing 015,682
E02000253,Ealing 016,689
E02000254,Ealing 017,892
E02000255,Ealing 018,971
E02000256,Ealing 019,854
E02000258,Ealing 021,550
E02000259,Ealing 022,701
E02000260,Ealing 023,802
E02000261,Ealing 024,780
E02000262,Ealing 025,592
E02000263,Ealing 026,997
E02000264,Ealing 027,815
E02000265,Ealing 028,829
E02000266,Ealing 029,622
E02000267,Ealing 030,736
E02000268,Ealing 031,944
E02000269,Ealing 032,1014
E02000270,Ealing 033,387
E02000271,Ealing 034,869
E02000272,Ealing 035,970
E02000275,Ealing 038,526
E02000276,Ealing 039,645
E02000277,Enfield 001,727
E02000278,Enfield 002,636
E02000279,Enfield 003,614
E02000280,Enfield 004,1037
E02000281,Enfield 005,756
E02000282,Enfield 006,475
E02000283,Enfield 007,701
E02000284,Enfield 008,1064
E02000285,Enfield 009,1084
E02000286,Enfield 010,1408
E02000287,Enfield 011,1075
E02000288,Enfield 012,736
E02000289,Enfield 013,1065
E02000290,Enfield 014,334
E02000291,Enfield 015,992
E02000292,Enfield 016,1031
E02000293,Enfield 017,1122
E02000294,Enfield 018,807
E02000295,Enfield 019,1114
E02000296,Enfield 020,1042
E02000297,Enfield 021,1535
E02000298,Enfield 022,1158
E02000299,Enfield 023,704
E02000300,Enfield 024,729
E02000301,Enfield 025,612
E02000302,Enfield 026,1064
E02000303,Enfield 027,502
E02000304,Enfield 028,1202
E02000305,Enfield 029,948
E02000306,Enfield 030,282
E02000307,Enfield 031,1042
E02000308,Enfield 032,802
E02000309,Enfield 033,755
E02000311,Enfield 035,1024
E02000312,Enfield 036,1148
E02000313,Greenwich 001,221
E02000314,Greenwich 002,348
E02000315,Greenwich 003,439
E02000317,Greenwich 005,257
E02000318,Greenwich 006,549
E02000319,Greenwich 007,509
E02000320,Greenwich 008,565
E02000321,Greenwich 009,286
E02000323,Greenwich 011,439
E02000324,Greenwich 012,362
E02000326,Greenwich 014,584
E02000327,Greenwich 015,151
E02000328,Greenwich 016,603
E02000329,Greenwich 017,644
E02000331,Greenwich 019,478
E02000332,Greenwich 020,852
E02000333,Greenwich 021,707
E02000334,Greenwich 022,587
E02000335,Greenwich 023,914
E02000337,Greenwich 025,531
E02000339,Greenwich 027,836
E02000340,Greenwich 028,986
E02000341,Greenwich 029,464
E02000342,Greenwich 030,481
E02000343,Greenwich 031,701
E02000344,Greenwich 032,853
E02000345,Hackney 001,381
E02000346,Hackney 002,230
E02000347,Hackney 003,299
E02000348,Hackney 004,254
E02000350,Hackney 006,516
E02000351,Hackney 007,445
E02000352,Hackney 008,390
E02000353,Hackney 009,564
E02000354,Hackney 010,317
E02000355,Hackney 011,591
E02000356,Hackney 012,480
E02000357,Hackney 013,173
E02000358,Hackney 014,465
E02000359,Hackney 015,402
E02000360,Hackney 016,300
E02000361,Hackney 017,306
E02000362,Hackney 018,201
E02000363,Hackney 019,254
E02000364,Hackney 020,558
E02000366,Hackney 022,340
E02000367,Hackney 023,373
E02000368,Hackney 024,276
E02000369,Hackney 025,344
E02000370,Hackney 026,303
E02000372,Hammersmith and Fulham 001,436
E02000373,Hammersmith and Fulham 002,180
E02000374,Hammersmith and Fulham 003,416
E02000375,Hammersmith and Fulham 004,390
E02000376,Hammersmith and Fulham 005,307
E02000377,Hammersmith and Fulham 006,441
E02000378,Hammersmith and Fulham 007,406
E02000379,Hammersmith and Fulham 008,632
E02000380,Hammersmith and Fulham 009,499
E02000381,Hammersmith and Fulham 010,591
E02000382,Hammersmith and Fulham 011,531
E02000383,Hammersmith and Fulham 012,688
E02000384,Hammersmith and Fulham 013,396
E02000385,Hammersmith and Fulham 014,408
E02000386,Hammersmith and Fulham 015,293
E02000387,Hammersmith and Fulham 016,299
E02000388,Hammersmith and Fulham 017,543
E02000389,Hammersmith and Fulham 018,837
E02000390,Hammersmith and Fulham 019,456
E02000391,Hammersmith and Fulham 020,688
E02000392,Hammersmith and Fulham 021,664
E02000393,Hammersmith and Fulham 022,554
E02000394,Hammersmith and Fulham 023,583
E02000395,Hammersmith and Fulham 024,738
E02000396,Hammersmith and Fulham 025,506
E02000397,Haringey 001,495
E02000398,Haringey 002,296
E02000400,Haringey 004,635
E02000401,Haringey 005,341
E02000402,Haringey 006,260
E02000403,Haringey 007,492
E02000404,Haringey 008,468
E02000405,Haringey 009,816
E02000406,Haringey 010,374
E02000407,Haringey 011,353
E02000408,Haringey 012,348
E02000409,Haringey 013,343
E02000410,Haringey 014,681
E02000411,Haringey 015,502
E02000412,Haringey 016,357
E02000413,Haringey 017,789
E02000414,Haringey 018,499
E02000415,Haringey 019,550
E02000416,Haringey 020,461
E02000417,Haringey 021,851
E02000418,Haringey 022,733
E02000419,Haringey 023,575
E02000420,Haringey 024,424
E02000421,Haringey 025,286
E02000422,Haringey 026,420
E02000423,Haringey 027,480
E02000424,Haringey 028,511
E02000425,Haringey 029,367
E02000426,Haringey 030,819
E02000427,Haringey 031,515
E02000428,Haringey 032,303
E02000429,Haringey 033,833
E02000430,Haringey 034,629
E02000431,Haringey 035,670
E02000432,Haringey 036,416
E02000433,Harrow 001,1251
E02000434,Harrow 002,1180
E02000435,Harrow 003,870
E02000436,Harrow 004,934
E02000437,Harrow 005,1039
E02000438,Harrow 006,894
E02000439,Harrow 007,847
E02000440,Harrow 008,1183
E02000441,Harrow 009,888
E02000442,Harrow 010,840
E02000443,Harrow 011,751
E02000444,Harrow 012,946
E02000445,Harrow 013,874
E02000447,Harrow 015,873
E02000448,Harrow 016,1081
E02000449,Harrow 017,771
E02000451,Harrow 019,949
E02000452,Harrow 020,655
E02000453,Harrow 021,820
E02000454,Harrow 022,1014
E02000455,Harrow 023,761
E02000456,Harrow 024,820
E02000457,Harrow 025,827
E02000459,Harrow 027,701
E02000460,Harrow 028,431
E02000461,Harrow 029,632
