Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_bedroom
E02000956,Wandsworth 034,662
E02000957,Wandsworth 035,985
E02000958,Wandsworth 036,434
E02000959,Wandsworth 037,732
E02000960,Westminster 001,705
E02000961,Westminster 002,991
E02000962,Westminster 003,1530
E02000963,Westminster 004,1119
E02000964,Westminster 005,1967
E02000965,Westminster 006,968
E02000966,Westminster 007,1256
E02000967,Westminster 008,904
E02000968,Westminster 009,1937
E02000969,Westminster 010,1232
E02000970,Westminster 011,1146
E02000971,Westminster 012,1345
E02000972,Westminster 013,2048
E02000973,Westminster 014,2184
E02000974,Westminster 015,1490
E02000975,Westminster 016,1642
E02000976,Westminster 017,1725
E02000977,Westminster 018,1545
E02000978,Westminster 019,426
E02000979,Westminster 020,1421
E02000980,Westminster 021,1682
E02000981,Westminster 022,1723
E02000982,Westminster 023,1621
E02000983,Westminster 024,1523
E02003237,Peterborough 001,202
E02003238,Peterborough 002,323
E02003239,Peterborough 003,125
E02003240,Peterborough 004,96
E02003241,Peterborough 005,203
E02003242,Peterborough 006,345
E02003243,Peterborough 007,834
E02003244,Peterborough 008,528
E02003245,Peterborough 009,476
E02003246,Peterborough 010,464
E02003247,Peterborough 011,513
E02003248,Peterborough 012,351
E02003249,Peterborough 013,757
E02003250,Peterborough 014,1178
E02003251,Peterborough 015,118
E02003252,Peterborough 016,525
E02003253,Peterborough 017,645
E02003254,Peterborough 018,249
E02003255,Peterborough 019,382
E02003257,Peterborough 021,672
E02003258,Luton 001,374
E02003259,Luton 002,95
E02003260,Luton 003,430
E02003261,Luton 004,243
E02003262,Luton 005,587
E02003263,Luton 006,506
E02003264,Luton 007,69
E02003265,Luton 008,411
E02003266,Luton 009,452
E02003267,Luton 010,215
E02003268,Luton 011,270
E02003269,Luton 012,435
E02003270,Luton 013,214
E02003271,Luton 014,357
E02003272,Luton 015,261
E02003273,Luton 016,354
E02003274,Luton 017,822
E02003276,Luton 019,533
E02003277,Luton 020,598
E02003278,Luton 021,1697
E02003279,Southend-on-Sea 001,209
E02003280,Southend-on-Sea 002,492
E02003281,Southend-on-Sea 003,479
E02003282,Southend-on-Sea 004,650
E02003283,Southend-on-Sea 005,483
E02003284,Southend-on-Sea 006,574
E02003285,Southend-on-Sea 007,954
E02003286,Southend-on-Sea 008,277
E02003287,Southend-on-Sea 009,438
E02003288,Southend-on-Sea 010,1891
E02003289,Southend-on-Sea 011,832
E02003290,Southend-on-Sea 012,1118
E02003291,Southend-on-Sea 013,933
E02003292,Southend-on-Sea 014,1761
E02003293,Southend-on-Sea 015,1801
E02003294,Southend-on-Sea 016,294
E02003295,Southend-on-Sea 017,308
E02003296,Thurrock 001,77
E02003297,Thurrock 002,309
E02003298,Thurrock 003,187
E02003299,Thurrock 004,112
E02003300,Thurrock 005,297
E02003301,Thurrock 006,489
E02003302,Thurrock 007,889
E02003303,Thurrock 008,333
E02003304,Thurrock 009,468
E02003305,Thurrock 010,93
E02003307,Thurrock 012,427
E02003308,Thurrock 013,138
E02003309,Thurrock 014,376
E02003311,Thurrock 016,509
E02003312,Thurrock 017,799
E02003313,Thurrock 018,677
E02003314,Medway 001,263
E02003315,Medway 002,139
E02003316,Medway 003,187
E02003317,Medway 004,124
E02003318,Medway 005,25
E02003319,Medway 006,386
E02003320,Medway 007,688
E02003321,Medway 008,241
E02003322,Medway 009,688
E02003323,Medway 010,196
E02003324,Medway 011,299
E02003325,Medway 012,635
E02003326,Medway 013,244
E02003327,Medway 014,978
E02003328,Medway 015,1355
E02003329,Medway 016,327
E02003330,Medway 017,138
E02003331,Medway 018,457
E02003332,Medway 019,104
E02003333,Medway 020,587
E02003334,Medway 021,224
E02003335,Medway 022,190
E02003336,Medway 023,83
E02003337,Medway 024,192
E02003338,Medway 025,381
E02003339,Medway 026,154
E02003340,Medway 027,492
E02003341,Medway 028,145
E02003342,Medway 029,193
E02003343,Medway 030,100
E02003344,Medway 031,376
E02003345,Medway 032,117
E02003346,Medway 033,189
E02003347,Medway 034,176
E02003348,Medway 035,145
E02003349,Medway 036,178
E02003350,Medway 037,192
E02003351,Medway 038,189
E02003352,Bracknell Forest 001,159
E02003353,Bracknell Forest 002,439
E02003354,Bracknell Forest 003,342
E02003355,Bracknell Forest 004,514
E02003356,Bracknell Forest 005,105
E02003357,Bracknell Forest 006,919
E02003358,Bracknell Forest 007,1164
E02003359,Bracknell Forest 008,470
E02003360,Bracknell Forest 009,139
E02003361,Bracknell Forest 010,392
E02003362,Bracknell Forest 011,410
E02003363,Bracknell Forest 012,330
E02003364,Bracknell Forest 013,180
E02003365,Bracknell Forest 014,176
E02003366,Bracknell Forest 015,267
E02003367,West Berkshire 001,106
E02003368,West Berkshire 002,219
E02003369,West Berkshire 003,136
E02003370,West Berkshire 004,158
E02003371,West Berkshire 005,108
E02003372,West Berkshire 006,154
E02003373,West Berkshire 007,95
E02003374,West Berkshire 008,308
E02003375,West Berkshire 009,377
E02003376,West Berkshire 010,318
E02003377,West Berkshire 011,285
E02003378,West Berkshire 012,555
E02003379,West Berkshire 013,329
E02003380,West Berkshire 014,227
E02003381,West Berkshire 015,133
E02003382,West Berkshire 016,482
E02003383,West Berkshire 017,158
E02003384,West Berkshire 018,164
E02003385,West Berkshire 019,1195
E02003386,West Berkshire 020,645
E02003387,West Berkshire 021,164
E02003388,West Berkshire 022,227
E02003389,Reading 001,169
E02003390,Reading 002,37
E02003391,Reading 003,315
E02003392,Reading 004,447
E02003393,Reading 005,182
E02003394,Reading 006,295
E02003395,Reading 007,672
E02003396,Reading 008,768
E02003397,Reading 009,326
E02003398,Reading 010,881
E02003400,Reading 012,603
E02003401,Reading 013,694
E02003402,Reading 014,940
E02003403,Reading 015,548
E02003404,Reading 016,304
E02003405,Reading 017,884
E02003406,Reading 018,346
E02003407,Slough 001,457
E02003408,Slough 002,581
E02003409,Slough 003,727
E02003410,Slough 004,424
E02003411,Slough 005,524
E02003412,Slough 006,500
E02003414,Slough 008,1004
E02003415,Slough 009,1092
E02003416,Slough 010,464
E02003417,Slough 011,1404
E02003418,Slough 012,474
E02003419,Slough 013,462
E02003420,Slough 014,586
E02003421,Windsor and Maidenhead 001,70
E02003422,Windsor and Maidenhead 002,243
E02003423,Windsor and Maidenhead 003,175
E02003424,Windsor and Maidenhead 004,363
E02003425,Windsor and Maidenhead 005,1405
E02003426,Windsor and Maidenhead 006,243
E02003427,Windsor and Maidenhead 007,272
E02003428,Windsor and Maidenhead 008,278
E02003429,Windsor and Maidenhead 009,146
E02003430,Windsor and Maidenhead 010,456
E02003431,Windsor and Maidenhead 011,402
E02003432,Windsor and Maidenhead 012,560
E02003433,Windsor and Maidenhead 013,252
E02003434,Windsor and Maidenhead 014,605
E02003435,Windsor and Maidenhead 015,218
E02003436,Windsor and Maidenhead 016,298
E02003437,Windsor and Maidenhead 017,288
E02003438,Windsor and Maidenhead 018,323
E02003439,Wokingham 001,172
E02003440,Wokingham 002,287
E02003441,Wokingham 003,85
E02003442,Wokingham 004,174
E02003443,Wokingham 005,374
E02003444,Wokingham 006,85
E02003445,Wokingham 007,53
E02003446,Wokingham 008,181
E02003447,Wokingham 009,206
E02003448,Wokingham 010,162
E02003449,Wokingham 011,614
E02003450,Wokingham 012,338
E02003451,Wokingham 013,810
E02003452,Wokingham 014,129
E02003453,Wokingham 015,49
E02003454,Wokingham 016,346
E02003455,Wokingham 017,287
E02003456,Wokingham 018,186
E02003457,Wokingham 019,114
E02003458,Wokingham 020,111
E02003459,Milton Keynes 001,263
E02003460,Milton Keynes 002,295
E02003461,Milton Keynes 003,183
E02003462,Milton Keynes 004,321
E02003463,Milton Keynes 005,248
E02003464,Milton Keynes 006,302
E02003465,Milton Keynes 007,307
E02003466,Milton Keynes 008,304
E02003467,Milton Keynes 009,437
E02003468,Milton Keynes 010,337
E02003469,Milton Keynes 011,173
E02003470,Milton Keynes 012,406
E02003471,Milton Keynes 013,332
E02003472,Milton Keynes 014,1602
E02003473,Milton Keynes 015,358
E02003474,Milton Keynes 016,316
E02003476,Milton Keynes 018,539
E02003478,Milton Keynes 020,299
E02003479,Milton Keynes 021,399
E02003480,Milton Keynes 022,412
E02003481,Milton Keynes 023,833
E02003482,Milton Keynes 024,258
E02003483,Milton Keynes 025,303
E02003484,Milton Keynes 026,412
E02003485,Milton Keynes 027,212
E02003486,Milton Keynes 028,323
E02003487,Milton Keynes 029,155
E02003488,Milton Keynes 030,339
E02003489,Milton Keynes 031,173
E02003490,Milton Keynes 032,349
E02003491,Brighton and Hove 001,182
E02003492,Brighton and Hove 002,287
E02003493,Brighton and Hove 003,338
E02003494,Brighton and Hove 004,186
E02003495,Brighton and Hove 005,170
E02003496,Brighton and Hove 006,340
E02003497,Brighton and Hove 007,114
E02003498,Brighton and Hove 008,831
E02003499,Brighton and Hove 009,249
E02003500,Brighton and Hove 010,282
E02003501,Brighton and Hove 011,697
E02003502,Brighton and Hove 012,449
E02003503,Brighton and Hove 013,290
E02003504,Brighton and Hove 014,1261
E02003505,Brighton and Hove 015,1188
E02003506,Brighton and Hove 016,500
E02003507,Brighton and Hove 017,201
E02003508,Brighton and Hove 018,416
E02003509,Brighton and Hove 019,1906
E02003510,Brighton and Hove 020,1218
E02003511,Brighton and Hove 021,556
E02003512,Brighton and Hove 022,870
E02003513,Brighton and Hove 023,601
E02003514,Brighton and Hove 024,2460
E02003515,Brighton and Hove 025,659
E02003516,Brighton and Hove 026,2196
E02003517,Brighton and Hove 027,2007
E02003518,Brighton and Hove 028,1638
E02003519,Brighton and Hove 029,2520
E02003520,Brighton and Hove 030,2063
E02003521,Brighton and Hove 031,1919
E02003522,Brighton and Hove 032,972
E02003523,Brighton and Hove 033,383
E02003524,Portsmouth 001,331
E02003525,Portsmouth 002,312
E02003526,Portsmouth 003,266
E02003527,Portsmouth 004,197
E02003529,Portsmouth 006,175
E02003530,Portsmouth 007,409
E02003531,Portsmouth 008,224
E02003532,Portsmouth 009,618
E02003533,Portsmouth 010,254
E02003534,Portsmouth 011,330
E02003535,Portsmouth 012,329
E02003536,Portsmouth 013,779
E02003537,Portsmouth 014,321
E02003538,Portsmouth 015,594
E02003540,Portsmouth 017,475
E02003541,Portsmouth 018,1313
E02003542,Portsmouth 019,294
E02003543,Portsmouth 020,566
E02003544,Portsmouth 021,252
E02003545,Portsmouth 022,1272
E02003546,Portsmouth 023,441
E02003547,Portsmouth 024,1258
E02003548,Portsmouth 025,585
E02003549,Southampton 001,169
E02003550,Southampton 002,368
E02003551,Southampton 003,641
E02003552,Southampton 004,642
E02003553,Southampton 005,266
E02003554,Southampton 006,474
E02003555,Southampton 007,567
E02003556,Southampton 008,138
E02003557,Southampton 009,521
E02003558,Southampton 010,699
E02003559,Southampton 011,195
E02003560,Southampton 012,555
E02003561,Southampton 013,940
E02003562,Southampton 014,831
E02003563,Southampton 015,900
E02003564,Southampton 016,469
E02003565,Southampton 017,727
E02003566,Southampton 018,318
E02003567,Southampton 019,296
E02003568,Southampton 020,1250
E02003569,Southampton 021,1241
E02003570,Southampton 022,1403
E02003571,Southampton 023,1091
E02003572,Southampton 024,203
E02003573,Southampton 025,518
E02003574,Southampton 026,495
E02003575,Southampton 027,603
E02003576,Southampton 028,671
E02003578,Southampton 030,362
E02003579,Southampton 031,854
E02003580,Southampton 032,529
E02003581,Isle of Wight 001,342
E02003582,Isle of Wight 002,143
E02003583,Isle of Wight 003,361
E02003584,Isle of Wight 004,1063
E02003585,Isle of Wight 005,209
E02003586,Isle of Wight 006,265
E02003587,Isle of Wight 007,502
E02003588,Isle of Wight 008,333
E02003589,Isle of Wight 009,678
E02003590,Isle of Wight 010,209
E02003591,Isle of Wight 011,303
E02003592,Isle of Wight 012,405
E02003593,Isle of Wight 013,115
E02003594,Isle of Wight 014,475
E02003595,Isle of Wight 015,203
E02003596,Isle of Wight 016,863
E02003597,Isle of Wight 017,130
E02003598,Isle of Wight 018,503
E02003599,Central Bedfordshire 001,201
E02003600,Central Bedfordshire 002,184
E02003601,Central Bedfordshire 003,268
E02003602,Central Bedfordshire 004,123
E02003603,Central Bedfordshire 005,688
E02003604,Central Bedfordshire 006,263
E02003605,Central Bedfordshire 007,207
E02003606,Central Bedfordshire 008,241
E02003607,Central Bedfordshire 009,313
E02003608,Central Bedfordshire 010,460
E02003609,Central Bedfordshire 011,380
E02003610,Central Bedfordshire 012,233
E02003611,Central Bedfordshire 013,235
E02003612,Central Bedfordshire 014,277
E02003613,Central Bedfordshire 015,276
E02003614,Central Bedfordshire 016,193
E02003615,Central Bedfordshire 017,202
E02003616,Bedford 001,98
E02003617,Bedford 002,250
E02003618,Bedford 003,204
E02003619,Bedford 004,209
E02003620,Bedford 005,333
E02003621,Bedford 006,128
E02003622,Bedford 007,431
E02003623,Bedford 008,172
E02003624,Bedford 009,770
E02003625,Bedford 010,1576
E02003626,Bedford 011,236
E02003627,Bedford 012,1598
E02003628,Bedford 013,260
E02003629,Bedford 014,641
E02003630,Bedford 015,654
E02003631,Bedford 016,279
E02003632,Bedford 017,256
E02003633,Bedford 018,247
E02003635,Bedford 020,271
E02003636,Central Bedfordshire 018,139
E02003637,Central Bedfordshire 019,252
E02003638,Central Bedfordshire 020,80
E02003639,Central Bedfordshire 021,761
E02003640,Central Bedfordshire 022,230
E02003641,Central Bedfordshire 023,103
E02003642,Central Bedfordshire 025,377
E02003643,Central Bedfordshire 024,306
E02003644,Central Bedfordshire 026,399
E02003645,Central Bedfordshire 027,83
E02003646,Central Bedfordshire 028,337
E02003647,Central Bedfordshire 029,846
E02003648,Central Bedfordshire 030,290
E02003649,Central Bedfordshire 031,244
E02003650,Central Bedfordshire 032,195
E02003651,Central Bedfordshire 033,147
E02003652,Buckinghamshire 001,186
E02003653,Buckinghamshire 002,376
E02003654,Buckinghamshire 003,105
E02003655,Buckinghamshire 004,217
E02003656,Buckinghamshire 005,244
E02003657,Buckinghamshire 006,153
E02003658,Buckinghamshire 007,193
E02003659,Buckinghamshire 009,283
E02003660,Buckinghamshire 008,234
E02003661,Buckinghamshire 010,151
E02003662,Buckinghamshire 012,454
E02003663,Buckinghamshire 011,291
E02003664,Buckinghamshire 013,393
E02003665,Buckinghamshire 014,275
E02003666,Buckinghamshire 015,913
E02003667,Buckinghamshire 016,450
E02003668,Buckinghamshire 018,201
E02003669,Buckinghamshire 017,398
E02003670,Buckinghamshire 019,442
E02003671,Buckinghamshire 020,350
E02003672,Buckinghamshire 021,269
E02003673,Buckinghamshire 022,285
E02003674,Buckinghamshire 023,176
E02003675,Buckinghamshire 024,339
E02003676,Buckinghamshire 029,129
E02003677,Buckinghamshire 027,412
E02003678,Buckinghamshire 028,174
E02003679,Buckinghamshire 030,616
E02003680,Buckinghamshire 031,241
E02003681,Buckinghamshire 032,305
E02003682,Buckinghamshire 034,298
E02003683,Buckinghamshire 035,210
E02003685,Buckinghamshire 047,161
E02003686,Buckinghamshire 050,169
E02003687,Buckinghamshire 054,106
E02003688,Buckinghamshire 053,369
E02003689,Buckinghamshire 058,208
E02003690,Buckinghamshire 059,337
E02003691,Buckinghamshire 063,195
E02003692,Buckinghamshire 064,283
E02003693,Buckinghamshire 065,167
E02003694,Buckinghamshire 066,510
E02003695,Buckinghamshire 067,422
E02003696,Buckinghamshire 026,433
E02003697,Buckinghamshire 025,106
E02003698,Buckinghamshire 033,114
E02003699,Buckinghamshire 037,187
E02003701,Buckinghamshire 038,513
E02003702,Buckinghamshire 040,160
E02003703,Buckinghamshire 041,566
E02003704,Buckinghamshire 045,151
E02003705,Buckinghamshire 042,263
E02003706,Buckinghamshire 043,390
E02003707,Buckinghamshire 044,434
E02003708,Buckinghamshire 046,704
E02003709,Buckinghamshire 048,327
E02003710,Buckinghamshire 049,848
E02003711,Buckinghamshire 051,861
E02003712,Buckinghamshire 052,363
E02003713,Buckinghamshire 055,79
E02003714,Buckinghamshire 056,338
E02003715,Buckinghamshire 057,104
E02003716,Buckinghamshire 060,328
E02003717,Buckinghamshire 062,341
E02003718,Buckinghamshire 061,196
E02003719,Cambridge 001,779
E02003720,Cambridge 002,708
E02003721,Cambridge 003,701
E02003722,Cambridge 004,883
E02003723,Cambridge 005,599
E02003724,Cambridge 006,748
E02003725,Cambridge 007,797
E02003726,Cambridge 008,779
E02003727,Cambridge 009,714
E02003728,Cambridge 010,856
E02003729,Cambridge 011,440
E02003731,Cambridge 013,392
E02003732,East Cambridgeshire 001,332
E02003733,East Cambridgeshire 002,128
E02003734,East Cambridgeshire 003,446
E02003735,East Cambridgeshire 004,450
E02003736,East Cambridgeshire 005,271
E02003737,East Cambridgeshire 006,495
E02003738,East Cambridgeshire 007,151
E02003739,East Cambridgeshire 008,192
E02003740,East Cambridgeshire 009,130
E02003742,Fenland 001,150
E02003743,Fenland 002,516
E02003744,Fenland 003,946
E02003745,Fenland 004,272
E02003746,Fenland 005,164
E02003747,Fenland 006,459
E02003748,Fenland 007,379
E02003749,Fenland 008,86
E02003750,Fenland 009,368
E02003751,Fenland 010,134
E02003752,Fenland 011,409
E02003753,Huntingdonshire 001,210
E02003754,Huntingdonshire 002,91
E02003755,Huntingdonshire 003,421
E02003756,Huntingdonshire 004,156
E02003757,Huntingdonshire 005,178
E02003758,Huntingdonshire 006,212
E02003759,Huntingdonshire 007,69
E02003760,Huntingdonshire 008,305
E02003761,Huntingdonshire 009,105
E02003762,Huntingdonshire 010,163
E02003763,Huntingdonshire 011,361
E02003764,Huntingdonshire 012,791
E02003765,Huntingdonshire 013,502
E02003766,Huntingdonshire 014,510
E02003767,Huntingdonshire 015,63
E02003768,Huntingdonshire 016,228
E02003769,Huntingdonshire 017,120
E02003770,Huntingdonshire 018,224
E02003771,Huntingdonshire 019,495
E02003772,Huntingdonshire 020,292
E02003773,Huntingdonshire 021,394
E02003774,Huntingdonshire 022,270
E02003775,South Cambridgeshire 001,147
E02003776,South Cambridgeshire 002,173
E02003777,South Cambridgeshire 003,241
E02003778,South Cambridgeshire 004,258
E02003780,South Cambridgeshire 006,490
E02003781,South Cambridgeshire 007,212
E02003784,South Cambridgeshire 010,200
E02003785,South Cambridgeshire 011,416
E02003786,South Cambridgeshire 012,261
E02003787,South Cambridgeshire 013,173
E02003788,South Cambridgeshire 014,191
E02003789,South Cambridgeshire 015,202
E02003790,South Cambridgeshire 016,178
E02003791,South Cambridgeshire 017,218
E02003792,South Cambridgeshire 018,277
E02003793,South Cambridgeshire 019,112
E02004356,Eastbourne 001,249
E02004357,Eastbourne 002,237
E02004358,Eastbourne 003,369
E02004359,Eastbourne 004,381
E02004361,Eastbourne 006,276
E02004362,Eastbourne 007,394
E02004363,Eastbourne 008,908
E02004364,Eastbourne 009,740
E02004365,Eastbourne 010,1593
E02004366,Eastbourne 011,1482
E02004367,Eastbourne 012,506
E02004368,Hastings 001,257
E02004369,Hastings 002,269
E02004370,Hastings 003,348
E02004371,Hastings 004,135
E02004372,Hastings 005,454
E02004373,Hastings 006,397
E02004374,Hastings 007,396
E02004375,Hastings 008,963
E02004376,Hastings 009,1208
E02004377,Hastings 010,447
E02004378,Hastings 011,1939
E02004379,Lewes 001,168
E02004380,Lewes 002,192
E02004381,Lewes 003,772
E02004382,Lewes 004,198
E02004383,Lewes 005,264
E02004384,Lewes 006,323
E02004385,Lewes 007,441
E02004386,Lewes 008,319
E02004387,Lewes 009,348
E02004388,Lewes 010,321
E02004389,Lewes 011,247
E02004390,Lewes 012,278
E02004391,Lewes 013,880
E02004392,Rother 001,229
E02004393,Rother 002,189
E02004394,Rother 003,173
E02004395,Rother 004,376
E02004396,Rother 005,160
E02004397,Rother 006,208
E02004398,Rother 007,593
E02004399,Rother 008,333
E02004400,Rother 009,171
E02004401,Rother 010,344
E02004402,Rother 011,1316
E02004403,Wealden 001,245
E02004404,Wealden 002,113
E02004405,Wealden 003,179
E02004406,Wealden 004,244
E02004407,Wealden 005,266
E02004408,Wealden 006,318
E02004409,Wealden 007,103
E02004410,Wealden 008,204
E02004411,Wealden 009,423
E02004412,Wealden 010,427
E02004413,Wealden 011,237
E02004414,Wealden 012,265
E02004415,Wealden 013,126
E02004416,Wealden 014,164
E02004417,Wealden 015,298
E02004418,Wealden 016,228
E02004419,Wealden 017,305
E02004420,Wealden 018,250
E02004421,Wealden 019,366
E02004422,Wealden 020,251
E02004423,Wealden 021,152
E02004424,Basildon 001,76
E02004425,Basildon 002,374
E02004426,Basildon 003,257
E02004427,Basildon 004,254
E02004428,Basildon 005,375
E02004429,Basildon 006,145
E02004430,Basildon 007,138
E02004431,Basildon 008,487
E02004432,Basildon 009,124
E02004433,Basildon 010,554
E02004434,Basildon 011,478
E02004435,Basildon 012,360
E02004436,Basildon 013,612
E02004437,Basildon 014,818
E02004438,Basildon 015,764
E02004439,Basildon 016,595
E02004440,Basildon 017,405
E02004441,Basildon 018,581
E02004442,Basildon 019,611
E02004443,Basildon 020,704
E02004444,Basildon 021,261
E02004445,Basildon 022,637
E02004446,Braintree 001,103
E02004447,Braintree 002,68
E02004448,Braintree 003,263
E02004449,Braintree 004,565
E02004450,Braintree 005,94
E02004451,Braintree 006,230
E02004452,Braintree 007,208
E02004453,Braintree 008,338
E02004454,Braintree 009,923
E02004455,Braintree 010,66
E02004456,Braintree 011,477
E02004457,Braintree 012,236
E02004458,Braintree 013,186
E02004459,Braintree 014,323
E02004460,Braintree 015,201
E02004461,Braintree 016,225
E02004462,Braintree 017,1026
E02004463,Braintree 018,210
E02004464,Brentwood 001,151
E02004465,Brentwood 002,253
E02004466,Brentwood 003,274
E02004467,Brentwood 004,330
E02004468,Brentwood 005,188
E02004469,Brentwood 006,205
E02004470,Brentwood 007,1408
E02004471,Brentwood 008,550
E02004472,Brentwood 009,184
E02004473,Castle Point 001,162
E02004474,Castle Point 002,165
E02004475,Castle Point 003,110
E02004476,Castle Point 004,141
E02004477,Castle Point 005,83
E02004478,Castle Point 006,429
E02004479,Castle Point 007,168
E02004480,Castle Point 008,288
E02004481,Castle Point 009,555
E02004482,Castle Point 010,280
E02004483,Castle Point 011,391
E02004484,Castle Point 012,529
E02004485,Chelmsford 001,290
E02004486,Chelmsford 002,276
E02004487,Chelmsford 003,258
E02004488,Chelmsford 004,379
E02004489,Chelmsford 005,295
E02004490,Chelmsford 006,637
E02004491,Chelmsford 007,175
E02004492,Chelmsford 008,508
E02004493,Chelmsford 009,580
E02004495,Chelmsford 011,306
E02004496,Chelmsford 012,235
E02004497,Chelmsford 013,319
E02004498,Chelmsford 014,600
E02004499,Chelmsford 015,37
E02004500,Chelmsford 016,253
E02004501,Chelmsford 017,288
E02004502,Chelmsford 018,308
E02004503,Chelmsford 019,256
E02004504,Chelmsford 020,452
E02004505,Chelmsford 021,138
E02004506,Colchester 001,127
E02004507,Colchester 002,698
E02004508,Colchester 003,141
E02004512,Colchester 007,1322
E02004513,Colchester 008,877
E02004514,Colchester 009,164
E02004515,Colchester 010,187
E02004516,Colchester 011,826
E02004517,Colchester 012,379
E02004518,Colchester 013,346
E02004519,Colchester 014,133
E02004520,Colchester 015,281
E02004521,Colchester 016,652
E02004522,Colchester 017,220
E02004523,Colchester 018,375
E02004524,Colchester 019,111
E02004525,Colchester 020,225
E02004526,Colchester 021,246
E02004527,Epping Forest 001,538
E02004528,Epping Forest 002,218
E02004529,Epping Forest 003,152
E02004530,Epping Forest 004,324
E02004531,Epping Forest 005,254
E02004532,Epping Forest 006,348
E02004533,Epping Forest 007,646
E02004534,Epping Forest 008,524
E02004535,Epping Forest 009,611
E02004536,Epping Forest 010,227
E02004537,Epping Forest 011,1000
E02004538,Epping Forest 012,329
E02004539,Epping Forest 013,350
E02004540,Epping Forest 014,135
E02004541,Epping Forest 015,501
E02004542,Epping Forest 016,93
E02004543,Epping Forest 017,175
E02004544,Harlow 001,611
E02004545,Harlow 002,513
E02004546,Harlow 003,789
E02004547,Harlow 004,705
E02004548,Harlow 005,195
E02004549,Harlow 006,432
E02004550,Harlow 007,850
E02004551,Harlow 008,509
E02004552,Harlow 009,490
E02004553,Harlow 010,376
E02004554,Harlow 011,554
E02004555,Maldon 001,126
E02004556,Maldon 002,97
E02004557,Maldon 003,308
E02004558,Maldon 004,564
E02004559,Maldon 005,233
E02004560,Maldon 006,269
E02004561,Maldon 007,282
E02004562,Maldon 008,400
E02004563,Rochford 001,281
E02004564,Rochford 002,162
E02004566,Rochford 004,461
E02004567,Rochford 005,125
E02004568,Rochford 006,239
E02004569,Rochford 007,584
E02004570,Rochford 008,449
E02004571,Rochford 009,97
E02004572,Rochford 010,268
E02004573,Tendring 001,590
E02004574,Tendring 002,293
E02004575,Tendring 003,535
E02004576,Tendring 004,137
E02004577,Tendring 005,107
E02004578,Tendring 006,475
E02004579,Tendring 007,308
E02004580,Tendring 008,255
E02004581,Tendring 009,142
E02004582,Tendring 010,203
E02004583,Tendring 011,392
E02004584,Tendring 012,146
E02004585,Tendring 013,274
E02004586,Tendring 014,482
E02004587,Tendring 015,452
E02004588,Tendring 016,1214
E02004589,Tendring 017,257
E02004590,Tendring 018,578
E02004591,Uttlesford 001,141
E02004592,Uttlesford 002,786
E02004593,Uttlesford 003,170
E02004594,Uttlesford 004,189
E02004595,Uttlesford 005,345
E02004596,Uttlesford 006,271
E02004597,Uttlesford 007,513
E02004598,Uttlesford 008,197
E02004599,Uttlesford 009,217
E02004675,Basingstoke and Deane 001,174
E02004676,Basingstoke and Deane 002,231
E02004677,Basingstoke and Deane 003,78
E02004678,Basingstoke and Deane 004,227
E02004679,Basingstoke and Deane 005,274
E02004680,Basingstoke and Deane 006,276
E02004681,Basingstoke and Deane 007,694
E02004682,Basingstoke and Deane 008,350
E02004683,Basingstoke and Deane 009,471
E02004684,Basingstoke and Deane 010,420
E02004685,Basingstoke and Deane 011,1171
E02004686,Basingstoke and Deane 012,649
E02004687,Basingstoke and Deane 013,222
E02004688,Basingstoke and Deane 014,395
E02004689,Basingstoke and Deane 015,122
E02004690,Basingstoke and Deane 016,345
E02004691,Basingstoke and Deane 017,169
E02004692,Basingstoke and Deane 018,95
E02004693,Basingstoke and Deane 019,457
E02004694,Basingstoke and Deane 020,264
E02004695,Basingstoke and Deane 021,164
E02004696,Basingstoke and Deane 022,189
E02004697,East Hampshire 001,147
E02004698,East Hampshire 002,725
E02004699,East Hampshire 003,433
E02004700,East Hampshire 004,282
E02004702,East Hampshire 006,338
E02004703,East Hampshire 007,208
E02004704,East Hampshire 008,114
E02004705,East Hampshire 009,383
E02004706,East Hampshire 010,271
E02004707,East Hampshire 011,350
E02004708,East Hampshire 012,665
E02004709,East Hampshire 013,188
E02004710,East Hampshire 014,202
E02004712,Eastleigh 001,70
E02004713,Eastleigh 002,127
E02004714,Eastleigh 003,232
E02004715,Eastleigh 004,419
E02004716,Eastleigh 005,205
E02004717,Eastleigh 006,472
E02004718,Eastleigh 007,731
E02004719,Eastleigh 008,244
E02004720,Eastleigh 009,592
E02004721,Eastleigh 010,190
E02004722,Eastleigh 011,417
E02004723,Eastleigh 012,211
E02004724,Eastleigh 013,311
E02004725,Eastleigh 014,342
E02004726,Eastleigh 015,196
E02004727,Fareham 001,88
E02004728,Fareham 002,383
E02004729,Fareham 003,243
E02004730,Fareham 004,143
E02004731,Fareham 005,270
E02004732,Fareham 006,210
E02004733,Fareham 007,292
E02004734,Fareham 008,582
E02004735,Fareham 009,78
E02004736,Fareham 010,156
E02004737,Fareham 011,643
E02004738,Fareham 012,235
E02004739,Fareham 013,194
E02004740,Fareham 014,193
E02004741,Gosport 001,320
E02004742,Gosport 002,505
E02004743,Gosport 003,210
E02004744,Gosport 004,228
E02004745,Gosport 005,520
E02004746,Gosport 006,463
E02004747,Gosport 007,369
E02004748,Gosport 008,1341
E02004749,Gosport 009,227
E02004750,Gosport 010,323
E02004751,Hart 001,269
E02004752,Hart 002,156
