Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_bedroom
E02000231,Croydon 038,138
E02000232,Croydon 039,64
E02000233,Croydon 040,171
E02000234,Croydon 041,500
E02000235,Croydon 042,101
E02000236,Croydon 043,63
E02000237,Croydon 044,177
E02000238,Ealing 001,767
E02000239,Ealing 002,202
E02000240,Ealing 003,489
E02000241,Ealing 004,296
E02000242,Ealing 005,268
E02000243,Ealing 006,578
E02000244,Ealing 007,548
E02000245,Ealing 008,793
E02000246,Ealing 009,426
E02000247,Ealing 010,718
E02000248,Ealing 011,607
E02000249,Ealing 012,416
E02000250,Ealing 013,292
E02000251,Ealing 014,151
E02000252,Ealing 015,1525
E02000253,Ealing 016,704
E02000254,Ealing 017,143
E02000255,Ealing 018,752
E02000256,Ealing 019,1011
E02000258,Ealing 021,563
E02000259,Ealing 022,276
E02000260,Ealing 023,346
E02000261,Ealing 024,1307
E02000262,Ealing 025,1274
E02000263,Ealing 026,426
E02000264,Ealing 027,917
E02000265,Ealing 028,1472
E02000266,Ealing 029,856
E02000267,Ealing 030,646
E02000268,Ealing 031,777
E02000269,Ealing 032,550
E02000270,Ealing 033,1400
E02000271,Ealing 034,489
E02000272,Ealing 035,281
E02000275,Ealing 038,458
E02000276,Ealing 039,547
E02000277,Enfield 001,223
E02000278,Enfield 002,427
E02000279,Enfield 003,859
E02000280,Enfield 004,327
E02000281,Enfield 005,549
E02000282,Enfield 006,644
E02000283,Enfield 007,136
E02000284,Enfield 008,512
E02000285,Enfield 009,93
E02000286,Enfield 010,888
E02000287,Enfield 011,311
E02000288,Enfield 012,760
E02000289,Enfield 013,54
E02000290,Enfield 014,665
E02000291,Enfield 015,1100
E02000292,Enfield 016,238
E02000293,Enfield 017,192
E02000294,Enfield 018,205
E02000295,Enfield 019,340
E02000296,Enfield 020,662
E02000297,Enfield 021,299
E02000298,Enfield 022,286
E02000299,Enfield 023,501
E02000300,Enfield 024,568
E02000301,Enfield 025,800
E02000302,Enfield 026,315
E02000303,Enfield 027,634
E02000304,Enfield 028,218
E02000305,Enfield 029,757
E02000306,Enfield 030,908
E02000307,Enfield 031,180
E02000308,Enfield 032,488
E02000309,Enfield 033,556
E02000311,Enfield 035,530
E02000312,Enfield 036,1145
E02000313,Greenwich 001,818
E02000314,Greenwich 002,703
E02000315,Greenwich 003,523
E02000317,Greenwich 005,648
