Middle layer Super Output Areas Code,Middle layer Super Output Areas,4_or_more_bedrooms
E02000962,Westminster 003,360
E02000963,Westminster 004,245
E02000964,Westminster 005,338
E02000965,Westminster 006,244
E02000966,Westminster 007,489
E02000967,Westminster 008,269
E02000968,Westminster 009,497
E02000969,Westminster 010,211
E02000970,Westminster 011,438
E02000971,Westminster 012,402
E02000972,Westminster 013,163
E02000973,Westminster 014,472
E02000974,Westminster 015,436
E02000975,Westminster 016,213
E02000976,Westminster 017,344
E02000977,Westminster 018,213
E02000978,Westminster 019,735
E02000979,Westminster 020,259
E02000980,Westminster 021,130
E02000981,Westminster 022,368
E02000982,Westminster 023,207
E02000983,Westminster 024,155
E02003237,Peterborough 001,944
E02003238,Peterborough 002,673
E02003239,Peterborough 003,961
E02003240,Peterborough 004,916
E02003241,Peterborough 005,826
E02003242,Peterborough 006,540
E02003243,Peterborough 007,499
E02003244,Peterborough 008,289
E02003245,Peterborough 009,417
E02003246,Peterborough 010,340
E02003247,Peterborough 011,610
E02003248,Peterborough 012,970
E02003249,Peterborough 013,596
E02003250,Peterborough 014,637
E02003251,Peterborough 015,1473
E02003252,Peterborough 016,1030
E02003253,Peterborough 017,418
E02003254,Peterborough 018,1517
E02003255,Peterborough 019,1061
E02003257,Peterborough 021,525
E02003258,Luton 001,1205
E02003259,Luton 002,260
E02003260,Luton 003,276
E02003261,Luton 004,616
E02003262,Luton 005,452
E02003263,Luton 006,580
E02003264,Luton 007,1181
E02003265,Luton 008,392
E02003266,Luton 009,346
E02003267,Luton 010,1023
E02003268,Luton 011,735
E02003269,Luton 012,711
E02003270,Luton 013,422
E02003271,Luton 014,807
E02003272,Luton 015,704
E02003273,Luton 016,463
E02003274,Luton 017,546
E02003276,Luton 019,417
E02003277,Luton 020,447
E02003278,Luton 021,622
E02003279,Southend-on-Sea 001,818
E02003280,Southend-on-Sea 002,602
E02003281,Southend-on-Sea 003,731
E02003282,Southend-on-Sea 004,880
E02003283,Southend-on-Sea 005,778
E02003284,Southend-on-Sea 006,437
E02003285,Southend-on-Sea 007,701
E02003286,Southend-on-Sea 008,1337
E02003287,Southend-on-Sea 009,1072
E02003288,Southend-on-Sea 010,433
E02003289,Southend-on-Sea 011,858
E02003290,Southend-on-Sea 012,1196
E02003291,Southend-on-Sea 013,769
E02003292,Southend-on-Sea 014,651
E02003293,Southend-on-Sea 015,754
E02003294,Southend-on-Sea 016,1373
E02003295,Southend-on-Sea 017,1165
E02003296,Thurrock 001,663
E02003297,Thurrock 002,366
E02003298,Thurrock 003,377
E02003299,Thurrock 004,969
E02003300,Thurrock 005,582
E02003301,Thurrock 006,667
E02003302,Thurrock 007,342
E02003303,Thurrock 008,424
E02003304,Thurrock 009,575
E02003305,Thurrock 010,592
E02003307,Thurrock 012,366
E02003308,Thurrock 013,504
E02003309,Thurrock 014,600
E02003311,Thurrock 016,525
E02003312,Thurrock 017,144
E02003313,Thurrock 018,406
E02003314,Medway 001,505
E02003315,Medway 002,695
E02003316,Medway 003,1135
E02003317,Medway 004,659
E02003318,Medway 005,719
E02003319,Medway 006,404
E02003320,Medway 007,639
E02003321,Medway 008,268
E02003322,Medway 009,263
E02003323,Medway 010,375
E02003324,Medway 011,416
E02003325,Medway 012,226
E02003326,Medway 013,388
E02003327,Medway 014,499
E02003328,Medway 015,401
E02003329,Medway 016,265
E02003330,Medway 017,285
E02003331,Medway 018,412
E02003332,Medway 019,525
E02003333,Medway 020,204
E02003334,Medway 021,326
E02003335,Medway 022,184
E02003336,Medway 023,498
E02003337,Medway 024,424
E02003338,Medway 025,369
E02003339,Medway 026,583
E02003340,Medway 027,383
E02003341,Medway 028,677
E02003342,Medway 029,629
E02003343,Medway 030,989
E02003344,Medway 031,488
E02003345,Medway 032,599
E02003346,Medway 033,560
E02003347,Medway 034,457
E02003348,Medway 035,1350
E02003349,Medway 036,558
E02003350,Medway 037,530
E02003351,Medway 038,482
E02003352,Bracknell Forest 001,985
E02003353,Bracknell Forest 002,1775
E02003354,Bracknell Forest 003,1643
E02003355,Bracknell Forest 004,327
E02003356,Bracknell Forest 005,1014
E02003357,Bracknell Forest 006,620
E02003358,Bracknell Forest 007,990
E02003359,Bracknell Forest 008,374
E02003360,Bracknell Forest 009,1365
E02003361,Bracknell Forest 010,462
E02003362,Bracknell Forest 011,472
E02003363,Bracknell Forest 012,988
E02003364,Bracknell Forest 013,829
E02003365,Bracknell Forest 014,1077
E02003366,Bracknell Forest 015,747
E02003367,West Berkshire 001,995
E02003368,West Berkshire 002,727
E02003369,West Berkshire 003,1126
E02003370,West Berkshire 004,1228
E02003371,West Berkshire 005,702
E02003372,West Berkshire 006,919
E02003373,West Berkshire 007,1413
E02003374,West Berkshire 008,663
E02003375,West Berkshire 009,642
E02003376,West Berkshire 010,544
E02003377,West Berkshire 011,1572
E02003378,West Berkshire 012,833
E02003379,West Berkshire 013,485
E02003380,West Berkshire 014,660
E02003381,West Berkshire 015,1037
E02003382,West Berkshire 016,544
E02003383,West Berkshire 017,887
E02003384,West Berkshire 018,1061
E02003385,West Berkshire 019,788
E02003386,West Berkshire 020,697
E02003387,West Berkshire 021,1491
E02003388,West Berkshire 022,879
E02003389,Reading 001,1087
E02003390,Reading 002,1734
E02003391,Reading 003,1045
E02003392,Reading 004,419
E02003393,Reading 005,985
E02003394,Reading 006,251
E02003395,Reading 007,516
E02003396,Reading 008,523
E02003397,Reading 009,479
E02003398,Reading 010,699
E02003400,Reading 012,1136
E02003401,Reading 013,442
E02003402,Reading 014,770
E02003403,Reading 015,593
E02003404,Reading 016,472
E02003405,Reading 017,464
E02003406,Reading 018,364
E02003407,Slough 001,338
E02003408,Slough 002,544
E02003409,Slough 003,580
E02003410,Slough 004,690
E02003411,Slough 005,715
E02003412,Slough 006,549
E02003414,Slough 008,697
E02003415,Slough 009,588
E02003416,Slough 010,935
E02003417,Slough 011,950
E02003418,Slough 012,706
E02003419,Slough 013,472
E02003420,Slough 014,288
E02003421,Windsor and Maidenhead 001,786
E02003422,Windsor and Maidenhead 002,2027
E02003423,Windsor and Maidenhead 003,539
E02003424,Windsor and Maidenhead 004,1607
E02003425,Windsor and Maidenhead 005,996
E02003426,Windsor and Maidenhead 006,1416
E02003427,Windsor and Maidenhead 007,573
E02003428,Windsor and Maidenhead 008,1180
E02003429,Windsor and Maidenhead 009,1487
E02003430,Windsor and Maidenhead 010,412
E02003431,Windsor and Maidenhead 011,860
E02003432,Windsor and Maidenhead 012,635
E02003433,Windsor and Maidenhead 013,448
E02003434,Windsor and Maidenhead 014,714
E02003435,Windsor and Maidenhead 015,1116
E02003436,Windsor and Maidenhead 016,1417
E02003437,Windsor and Maidenhead 017,1241
E02003438,Windsor and Maidenhead 018,2079
E02003439,Wokingham 001,985
E02003440,Wokingham 002,1539
E02003441,Wokingham 003,1247
E02003442,Wokingham 004,1351
E02003443,Wokingham 005,561
E02003444,Wokingham 006,1266
E02003445,Wokingham 007,820
E02003446,Wokingham 008,1523
E02003447,Wokingham 009,1695
E02003448,Wokingham 010,1442
E02003449,Wokingham 011,956
E02003450,Wokingham 012,1789
E02003451,Wokingham 013,835
E02003452,Wokingham 014,1474
E02003453,Wokingham 015,1627
E02003454,Wokingham 016,1376
E02003455,Wokingham 017,1563
E02003456,Wokingham 018,1045
E02003457,Wokingham 019,2262
E02003458,Wokingham 020,1646
E02003459,Milton Keynes 001,1435
E02003460,Milton Keynes 002,1822
E02003461,Milton Keynes 003,800
E02003462,Milton Keynes 004,894
E02003463,Milton Keynes 005,925
E02003464,Milton Keynes 006,454
E02003465,Milton Keynes 007,844
E02003466,Milton Keynes 008,324
E02003467,Milton Keynes 009,523
E02003468,Milton Keynes 010,734
E02003469,Milton Keynes 011,737
E02003470,Milton Keynes 012,289
E02003471,Milton Keynes 013,627
E02003472,Milton Keynes 014,477
E02003473,Milton Keynes 015,760
E02003474,Milton Keynes 016,1105
E02003476,Milton Keynes 018,397
E02003478,Milton Keynes 020,824
E02003479,Milton Keynes 021,475
E02003480,Milton Keynes 022,834
E02003481,Milton Keynes 023,405
E02003482,Milton Keynes 024,1350
E02003483,Milton Keynes 025,1751
E02003484,Milton Keynes 026,736
E02003485,Milton Keynes 027,616
E02003486,Milton Keynes 028,1315
E02003487,Milton Keynes 029,600
E02003488,Milton Keynes 030,409
E02003489,Milton Keynes 031,559
E02003490,Milton Keynes 032,615
E02003491,Brighton and Hove 001,757
E02003492,Brighton and Hove 002,442
E02003493,Brighton and Hove 003,1134
E02003494,Brighton and Hove 004,943
E02003495,Brighton and Hove 005,319
E02003496,Brighton and Hove 006,551
E02003497,Brighton and Hove 007,1380
E02003498,Brighton and Hove 008,461
E02003499,Brighton and Hove 009,559
E02003500,Brighton and Hove 010,1093
E02003501,Brighton and Hove 011,1134
E02003502,Brighton and Hove 012,386
E02003503,Brighton and Hove 013,842
E02003504,Brighton and Hove 014,777
E02003505,Brighton and Hove 015,811
E02003506,Brighton and Hove 016,578
E02003507,Brighton and Hove 017,855
E02003508,Brighton and Hove 018,836
E02003509,Brighton and Hove 019,438
E02003510,Brighton and Hove 020,715
E02003511,Brighton and Hove 021,860
E02003512,Brighton and Hove 022,704
E02003513,Brighton and Hove 023,815
E02003514,Brighton and Hove 024,375
E02003515,Brighton and Hove 025,374
E02003516,Brighton and Hove 026,162
E02003517,Brighton and Hove 027,542
E02003518,Brighton and Hove 028,423
E02003519,Brighton and Hove 029,252
E02003520,Brighton and Hove 030,373
E02003521,Brighton and Hove 031,350
E02003522,Brighton and Hove 032,406
E02003523,Brighton and Hove 033,1285
E02003524,Portsmouth 001,358
E02003525,Portsmouth 002,249
E02003526,Portsmouth 003,1037
E02003527,Portsmouth 004,265
E02003529,Portsmouth 006,618
E02003530,Portsmouth 007,336
E02003531,Portsmouth 008,544
E02003532,Portsmouth 009,525
E02003533,Portsmouth 010,149
E02003534,Portsmouth 011,422
E02003535,Portsmouth 012,268
E02003536,Portsmouth 013,258
E02003537,Portsmouth 014,634
E02003538,Portsmouth 015,312
E02003540,Portsmouth 017,479
E02003541,Portsmouth 018,678
E02003542,Portsmouth 019,628
E02003543,Portsmouth 020,882
E02003544,Portsmouth 021,230
E02003545,Portsmouth 022,489
E02003546,Portsmouth 023,584
E02003547,Portsmouth 024,468
E02003548,Portsmouth 025,782
E02003549,Southampton 001,969
E02003550,Southampton 002,233
E02003551,Southampton 003,210
E02003552,Southampton 004,131
E02003553,Southampton 005,541
E02003554,Southampton 006,536
E02003555,Southampton 007,371
E02003556,Southampton 008,264
E02003557,Southampton 009,904
E02003558,Southampton 010,201
E02003559,Southampton 011,1010
E02003560,Southampton 012,214
E02003561,Southampton 013,501
E02003562,Southampton 014,465
E02003563,Southampton 015,223
E02003564,Southampton 016,301
E02003565,Southampton 017,619
E02003566,Southampton 018,263
E02003567,Southampton 019,349
E02003568,Southampton 020,691
E02003569,Southampton 021,234
E02003570,Southampton 022,630
E02003571,Southampton 023,609
E02003572,Southampton 024,367
E02003573,Southampton 025,318
E02003574,Southampton 026,262
E02003575,Southampton 027,157
E02003576,Southampton 028,249
E02003578,Southampton 030,214
E02003579,Southampton 031,335
E02003580,Southampton 032,162
E02003581,Isle of Wight 001,501
E02003582,Isle of Wight 002,770
E02003583,Isle of Wight 003,478
E02003584,Isle of Wight 004,345
E02003585,Isle of Wight 005,701
E02003586,Isle of Wight 006,579
E02003587,Isle of Wight 007,369
E02003588,Isle of Wight 008,389
E02003589,Isle of Wight 009,312
E02003590,Isle of Wight 010,889
E02003591,Isle of Wight 011,768
E02003592,Isle of Wight 012,841
E02003593,Isle of Wight 013,596
E02003594,Isle of Wight 014,634
E02003595,Isle of Wight 015,742
E02003596,Isle of Wight 016,618
E02003597,Isle of Wight 017,561
E02003598,Isle of Wight 018,510
E02003599,Central Bedfordshire 001,520
E02003600,Central Bedfordshire 002,682
E02003601,Central Bedfordshire 003,1194
E02003602,Central Bedfordshire 004,983
E02003603,Central Bedfordshire 005,921
E02003604,Central Bedfordshire 006,1244
E02003605,Central Bedfordshire 007,1360
E02003606,Central Bedfordshire 008,1451
E02003607,Central Bedfordshire 009,1519
E02003608,Central Bedfordshire 010,1369
E02003609,Central Bedfordshire 011,1425
E02003610,Central Bedfordshire 012,1250
E02003611,Central Bedfordshire 013,1396
E02003612,Central Bedfordshire 014,1536
E02003613,Central Bedfordshire 015,666
E02003614,Central Bedfordshire 016,913
E02003615,Central Bedfordshire 017,1730
E02003616,Bedford 001,1038
E02003617,Bedford 002,1504
E02003618,Bedford 003,1063
E02003619,Bedford 004,1807
E02003620,Bedford 005,1124
E02003621,Bedford 006,1198
E02003622,Bedford 007,473
E02003623,Bedford 008,2231
E02003624,Bedford 009,713
E02003625,Bedford 010,522
E02003626,Bedford 011,538
E02003627,Bedford 012,828
E02003628,Bedford 013,604
E02003629,Bedford 014,400
E02003630,Bedford 015,468
E02003631,Bedford 016,561
E02003632,Bedford 017,358
E02003633,Bedford 018,710
E02003635,Bedford 020,1222
E02003636,Central Bedfordshire 018,811
E02003637,Central Bedfordshire 019,1443
E02003638,Central Bedfordshire 020,1012
E02003639,Central Bedfordshire 021,611
E02003640,Central Bedfordshire 022,630
E02003641,Central Bedfordshire 023,705
E02003642,Central Bedfordshire 025,411
E02003643,Central Bedfordshire 024,1232
E02003644,Central Bedfordshire 026,714
E02003645,Central Bedfordshire 027,448
E02003646,Central Bedfordshire 028,671
E02003647,Central Bedfordshire 029,634
E02003648,Central Bedfordshire 030,282
E02003649,Central Bedfordshire 031,731
E02003650,Central Bedfordshire 032,1121
E02003651,Central Bedfordshire 033,799
E02003652,Buckinghamshire 001,1629
E02003653,Buckinghamshire 002,826
E02003654,Buckinghamshire 003,1021
E02003655,Buckinghamshire 004,1713
E02003656,Buckinghamshire 005,941
E02003657,Buckinghamshire 006,1342
E02003658,Buckinghamshire 007,1463
E02003659,Buckinghamshire 009,1372
E02003660,Buckinghamshire 008,1814
E02003661,Buckinghamshire 010,880
E02003662,Buckinghamshire 012,427
E02003663,Buckinghamshire 011,1005
E02003664,Buckinghamshire 013,244
E02003665,Buckinghamshire 014,428
E02003666,Buckinghamshire 015,291
E02003667,Buckinghamshire 016,442
E02003668,Buckinghamshire 018,1065
E02003669,Buckinghamshire 017,272
E02003670,Buckinghamshire 019,847
E02003671,Buckinghamshire 020,166
E02003672,Buckinghamshire 021,2091
E02003673,Buckinghamshire 022,1664
E02003674,Buckinghamshire 023,1035
E02003675,Buckinghamshire 024,1133
E02003676,Buckinghamshire 029,1654
E02003677,Buckinghamshire 027,912
E02003678,Buckinghamshire 028,683
E02003679,Buckinghamshire 030,357
E02003680,Buckinghamshire 031,1772
E02003681,Buckinghamshire 032,1741
E02003682,Buckinghamshire 034,1057
E02003683,Buckinghamshire 035,1222
E02003685,Buckinghamshire 047,1606
E02003686,Buckinghamshire 050,1461
E02003687,Buckinghamshire 054,1042
E02003688,Buckinghamshire 053,2242
E02003689,Buckinghamshire 058,2047
E02003690,Buckinghamshire 059,748
E02003691,Buckinghamshire 063,1348
E02003692,Buckinghamshire 064,1203
E02003693,Buckinghamshire 065,1162
E02003694,Buckinghamshire 066,609
E02003695,Buckinghamshire 067,1271
E02003696,Buckinghamshire 026,1067
E02003697,Buckinghamshire 025,1197
E02003698,Buckinghamshire 033,1565
E02003699,Buckinghamshire 037,759
E02003701,Buckinghamshire 038,1097
E02003702,Buckinghamshire 040,1390
E02003703,Buckinghamshire 041,1026
E02003704,Buckinghamshire 045,1065
E02003705,Buckinghamshire 042,387
E02003706,Buckinghamshire 043,356
E02003707,Buckinghamshire 044,413
E02003708,Buckinghamshire 046,494
E02003709,Buckinghamshire 048,183
E02003710,Buckinghamshire 049,1309
E02003711,Buckinghamshire 051,651
E02003712,Buckinghamshire 052,592
E02003713,Buckinghamshire 055,880
E02003714,Buckinghamshire 056,632
E02003715,Buckinghamshire 057,1400
E02003716,Buckinghamshire 060,781
E02003717,Buckinghamshire 062,1346
E02003718,Buckinghamshire 061,599
E02003719,Cambridge 001,584
E02003720,Cambridge 002,784
E02003721,Cambridge 003,568
E02003722,Cambridge 004,1111
E02003723,Cambridge 005,663
E02003724,Cambridge 006,613
E02003725,Cambridge 007,1022
E02003726,Cambridge 008,730
E02003727,Cambridge 009,813
E02003728,Cambridge 010,949
E02003729,Cambridge 011,730
E02003731,Cambridge 013,1690
E02003732,East Cambridgeshire 001,887
E02003733,East Cambridgeshire 002,1088
E02003734,East Cambridgeshire 003,1306
E02003735,East Cambridgeshire 004,1081
E02003736,East Cambridgeshire 005,1398
E02003737,East Cambridgeshire 006,1164
E02003738,East Cambridgeshire 007,855
E02003739,East Cambridgeshire 008,942
E02003740,East Cambridgeshire 009,950
E02003742,Fenland 001,645
E02003743,Fenland 002,532
E02003744,Fenland 003,932
E02003745,Fenland 004,1086
E02003746,Fenland 005,468
E02003747,Fenland 006,1085
E02003748,Fenland 007,421
E02003749,Fenland 008,624
E02003750,Fenland 009,741
E02003751,Fenland 010,898
E02003752,Fenland 011,911
E02003753,Huntingdonshire 001,1229
E02003754,Huntingdonshire 002,949
E02003755,Huntingdonshire 003,1034
E02003756,Huntingdonshire 004,1039
E02003757,Huntingdonshire 005,1064
E02003758,Huntingdonshire 006,1263
E02003759,Huntingdonshire 007,1064
E02003760,Huntingdonshire 008,494
E02003761,Huntingdonshire 009,796
E02003762,Huntingdonshire 010,1668
E02003763,Huntingdonshire 011,1140
E02003764,Huntingdonshire 012,1142
E02003765,Huntingdonshire 013,830
E02003766,Huntingdonshire 014,1132
E02003767,Huntingdonshire 015,1416
E02003768,Huntingdonshire 016,1638
E02003769,Huntingdonshire 017,1119
E02003770,Huntingdonshire 018,1609
E02003771,Huntingdonshire 019,582
E02003772,Huntingdonshire 020,1166
E02003773,Huntingdonshire 021,839
E02003774,Huntingdonshire 022,472
E02003775,South Cambridgeshire 001,1168
E02003776,South Cambridgeshire 002,982
E02003777,South Cambridgeshire 003,1519
E02003778,South Cambridgeshire 004,738
E02003780,South Cambridgeshire 006,1447
E02003781,South Cambridgeshire 007,918
E02003784,South Cambridgeshire 010,1448
E02003785,South Cambridgeshire 011,1130
E02003786,South Cambridgeshire 012,1036
E02003787,South Cambridgeshire 013,1089
E02003788,South Cambridgeshire 014,1512
E02003789,South Cambridgeshire 015,760
E02003790,South Cambridgeshire 016,1503
E02003791,South Cambridgeshire 017,1330
E02003792,South Cambridgeshire 018,1504
E02003793,South Cambridgeshire 019,1094
E02004356,Eastbourne 001,423
E02004357,Eastbourne 002,229
E02004358,Eastbourne 003,364
E02004359,Eastbourne 004,500
E02004361,Eastbourne 006,845
E02004362,Eastbourne 007,591
E02004363,Eastbourne 008,574
E02004364,Eastbourne 009,758
E02004365,Eastbourne 010,495
E02004366,Eastbourne 011,265
E02004367,Eastbourne 012,704
E02004368,Hastings 001,972
E02004369,Hastings 002,1186
E02004370,Hastings 003,370
E02004371,Hastings 004,388
E02004372,Hastings 005,279
E02004373,Hastings 006,639
E02004374,Hastings 007,539
E02004375,Hastings 008,852
E02004376,Hastings 009,436
E02004377,Hastings 010,851
E02004378,Hastings 011,267
E02004379,Lewes 001,1218
E02004380,Lewes 002,1534
E02004381,Lewes 003,747
E02004382,Lewes 004,640
E02004383,Lewes 005,823
E02004384,Lewes 006,722
E02004385,Lewes 007,614
E02004386,Lewes 008,369
E02004387,Lewes 009,348
E02004388,Lewes 010,493
E02004389,Lewes 011,1034
E02004390,Lewes 012,889
E02004391,Lewes 013,484
E02004392,Rother 001,1305
E02004393,Rother 002,852
E02004394,Rother 003,1160
E02004395,Rother 004,622
E02004396,Rother 005,1215
E02004397,Rother 006,1048
E02004398,Rother 007,435
E02004399,Rother 008,500
E02004400,Rother 009,1652
E02004401,Rother 010,645
E02004402,Rother 011,434
E02004403,Wealden 001,1031
E02004404,Wealden 002,1207
E02004405,Wealden 003,982
E02004406,Wealden 004,1452
E02004407,Wealden 005,1406
E02004408,Wealden 006,793
E02004409,Wealden 007,1030
E02004410,Wealden 008,1538
E02004411,Wealden 009,868
E02004412,Wealden 010,977
E02004413,Wealden 011,1011
E02004414,Wealden 012,891
E02004415,Wealden 013,1196
E02004416,Wealden 014,909
E02004417,Wealden 015,537
E02004418,Wealden 016,534
E02004419,Wealden 017,368
E02004420,Wealden 018,1743
E02004421,Wealden 019,554
E02004422,Wealden 020,1262
E02004423,Wealden 021,622
E02004424,Basildon 001,1546
E02004425,Basildon 002,1065
E02004426,Basildon 003,1260
E02004427,Basildon 004,1251
E02004428,Basildon 005,644
E02004429,Basildon 006,1057
E02004430,Basildon 007,1001
E02004431,Basildon 008,828
E02004432,Basildon 009,999
E02004433,Basildon 010,748
E02004434,Basildon 011,510
E02004435,Basildon 012,389
E02004436,Basildon 013,292
E02004437,Basildon 014,758
E02004438,Basildon 015,340
E02004439,Basildon 016,496
E02004440,Basildon 017,500
E02004441,Basildon 018,388
E02004442,Basildon 019,407
E02004443,Basildon 020,766
E02004444,Basildon 021,1464
E02004445,Basildon 022,570
E02004446,Braintree 001,1032
E02004447,Braintree 002,1032
E02004448,Braintree 003,945
E02004449,Braintree 004,438
E02004450,Braintree 005,912
E02004451,Braintree 006,1080
E02004452,Braintree 007,1205
E02004453,Braintree 008,420
E02004454,Braintree 009,550
E02004455,Braintree 010,1211
E02004456,Braintree 011,443
E02004457,Braintree 012,977
E02004458,Braintree 013,1465
E02004459,Braintree 014,1528
E02004460,Braintree 015,719
E02004461,Braintree 016,193
E02004462,Braintree 017,966
E02004463,Braintree 018,1002
E02004464,Brentwood 001,1633
E02004465,Brentwood 002,959
E02004466,Brentwood 003,675
E02004467,Brentwood 004,700
E02004468,Brentwood 005,2381
E02004469,Brentwood 006,931
E02004470,Brentwood 007,798
E02004471,Brentwood 008,847
E02004472,Brentwood 009,891
E02004473,Castle Point 001,620
E02004474,Castle Point 002,877
E02004475,Castle Point 003,920
E02004476,Castle Point 004,1200
E02004477,Castle Point 005,712
E02004478,Castle Point 006,562
E02004479,Castle Point 007,898
E02004480,Castle Point 008,870
E02004481,Castle Point 009,447
E02004482,Castle Point 010,387
E02004483,Castle Point 011,852
E02004484,Castle Point 012,730
E02004485,Chelmsford 001,1393
E02004486,Chelmsford 002,1199
E02004487,Chelmsford 003,786
E02004488,Chelmsford 004,963
E02004489,Chelmsford 005,1499
E02004490,Chelmsford 006,341
E02004491,Chelmsford 007,939
E02004492,Chelmsford 008,911
E02004493,Chelmsford 009,1038
E02004495,Chelmsford 011,1060
E02004496,Chelmsford 012,999
E02004497,Chelmsford 013,1222
E02004498,Chelmsford 014,888
E02004499,Chelmsford 015,544
E02004500,Chelmsford 016,1843
E02004501,Chelmsford 017,914
E02004502,Chelmsford 018,1211
E02004503,Chelmsford 019,1040
E02004504,Chelmsford 020,1515
E02004505,Chelmsford 021,845
E02004506,Colchester 001,1274
E02004507,Colchester 002,949
E02004508,Colchester 003,1005
E02004512,Colchester 007,631
E02004513,Colchester 008,465
E02004514,Colchester 009,866
E02004515,Colchester 010,1412
E02004516,Colchester 011,396
E02004517,Colchester 012,1071
E02004518,Colchester 013,864
E02004519,Colchester 014,912
E02004520,Colchester 015,672
E02004521,Colchester 016,556
E02004522,Colchester 017,877
E02004523,Colchester 018,499
E02004524,Colchester 019,1364
E02004525,Colchester 020,876
E02004526,Colchester 021,961
E02004527,Epping Forest 001,939
E02004528,Epping Forest 002,1379
E02004529,Epping Forest 003,1232
E02004530,Epping Forest 004,741
E02004531,Epping Forest 005,814
E02004532,Epping Forest 006,738
E02004533,Epping Forest 007,432
E02004534,Epping Forest 008,577
E02004535,Epping Forest 009,512
E02004536,Epping Forest 010,884
E02004537,Epping Forest 011,410
E02004538,Epping Forest 012,1517
E02004539,Epping Forest 013,543
E02004540,Epping Forest 014,952
E02004541,Epping Forest 015,1464
E02004542,Epping Forest 016,1255
E02004543,Epping Forest 017,867
E02004544,Harlow 001,1057
E02004545,Harlow 002,339
E02004546,Harlow 003,314
E02004547,Harlow 004,372
E02004548,Harlow 005,794
E02004549,Harlow 006,273
E02004550,Harlow 007,283
E02004551,Harlow 008,253
E02004552,Harlow 009,427
E02004553,Harlow 010,390
E02004554,Harlow 011,507
E02004555,Maldon 001,882
E02004556,Maldon 002,1537
E02004557,Maldon 003,1077
E02004558,Maldon 004,508
E02004559,Maldon 005,999
E02004560,Maldon 006,1121
E02004561,Maldon 007,1800
E02004562,Maldon 008,1066
E02004563,Rochford 001,710
E02004564,Rochford 002,1067
E02004566,Rochford 004,425
E02004567,Rochford 005,1103
E02004568,Rochford 006,904
E02004569,Rochford 007,698
E02004570,Rochford 008,954
E02004571,Rochford 009,1072
E02004572,Rochford 010,736
E02004573,Tendring 001,411
E02004574,Tendring 002,304
E02004575,Tendring 003,1338
E02004576,Tendring 004,1020
E02004577,Tendring 005,876
E02004578,Tendring 006,636
E02004579,Tendring 007,833
E02004580,Tendring 008,1201
E02004581,Tendring 009,997
E02004582,Tendring 010,284
E02004583,Tendring 011,665
E02004584,Tendring 012,369
E02004585,Tendring 013,684
E02004586,Tendring 014,605
E02004587,Tendring 015,342
E02004588,Tendring 016,388
E02004589,Tendring 017,506
E02004590,Tendring 018,456
E02004591,Uttlesford 001,1269
E02004592,Uttlesford 002,1358
E02004593,Uttlesford 003,1596
E02004594,Uttlesford 004,1364
E02004595,Uttlesford 005,2300
E02004596,Uttlesford 006,1619
E02004597,Uttlesford 007,1124
E02004598,Uttlesford 008,1899
E02004599,Uttlesford 009,1343
E02004675,Basingstoke and Deane 001,806
E02004676,Basingstoke and Deane 002,1228
E02004677,Basingstoke and Deane 003,1414
E02004678,Basingstoke and Deane 004,1140
E02004679,Basingstoke and Deane 005,1681
E02004680,Basingstoke and Deane 006,1124
E02004681,Basingstoke and Deane 007,856
E02004682,Basingstoke and Deane 008,1085
E02004683,Basingstoke and Deane 009,423
E02004684,Basingstoke and Deane 010,946
E02004685,Basingstoke and Deane 011,382
E02004686,Basingstoke and Deane 012,430
E02004687,Basingstoke and Deane 013,618
E02004688,Basingstoke and Deane 014,306
E02004689,Basingstoke and Deane 015,996
E02004690,Basingstoke and Deane 016,731
E02004691,Basingstoke and Deane 017,1382
E02004692,Basingstoke and Deane 018,1261
E02004693,Basingstoke and Deane 019,392
E02004694,Basingstoke and Deane 020,933
E02004695,Basingstoke and Deane 021,1670
E02004696,Basingstoke and Deane 022,998
E02004697,East Hampshire 001,1123
E02004698,East Hampshire 002,362
E02004699,East Hampshire 003,1212
E02004700,East Hampshire 004,431
E02004702,East Hampshire 006,773
E02004703,East Hampshire 007,2519
E02004704,East Hampshire 008,802
E02004705,East Hampshire 009,1448
E02004706,East Hampshire 010,1117
E02004707,East Hampshire 011,1952
E02004708,East Hampshire 012,774
E02004709,East Hampshire 013,1316
E02004710,East Hampshire 014,1123
E02004712,Eastleigh 001,1756
E02004713,Eastleigh 002,837
E02004714,Eastleigh 003,990
E02004715,Eastleigh 004,590
E02004716,Eastleigh 005,697
E02004717,Eastleigh 006,545
E02004718,Eastleigh 007,278
E02004719,Eastleigh 008,1644
E02004720,Eastleigh 009,1338
E02004721,Eastleigh 010,1634
E02004722,Eastleigh 011,609
E02004723,Eastleigh 012,1172
E02004724,Eastleigh 013,1039
E02004725,Eastleigh 014,359
E02004726,Eastleigh 015,661
E02004727,Fareham 001,1719
E02004728,Fareham 002,1100
E02004729,Fareham 003,484
E02004730,Fareham 004,1464
E02004731,Fareham 005,1356
E02004732,Fareham 006,1356
E02004733,Fareham 007,949
E02004734,Fareham 008,980
E02004735,Fareham 009,861
E02004736,Fareham 010,732
E02004737,Fareham 011,270
E02004738,Fareham 012,459
E02004739,Fareham 013,867
E02004740,Fareham 014,922
E02004741,Gosport 001,441
E02004742,Gosport 002,286
E02004743,Gosport 003,358
