Middle layer Super Output Areas Code,Middle layer Super Output Areas,4_or_more_bedrooms
E02000231,Croydon 038,1805
E02000232,Croydon 039,773
E02000233,Croydon 040,574
E02000234,Croydon 041,1157
E02000235,Croydon 042,1008
E02000236,Croydon 043,1132
E02000237,Croydon 044,845
E02000238,Ealing 001,554
E02000239,Ealing 002,757
E02000240,Ealing 003,410
E02000241,Ealing 004,371
E02000242,Ealing 005,460
E02000243,Ealing 006,553
E02000244,Ealing 007,489
E02000245,Ealing 008,308
E02000246,Ealing 009,411
E02000247,Ealing 010,427
E02000248,Ealing 011,591
E02000249,Ealing 012,508
E02000250,Ealing 013,962
E02000251,Ealing 014,588
E02000252,Ealing 015,586
E02000253,Ealing 016,412
E02000254,Ealing 017,641
E02000255,Ealing 018,1085
E02000256,Ealing 019,1026
E02000258,Ealing 021,655
E02000259,Ealing 022,705
E02000260,Ealing 023,739
E02000261,Ealing 024,945
E02000262,Ealing 025,684
E02000263,Ealing 026,832
E02000264,Ealing 027,1135
E02000265,Ealing 028,787
E02000266,Ealing 029,675
E02000267,Ealing 030,557
E02000268,Ealing 031,1047
E02000269,Ealing 032,1026
E02000270,Ealing 033,331
E02000271,Ealing 034,1035
E02000272,Ealing 035,888
E02000275,Ealing 038,633
E02000276,Ealing 039,704
E02000277,Enfield 001,373
E02000278,Enfield 002,352
E02000279,Enfield 003,512
E02000280,Enfield 004,679
E02000281,Enfield 005,492
E02000282,Enfield 006,279
E02000283,Enfield 007,442
E02000284,Enfield 008,616
E02000285,Enfield 009,755
E02000286,Enfield 010,840
E02000287,Enfield 011,1251
E02000288,Enfield 012,674
E02000289,Enfield 013,993
E02000290,Enfield 014,226
E02000291,Enfield 015,476
E02000292,Enfield 016,584
E02000293,Enfield 017,1125
E02000294,Enfield 018,441
E02000295,Enfield 019,883
E02000296,Enfield 020,603
E02000297,Enfield 021,1121
E02000298,Enfield 022,1410
E02000299,Enfield 023,370
E02000300,Enfield 024,470
E02000301,Enfield 025,344
E02000302,Enfield 026,694
E02000303,Enfield 027,315
