Local authority code ,Local authority name,Year ending Dec 2019,Year ending Dec 2020,Year ending Dec 2021,Year ending Dec 2022
E09000028,Southwark,"1,209,946","1,283,921","1,315,109",1379997.244
E09000029,Sutton,"521,724","548,326","575,922",634012.8795
E09000030,Tower Hamlets,"917,900",:,"867,893",850700
E09000031,Waltham Forest,"579,820","600,979","646,863",700407.992
E09000032,Wandsworth,"1,324,606","1,584,217","1,541,388",1695255.88
E09000033,Westminster,"4,879,444","4,178,657","5,456,880",5133979.944
E06000035,Medway,"292,937","304,823","324,869",351239.4221
E06000036,Bracknell Forest,"414,975","427,066","428,760",467907.5192
E06000037,West Berkshire,"362,722","370,519","392,981",419061.1968
E06000038,Reading,"395,798","394,553","408,103",537482.4231
E06000039,Slough,"414,177","420,985","428,446",458204.1494
E06000040,Windsor and Maidenhead,"499,861","552,922","554,776",609973.5613
E06000041,Wokingham,"410,816","437,152","449,870",494784.6651
E06000042,Milton Keynes,"288,683","300,389","312,349",332274.681
E06000043,Brighton and Hove,"468,523","484,064","535,303",622814.5526
E06000044,Portsmouth,"303,403","338,686","345,701",386102.3792
E06000045,Southampton,"257,753","268,814","284,379",316294.3289
E06000046,Isle of Wight,"222,216","237,472","263,758",298357.724
E06000060,Buckinghamshire,"410,025","425,324","457,921",503761.2925
E07000061,Eastbourne,"298,426","310,714","333,717",378269.2176
E07000062,Hastings,"273,775","296,747","346,330",360084.176
E07000063,Lewes,"350,537","364,864","388,671",431867.8115
E07000064,Rother,"304,942","326,030","351,963",399014.1511
E07000065,Wealden,"319,413","335,103","364,293",391483.5195
E07000084,Basingstoke and Deane,"341,252","351,194","364,086",406884.5189
E07000085,East Hampshire,"377,197","395,173","412,663",447586.3844
E07000086,Eastleigh,"307,111","309,855","331,144",362333.5073
E07000087,Fareham,"294,264","305,966","323,875",360860.8899
E07000088,Gosport,"256,931","273,005","285,502",308917.1369
E07000089,Hart,"403,798","416,774","444,387",478289.4855
E07000090,Havant,"289,348","306,006","329,182",353358.2781
E07000091,New Forest,"330,510","350,937","367,033",402040.2281
E07000092,Rushmoor,"345,370","360,519","371,735",409373.7734
E07000093,Test Valley,"305,639","308,509","334,156",375138.9852
E07000094,Winchester,"423,706","452,633","466,511",528702.219
E07000105,Ashford,"297,015","313,201","327,063",354434.4212
E07000106,Canterbury,"314,629","328,742","344,335",381520.0122
E07000107,Dartford,"374,654","386,856","404,618",442195.8486
E07000108,Dover,"266,340","280,889","304,241",325481.5066
E07000109,Gravesham,"336,535","356,732","377,472",412898.8386
E07000110,Maidstone,"329,292","343,928","364,554",405221.7439
E07000111,Sevenoaks,"438,599","463,341","494,900",558733.1505
E07000112,Folkestone and Hythe,"295,507","305,721","331,327",368566.2529
E07000113,Swale,"279,492","287,460","300,818",333033.1075
E07000114,Thanet,"277,200","294,277","325,005",370632.1891
E07000115,Tonbridge and Malling,"376,905","399,330","415,920",468013.9911
E07000116,Tunbridge Wells,"439,929","466,075","482,993",553884.6166
E07000177,Cherwell,"307,833","304,960","335,458",350228.7061
E07000178,Oxford,"538,604","602,774","618,547",647373
E07000179,South Oxfordshire,"392,533","414,088","440,754",460558.2819
E07000180,Vale of White Horse,"330,641","343,942","381,421",395154.7307
E07000181,West Oxfordshire,"350,548","364,180","369,443",408386.1902
E07000207,Elmbridge,"659,481","696,351","714,151",774959.6667
E07000208,Epsom and Ewell,"524,644","556,799","583,866",646716.4422
E07000209,Guildford,"457,063","485,621","508,015",541517.1042
E07000210,Mole Valley,"505,093","529,828","551,475",608194.7288
E07000211,Reigate and Banstead,"459,138","492,198","530,379",577646.7598
E07000212,Runnymede,"440,821","458,586","492,515",512648.0707
E07000213,Spelthorne,"437,569","459,303","491,713",518120.8559
E07000214,Surrey Heath,"412,831","428,698","434,480",481614.95
E07000215,Tandridge,"454,471","462,710","494,878",533439.9172
E07000216,Waverley,"472,244","496,907","520,901",582227.0135
E07000217,Woking,"449,894","456,599","493,741",537460.0515
E07000223,Adur,"352,021","370,521","397,635",453489.9298
E07000224,Arun,"300,541","315,134","338,178",385158.9592
E07000225,Chichester,"369,714","385,535","414,050",454551.1195
E07000226,Crawley,"343,321","348,893","365,515",396484.5991
E07000227,Horsham,"394,155","401,975","427,607",476212.2915
E07000228,Mid Sussex,"402,343","421,129","434,410",487873.528
E07000229,Worthing,"351,634","365,727","408,060",447362.2665
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
