Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_cars
E02000226,Croydon 033,349
E02000227,Croydon 034,942
E02000228,Croydon 035,334
E02000229,Croydon 036,744
E02000230,Croydon 037,1095
E02000231,Croydon 038,290
E02000232,Croydon 039,305
E02000233,Croydon 040,408
E02000234,Croydon 041,782
E02000235,Croydon 042,325
E02000236,Croydon 043,346
E02000237,Croydon 044,496
E02000238,Ealing 001,1050
E02000239,Ealing 002,619
E02000240,Ealing 003,1196
E02000241,Ealing 004,654
E02000242,Ealing 005,523
E02000243,Ealing 006,957
E02000244,Ealing 007,895
E02000245,Ealing 008,1192
E02000246,Ealing 009,842
E02000247,Ealing 010,1123
E02000248,Ealing 011,1045
E02000249,Ealing 012,944
E02000250,Ealing 013,577
E02000251,Ealing 014,555
E02000252,Ealing 015,2506
E02000253,Ealing 016,1460
E02000254,Ealing 017,631
E02000255,Ealing 018,1195
E02000256,Ealing 019,1684
E02000258,Ealing 021,986
E02000259,Ealing 022,672
E02000260,Ealing 023,1045
E02000261,Ealing 024,2645
E02000262,Ealing 025,2051
E02000263,Ealing 026,1433
E02000264,Ealing 027,1392
E02000265,Ealing 028,2234
E02000266,Ealing 029,1545
E02000267,Ealing 030,1149
E02000268,Ealing 031,1410
E02000269,Ealing 032,1082
E02000270,Ealing 033,2249
E02000271,Ealing 034,1031
E02000272,Ealing 035,630
E02000275,Ealing 038,853
E02000276,Ealing 039,995
E02000277,Enfield 001,728
E02000278,Enfield 002,1102
E02000279,Enfield 003,1396
E02000280,Enfield 004,850
E02000281,Enfield 005,963
E02000282,Enfield 006,1330
E02000283,Enfield 007,699
E02000284,Enfield 008,1005
E02000285,Enfield 009,387
E02000286,Enfield 010,974
E02000287,Enfield 011,511
E02000288,Enfield 012,1429
E02000289,Enfield 013,290
E02000290,Enfield 014,1039
E02000291,Enfield 015,1583
E02000292,Enfield 016,914
E02000293,Enfield 017,394
E02000294,Enfield 018,964
E02000295,Enfield 019,754
E02000296,Enfield 020,1312
E02000297,Enfield 021,627
E02000298,Enfield 022,490
E02000299,Enfield 023,1404
E02000300,Enfield 024,1146
E02000301,Enfield 025,1640
E02000302,Enfield 026,710
E02000303,Enfield 027,1272
E02000304,Enfield 028,452
E02000305,Enfield 029,991
E02000306,Enfield 030,1791
E02000307,Enfield 031,971
E02000308,Enfield 032,1126
E02000309,Enfield 033,1767
E02000311,Enfield 035,1121
E02000312,Enfield 036,1828
E02000313,Greenwich 001,1213
E02000314,Greenwich 002,1708
E02000315,Greenwich 003,1430
E02000317,Greenwich 005,1384
E02000318,Greenwich 006,1678
E02000319,Greenwich 007,1767
E02000320,Greenwich 008,946
E02000321,Greenwich 009,1460
E02000323,Greenwich 011,2650
E02000324,Greenwich 012,1264
E02000326,Greenwich 014,1169
E02000327,Greenwich 015,1276
E02000328,Greenwich 016,1245
E02000329,Greenwich 017,870
E02000331,Greenwich 019,1217
E02000332,Greenwich 020,870
