Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_cars
E02000937,Wandsworth 015,1143
E02000938,Wandsworth 016,1823
E02000939,Wandsworth 017,805
E02000940,Wandsworth 018,2319
E02000941,Wandsworth 019,1495
E02000942,Wandsworth 020,1249
E02000943,Wandsworth 021,1909
E02000944,Wandsworth 022,1351
E02000945,Wandsworth 023,1322
E02000946,Wandsworth 024,1287
E02000947,Wandsworth 025,1469
E02000948,Wandsworth 026,2091
E02000949,Wandsworth 027,1714
E02000950,Wandsworth 028,1206
E02000951,Wandsworth 029,1442
E02000952,Wandsworth 030,1340
E02000953,Wandsworth 031,1441
E02000954,Wandsworth 032,947
E02000955,Wandsworth 033,1334
E02000956,Wandsworth 034,1722
E02000957,Wandsworth 035,2326
E02000958,Wandsworth 036,1004
E02000959,Wandsworth 037,1421
E02000960,Westminster 001,1528
E02000961,Westminster 002,2254
E02000962,Westminster 003,2542
E02000963,Westminster 004,2338
E02000964,Westminster 005,3475
E02000965,Westminster 006,2224
E02000966,Westminster 007,2359
E02000967,Westminster 008,2090
E02000968,Westminster 009,3918
E02000969,Westminster 010,2415
E02000970,Westminster 011,2323
E02000971,Westminster 012,2711
E02000972,Westminster 013,3319
E02000973,Westminster 014,3161
E02000974,Westminster 015,2709
E02000975,Westminster 016,2751
E02000976,Westminster 017,3073
E02000977,Westminster 018,2607
E02000978,Westminster 019,1285
E02000979,Westminster 020,2725
E02000980,Westminster 021,3051
E02000981,Westminster 022,2720
E02000982,Westminster 023,2667
E02000983,Westminster 024,2547
E02003237,Peterborough 001,286
E02003238,Peterborough 002,419
E02003239,Peterborough 003,360
E02003240,Peterborough 004,186
E02003241,Peterborough 005,405
E02003242,Peterborough 006,742
E02003243,Peterborough 007,1350
E02003244,Peterborough 008,1024
E02003245,Peterborough 009,1044
E02003246,Peterborough 010,1145
E02003247,Peterborough 011,1011
E02003248,Peterborough 012,947
E02003249,Peterborough 013,1397
E02003250,Peterborough 014,2134
E02003251,Peterborough 015,378
E02003252,Peterborough 016,1247
E02003253,Peterborough 017,1247
E02003254,Peterborough 018,518
E02003255,Peterborough 019,896
E02003257,Peterborough 021,1170
E02003258,Luton 001,384
E02003259,Luton 002,441
E02003260,Luton 003,977
E02003261,Luton 004,397
E02003262,Luton 005,989
E02003263,Luton 006,839
E02003264,Luton 007,285
E02003265,Luton 008,586
E02003266,Luton 009,914
E02003267,Luton 010,692
E02003268,Luton 011,630
E02003269,Luton 012,785
E02003270,Luton 013,603
E02003271,Luton 014,528
E02003272,Luton 015,600
E02003273,Luton 016,829
E02003274,Luton 017,1385
E02003276,Luton 019,922
E02003277,Luton 020,1141
E02003278,Luton 021,2110
E02003279,Southend-on-Sea 001,591
E02003280,Southend-on-Sea 002,797
E02003281,Southend-on-Sea 003,725
E02003282,Southend-on-Sea 004,980
E02003283,Southend-on-Sea 005,872
E02003284,Southend-on-Sea 006,1047
E02003285,Southend-on-Sea 007,1311
E02003286,Southend-on-Sea 008,472
E02003287,Southend-on-Sea 009,914
E02003288,Southend-on-Sea 010,2420
E02003289,Southend-on-Sea 011,981
E02003290,Southend-on-Sea 012,1145
E02003291,Southend-on-Sea 013,1126
E02003292,Southend-on-Sea 014,2199
E02003293,Southend-on-Sea 015,2341
E02003294,Southend-on-Sea 016,611
E02003295,Southend-on-Sea 017,712
E02003296,Thurrock 001,229
E02003297,Thurrock 002,504
E02003298,Thurrock 003,452
E02003299,Thurrock 004,153
E02003300,Thurrock 005,502
E02003301,Thurrock 006,753
E02003302,Thurrock 007,965
E02003303,Thurrock 008,514
E02003304,Thurrock 009,663
E02003305,Thurrock 010,347
E02003307,Thurrock 012,872
E02003308,Thurrock 013,342
E02003309,Thurrock 014,480
E02003311,Thurrock 016,739
E02003312,Thurrock 017,1057
E02003313,Thurrock 018,1376
E02003314,Medway 001,353
E02003315,Medway 002,135
E02003316,Medway 003,451
E02003317,Medway 004,359
E02003318,Medway 005,225
E02003319,Medway 006,809
E02003320,Medway 007,817
E02003321,Medway 008,588
E02003322,Medway 009,967
E02003323,Medway 010,603
E02003324,Medway 011,595
E02003325,Medway 012,1166
E02003326,Medway 013,738
E02003327,Medway 014,991
E02003328,Medway 015,1719
E02003329,Medway 016,733
E02003330,Medway 017,569
E02003331,Medway 018,811
E02003332,Medway 019,407
E02003333,Medway 020,928
E02003334,Medway 021,533
E02003335,Medway 022,839
E02003336,Medway 023,348
E02003337,Medway 024,438
E02003338,Medway 025,658
E02003339,Medway 026,383
E02003340,Medway 027,689
E02003341,Medway 028,253
E02003342,Medway 029,380
E02003343,Medway 030,229
E02003344,Medway 031,466
E02003345,Medway 032,209
E02003346,Medway 033,440
E02003347,Medway 034,223
E02003348,Medway 035,256
E02003349,Medway 036,383
E02003350,Medway 037,392
E02003351,Medway 038,363
E02003352,Bracknell Forest 001,173
E02003353,Bracknell Forest 002,294
E02003354,Bracknell Forest 003,330
E02003355,Bracknell Forest 004,513
E02003356,Bracknell Forest 005,173
E02003357,Bracknell Forest 006,829
E02003358,Bracknell Forest 007,1064
E02003359,Bracknell Forest 008,272
E02003360,Bracknell Forest 009,460
E02003361,Bracknell Forest 010,443
E02003362,Bracknell Forest 011,377
E02003363,Bracknell Forest 012,266
E02003364,Bracknell Forest 013,162
E02003365,Bracknell Forest 014,218
E02003366,Bracknell Forest 015,198
E02003367,West Berkshire 001,151
E02003368,West Berkshire 002,260
E02003369,West Berkshire 003,200
E02003370,West Berkshire 004,203
E02003371,West Berkshire 005,235
E02003372,West Berkshire 006,394
E02003373,West Berkshire 007,145
E02003374,West Berkshire 008,290
E02003375,West Berkshire 009,333
E02003376,West Berkshire 010,403
E02003377,West Berkshire 011,268
E02003378,West Berkshire 012,716
E02003379,West Berkshire 013,442
E02003380,West Berkshire 014,280
E02003381,West Berkshire 015,189
E02003382,West Berkshire 016,585
E02003383,West Berkshire 017,278
E02003384,West Berkshire 018,195
E02003385,West Berkshire 019,1174
E02003386,West Berkshire 020,744
E02003387,West Berkshire 021,347
E02003388,West Berkshire 022,209
E02003389,Reading 001,373
E02003390,Reading 002,216
E02003391,Reading 003,560
E02003392,Reading 004,958
E02003393,Reading 005,496
E02003394,Reading 006,763
E02003395,Reading 007,1455
E02003396,Reading 008,1121
E02003397,Reading 009,782
E02003398,Reading 010,1632
E02003400,Reading 012,946
E02003401,Reading 013,1079
E02003402,Reading 014,1560
E02003403,Reading 015,956
E02003404,Reading 016,626
E02003405,Reading 017,1281
E02003406,Reading 018,660
E02003407,Slough 001,741
E02003408,Slough 002,741
E02003409,Slough 003,661
E02003410,Slough 004,646
E02003411,Slough 005,774
E02003412,Slough 006,466
E02003414,Slough 008,711
E02003415,Slough 009,1367
E02003416,Slough 010,412
E02003417,Slough 011,1265
E02003418,Slough 012,617
E02003419,Slough 013,592
E02003420,Slough 014,364
E02003421,Windsor and Maidenhead 001,173
E02003422,Windsor and Maidenhead 002,318
E02003423,Windsor and Maidenhead 003,337
E02003424,Windsor and Maidenhead 004,380
E02003425,Windsor and Maidenhead 005,1402
E02003426,Windsor and Maidenhead 006,328
E02003427,Windsor and Maidenhead 007,444
E02003428,Windsor and Maidenhead 008,392
E02003429,Windsor and Maidenhead 009,182
E02003430,Windsor and Maidenhead 010,544
E02003431,Windsor and Maidenhead 011,281
E02003432,Windsor and Maidenhead 012,658
E02003433,Windsor and Maidenhead 013,334
E02003434,Windsor and Maidenhead 014,736
E02003435,Windsor and Maidenhead 015,308
E02003436,Windsor and Maidenhead 016,302
E02003437,Windsor and Maidenhead 017,231
E02003438,Windsor and Maidenhead 018,385
E02003439,Wokingham 001,230
E02003440,Wokingham 002,336
E02003441,Wokingham 003,274
E02003442,Wokingham 004,233
E02003443,Wokingham 005,564
E02003444,Wokingham 006,353
E02003445,Wokingham 007,330
E02003446,Wokingham 008,239
E02003447,Wokingham 009,303
E02003448,Wokingham 010,195
E02003449,Wokingham 011,269
E02003450,Wokingham 012,453
E02003451,Wokingham 013,938
E02003452,Wokingham 014,243
E02003453,Wokingham 015,120
E02003454,Wokingham 016,355
E02003455,Wokingham 017,219
E02003456,Wokingham 018,235
E02003457,Wokingham 019,150
E02003458,Wokingham 020,197
E02003459,Milton Keynes 001,442
E02003460,Milton Keynes 002,376
E02003461,Milton Keynes 003,390
E02003462,Milton Keynes 004,463
E02003463,Milton Keynes 005,414
E02003464,Milton Keynes 006,566
E02003465,Milton Keynes 007,459
E02003466,Milton Keynes 008,615
E02003467,Milton Keynes 009,627
E02003468,Milton Keynes 010,577
E02003469,Milton Keynes 011,313
E02003470,Milton Keynes 012,622
E02003471,Milton Keynes 013,599
E02003472,Milton Keynes 014,1706
E02003473,Milton Keynes 015,349
E02003474,Milton Keynes 016,471
E02003476,Milton Keynes 018,973
E02003478,Milton Keynes 020,423
E02003479,Milton Keynes 021,747
E02003480,Milton Keynes 022,393
E02003481,Milton Keynes 023,1055
E02003482,Milton Keynes 024,332
E02003483,Milton Keynes 025,392
E02003484,Milton Keynes 026,457
E02003485,Milton Keynes 027,648
E02003486,Milton Keynes 028,374
E02003487,Milton Keynes 029,522
E02003488,Milton Keynes 030,811
E02003489,Milton Keynes 031,489
E02003490,Milton Keynes 032,858
E02003491,Brighton and Hove 001,547
E02003492,Brighton and Hove 002,659
E02003493,Brighton and Hove 003,559
E02003494,Brighton and Hove 004,426
E02003495,Brighton and Hove 005,531
E02003496,Brighton and Hove 006,780
E02003497,Brighton and Hove 007,310
E02003498,Brighton and Hove 008,1526
E02003499,Brighton and Hove 009,919
E02003500,Brighton and Hove 010,595
E02003501,Brighton and Hove 011,935
E02003502,Brighton and Hove 012,828
E02003503,Brighton and Hove 013,755
E02003504,Brighton and Hove 014,1480
E02003505,Brighton and Hove 015,1854
E02003506,Brighton and Hove 016,807
E02003507,Brighton and Hove 017,776
E02003508,Brighton and Hove 018,1174
E02003509,Brighton and Hove 019,2081
E02003510,Brighton and Hove 020,1632
E02003511,Brighton and Hove 021,926
E02003512,Brighton and Hove 022,1644
E02003513,Brighton and Hove 023,882
E02003514,Brighton and Hove 024,2864
E02003515,Brighton and Hove 025,1636
E02003516,Brighton and Hove 026,2438
E02003517,Brighton and Hove 027,3567
E02003518,Brighton and Hove 028,1778
E02003519,Brighton and Hove 029,2911
E02003520,Brighton and Hove 030,2868
E02003521,Brighton and Hove 031,2334
E02003522,Brighton and Hove 032,1549
E02003523,Brighton and Hove 033,890
E02003524,Portsmouth 001,857
E02003525,Portsmouth 002,912
E02003526,Portsmouth 003,432
E02003527,Portsmouth 004,499
E02003529,Portsmouth 006,576
E02003530,Portsmouth 007,769
E02003531,Portsmouth 008,510
E02003532,Portsmouth 009,844
E02003533,Portsmouth 010,788
E02003534,Portsmouth 011,819
E02003535,Portsmouth 012,1046
E02003536,Portsmouth 013,1759
E02003537,Portsmouth 014,810
E02003538,Portsmouth 015,1601
E02003540,Portsmouth 017,989
E02003541,Portsmouth 018,2203
E02003542,Portsmouth 019,1026
E02003543,Portsmouth 020,1273
E02003544,Portsmouth 021,732
E02003545,Portsmouth 022,1344
E02003546,Portsmouth 023,808
E02003547,Portsmouth 024,1525
E02003548,Portsmouth 025,818
E02003549,Southampton 001,404
E02003550,Southampton 002,613
E02003551,Southampton 003,674
E02003552,Southampton 004,716
E02003553,Southampton 005,682
E02003554,Southampton 006,522
E02003555,Southampton 007,783
E02003556,Southampton 008,362
E02003557,Southampton 009,727
E02003558,Southampton 010,1067
E02003559,Southampton 011,484
E02003560,Southampton 012,929
E02003561,Southampton 013,1082
E02003562,Southampton 014,723
E02003563,Southampton 015,1123
E02003564,Southampton 016,795
E02003565,Southampton 017,1031
E02003566,Southampton 018,563
E02003567,Southampton 019,651
E02003568,Southampton 020,1092
E02003569,Southampton 021,1225
E02003570,Southampton 022,1989
E02003571,Southampton 023,1492
E02003572,Southampton 024,391
E02003573,Southampton 025,916
E02003574,Southampton 026,611
E02003575,Southampton 027,862
E02003576,Southampton 028,823
E02003578,Southampton 030,440
E02003579,Southampton 031,816
E02003580,Southampton 032,828
E02003581,Isle of Wight 001,827
E02003582,Isle of Wight 002,443
E02003583,Isle of Wight 003,602
E02003584,Isle of Wight 004,1268
E02003585,Isle of Wight 005,464
E02003586,Isle of Wight 006,702
E02003587,Isle of Wight 007,1015
E02003588,Isle of Wight 008,760
E02003589,Isle of Wight 009,1109
E02003590,Isle of Wight 010,464
E02003591,Isle of Wight 011,766
E02003592,Isle of Wight 012,889
E02003593,Isle of Wight 013,251
E02003594,Isle of Wight 014,918
E02003595,Isle of Wight 015,572
E02003596,Isle of Wight 016,1276
E02003597,Isle of Wight 017,285
E02003598,Isle of Wight 018,838
E02003599,Central Bedfordshire 001,306
E02003600,Central Bedfordshire 002,325
E02003601,Central Bedfordshire 003,262
E02003602,Central Bedfordshire 004,213
E02003603,Central Bedfordshire 005,838
E02003604,Central Bedfordshire 006,421
E02003605,Central Bedfordshire 007,353
E02003606,Central Bedfordshire 008,278
E02003607,Central Bedfordshire 009,359
E02003608,Central Bedfordshire 010,482
E02003609,Central Bedfordshire 011,383
E02003610,Central Bedfordshire 012,377
E02003611,Central Bedfordshire 013,267
E02003612,Central Bedfordshire 014,363
E02003613,Central Bedfordshire 015,352
E02003614,Central Bedfordshire 016,281
E02003615,Central Bedfordshire 017,262
E02003616,Bedford 001,147
E02003617,Bedford 002,284
E02003618,Bedford 003,379
E02003619,Bedford 004,342
E02003620,Bedford 005,596
E02003621,Bedford 006,402
E02003622,Bedford 007,880
E02003623,Bedford 008,361
E02003624,Bedford 009,635
E02003625,Bedford 010,1619
E02003626,Bedford 011,338
E02003627,Bedford 012,1849
E02003628,Bedford 013,832
E02003629,Bedford 014,1154
E02003630,Bedford 015,1295
E02003631,Bedford 016,460
E02003632,Bedford 017,495
E02003633,Bedford 018,609
E02003635,Bedford 020,365
E02003636,Central Bedfordshire 018,295
E02003637,Central Bedfordshire 019,327
E02003638,Central Bedfordshire 020,258
E02003639,Central Bedfordshire 021,973
E02003640,Central Bedfordshire 022,374
E02003641,Central Bedfordshire 023,208
E02003642,Central Bedfordshire 025,652
E02003643,Central Bedfordshire 024,534
E02003644,Central Bedfordshire 026,576
E02003645,Central Bedfordshire 027,334
E02003646,Central Bedfordshire 028,583
E02003647,Central Bedfordshire 029,1003
E02003648,Central Bedfordshire 030,502
E02003649,Central Bedfordshire 031,330
E02003650,Central Bedfordshire 032,227
E02003651,Central Bedfordshire 033,308
E02003652,Buckinghamshire 001,356
E02003653,Buckinghamshire 002,487
E02003654,Buckinghamshire 003,118
E02003655,Buckinghamshire 004,231
E02003656,Buckinghamshire 005,290
E02003657,Buckinghamshire 006,170
E02003658,Buckinghamshire 007,290
E02003659,Buckinghamshire 009,322
E02003660,Buckinghamshire 008,273
E02003661,Buckinghamshire 010,110
E02003662,Buckinghamshire 012,451
E02003663,Buckinghamshire 011,615
E02003664,Buckinghamshire 013,643
E02003665,Buckinghamshire 014,402
E02003666,Buckinghamshire 015,1039
E02003667,Buckinghamshire 016,442
E02003668,Buckinghamshire 018,415
E02003669,Buckinghamshire 017,656
E02003670,Buckinghamshire 019,558
E02003671,Buckinghamshire 020,401
E02003672,Buckinghamshire 021,319
E02003673,Buckinghamshire 022,342
E02003674,Buckinghamshire 023,162
E02003675,Buckinghamshire 024,389
E02003676,Buckinghamshire 029,150
E02003677,Buckinghamshire 027,638
E02003678,Buckinghamshire 028,256
E02003679,Buckinghamshire 030,680
E02003680,Buckinghamshire 031,314
E02003681,Buckinghamshire 032,533
E02003682,Buckinghamshire 034,312
E02003683,Buckinghamshire 035,283
E02003685,Buckinghamshire 047,203
E02003686,Buckinghamshire 050,247
E02003687,Buckinghamshire 054,186
E02003688,Buckinghamshire 053,554
E02003689,Buckinghamshire 058,231
E02003690,Buckinghamshire 059,518
E02003691,Buckinghamshire 063,219
E02003692,Buckinghamshire 064,279
E02003693,Buckinghamshire 065,183
E02003694,Buckinghamshire 066,486
E02003695,Buckinghamshire 067,358
E02003696,Buckinghamshire 026,597
E02003697,Buckinghamshire 025,101
E02003698,Buckinghamshire 033,175
E02003699,Buckinghamshire 037,183
E02003701,Buckinghamshire 038,665
E02003702,Buckinghamshire 040,160
E02003703,Buckinghamshire 041,550
E02003704,Buckinghamshire 045,128
E02003705,Buckinghamshire 042,414
E02003706,Buckinghamshire 043,416
E02003707,Buckinghamshire 044,353
E02003708,Buckinghamshire 046,735
E02003709,Buckinghamshire 048,423
E02003710,Buckinghamshire 049,917
E02003711,Buckinghamshire 051,617
E02003712,Buckinghamshire 052,513
E02003713,Buckinghamshire 055,218
E02003714,Buckinghamshire 056,266
E02003715,Buckinghamshire 057,144
E02003716,Buckinghamshire 060,288
E02003717,Buckinghamshire 062,465
E02003718,Buckinghamshire 061,275
E02003719,Cambridge 001,1383
E02003720,Cambridge 002,1334
E02003721,Cambridge 003,1343
E02003722,Cambridge 004,1323
E02003723,Cambridge 005,1179
E02003724,Cambridge 006,1420
E02003725,Cambridge 007,1505
E02003726,Cambridge 008,1586
E02003727,Cambridge 009,1530
E02003728,Cambridge 010,1424
E02003729,Cambridge 011,917
E02003731,Cambridge 013,1080
E02003732,East Cambridgeshire 001,559
E02003733,East Cambridgeshire 002,256
E02003734,East Cambridgeshire 003,953
E02003735,East Cambridgeshire 004,781
E02003736,East Cambridgeshire 005,357
E02003737,East Cambridgeshire 006,688
E02003738,East Cambridgeshire 007,187
E02003739,East Cambridgeshire 008,288
E02003740,East Cambridgeshire 009,195
E02003742,Fenland 001,292
E02003743,Fenland 002,1087
E02003744,Fenland 003,1599
E02003745,Fenland 004,423
E02003746,Fenland 005,437
E02003747,Fenland 006,821
E02003748,Fenland 007,754
E02003749,Fenland 008,183
E02003750,Fenland 009,536
E02003751,Fenland 010,273
E02003752,Fenland 011,622
E02003753,Huntingdonshire 001,553
E02003754,Huntingdonshire 002,173
E02003755,Huntingdonshire 003,470
E02003756,Huntingdonshire 004,329
E02003757,Huntingdonshire 005,285
E02003758,Huntingdonshire 006,243
E02003759,Huntingdonshire 007,141
E02003760,Huntingdonshire 008,957
E02003761,Huntingdonshire 009,330
E02003762,Huntingdonshire 010,468
E02003763,Huntingdonshire 011,544
E02003764,Huntingdonshire 012,1091
E02003765,Huntingdonshire 013,680
E02003766,Huntingdonshire 014,568
E02003767,Huntingdonshire 015,156
E02003768,Huntingdonshire 016,349
E02003769,Huntingdonshire 017,208
E02003770,Huntingdonshire 018,367
E02003771,Huntingdonshire 019,653
E02003772,Huntingdonshire 020,330
E02003773,Huntingdonshire 021,719
E02003774,Huntingdonshire 022,431
E02003775,South Cambridgeshire 001,261
E02003776,South Cambridgeshire 002,321
E02003777,South Cambridgeshire 003,345
E02003778,South Cambridgeshire 004,388
E02003780,South Cambridgeshire 006,824
E02003781,South Cambridgeshire 007,422
E02003784,South Cambridgeshire 010,266
E02003785,South Cambridgeshire 011,614
E02003786,South Cambridgeshire 012,400
E02003787,South Cambridgeshire 013,280
E02003788,South Cambridgeshire 014,287
E02003789,South Cambridgeshire 015,485
E02003790,South Cambridgeshire 016,378
E02003791,South Cambridgeshire 017,277
E02003792,South Cambridgeshire 018,396
E02003793,South Cambridgeshire 019,188
E02004356,Eastbourne 001,550
E02004357,Eastbourne 002,628
E02004358,Eastbourne 003,815
E02004359,Eastbourne 004,830
E02004361,Eastbourne 006,548
E02004362,Eastbourne 007,847
E02004363,Eastbourne 008,955
E02004364,Eastbourne 009,1069
E02004365,Eastbourne 010,1953
E02004366,Eastbourne 011,1768
E02004367,Eastbourne 012,841
E02004368,Hastings 001,454
E02004369,Hastings 002,710
E02004370,Hastings 003,999
E02004371,Hastings 004,659
E02004372,Hastings 005,1049
E02004373,Hastings 006,881
E02004374,Hastings 007,950
E02004375,Hastings 008,1287
E02004376,Hastings 009,1675
E02004377,Hastings 010,823
E02004378,Hastings 011,2314
E02004379,Lewes 001,193
E02004380,Lewes 002,317
E02004381,Lewes 003,1287
E02004382,Lewes 004,406
E02004383,Lewes 005,666
E02004384,Lewes 006,546
E02004385,Lewes 007,709
E02004386,Lewes 008,695
E02004387,Lewes 009,588
E02004388,Lewes 010,670
E02004389,Lewes 011,545
E02004390,Lewes 012,554
E02004391,Lewes 013,1036
E02004392,Rother 001,297
E02004393,Rother 002,310
E02004394,Rother 003,231
E02004395,Rother 004,686
E02004396,Rother 005,351
E02004397,Rother 006,430
E02004398,Rother 007,952
E02004399,Rother 008,649
E02004400,Rother 009,501
E02004401,Rother 010,700
E02004402,Rother 011,1635
E02004403,Wealden 001,234
E02004404,Wealden 002,138
E02004405,Wealden 003,296
E02004406,Wealden 004,294
E02004407,Wealden 005,272
E02004408,Wealden 006,355
E02004409,Wealden 007,110
E02004410,Wealden 008,214
E02004411,Wealden 009,543
E02004412,Wealden 010,377
E02004413,Wealden 011,222
E02004414,Wealden 012,303
E02004415,Wealden 013,140
E02004416,Wealden 014,155
E02004417,Wealden 015,449
E02004418,Wealden 016,396
E02004419,Wealden 017,540
E02004420,Wealden 018,501
E02004421,Wealden 019,726
E02004422,Wealden 020,469
E02004423,Wealden 021,488
E02004424,Basildon 001,171
E02004425,Basildon 002,428
E02004426,Basildon 003,399
E02004427,Basildon 004,472
E02004428,Basildon 005,507
E02004429,Basildon 006,384
E02004430,Basildon 007,274
E02004431,Basildon 008,467
E02004432,Basildon 009,199
E02004433,Basildon 010,558
E02004434,Basildon 011,602
E02004435,Basildon 012,823
E02004436,Basildon 013,977
E02004437,Basildon 014,819
E02004438,Basildon 015,1257
E02004439,Basildon 016,1110
E02004440,Basildon 017,944
E02004441,Basildon 018,837
E02004442,Basildon 019,958
E02004443,Basildon 020,1017
E02004444,Basildon 021,349
E02004445,Basildon 022,750
E02004446,Braintree 001,187
E02004447,Braintree 002,152
E02004448,Braintree 003,290
E02004449,Braintree 004,719
E02004450,Braintree 005,184
E02004451,Braintree 006,421
E02004452,Braintree 007,360
E02004453,Braintree 008,684
E02004454,Braintree 009,971
E02004455,Braintree 010,224
E02004456,Braintree 011,764
E02004457,Braintree 012,500
E02004458,Braintree 013,368
E02004459,Braintree 014,541
E02004460,Braintree 015,655
E02004461,Braintree 016,441
E02004462,Braintree 017,1088
E02004463,Braintree 018,386
E02004464,Brentwood 001,232
E02004465,Brentwood 002,354
E02004466,Brentwood 003,495
E02004467,Brentwood 004,506
E02004468,Brentwood 005,416
E02004469,Brentwood 006,281
E02004470,Brentwood 007,1375
E02004471,Brentwood 008,581
E02004472,Brentwood 009,201
E02004473,Castle Point 001,409
E02004474,Castle Point 002,382
E02004475,Castle Point 003,320
E02004476,Castle Point 004,314
E02004477,Castle Point 005,296
E02004478,Castle Point 006,540
E02004479,Castle Point 007,446
E02004480,Castle Point 008,358
E02004481,Castle Point 009,636
E02004482,Castle Point 010,684
E02004483,Castle Point 011,563
E02004484,Castle Point 012,646
E02004485,Chelmsford 001,402
E02004486,Chelmsford 002,466
E02004487,Chelmsford 003,497
E02004488,Chelmsford 004,509
E02004489,Chelmsford 005,284
E02004490,Chelmsford 006,934
E02004491,Chelmsford 007,305
E02004492,Chelmsford 008,521
E02004493,Chelmsford 009,859
E02004495,Chelmsford 011,444
E02004496,Chelmsford 012,416
E02004497,Chelmsford 013,449
E02004498,Chelmsford 014,830
E02004499,Chelmsford 015,307
E02004500,Chelmsford 016,296
E02004501,Chelmsford 017,462
E02004502,Chelmsford 018,239
E02004503,Chelmsford 019,305
E02004504,Chelmsford 020,343
E02004505,Chelmsford 021,253
E02004506,Colchester 001,216
E02004507,Colchester 002,738
E02004508,Colchester 003,248
E02004512,Colchester 007,1904
E02004513,Colchester 008,1745
E02004514,Colchester 009,358
E02004515,Colchester 010,293
E02004516,Colchester 011,1624
E02004517,Colchester 012,577
E02004518,Colchester 013,552
E02004519,Colchester 014,434
E02004520,Colchester 015,564
E02004521,Colchester 016,892
E02004522,Colchester 017,552
E02004523,Colchester 018,734
E02004524,Colchester 019,186
E02004525,Colchester 020,432
E02004526,Colchester 021,434
E02004527,Epping Forest 001,383
E02004528,Epping Forest 002,256
E02004529,Epping Forest 003,145
E02004530,Epping Forest 004,367
E02004531,Epping Forest 005,459
E02004532,Epping Forest 006,397
E02004533,Epping Forest 007,570
E02004534,Epping Forest 008,535
E02004535,Epping Forest 009,473
E02004536,Epping Forest 010,257
E02004537,Epping Forest 011,1001
E02004538,Epping Forest 012,455
E02004539,Epping Forest 013,630
E02004540,Epping Forest 014,319
E02004541,Epping Forest 015,762
E02004542,Epping Forest 016,200
E02004543,Epping Forest 017,434
E02004544,Harlow 001,551
E02004545,Harlow 002,869
E02004546,Harlow 003,988
E02004547,Harlow 004,1042
E02004548,Harlow 005,255
E02004549,Harlow 006,763
E02004550,Harlow 007,1304
E02004551,Harlow 008,727
E02004552,Harlow 009,459
E02004553,Harlow 010,646
E02004554,Harlow 011,614
E02004555,Maldon 001,187
E02004556,Maldon 002,185
E02004557,Maldon 003,401
E02004558,Maldon 004,745
E02004559,Maldon 005,420
E02004560,Maldon 006,361
E02004561,Maldon 007,272
E02004562,Maldon 008,576
E02004563,Rochford 001,335
E02004564,Rochford 002,312
E02004566,Rochford 004,481
E02004567,Rochford 005,345
E02004568,Rochford 006,451
E02004569,Rochford 007,556
E02004570,Rochford 008,709
E02004571,Rochford 009,352
E02004572,Rochford 010,370
E02004573,Tendring 001,979
E02004574,Tendring 002,822
E02004575,Tendring 003,634
E02004576,Tendring 004,481
E02004577,Tendring 005,197
E02004578,Tendring 006,881
E02004579,Tendring 007,368
E02004580,Tendring 008,969
E02004581,Tendring 009,297
E02004582,Tendring 010,576
E02004583,Tendring 011,591
E02004584,Tendring 012,607
E02004585,Tendring 013,604
E02004586,Tendring 014,998
E02004587,Tendring 015,899
E02004588,Tendring 016,1653
E02004589,Tendring 017,830
E02004590,Tendring 018,1200
E02004591,Uttlesford 001,222
E02004592,Uttlesford 002,955
E02004593,Uttlesford 003,242
E02004594,Uttlesford 004,214
E02004595,Uttlesford 005,424
E02004596,Uttlesford 006,288
E02004597,Uttlesford 007,436
E02004598,Uttlesford 008,280
E02004599,Uttlesford 009,173
E02004675,Basingstoke and Deane 001,364
E02004676,Basingstoke and Deane 002,304
E02004677,Basingstoke and Deane 003,155
E02004678,Basingstoke and Deane 004,286
E02004679,Basingstoke and Deane 005,326
E02004680,Basingstoke and Deane 006,226
E02004681,Basingstoke and Deane 007,1149
E02004682,Basingstoke and Deane 008,463
E02004683,Basingstoke and Deane 009,856
E02004684,Basingstoke and Deane 010,782
E02004685,Basingstoke and Deane 011,1183
E02004686,Basingstoke and Deane 012,1085
E02004687,Basingstoke and Deane 013,483
E02004688,Basingstoke and Deane 014,899
E02004689,Basingstoke and Deane 015,180
E02004690,Basingstoke and Deane 016,356
E02004691,Basingstoke and Deane 017,277
E02004692,Basingstoke and Deane 018,266
E02004693,Basingstoke and Deane 019,631
E02004694,Basingstoke and Deane 020,345
E02004695,Basingstoke and Deane 021,154
E02004696,Basingstoke and Deane 022,323
E02004697,East Hampshire 001,140
E02004698,East Hampshire 002,744
E02004699,East Hampshire 003,506
E02004700,East Hampshire 004,251
E02004702,East Hampshire 006,307
E02004703,East Hampshire 007,216
E02004704,East Hampshire 008,167
E02004705,East Hampshire 009,391
E02004706,East Hampshire 010,253
E02004707,East Hampshire 011,388
E02004708,East Hampshire 012,831
E02004709,East Hampshire 013,250
E02004710,East Hampshire 014,217
E02004712,Eastleigh 001,243
E02004713,Eastleigh 002,336
E02004714,Eastleigh 003,406
E02004715,Eastleigh 004,621
E02004716,Eastleigh 005,426
E02004717,Eastleigh 006,921
E02004718,Eastleigh 007,959
E02004719,Eastleigh 008,354
E02004720,Eastleigh 009,501
E02004721,Eastleigh 010,221
E02004722,Eastleigh 011,437
E02004723,Eastleigh 012,340
E02004724,Eastleigh 013,334
