Middle layer Super Output Areas Code,Middle layer Super Output Areas,Flats
E02000227,Croydon 034,1342
E02000228,Croydon 035,388
E02000229,Croydon 036,556
E02000230,Croydon 037,1471
E02000231,Croydon 038,331
E02000232,Croydon 039,144
E02000233,Croydon 040,488
E02000234,Croydon 041,883
E02000235,Croydon 042,431
E02000236,Croydon 043,138
E02000237,Croydon 044,318
E02000238,Ealing 001,1121
E02000239,Ealing 002,292
E02000240,Ealing 003,1601
E02000241,Ealing 004,621
E02000242,Ealing 005,239
E02000243,Ealing 006,877
E02000244,Ealing 007,721
E02000245,Ealing 008,1972
E02000246,Ealing 009,1285
E02000247,Ealing 010,2075
E02000248,Ealing 011,1361
E02000249,Ealing 012,1036
E02000250,Ealing 013,661
E02000251,Ealing 014,279
E02000252,Ealing 015,2357
E02000253,Ealing 016,1536
E02000254,Ealing 017,207
E02000255,Ealing 018,1566
E02000256,Ealing 019,1704
E02000258,Ealing 021,592
E02000259,Ealing 022,509
E02000260,Ealing 023,654
E02000261,Ealing 024,2669
E02000262,Ealing 025,1573
E02000263,Ealing 026,646
E02000264,Ealing 027,1042
E02000265,Ealing 028,1867
E02000266,Ealing 029,2052
E02000267,Ealing 030,817
E02000268,Ealing 031,917
E02000269,Ealing 032,575
E02000270,Ealing 033,2872
E02000271,Ealing 034,592
E02000272,Ealing 035,349
E02000275,Ealing 038,763
E02000276,Ealing 039,684
E02000277,Enfield 001,551
E02000278,Enfield 002,1175
E02000279,Enfield 003,1634
E02000280,Enfield 004,863
E02000281,Enfield 005,1310
E02000282,Enfield 006,1666
E02000283,Enfield 007,254
E02000284,Enfield 008,1173
E02000285,Enfield 009,178
E02000286,Enfield 010,2096
E02000287,Enfield 011,939
E02000288,Enfield 012,1130
E02000289,Enfield 013,166
E02000290,Enfield 014,1353
E02000291,Enfield 015,2457
E02000292,Enfield 016,347
E02000293,Enfield 017,564
E02000294,Enfield 018,485
E02000295,Enfield 019,1235
E02000296,Enfield 020,2148
E02000297,Enfield 021,473
E02000298,Enfield 022,392
E02000299,Enfield 023,697
E02000300,Enfield 024,680
E02000301,Enfield 025,1489
E02000302,Enfield 026,524
E02000303,Enfield 027,1029
E02000304,Enfield 028,424
E02000305,Enfield 029,707
E02000306,Enfield 030,2236
E02000307,Enfield 031,169
E02000308,Enfield 032,1169
E02000309,Enfield 033,1052
E02000311,Enfield 035,933
E02000312,Enfield 036,1267
E02000313,Greenwich 001,1394
E02000314,Greenwich 002,1754
E02000315,Greenwich 003,1397
E02000317,Greenwich 005,1598
E02000318,Greenwich 006,594
E02000319,Greenwich 007,1496
E02000320,Greenwich 008,754
E02000321,Greenwich 009,1514
E02000323,Greenwich 011,2643
E02000324,Greenwich 012,1232
E02000326,Greenwich 014,898
E02000327,Greenwich 015,1212
E02000328,Greenwich 016,1262
E02000329,Greenwich 017,313
E02000331,Greenwich 019,1265
E02000332,Greenwich 020,614
E02000333,Greenwich 021,851
E02000334,Greenwich 022,296
E02000335,Greenwich 023,247
E02000337,Greenwich 025,403
E02000339,Greenwich 027,621
E02000340,Greenwich 028,1290
E02000341,Greenwich 029,890
E02000342,Greenwich 030,829
E02000343,Greenwich 031,684
E02000344,Greenwich 032,352
E02000345,Hackney 001,1039
E02000346,Hackney 002,3661
E02000347,Hackney 003,1244
E02000348,Hackney 004,1942
E02000350,Hackney 006,1167
E02000351,Hackney 007,1892
E02000352,Hackney 008,1569
E02000353,Hackney 009,866
E02000354,Hackney 010,2141
E02000355,Hackney 011,651
E02000356,Hackney 012,1115
E02000357,Hackney 013,2167
E02000358,Hackney 014,2486
E02000359,Hackney 015,603
E02000360,Hackney 016,3476
E02000361,Hackney 017,2000
E02000362,Hackney 018,1539
E02000363,Hackney 019,3742
E02000364,Hackney 020,1720
E02000366,Hackney 022,1614
E02000367,Hackney 023,2829
E02000368,Hackney 024,3216
E02000369,Hackney 025,5086
E02000370,Hackney 026,3410
E02000372,Hammersmith and Fulham 001,1674
E02000373,Hammersmith and Fulham 002,2099
E02000374,Hammersmith and Fulham 003,944
E02000375,Hammersmith and Fulham 004,1951
E02000376,Hammersmith and Fulham 005,1174
E02000377,Hammersmith and Fulham 006,1413
E02000378,Hammersmith and Fulham 007,1696
E02000379,Hammersmith and Fulham 008,1584
E02000380,Hammersmith and Fulham 009,589
E02000381,Hammersmith and Fulham 010,1350
E02000382,Hammersmith and Fulham 011,1369
E02000383,Hammersmith and Fulham 012,2784
E02000384,Hammersmith and Fulham 013,2412
E02000385,Hammersmith and Fulham 014,1464
E02000386,Hammersmith and Fulham 015,2042
E02000387,Hammersmith and Fulham 016,1463
E02000388,Hammersmith and Fulham 017,2077
E02000389,Hammersmith and Fulham 018,1369
E02000390,Hammersmith and Fulham 019,898
E02000391,Hammersmith and Fulham 020,1110
E02000392,Hammersmith and Fulham 021,1654
E02000393,Hammersmith and Fulham 022,650
E02000394,Hammersmith and Fulham 023,2804
E02000395,Hammersmith and Fulham 024,1360
E02000396,Hammersmith and Fulham 025,1142
E02000397,Haringey 001,1453
E02000398,Haringey 002,1455
E02000400,Haringey 004,1409
E02000401,Haringey 005,511
E02000402,Haringey 006,733
E02000403,Haringey 007,872
E02000404,Haringey 008,1020
E02000405,Haringey 009,410
E02000406,Haringey 010,447
E02000407,Haringey 011,1008
E02000408,Haringey 012,1493
E02000409,Haringey 013,1156
E02000410,Haringey 014,712
E02000411,Haringey 015,2197
E02000412,Haringey 016,1352
E02000413,Haringey 017,760
E02000414,Haringey 018,382
E02000415,Haringey 019,664
E02000416,Haringey 020,2167
E02000417,Haringey 021,813
E02000418,Haringey 022,432
E02000419,Haringey 023,1079
E02000420,Haringey 024,1367
E02000421,Haringey 025,1565
E02000422,Haringey 026,1165
E02000423,Haringey 027,739
E02000424,Haringey 028,635
E02000425,Haringey 029,436
E02000426,Haringey 030,1060
E02000427,Haringey 031,568
E02000428,Haringey 032,1467
E02000429,Haringey 033,1444
E02000430,Haringey 034,850
E02000431,Haringey 035,854
E02000432,Haringey 036,650
E02000433,Harrow 001,1745
E02000434,Harrow 002,1434
E02000435,Harrow 003,739
E02000436,Harrow 004,192
E02000437,Harrow 005,594
E02000438,Harrow 006,813
E02000439,Harrow 007,746
E02000440,Harrow 008,246
E02000441,Harrow 009,1044
E02000442,Harrow 010,210
E02000443,Harrow 011,853
E02000444,Harrow 012,418
E02000445,Harrow 013,1225
E02000447,Harrow 015,394
E02000448,Harrow 016,815
E02000449,Harrow 017,357
E02000451,Harrow 019,262
E02000452,Harrow 020,1239
E02000453,Harrow 021,832
E02000454,Harrow 022,230
E02000455,Harrow 023,3119
E02000456,Harrow 024,493
E02000457,Harrow 025,613
E02000459,Harrow 027,1583
E02000460,Harrow 028,802
E02000461,Harrow 029,1123
E02000462,Harrow 030,417
E02000463,Harrow 031,412
E02000464,Havering 001,406
E02000465,Havering 002,728
E02000466,Havering 003,749
E02000467,Havering 004,1370
E02000468,Havering 005,266
E02000469,Havering 006,636
E02000470,Havering 007,912
E02000471,Havering 008,88
E02000472,Havering 009,381
E02000473,Havering 010,716
E02000474,Havering 011,772
E02000475,Havering 012,1278
E02000476,Havering 013,2318
E02000477,Havering 014,283
E02000478,Havering 015,221
E02000479,Havering 016,1099
E02000480,Havering 017,1987
E02000481,Havering 018,434
E02000482,Havering 019,171
E02000483,Havering 020,1172
E02000484,Havering 021,265
E02000485,Havering 022,652
E02000486,Havering 023,360
E02000487,Havering 024,46
E02000488,Havering 025,146
E02000489,Havering 026,524
E02000490,Havering 027,347
E02000491,Havering 028,1121
E02000492,Havering 029,154
E02000493,Havering 030,498
E02000494,Hillingdon 001,872
E02000495,Hillingdon 002,1549
E02000496,Hillingdon 003,602
E02000497,Hillingdon 004,913
E02000498,Hillingdon 005,602
E02000499,Hillingdon 006,496
E02000500,Hillingdon 007,720
E02000501,Hillingdon 008,421
E02000502,Hillingdon 009,1125
E02000503,Hillingdon 010,191
E02000504,Hillingdon 011,267
E02000506,Hillingdon 013,447
E02000507,Hillingdon 014,254
E02000508,Hillingdon 015,1998
E02000509,Hillingdon 016,1279
E02000510,Hillingdon 017,487
E02000511,Hillingdon 018,578
E02000512,Hillingdon 019,678
E02000513,Hillingdon 020,1361
E02000514,Hillingdon 021,258
E02000515,Hillingdon 022,2630
E02000516,Hillingdon 023,455
E02000517,Hillingdon 024,812
E02000518,Hillingdon 025,617
E02000519,Hillingdon 026,796
E02000520,Hillingdon 027,1530
E02000521,Hillingdon 028,1399
E02000522,Hillingdon 029,1167
E02000523,Hillingdon 030,1085
E02000524,Hillingdon 031,658
E02000525,Hillingdon 032,1230
E02000526,Hounslow 001,872
E02000529,Hounslow 004,1138
E02000530,Hounslow 005,1251
E02000531,Hounslow 006,2258
E02000532,Hounslow 007,1409
E02000533,Hounslow 008,1500
E02000534,Hounslow 009,979
E02000535,Hounslow 010,551
E02000536,Hounslow 011,781
E02000537,Hounslow 012,707
E02000538,Hounslow 013,691
E02000539,Hounslow 014,1953
E02000540,Hounslow 015,2200
