Middle layer Super Output Areas Code,Middle layer Super Output Areas,Flats
E02000942,Wandsworth 020,805
E02000943,Wandsworth 021,1432
E02000944,Wandsworth 022,2207
E02000945,Wandsworth 023,1982
E02000946,Wandsworth 024,1397
E02000947,Wandsworth 025,1312
E02000948,Wandsworth 026,1529
E02000949,Wandsworth 027,1268
E02000950,Wandsworth 028,2172
E02000951,Wandsworth 029,990
E02000952,Wandsworth 030,695
E02000953,Wandsworth 031,1580
E02000954,Wandsworth 032,316
E02000955,Wandsworth 033,359
E02000956,Wandsworth 034,1180
E02000957,Wandsworth 035,1702
E02000958,Wandsworth 036,637
E02000959,Wandsworth 037,1154
E02000960,Westminster 001,2188
E02000961,Westminster 002,2562
E02000962,Westminster 003,3432
E02000963,Westminster 004,1590
E02000964,Westminster 005,2563
E02000965,Westminster 006,2286
E02000966,Westminster 007,1956
E02000967,Westminster 008,2468
E02000968,Westminster 009,5030
E02000969,Westminster 010,3338
E02000970,Westminster 011,2407
E02000971,Westminster 012,2680
E02000972,Westminster 013,3425
E02000973,Westminster 014,2475
E02000974,Westminster 015,2980
E02000975,Westminster 016,2426
E02000976,Westminster 017,3197
E02000977,Westminster 018,2658
E02000978,Westminster 019,1223
E02000979,Westminster 020,3422
E02000980,Westminster 021,3922
E02000981,Westminster 022,1883
E02000982,Westminster 023,3246
E02000983,Westminster 024,3157
E02003237,Peterborough 001,74
E02003238,Peterborough 002,334
E02003239,Peterborough 003,57
E02003240,Peterborough 004,41
E02003241,Peterborough 005,86
E02003242,Peterborough 006,353
E02003243,Peterborough 007,906
E02003244,Peterborough 008,432
E02003245,Peterborough 009,559
E02003246,Peterborough 010,417
E02003247,Peterborough 011,728
E02003248,Peterborough 012,447
E02003249,Peterborough 013,1035
E02003250,Peterborough 014,1749
E02003251,Peterborough 015,182
E02003252,Peterborough 016,1069
E02003253,Peterborough 017,1179
E02003254,Peterborough 018,204
E02003255,Peterborough 019,327
E02003257,Peterborough 021,835
E02003258,Luton 001,212
E02003259,Luton 002,433
E02003260,Luton 003,1015
E02003261,Luton 004,231
E02003262,Luton 005,1014
E02003263,Luton 006,609
E02003264,Luton 007,61
E02003265,Luton 008,519
E02003266,Luton 009,505
E02003267,Luton 010,381
E02003268,Luton 011,398
E02003269,Luton 012,702
E02003270,Luton 013,201
E02003271,Luton 014,360
E02003272,Luton 015,380
E02003273,Luton 016,535
E02003274,Luton 017,888
E02003276,Luton 019,502
E02003277,Luton 020,891
E02003278,Luton 021,2163
E02003279,Southend-on-Sea 001,332
E02003280,Southend-on-Sea 002,587
E02003281,Southend-on-Sea 003,540
E02003282,Southend-on-Sea 004,809
E02003283,Southend-on-Sea 005,658
E02003284,Southend-on-Sea 006,576
E02003285,Southend-on-Sea 007,640
E02003286,Southend-on-Sea 008,572
E02003287,Southend-on-Sea 009,648
E02003288,Southend-on-Sea 010,2630
E02003289,Southend-on-Sea 011,934
E02003290,Southend-on-Sea 012,1214
E02003291,Southend-on-Sea 013,992
E02003292,Southend-on-Sea 014,2194
E02003293,Southend-on-Sea 015,1599
E02003294,Southend-on-Sea 016,535
E02003295,Southend-on-Sea 017,522
E02003296,Thurrock 001,78
E02003297,Thurrock 002,512
E02003298,Thurrock 003,197
E02003299,Thurrock 004,95
E02003300,Thurrock 005,587
E02003301,Thurrock 006,844
E02003302,Thurrock 007,1270
E02003303,Thurrock 008,479
E02003304,Thurrock 009,559
E02003305,Thurrock 010,258
E02003307,Thurrock 012,612
E02003308,Thurrock 013,354
E02003309,Thurrock 014,438
E02003311,Thurrock 016,641
E02003312,Thurrock 017,2433
E02003313,Thurrock 018,1254
E02003314,Medway 001,215
E02003315,Medway 002,74
E02003316,Medway 003,432
E02003317,Medway 004,305
E02003318,Medway 005,12
E02003319,Medway 006,389
E02003320,Medway 007,1513
E02003321,Medway 008,462
E02003322,Medway 009,949
E02003323,Medway 010,355
E02003324,Medway 011,434
E02003325,Medway 012,748
E02003326,Medway 013,140
E02003327,Medway 014,1643
E02003328,Medway 015,1796
E02003329,Medway 016,189
E02003330,Medway 017,141
E02003331,Medway 018,479
E02003332,Medway 019,92
E02003333,Medway 020,589
E02003334,Medway 021,227
E02003335,Medway 022,255
E02003336,Medway 023,68
E02003337,Medway 024,258
E02003338,Medway 025,497
E02003339,Medway 026,175
E02003340,Medway 027,341
E02003341,Medway 028,154
E02003342,Medway 029,208
E02003343,Medway 030,55
E02003344,Medway 031,313
E02003345,Medway 032,132
E02003346,Medway 033,297
E02003347,Medway 034,79
E02003348,Medway 035,68
E02003349,Medway 036,230
E02003350,Medway 037,149
E02003351,Medway 038,304
E02003352,Bracknell Forest 001,91
E02003353,Bracknell Forest 002,842
E02003354,Bracknell Forest 003,494
E02003355,Bracknell Forest 004,771
E02003356,Bracknell Forest 005,257
E02003357,Bracknell Forest 006,1665
E02003358,Bracknell Forest 007,2041
E02003359,Bracknell Forest 008,425
E02003360,Bracknell Forest 009,538
E02003361,Bracknell Forest 010,424
E02003362,Bracknell Forest 011,576
E02003363,Bracknell Forest 012,751
E02003364,Bracknell Forest 013,252
E02003365,Bracknell Forest 014,256
E02003366,Bracknell Forest 015,216
E02003367,West Berkshire 001,60
E02003368,West Berkshire 002,167
E02003369,West Berkshire 003,223
E02003370,West Berkshire 004,196
E02003371,West Berkshire 005,20
E02003372,West Berkshire 006,265
E02003373,West Berkshire 007,80
E02003374,West Berkshire 008,251
E02003375,West Berkshire 009,495
E02003376,West Berkshire 010,431
E02003377,West Berkshire 011,206
E02003378,West Berkshire 012,843
E02003379,West Berkshire 013,476
E02003380,West Berkshire 014,265
E02003381,West Berkshire 015,156
E02003382,West Berkshire 016,564
E02003383,West Berkshire 017,227
E02003384,West Berkshire 018,134
E02003385,West Berkshire 019,2438
E02003386,West Berkshire 020,756
E02003387,West Berkshire 021,376
E02003388,West Berkshire 022,250
E02003389,Reading 001,279
E02003390,Reading 002,105
E02003391,Reading 003,521
E02003392,Reading 004,845
E02003393,Reading 005,348
E02003394,Reading 006,544
E02003395,Reading 007,930
E02003396,Reading 008,1082
E02003397,Reading 009,381
E02003398,Reading 010,1316
E02003400,Reading 012,615
E02003401,Reading 013,1831
E02003402,Reading 014,1223
E02003403,Reading 015,1220
E02003404,Reading 016,604
E02003405,Reading 017,1410
E02003406,Reading 018,370
E02003407,Slough 001,614
E02003408,Slough 002,908
E02003409,Slough 003,1528
E02003410,Slough 004,512
E02003411,Slough 005,703
E02003412,Slough 006,684
E02003414,Slough 008,1224
E02003415,Slough 009,2158
E02003416,Slough 010,910
E02003417,Slough 011,2167
E02003418,Slough 012,717
E02003419,Slough 013,1068
E02003420,Slough 014,741
E02003421,Windsor and Maidenhead 001,148
E02003422,Windsor and Maidenhead 002,278
E02003423,Windsor and Maidenhead 003,333
E02003424,Windsor and Maidenhead 004,1280
E02003425,Windsor and Maidenhead 005,2613
E02003426,Windsor and Maidenhead 006,411
E02003427,Windsor and Maidenhead 007,600
E02003428,Windsor and Maidenhead 008,440
E02003429,Windsor and Maidenhead 009,207
E02003430,Windsor and Maidenhead 010,755
E02003431,Windsor and Maidenhead 011,462
E02003432,Windsor and Maidenhead 012,876
E02003433,Windsor and Maidenhead 013,274
E02003434,Windsor and Maidenhead 014,1208
E02003435,Windsor and Maidenhead 015,584
E02003436,Windsor and Maidenhead 016,291
E02003437,Windsor and Maidenhead 017,515
E02003438,Windsor and Maidenhead 018,894
E02003439,Wokingham 001,184
E02003440,Wokingham 002,385
E02003441,Wokingham 003,187
E02003442,Wokingham 004,415
E02003443,Wokingham 005,443
E02003444,Wokingham 006,227
E02003445,Wokingham 007,323
E02003446,Wokingham 008,145
E02003447,Wokingham 009,335
E02003448,Wokingham 010,330
E02003449,Wokingham 011,398
E02003450,Wokingham 012,669
E02003451,Wokingham 013,1441
E02003452,Wokingham 014,454
E02003453,Wokingham 015,95
E02003454,Wokingham 016,524
E02003455,Wokingham 017,474
E02003456,Wokingham 018,350
E02003457,Wokingham 019,81
E02003458,Wokingham 020,164
E02003459,Milton Keynes 001,155
E02003460,Milton Keynes 002,331
E02003461,Milton Keynes 003,213
E02003462,Milton Keynes 004,316
E02003463,Milton Keynes 005,242
E02003464,Milton Keynes 006,308
E02003465,Milton Keynes 007,416
E02003466,Milton Keynes 008,462
E02003467,Milton Keynes 009,500
E02003468,Milton Keynes 010,566
E02003469,Milton Keynes 011,69
E02003470,Milton Keynes 012,454
E02003471,Milton Keynes 013,401
E02003472,Milton Keynes 014,2720
E02003473,Milton Keynes 015,302
E02003474,Milton Keynes 016,577
E02003476,Milton Keynes 018,604
E02003478,Milton Keynes 020,295
E02003479,Milton Keynes 021,427
E02003480,Milton Keynes 022,457
E02003481,Milton Keynes 023,1050
E02003482,Milton Keynes 024,561
E02003483,Milton Keynes 025,434
E02003484,Milton Keynes 026,334
E02003485,Milton Keynes 027,543
E02003486,Milton Keynes 028,352
E02003487,Milton Keynes 029,223
E02003488,Milton Keynes 030,526
E02003489,Milton Keynes 031,454
E02003490,Milton Keynes 032,680
E02003491,Brighton and Hove 001,271
E02003492,Brighton and Hove 002,284
E02003493,Brighton and Hove 003,832
E02003494,Brighton and Hove 004,413
E02003495,Brighton and Hove 005,252
E02003496,Brighton and Hove 006,859
E02003497,Brighton and Hove 007,455
E02003498,Brighton and Hove 008,1459
E02003499,Brighton and Hove 009,382
E02003500,Brighton and Hove 010,106
E02003501,Brighton and Hove 011,972
E02003502,Brighton and Hove 012,610
E02003503,Brighton and Hove 013,387
E02003504,Brighton and Hove 014,995
E02003505,Brighton and Hove 015,882
E02003506,Brighton and Hove 016,354
E02003507,Brighton and Hove 017,237
E02003508,Brighton and Hove 018,399
E02003509,Brighton and Hove 019,1716
E02003510,Brighton and Hove 020,2129
E02003511,Brighton and Hove 021,638
E02003512,Brighton and Hove 022,682
E02003513,Brighton and Hove 023,995
E02003514,Brighton and Hove 024,1501
E02003515,Brighton and Hove 025,1351
E02003516,Brighton and Hove 026,1714
E02003517,Brighton and Hove 027,2189
E02003518,Brighton and Hove 028,1779
E02003519,Brighton and Hove 029,1825
E02003520,Brighton and Hove 030,2403
E02003521,Brighton and Hove 031,1768
E02003522,Brighton and Hove 032,1902
E02003523,Brighton and Hove 033,709
E02003524,Portsmouth 001,423
E02003525,Portsmouth 002,791
E02003526,Portsmouth 003,416
E02003527,Portsmouth 004,460
E02003529,Portsmouth 006,549
E02003530,Portsmouth 007,1195
E02003531,Portsmouth 008,233
E02003532,Portsmouth 009,509
E02003533,Portsmouth 010,296
E02003534,Portsmouth 011,206
E02003535,Portsmouth 012,291
E02003536,Portsmouth 013,2168
E02003537,Portsmouth 014,566
E02003538,Portsmouth 015,732
E02003540,Portsmouth 017,789
E02003541,Portsmouth 018,2573
E02003542,Portsmouth 019,251
E02003543,Portsmouth 020,572
E02003544,Portsmouth 021,360
E02003545,Portsmouth 022,1520
E02003546,Portsmouth 023,834
E02003547,Portsmouth 024,2334
E02003548,Portsmouth 025,611
E02003549,Southampton 001,671
E02003550,Southampton 002,572
E02003551,Southampton 003,758
E02003552,Southampton 004,636
E02003553,Southampton 005,272
E02003554,Southampton 006,783
E02003555,Southampton 007,965
E02003556,Southampton 008,417
E02003557,Southampton 009,1125
E02003558,Southampton 010,1219
E02003559,Southampton 011,420
E02003560,Southampton 012,1447
E02003561,Southampton 013,1192
E02003562,Southampton 014,1338
E02003563,Southampton 015,1333
E02003564,Southampton 016,1068
E02003565,Southampton 017,891
E02003566,Southampton 018,696
E02003567,Southampton 019,760
E02003568,Southampton 020,1574
E02003569,Southampton 021,1510
E02003570,Southampton 022,1846
E02003571,Southampton 023,1915
E02003572,Southampton 024,230
E02003573,Southampton 025,1096
E02003574,Southampton 026,588
E02003575,Southampton 027,1313
E02003576,Southampton 028,882
E02003578,Southampton 030,428
E02003579,Southampton 031,1413
E02003580,Southampton 032,1250
E02003581,Isle of Wight 001,632
E02003582,Isle of Wight 002,101
E02003583,Isle of Wight 003,483
E02003584,Isle of Wight 004,919
E02003585,Isle of Wight 005,157
E02003586,Isle of Wight 006,230
E02003587,Isle of Wight 007,781
E02003588,Isle of Wight 008,474
E02003589,Isle of Wight 009,765
E02003590,Isle of Wight 010,251
E02003591,Isle of Wight 011,469
E02003592,Isle of Wight 012,597
E02003593,Isle of Wight 013,34
E02003594,Isle of Wight 014,638
E02003595,Isle of Wight 015,266
E02003596,Isle of Wight 016,1117
E02003597,Isle of Wight 017,93
E02003598,Isle of Wight 018,565
E02003599,Central Bedfordshire 001,193
E02003600,Central Bedfordshire 002,269
E02003601,Central Bedfordshire 003,237
E02003602,Central Bedfordshire 004,47
E02003603,Central Bedfordshire 005,691
E02003604,Central Bedfordshire 006,432
E02003605,Central Bedfordshire 007,149
E02003606,Central Bedfordshire 008,72
E02003607,Central Bedfordshire 009,266
E02003608,Central Bedfordshire 010,420
E02003609,Central Bedfordshire 011,450
E02003610,Central Bedfordshire 012,318
E02003611,Central Bedfordshire 013,168
E02003612,Central Bedfordshire 014,398
E02003613,Central Bedfordshire 015,299
E02003614,Central Bedfordshire 016,170
E02003615,Central Bedfordshire 017,132
E02003616,Bedford 001,29
E02003617,Bedford 002,90
E02003618,Bedford 003,179
E02003619,Bedford 004,132
E02003620,Bedford 005,402
E02003621,Bedford 006,93
E02003622,Bedford 007,468
E02003623,Bedford 008,334
E02003624,Bedford 009,577
E02003625,Bedford 010,1703
E02003626,Bedford 011,140
E02003627,Bedford 012,2047
E02003628,Bedford 013,529
E02003629,Bedford 014,976
E02003630,Bedford 015,1126
E02003631,Bedford 016,362
E02003632,Bedford 017,262
E02003633,Bedford 018,479
E02003635,Bedford 020,212
E02003636,Central Bedfordshire 018,62
E02003637,Central Bedfordshire 019,164
E02003638,Central Bedfordshire 020,149
E02003639,Central Bedfordshire 021,1131
E02003640,Central Bedfordshire 022,463
E02003641,Central Bedfordshire 023,235
E02003642,Central Bedfordshire 025,328
E02003643,Central Bedfordshire 024,785
E02003644,Central Bedfordshire 026,496
E02003645,Central Bedfordshire 027,316
E02003646,Central Bedfordshire 028,688
E02003647,Central Bedfordshire 029,1527
E02003648,Central Bedfordshire 030,645
E02003649,Central Bedfordshire 031,431
E02003650,Central Bedfordshire 032,114
E02003651,Central Bedfordshire 033,52
E02003652,Buckinghamshire 001,285
E02003653,Buckinghamshire 002,404
E02003654,Buckinghamshire 003,41
E02003655,Buckinghamshire 004,71
E02003656,Buckinghamshire 005,198
E02003657,Buckinghamshire 006,65
E02003658,Buckinghamshire 007,167
E02003659,Buckinghamshire 009,273
E02003660,Buckinghamshire 008,51
E02003661,Buckinghamshire 010,57
E02003662,Buckinghamshire 012,506
E02003663,Buckinghamshire 011,670
E02003664,Buckinghamshire 013,811
E02003665,Buckinghamshire 014,358
E02003666,Buckinghamshire 015,1432
E02003667,Buckinghamshire 016,722
E02003668,Buckinghamshire 018,264
E02003669,Buckinghamshire 017,688
E02003670,Buckinghamshire 019,685
E02003671,Buckinghamshire 020,344
E02003672,Buckinghamshire 021,266
E02003673,Buckinghamshire 022,261
E02003674,Buckinghamshire 023,54
E02003675,Buckinghamshire 024,381
E02003676,Buckinghamshire 029,89
E02003677,Buckinghamshire 027,670
E02003678,Buckinghamshire 028,302
E02003679,Buckinghamshire 030,870
E02003680,Buckinghamshire 031,356
E02003681,Buckinghamshire 032,833
E02003682,Buckinghamshire 034,390
E02003683,Buckinghamshire 035,587
E02003685,Buckinghamshire 047,204
E02003686,Buckinghamshire 050,436
E02003687,Buckinghamshire 054,165
E02003688,Buckinghamshire 053,870
E02003689,Buckinghamshire 058,585
E02003690,Buckinghamshire 059,987
E02003691,Buckinghamshire 063,393
E02003692,Buckinghamshire 064,355
E02003693,Buckinghamshire 065,445
E02003694,Buckinghamshire 066,832
E02003695,Buckinghamshire 067,651
E02003696,Buckinghamshire 026,553
E02003697,Buckinghamshire 025,42
E02003698,Buckinghamshire 033,57
E02003699,Buckinghamshire 037,212
E02003701,Buckinghamshire 038,879
E02003702,Buckinghamshire 040,148
E02003703,Buckinghamshire 041,915
E02003704,Buckinghamshire 045,239
E02003705,Buckinghamshire 042,494
E02003706,Buckinghamshire 043,704
E02003707,Buckinghamshire 044,701
E02003708,Buckinghamshire 046,821
E02003709,Buckinghamshire 048,563
E02003710,Buckinghamshire 049,1351
E02003711,Buckinghamshire 051,1809
E02003712,Buckinghamshire 052,383
E02003713,Buckinghamshire 055,140
E02003714,Buckinghamshire 056,483
E02003715,Buckinghamshire 057,49
E02003716,Buckinghamshire 060,465
E02003717,Buckinghamshire 062,574
E02003718,Buckinghamshire 061,398
E02003719,Cambridge 001,1199
E02003720,Cambridge 002,1031
E02003721,Cambridge 003,1179
E02003722,Cambridge 004,1056
E02003723,Cambridge 005,1272
E02003724,Cambridge 006,1286
E02003725,Cambridge 007,1271
E02003726,Cambridge 008,952
E02003727,Cambridge 009,851
E02003728,Cambridge 010,1412
E02003729,Cambridge 011,775
E02003731,Cambridge 013,903
E02003732,East Cambridgeshire 001,271
E02003733,East Cambridgeshire 002,48
E02003734,East Cambridgeshire 003,524
E02003735,East Cambridgeshire 004,444
E02003736,East Cambridgeshire 005,111
E02003737,East Cambridgeshire 006,509
E02003738,East Cambridgeshire 007,38
E02003739,East Cambridgeshire 008,153
E02003740,East Cambridgeshire 009,73
E02003742,Fenland 001,19
E02003743,Fenland 002,551
E02003744,Fenland 003,1007
E02003745,Fenland 004,9
E02003746,Fenland 005,116
E02003747,Fenland 006,401
E02003748,Fenland 007,450
E02003749,Fenland 008,39
E02003750,Fenland 009,208
E02003751,Fenland 010,57
E02003752,Fenland 011,269
E02003753,Huntingdonshire 001,262
E02003754,Huntingdonshire 002,45
E02003755,Huntingdonshire 003,383
E02003756,Huntingdonshire 004,79
E02003757,Huntingdonshire 005,150
E02003758,Huntingdonshire 006,80
E02003759,Huntingdonshire 007,13
E02003760,Huntingdonshire 008,265
E02003761,Huntingdonshire 009,125
E02003762,Huntingdonshire 010,284
E02003763,Huntingdonshire 011,229
E02003764,Huntingdonshire 012,1184
E02003765,Huntingdonshire 013,574
E02003766,Huntingdonshire 014,549
E02003767,Huntingdonshire 015,24
E02003768,Huntingdonshire 016,189
E02003769,Huntingdonshire 017,97
E02003770,Huntingdonshire 018,656
E02003771,Huntingdonshire 019,638
E02003772,Huntingdonshire 020,257
E02003773,Huntingdonshire 021,657
E02003774,Huntingdonshire 022,285
E02003775,South Cambridgeshire 001,124
E02003776,South Cambridgeshire 002,57
E02003777,South Cambridgeshire 003,190
E02003778,South Cambridgeshire 004,190
E02003780,South Cambridgeshire 006,745
E02003781,South Cambridgeshire 007,204
E02003784,South Cambridgeshire 010,108
E02003785,South Cambridgeshire 011,418
E02003786,South Cambridgeshire 012,276
E02003787,South Cambridgeshire 013,58
E02003788,South Cambridgeshire 014,281
E02003789,South Cambridgeshire 015,171
E02003790,South Cambridgeshire 016,112
E02003791,South Cambridgeshire 017,46
E02003792,South Cambridgeshire 018,158
E02003793,South Cambridgeshire 019,25
E02004356,Eastbourne 001,319
E02004357,Eastbourne 002,425
E02004358,Eastbourne 003,613
E02004359,Eastbourne 004,515
E02004361,Eastbourne 006,373
E02004362,Eastbourne 007,440
E02004363,Eastbourne 008,1205
E02004364,Eastbourne 009,1169
E02004365,Eastbourne 010,1601
E02004366,Eastbourne 011,2139
E02004367,Eastbourne 012,1222
E02004368,Hastings 001,370
E02004369,Hastings 002,382
E02004370,Hastings 003,596
E02004371,Hastings 004,436
E02004372,Hastings 005,694
E02004373,Hastings 006,549
E02004374,Hastings 007,440
E02004375,Hastings 008,870
E02004376,Hastings 009,1034
E02004377,Hastings 010,769
E02004378,Hastings 011,1934
E02004379,Lewes 001,124
E02004380,Lewes 002,366
E02004381,Lewes 003,927
E02004382,Lewes 004,196
E02004383,Lewes 005,409
E02004384,Lewes 006,475
E02004385,Lewes 007,634
E02004386,Lewes 008,462
E02004387,Lewes 009,357
E02004388,Lewes 010,414
E02004389,Lewes 011,307
E02004390,Lewes 012,313
E02004391,Lewes 013,1175
E02004392,Rother 001,206
E02004393,Rother 002,147
E02004394,Rother 003,92
E02004395,Rother 004,436
E02004396,Rother 005,125
E02004397,Rother 006,344
E02004398,Rother 007,738
E02004399,Rother 008,736
E02004400,Rother 009,400
E02004401,Rother 010,950
E02004402,Rother 011,1801
E02004403,Wealden 001,253
E02004404,Wealden 002,66
E02004405,Wealden 003,272
E02004406,Wealden 004,447
E02004407,Wealden 005,270
E02004408,Wealden 006,359
E02004409,Wealden 007,48
E02004410,Wealden 008,144
E02004411,Wealden 009,469
E02004412,Wealden 010,543
E02004413,Wealden 011,242
E02004414,Wealden 012,283
E02004415,Wealden 013,105
E02004416,Wealden 014,80
E02004417,Wealden 015,269
E02004418,Wealden 016,366
E02004419,Wealden 017,310
E02004420,Wealden 018,277
E02004421,Wealden 019,585
E02004422,Wealden 020,319
E02004423,Wealden 021,199
E02004424,Basildon 001,95
E02004425,Basildon 002,353
E02004426,Basildon 003,408
E02004427,Basildon 004,377
E02004428,Basildon 005,540
E02004429,Basildon 006,220
E02004430,Basildon 007,116
E02004431,Basildon 008,604
E02004432,Basildon 009,117
E02004433,Basildon 010,747
E02004434,Basildon 011,680
E02004435,Basildon 012,526
E02004436,Basildon 013,691
E02004437,Basildon 014,1080
E02004438,Basildon 015,1054
E02004439,Basildon 016,808
E02004440,Basildon 017,777
E02004441,Basildon 018,832
E02004442,Basildon 019,691
E02004443,Basildon 020,1176
E02004444,Basildon 021,453
E02004445,Basildon 022,838
E02004446,Braintree 001,52
E02004447,Braintree 002,23
E02004448,Braintree 003,263
E02004449,Braintree 004,691
E02004450,Braintree 005,18
E02004451,Braintree 006,194
E02004452,Braintree 007,238
E02004453,Braintree 008,591
E02004454,Braintree 009,1467
E02004455,Braintree 010,132
E02004456,Braintree 011,668
E02004457,Braintree 012,232
E02004458,Braintree 013,252
E02004459,Braintree 014,293
E02004460,Braintree 015,244
E02004461,Braintree 016,170
E02004462,Braintree 017,1578
E02004463,Braintree 018,208
E02004464,Brentwood 001,111
E02004465,Brentwood 002,305
E02004466,Brentwood 003,482
E02004467,Brentwood 004,661
E02004468,Brentwood 005,432
E02004469,Brentwood 006,268
E02004470,Brentwood 007,2598
E02004471,Brentwood 008,950
E02004472,Brentwood 009,199
E02004473,Castle Point 001,350
E02004474,Castle Point 002,186
E02004475,Castle Point 003,139
E02004476,Castle Point 004,224
E02004477,Castle Point 005,59
E02004478,Castle Point 006,660
E02004479,Castle Point 007,262
E02004480,Castle Point 008,144
E02004481,Castle Point 009,109
E02004482,Castle Point 010,232
E02004483,Castle Point 011,187
E02004484,Castle Point 012,313
E02004485,Chelmsford 001,364
E02004486,Chelmsford 002,328
E02004487,Chelmsford 003,341
E02004488,Chelmsford 004,862
E02004489,Chelmsford 005,309
E02004490,Chelmsford 006,922
E02004491,Chelmsford 007,334
E02004492,Chelmsford 008,756
E02004493,Chelmsford 009,1119
E02004495,Chelmsford 011,303
E02004496,Chelmsford 012,352
E02004497,Chelmsford 013,347
E02004498,Chelmsford 014,1022
E02004499,Chelmsford 015,95
E02004500,Chelmsford 016,216
E02004501,Chelmsford 017,432
E02004502,Chelmsford 018,121
E02004503,Chelmsford 019,405
E02004504,Chelmsford 020,485
E02004505,Chelmsford 021,125
E02004506,Colchester 001,141
E02004507,Colchester 002,763
E02004508,Colchester 003,116
E02004512,Colchester 007,2222
E02004513,Colchester 008,2006
E02004514,Colchester 009,332
E02004515,Colchester 010,326
E02004516,Colchester 011,1199
E02004517,Colchester 012,518
E02004518,Colchester 013,685
E02004519,Colchester 014,191
E02004520,Colchester 015,735
E02004521,Colchester 016,1057
E02004522,Colchester 017,222
E02004523,Colchester 018,754
E02004524,Colchester 019,67
E02004525,Colchester 020,339
E02004526,Colchester 021,339
E02004527,Epping Forest 001,693
E02004528,Epping Forest 002,87
E02004529,Epping Forest 003,21
E02004530,Epping Forest 004,409
E02004531,Epping Forest 005,438
E02004532,Epping Forest 006,626
E02004533,Epping Forest 007,666
E02004534,Epping Forest 008,992
E02004535,Epping Forest 009,595
E02004536,Epping Forest 010,212
E02004537,Epping Forest 011,1245
E02004538,Epping Forest 012,680
E02004539,Epping Forest 013,736
E02004540,Epping Forest 014,478
E02004541,Epping Forest 015,1435
E02004542,Epping Forest 016,295
E02004543,Epping Forest 017,840
E02004544,Harlow 001,970
E02004545,Harlow 002,1002
E02004546,Harlow 003,1142
E02004547,Harlow 004,1214
E02004548,Harlow 005,280
E02004549,Harlow 006,577
E02004550,Harlow 007,1448
E02004551,Harlow 008,717
E02004552,Harlow 009,655
E02004553,Harlow 010,723
E02004554,Harlow 011,738
E02004555,Maldon 001,111
E02004556,Maldon 002,59
E02004557,Maldon 003,240
E02004558,Maldon 004,662
E02004559,Maldon 005,195
E02004560,Maldon 006,197
E02004561,Maldon 007,167
E02004562,Maldon 008,326
E02004563,Rochford 001,112
E02004564,Rochford 002,159
E02004566,Rochford 004,542
E02004567,Rochford 005,165
E02004568,Rochford 006,340
E02004569,Rochford 007,621
E02004570,Rochford 008,637
E02004571,Rochford 009,153
E02004572,Rochford 010,223
E02004573,Tendring 001,719
E02004574,Tendring 002,520
E02004575,Tendring 003,539
E02004576,Tendring 004,162
E02004577,Tendring 005,122
E02004578,Tendring 006,936
E02004579,Tendring 007,107
E02004580,Tendring 008,269
E02004581,Tendring 009,150
E02004582,Tendring 010,121
E02004583,Tendring 011,424
E02004584,Tendring 012,302
E02004585,Tendring 013,178
E02004586,Tendring 014,976
E02004587,Tendring 015,674
E02004588,Tendring 016,1356
E02004589,Tendring 017,576
E02004590,Tendring 018,257
E02004591,Uttlesford 001,150
E02004592,Uttlesford 002,1106
E02004593,Uttlesford 003,133
E02004594,Uttlesford 004,109
E02004595,Uttlesford 005,396
E02004596,Uttlesford 006,262
E02004597,Uttlesford 007,680
E02004598,Uttlesford 008,192
E02004599,Uttlesford 009,128
E02004675,Basingstoke and Deane 001,290
E02004676,Basingstoke and Deane 002,206
E02004677,Basingstoke and Deane 003,72
E02004678,Basingstoke and Deane 004,230
E02004679,Basingstoke and Deane 005,312
E02004680,Basingstoke and Deane 006,269
E02004681,Basingstoke and Deane 007,1393
E02004682,Basingstoke and Deane 008,537
E02004683,Basingstoke and Deane 009,911
E02004684,Basingstoke and Deane 010,758
E02004685,Basingstoke and Deane 011,1603
E02004686,Basingstoke and Deane 012,1269
E02004687,Basingstoke and Deane 013,201
E02004688,Basingstoke and Deane 014,691
E02004689,Basingstoke and Deane 015,72
E02004690,Basingstoke and Deane 016,502
E02004691,Basingstoke and Deane 017,161
E02004692,Basingstoke and Deane 018,57
E02004693,Basingstoke and Deane 019,489
E02004694,Basingstoke and Deane 020,279
E02004695,Basingstoke and Deane 021,271
E02004696,Basingstoke and Deane 022,325
E02004697,East Hampshire 001,118
E02004698,East Hampshire 002,908
E02004699,East Hampshire 003,804
E02004700,East Hampshire 004,524
E02004702,East Hampshire 006,389
E02004703,East Hampshire 007,173
E02004704,East Hampshire 008,111
E02004705,East Hampshire 009,628
E02004706,East Hampshire 010,302
E02004707,East Hampshire 011,386
E02004708,East Hampshire 012,930
E02004709,East Hampshire 013,252
E02004710,East Hampshire 014,175
E02004712,Eastleigh 001,364
E02004713,Eastleigh 002,240
E02004714,Eastleigh 003,560
E02004715,Eastleigh 004,910
E02004716,Eastleigh 005,368
E02004717,Eastleigh 006,1185
E02004718,Eastleigh 007,993
E02004719,Eastleigh 008,321
E02004720,Eastleigh 009,643
E02004721,Eastleigh 010,422
E02004722,Eastleigh 011,434
E02004723,Eastleigh 012,333
E02004724,Eastleigh 013,430
E02004725,Eastleigh 014,499
E02004726,Eastleigh 015,340
E02004727,Fareham 001,228
E02004728,Fareham 002,661
E02004729,Fareham 003,579
E02004730,Fareham 004,168
