Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_bedrooms
E02000940,Wandsworth 018,827
E02000941,Wandsworth 019,864
E02000942,Wandsworth 020,773
E02000943,Wandsworth 021,676
E02000944,Wandsworth 022,822
E02000945,Wandsworth 023,808
E02000946,Wandsworth 024,868
E02000947,Wandsworth 025,905
E02000948,Wandsworth 026,793
E02000949,Wandsworth 027,767
E02000950,Wandsworth 028,851
E02000951,Wandsworth 029,437
E02000952,Wandsworth 030,441
E02000953,Wandsworth 031,746
E02000954,Wandsworth 032,652
E02000955,Wandsworth 033,655
E02000956,Wandsworth 034,838
E02000957,Wandsworth 035,1069
E02000958,Wandsworth 036,927
E02000959,Wandsworth 037,855
E02000960,Westminster 001,654
E02000961,Westminster 002,754
E02000962,Westminster 003,680
E02000963,Westminster 004,1043
E02000964,Westminster 005,905
E02000965,Westminster 006,876
E02000966,Westminster 007,945
E02000967,Westminster 008,684
E02000968,Westminster 009,1286
E02000969,Westminster 010,813
E02000970,Westminster 011,662
E02000971,Westminster 012,673
E02000972,Westminster 013,546
E02000973,Westminster 014,676
E02000974,Westminster 015,702
E02000975,Westminster 016,557
E02000976,Westminster 017,697
E02000977,Westminster 018,469
E02000978,Westminster 019,734
E02000979,Westminster 020,792
E02000980,Westminster 021,759
E02000981,Westminster 022,599
E02000982,Westminster 023,749
E02000983,Westminster 024,702
E02003237,Peterborough 001,1032
E02003238,Peterborough 002,996
E02003239,Peterborough 003,1695
E02003240,Peterborough 004,1060
E02003241,Peterborough 005,1223
E02003242,Peterborough 006,1844
E02003243,Peterborough 007,2106
E02003244,Peterborough 008,1873
E02003245,Peterborough 009,1616
E02003246,Peterborough 010,1561
E02003247,Peterborough 011,1814
E02003248,Peterborough 012,1531
E02003249,Peterborough 013,1964
E02003250,Peterborough 014,1166
E02003251,Peterborough 015,1079
E02003252,Peterborough 016,1844
E02003253,Peterborough 017,1837
E02003254,Peterborough 018,1571
E02003255,Peterborough 019,2798
E02003257,Peterborough 021,1851
E02003258,Luton 001,1361
E02003259,Luton 002,1433
E02003260,Luton 003,1635
E02003261,Luton 004,909
E02003262,Luton 005,2085
E02003263,Luton 006,2459
E02003264,Luton 007,1572
E02003265,Luton 008,1750
E02003266,Luton 009,1882
E02003267,Luton 010,1593
E02003268,Luton 011,1945
E02003269,Luton 012,1978
E02003270,Luton 013,1784
E02003271,Luton 014,1777
E02003272,Luton 015,1281
E02003273,Luton 016,2786
E02003274,Luton 017,997
E02003276,Luton 019,1126
E02003277,Luton 020,2078
E02003278,Luton 021,1288
E02003279,Southend-on-Sea 001,1808
E02003280,Southend-on-Sea 002,2036
E02003281,Southend-on-Sea 003,1595
E02003282,Southend-on-Sea 004,1817
E02003283,Southend-on-Sea 005,2075
E02003284,Southend-on-Sea 006,2375
E02003285,Southend-on-Sea 007,1816
E02003286,Southend-on-Sea 008,1360
E02003287,Southend-on-Sea 009,1535
E02003288,Southend-on-Sea 010,1466
E02003289,Southend-on-Sea 011,1383
E02003290,Southend-on-Sea 012,739
E02003291,Southend-on-Sea 013,1979
E02003292,Southend-on-Sea 014,1151
E02003293,Southend-on-Sea 015,868
E02003294,Southend-on-Sea 016,1310
E02003295,Southend-on-Sea 017,1656
E02003296,Thurrock 001,1587
E02003297,Thurrock 002,1729
E02003298,Thurrock 003,1699
E02003299,Thurrock 004,950
E02003300,Thurrock 005,1892
E02003301,Thurrock 006,2124
E02003302,Thurrock 007,1721
E02003303,Thurrock 008,2063
E02003304,Thurrock 009,2219
E02003305,Thurrock 010,1288
E02003307,Thurrock 012,2450
E02003308,Thurrock 013,1589
E02003309,Thurrock 014,1533
E02003311,Thurrock 016,1232
E02003312,Thurrock 017,920
E02003313,Thurrock 018,2892
E02003314,Medway 001,1302
E02003315,Medway 002,1066
E02003316,Medway 003,2230
E02003317,Medway 004,1314
E02003318,Medway 005,1222
E02003319,Medway 006,1483
E02003320,Medway 007,1171
E02003321,Medway 008,1516
E02003322,Medway 009,1193
E02003323,Medway 010,1467
E02003324,Medway 011,1996
E02003325,Medway 012,1005
E02003326,Medway 013,1804
E02003327,Medway 014,815
E02003328,Medway 015,1123
E02003329,Medway 016,1437
E02003330,Medway 017,1595
E02003331,Medway 018,1832
E02003332,Medway 019,1288
E02003333,Medway 020,1055
E02003334,Medway 021,1288
E02003335,Medway 022,1457
E02003336,Medway 023,1570
E02003337,Medway 024,1297
E02003338,Medway 025,1587
E02003339,Medway 026,1308
E02003340,Medway 027,1646
E02003341,Medway 028,1204
E02003342,Medway 029,1329
E02003343,Medway 030,951
E02003344,Medway 031,1369
E02003345,Medway 032,1379
E02003346,Medway 033,1307
E02003347,Medway 034,1080
E02003348,Medway 035,1257
E02003349,Medway 036,1597
E02003350,Medway 037,1197
E02003351,Medway 038,1613
E02003352,Bracknell Forest 001,561
E02003353,Bracknell Forest 002,1519
E02003354,Bracknell Forest 003,1270
E02003355,Bracknell Forest 004,1252
E02003356,Bracknell Forest 005,1063
E02003357,Bracknell Forest 006,1619
E02003358,Bracknell Forest 007,1412
E02003359,Bracknell Forest 008,1085
E02003360,Bracknell Forest 009,1949
E02003361,Bracknell Forest 010,1574
E02003362,Bracknell Forest 011,1349
E02003363,Bracknell Forest 012,671
E02003364,Bracknell Forest 013,1147
E02003365,Bracknell Forest 014,1000
E02003366,Bracknell Forest 015,1062
E02003367,West Berkshire 001,894
E02003368,West Berkshire 002,949
E02003369,West Berkshire 003,877
E02003370,West Berkshire 004,857
E02003371,West Berkshire 005,1215
E02003372,West Berkshire 006,1493
E02003373,West Berkshire 007,1056
E02003374,West Berkshire 008,983
E02003375,West Berkshire 009,1000
E02003376,West Berkshire 010,1071
E02003377,West Berkshire 011,1163
E02003378,West Berkshire 012,1284
E02003379,West Berkshire 013,1329
E02003380,West Berkshire 014,1796
E02003381,West Berkshire 015,798
E02003382,West Berkshire 016,1260
E02003383,West Berkshire 017,1155
E02003384,West Berkshire 018,991
E02003385,West Berkshire 019,1085
E02003386,West Berkshire 020,1464
E02003387,West Berkshire 021,1403
E02003388,West Berkshire 022,898
E02003389,Reading 001,1544
E02003390,Reading 002,847
E02003391,Reading 003,1495
E02003392,Reading 004,1441
E02003393,Reading 005,1379
E02003394,Reading 006,1921
E02003395,Reading 007,1689
E02003396,Reading 008,1605
E02003397,Reading 009,1718
E02003398,Reading 010,1124
E02003400,Reading 012,660
E02003401,Reading 013,1177
E02003402,Reading 014,1059
E02003403,Reading 015,1593
E02003404,Reading 016,980
E02003405,Reading 017,1826
E02003406,Reading 018,1635
E02003407,Slough 001,1709
E02003408,Slough 002,1621
E02003409,Slough 003,1428
E02003410,Slough 004,1712
E02003411,Slough 005,1745
E02003412,Slough 006,1805
E02003414,Slough 008,1602
E02003415,Slough 009,1068
E02003416,Slough 010,1071
E02003417,Slough 011,931
E02003418,Slough 012,1434
E02003419,Slough 013,1277
E02003420,Slough 014,914
E02003421,Windsor and Maidenhead 001,846
E02003422,Windsor and Maidenhead 002,1654
E02003423,Windsor and Maidenhead 003,1192
E02003424,Windsor and Maidenhead 004,720
E02003425,Windsor and Maidenhead 005,1234
E02003426,Windsor and Maidenhead 006,1350
E02003427,Windsor and Maidenhead 007,1518
E02003428,Windsor and Maidenhead 008,1635
E02003429,Windsor and Maidenhead 009,894
E02003430,Windsor and Maidenhead 010,943
E02003431,Windsor and Maidenhead 011,920
E02003432,Windsor and Maidenhead 012,848
E02003433,Windsor and Maidenhead 013,1366
E02003434,Windsor and Maidenhead 014,1417
E02003435,Windsor and Maidenhead 015,878
E02003436,Windsor and Maidenhead 016,1269
E02003437,Windsor and Maidenhead 017,881
E02003438,Windsor and Maidenhead 018,1009
E02003439,Wokingham 001,757
E02003440,Wokingham 002,1141
E02003441,Wokingham 003,1232
E02003442,Wokingham 004,1061
E02003443,Wokingham 005,1282
E02003444,Wokingham 006,1454
E02003445,Wokingham 007,1965
E02003446,Wokingham 008,1103
E02003447,Wokingham 009,1216
E02003448,Wokingham 010,1060
E02003449,Wokingham 011,888
E02003450,Wokingham 012,1755
E02003451,Wokingham 013,1287
E02003452,Wokingham 014,1245
E02003453,Wokingham 015,716
E02003454,Wokingham 016,1159
E02003455,Wokingham 017,1384
E02003456,Wokingham 018,1068
E02003457,Wokingham 019,1135
E02003458,Wokingham 020,1058
E02003459,Milton Keynes 001,1404
E02003460,Milton Keynes 002,1764
E02003461,Milton Keynes 003,1441
E02003462,Milton Keynes 004,1346
E02003463,Milton Keynes 005,1179
E02003464,Milton Keynes 006,1406
E02003465,Milton Keynes 007,855
E02003466,Milton Keynes 008,1563
E02003467,Milton Keynes 009,988
E02003468,Milton Keynes 010,1732
E02003469,Milton Keynes 011,992
E02003470,Milton Keynes 012,1100
E02003471,Milton Keynes 013,1021
E02003472,Milton Keynes 014,940
E02003473,Milton Keynes 015,739
E02003474,Milton Keynes 016,1319
E02003476,Milton Keynes 018,1359
E02003478,Milton Keynes 020,933
E02003479,Milton Keynes 021,1222
E02003480,Milton Keynes 022,961
E02003481,Milton Keynes 023,1184
E02003482,Milton Keynes 024,1187
E02003483,Milton Keynes 025,1021
E02003484,Milton Keynes 026,989
E02003485,Milton Keynes 027,1728
E02003486,Milton Keynes 028,1263
E02003487,Milton Keynes 029,1572
E02003488,Milton Keynes 030,1673
E02003489,Milton Keynes 031,1532
E02003490,Milton Keynes 032,1948
E02003491,Brighton and Hove 001,1390
E02003492,Brighton and Hove 002,903
E02003493,Brighton and Hove 003,1108
E02003494,Brighton and Hove 004,915
E02003495,Brighton and Hove 005,1369
E02003496,Brighton and Hove 006,1173
E02003497,Brighton and Hove 007,906
E02003498,Brighton and Hove 008,1060
E02003499,Brighton and Hove 009,1243
E02003500,Brighton and Hove 010,1098
E02003501,Brighton and Hove 011,721
E02003502,Brighton and Hove 012,1446
E02003503,Brighton and Hove 013,1557
E02003504,Brighton and Hove 014,674
E02003505,Brighton and Hove 015,701
E02003506,Brighton and Hove 016,1155
E02003507,Brighton and Hove 017,1674
E02003508,Brighton and Hove 018,1089
E02003509,Brighton and Hove 019,608
E02003510,Brighton and Hove 020,594
E02003511,Brighton and Hove 021,1191
E02003512,Brighton and Hove 022,979
E02003513,Brighton and Hove 023,462
E02003514,Brighton and Hove 024,382
E02003515,Brighton and Hove 025,1391
E02003516,Brighton and Hove 026,440
E02003517,Brighton and Hove 027,944
E02003518,Brighton and Hove 028,495
E02003519,Brighton and Hove 029,445
E02003520,Brighton and Hove 030,595
E02003521,Brighton and Hove 031,577
E02003522,Brighton and Hove 032,787
E02003523,Brighton and Hove 033,1605
E02003524,Portsmouth 001,1948
E02003525,Portsmouth 002,1197
E02003526,Portsmouth 003,1085
E02003527,Portsmouth 004,1516
E02003529,Portsmouth 006,1940
E02003530,Portsmouth 007,1611
E02003531,Portsmouth 008,1811
E02003532,Portsmouth 009,1484
E02003533,Portsmouth 010,1051
E02003534,Portsmouth 011,2023
E02003535,Portsmouth 012,2062
E02003536,Portsmouth 013,1024
E02003537,Portsmouth 014,2429
E02003538,Portsmouth 015,1630
E02003540,Portsmouth 017,2091
E02003541,Portsmouth 018,1092
E02003542,Portsmouth 019,1692
E02003543,Portsmouth 020,951
E02003544,Portsmouth 021,1133
E02003545,Portsmouth 022,551
E02003546,Portsmouth 023,1504
E02003547,Portsmouth 024,762
E02003548,Portsmouth 025,536
E02003549,Southampton 001,910
E02003550,Southampton 002,2035
E02003551,Southampton 003,970
E02003552,Southampton 004,1374
E02003553,Southampton 005,1285
E02003554,Southampton 006,884
E02003555,Southampton 007,1601
E02003556,Southampton 008,1334
E02003557,Southampton 009,541
E02003558,Southampton 010,1120
E02003559,Southampton 011,1353
E02003560,Southampton 012,1111
E02003561,Southampton 013,724
E02003562,Southampton 014,1388
E02003563,Southampton 015,1454
E02003564,Southampton 016,1574
E02003565,Southampton 017,440
E02003566,Southampton 018,1185
E02003567,Southampton 019,1664
E02003568,Southampton 020,670
E02003569,Southampton 021,975
E02003570,Southampton 022,917
E02003571,Southampton 023,331
E02003572,Southampton 024,1412
E02003573,Southampton 025,1312
E02003574,Southampton 026,1700
E02003575,Southampton 027,1076
E02003576,Southampton 028,1727
E02003578,Southampton 030,1308
E02003579,Southampton 031,1616
E02003580,Southampton 032,896
E02003581,Isle of Wight 001,1444
E02003582,Isle of Wight 002,1878
E02003583,Isle of Wight 003,1473
E02003584,Isle of Wight 004,622
E02003585,Isle of Wight 005,1300
E02003586,Isle of Wight 006,1544
E02003587,Isle of Wight 007,1601
E02003588,Isle of Wight 008,1654
E02003589,Isle of Wight 009,1227
E02003590,Isle of Wight 010,1438
E02003591,Isle of Wight 011,1837
E02003592,Isle of Wight 012,1884
E02003593,Isle of Wight 013,1061
E02003594,Isle of Wight 014,1474
E02003595,Isle of Wight 015,1528
E02003596,Isle of Wight 016,1216
E02003597,Isle of Wight 017,1217
E02003598,Isle of Wight 018,1335
E02003599,Central Bedfordshire 001,1122
E02003600,Central Bedfordshire 002,1131
E02003601,Central Bedfordshire 003,1318
E02003602,Central Bedfordshire 004,1071
E02003603,Central Bedfordshire 005,1983
E02003604,Central Bedfordshire 006,1854
E02003605,Central Bedfordshire 007,1537
E02003606,Central Bedfordshire 008,1443
E02003607,Central Bedfordshire 009,1839
E02003608,Central Bedfordshire 010,1925
E02003609,Central Bedfordshire 011,1767
E02003610,Central Bedfordshire 012,1432
E02003611,Central Bedfordshire 013,1477
E02003612,Central Bedfordshire 014,2024
E02003613,Central Bedfordshire 015,942
E02003614,Central Bedfordshire 016,1524
E02003615,Central Bedfordshire 017,1578
E02003616,Bedford 001,843
E02003617,Bedford 002,1389
E02003618,Bedford 003,1597
E02003619,Bedford 004,1903
E02003620,Bedford 005,1630
E02003621,Bedford 006,1668
E02003622,Bedford 007,1917
E02003623,Bedford 008,1696
E02003624,Bedford 009,400
E02003625,Bedford 010,1043
E02003626,Bedford 011,1133
E02003627,Bedford 012,1073
E02003628,Bedford 013,1532
E02003629,Bedford 014,1938
E02003630,Bedford 015,2003
E02003631,Bedford 016,868
E02003632,Bedford 017,1274
E02003633,Bedford 018,2230
E02003635,Bedford 020,1730
E02003636,Central Bedfordshire 018,1298
E02003637,Central Bedfordshire 019,1733
E02003638,Central Bedfordshire 020,1470
E02003639,Central Bedfordshire 021,1374
E02003640,Central Bedfordshire 022,1019
E02003641,Central Bedfordshire 023,992
E02003642,Central Bedfordshire 025,2038
E02003643,Central Bedfordshire 024,2381
E02003644,Central Bedfordshire 026,1698
E02003645,Central Bedfordshire 027,1623
E02003646,Central Bedfordshire 028,2304
E02003647,Central Bedfordshire 029,1502
E02003648,Central Bedfordshire 030,999
E02003649,Central Bedfordshire 031,1354
E02003650,Central Bedfordshire 032,1136
E02003651,Central Bedfordshire 033,1240
E02003652,Buckinghamshire 001,1393
E02003653,Buckinghamshire 002,1028
E02003654,Buckinghamshire 003,881
E02003655,Buckinghamshire 004,1537
E02003656,Buckinghamshire 005,970
E02003657,Buckinghamshire 006,920
E02003658,Buckinghamshire 007,1509
E02003659,Buckinghamshire 009,1325
E02003660,Buckinghamshire 008,1570
E02003661,Buckinghamshire 010,837
E02003662,Buckinghamshire 012,988
E02003663,Buckinghamshire 011,2300
E02003664,Buckinghamshire 013,1441
E02003665,Buckinghamshire 014,1082
E02003666,Buckinghamshire 015,814
E02003667,Buckinghamshire 016,1615
E02003668,Buckinghamshire 018,1789
E02003669,Buckinghamshire 017,1217
E02003670,Buckinghamshire 019,1568
E02003671,Buckinghamshire 020,1192
E02003672,Buckinghamshire 021,1632
E02003673,Buckinghamshire 022,1212
E02003674,Buckinghamshire 023,692
E02003675,Buckinghamshire 024,1433
E02003676,Buckinghamshire 029,888
E02003677,Buckinghamshire 027,1779
E02003678,Buckinghamshire 028,901
E02003679,Buckinghamshire 030,1086
E02003680,Buckinghamshire 031,1382
E02003681,Buckinghamshire 032,1101
E02003682,Buckinghamshire 034,1148
E02003683,Buckinghamshire 035,672
E02003685,Buckinghamshire 047,909
E02003686,Buckinghamshire 050,800
E02003687,Buckinghamshire 054,682
E02003688,Buckinghamshire 053,1353
E02003689,Buckinghamshire 058,619
E02003690,Buckinghamshire 059,998
E02003691,Buckinghamshire 063,816
E02003692,Buckinghamshire 064,1230
E02003693,Buckinghamshire 065,929
E02003694,Buckinghamshire 066,1533
E02003695,Buckinghamshire 067,1522
E02003696,Buckinghamshire 026,1429
E02003697,Buckinghamshire 025,887
E02003698,Buckinghamshire 033,1179
E02003699,Buckinghamshire 037,928
E02003701,Buckinghamshire 038,2000
E02003702,Buckinghamshire 040,1105
E02003703,Buckinghamshire 041,997
E02003704,Buckinghamshire 045,768
E02003705,Buckinghamshire 042,1202
E02003706,Buckinghamshire 043,1216
E02003707,Buckinghamshire 044,1002
E02003708,Buckinghamshire 046,1340
E02003709,Buckinghamshire 048,1108
E02003710,Buckinghamshire 049,1287
E02003711,Buckinghamshire 051,1238
E02003712,Buckinghamshire 052,1631
E02003713,Buckinghamshire 055,1020
E02003714,Buckinghamshire 056,1206
E02003715,Buckinghamshire 057,721
E02003716,Buckinghamshire 060,871
E02003717,Buckinghamshire 062,1333
E02003718,Buckinghamshire 061,1070
E02003719,Cambridge 001,1420
E02003720,Cambridge 002,1393
E02003721,Cambridge 003,1654
E02003722,Cambridge 004,1050
E02003723,Cambridge 005,649
E02003724,Cambridge 006,1614
E02003725,Cambridge 007,791
E02003726,Cambridge 008,788
E02003727,Cambridge 009,1358
E02003728,Cambridge 010,1285
E02003729,Cambridge 011,1652
E02003731,Cambridge 013,1190
E02003732,East Cambridgeshire 001,1739
E02003733,East Cambridgeshire 002,1554
E02003734,East Cambridgeshire 003,2051
E02003735,East Cambridgeshire 004,1243
E02003736,East Cambridgeshire 005,1586
E02003737,East Cambridgeshire 006,2235
E02003738,East Cambridgeshire 007,1032
E02003739,East Cambridgeshire 008,941
E02003740,East Cambridgeshire 009,914
E02003742,Fenland 001,1307
E02003743,Fenland 002,1935
E02003744,Fenland 003,2179
E02003745,Fenland 004,1924
E02003746,Fenland 005,1532
E02003747,Fenland 006,2548
E02003748,Fenland 007,1467
E02003749,Fenland 008,1245
E02003750,Fenland 009,1135
E02003751,Fenland 010,1277
E02003752,Fenland 011,1957
E02003753,Huntingdonshire 001,2212
E02003754,Huntingdonshire 002,968
E02003755,Huntingdonshire 003,1571
E02003756,Huntingdonshire 004,1161
E02003757,Huntingdonshire 005,1151
E02003758,Huntingdonshire 006,1679
E02003759,Huntingdonshire 007,982
E02003760,Huntingdonshire 008,1849
E02003761,Huntingdonshire 009,1182
E02003762,Huntingdonshire 010,1949
E02003763,Huntingdonshire 011,1902
E02003764,Huntingdonshire 012,1306
E02003765,Huntingdonshire 013,1177
E02003766,Huntingdonshire 014,1030
E02003767,Huntingdonshire 015,821
E02003768,Huntingdonshire 016,1537
E02003769,Huntingdonshire 017,1011
E02003770,Huntingdonshire 018,1444
E02003771,Huntingdonshire 019,1111
E02003772,Huntingdonshire 020,982
E02003773,Huntingdonshire 021,2180
E02003774,Huntingdonshire 022,1214
E02003775,South Cambridgeshire 001,1067
E02003776,South Cambridgeshire 002,1018
E02003777,South Cambridgeshire 003,1317
E02003778,South Cambridgeshire 004,993
E02003780,South Cambridgeshire 006,1552
E02003781,South Cambridgeshire 007,840
E02003784,South Cambridgeshire 010,1436
E02003785,South Cambridgeshire 011,1307
E02003786,South Cambridgeshire 012,881
E02003787,South Cambridgeshire 013,1305
E02003788,South Cambridgeshire 014,946
E02003789,South Cambridgeshire 015,1450
E02003790,South Cambridgeshire 016,1461
E02003791,South Cambridgeshire 017,1177
E02003792,South Cambridgeshire 018,1424
E02003793,South Cambridgeshire 019,1114
E02004356,Eastbourne 001,1437
E02004357,Eastbourne 002,1880
E02004358,Eastbourne 003,1460
E02004359,Eastbourne 004,1403
E02004361,Eastbourne 006,1587
E02004362,Eastbourne 007,1606
E02004363,Eastbourne 008,660
E02004364,Eastbourne 009,1137
E02004365,Eastbourne 010,475
E02004366,Eastbourne 011,535
E02004367,Eastbourne 012,982
E02004368,Hastings 001,1343
E02004369,Hastings 002,1635
E02004370,Hastings 003,1554
E02004371,Hastings 004,1302
E02004372,Hastings 005,1291
E02004373,Hastings 006,1630
E02004374,Hastings 007,1359
E02004375,Hastings 008,907
E02004376,Hastings 009,681
E02004377,Hastings 010,1699
E02004378,Hastings 011,530
E02004379,Lewes 001,1136
E02004380,Lewes 002,1341
E02004381,Lewes 003,1503
E02004382,Lewes 004,1340
E02004383,Lewes 005,1150
E02004384,Lewes 006,1198
E02004385,Lewes 007,1211
E02004386,Lewes 008,1223
E02004387,Lewes 009,1069
E02004388,Lewes 010,1333
E02004389,Lewes 011,1703
E02004390,Lewes 012,1517
E02004391,Lewes 013,858
E02004392,Rother 001,1400
E02004393,Rother 002,1123
E02004394,Rother 003,1268
E02004395,Rother 004,1448
E02004396,Rother 005,1667
E02004397,Rother 006,1166
E02004398,Rother 007,1667
E02004399,Rother 008,1388
E02004400,Rother 009,1746
E02004401,Rother 010,1285
E02004402,Rother 011,843
E02004403,Wealden 001,886
E02004404,Wealden 002,815
E02004405,Wealden 003,828
E02004406,Wealden 004,822
E02004407,Wealden 005,1082
E02004408,Wealden 006,1423
E02004409,Wealden 007,711
E02004410,Wealden 008,1014
E02004411,Wealden 009,1486
E02004412,Wealden 010,1198
E02004413,Wealden 011,1099
E02004414,Wealden 012,921
E02004415,Wealden 013,856
E02004416,Wealden 014,1018
E02004417,Wealden 015,1065
E02004418,Wealden 016,987
E02004419,Wealden 017,1049
E02004420,Wealden 018,2127
E02004421,Wealden 019,1415
E02004422,Wealden 020,1685
E02004423,Wealden 021,1336
E02004424,Basildon 001,834
E02004425,Basildon 002,1125
E02004426,Basildon 003,1199
E02004427,Basildon 004,1249
E02004428,Basildon 005,1158
E02004429,Basildon 006,1172
E02004430,Basildon 007,1366
E02004431,Basildon 008,1546
E02004432,Basildon 009,1003
E02004433,Basildon 010,1405
E02004434,Basildon 011,1384
E02004435,Basildon 012,1847
E02004436,Basildon 013,1568
E02004437,Basildon 014,1738
E02004438,Basildon 015,1537
E02004439,Basildon 016,1715
E02004440,Basildon 017,1679
E02004441,Basildon 018,1618
E02004442,Basildon 019,1467
E02004443,Basildon 020,1558
E02004444,Basildon 021,1137
E02004445,Basildon 022,1386
E02004446,Braintree 001,1122
E02004447,Braintree 002,985
E02004448,Braintree 003,1254
E02004449,Braintree 004,1603
E02004450,Braintree 005,998
E02004451,Braintree 006,1660
E02004452,Braintree 007,1569
E02004453,Braintree 008,1342
E02004454,Braintree 009,1299
E02004455,Braintree 010,1277
E02004456,Braintree 011,1890
E02004457,Braintree 012,1798
E02004458,Braintree 013,1302
E02004459,Braintree 014,1459
E02004460,Braintree 015,1990
E02004461,Braintree 016,1326
E02004462,Braintree 017,1644
E02004463,Braintree 018,1264
E02004464,Brentwood 001,1473
E02004465,Brentwood 002,977
E02004466,Brentwood 003,1578
E02004467,Brentwood 004,1257
E02004468,Brentwood 005,1028
E02004469,Brentwood 006,1217
E02004470,Brentwood 007,1138
E02004471,Brentwood 008,1101
E02004472,Brentwood 009,983
E02004473,Castle Point 001,1749
E02004474,Castle Point 002,1306
E02004475,Castle Point 003,1034
E02004476,Castle Point 004,1263
E02004477,Castle Point 005,1024
E02004478,Castle Point 006,1017
E02004479,Castle Point 007,1294
E02004480,Castle Point 008,1007
E02004481,Castle Point 009,894
E02004482,Castle Point 010,1796
E02004483,Castle Point 011,1195
E02004484,Castle Point 012,1188
E02004485,Chelmsford 001,1343
E02004486,Chelmsford 002,1459
E02004487,Chelmsford 003,1410
E02004488,Chelmsford 004,1865
E02004489,Chelmsford 005,1227
E02004490,Chelmsford 006,1405
E02004491,Chelmsford 007,1404
E02004492,Chelmsford 008,1504
E02004493,Chelmsford 009,1372
E02004495,Chelmsford 011,1572
E02004496,Chelmsford 012,1363
E02004497,Chelmsford 013,1228
E02004498,Chelmsford 014,1813
E02004499,Chelmsford 015,1862
E02004500,Chelmsford 016,1165
E02004501,Chelmsford 017,1321
E02004502,Chelmsford 018,869
E02004503,Chelmsford 019,1390
E02004504,Chelmsford 020,645
E02004505,Chelmsford 021,897
E02004506,Colchester 001,1004
E02004507,Colchester 002,1223
E02004508,Colchester 003,1116
E02004512,Colchester 007,1373
E02004513,Colchester 008,1518
E02004514,Colchester 009,892
E02004515,Colchester 010,1459
E02004516,Colchester 011,1855
E02004517,Colchester 012,1641
E02004518,Colchester 013,1183
E02004519,Colchester 014,1623
E02004520,Colchester 015,1434
E02004521,Colchester 016,1588
E02004522,Colchester 017,1422
E02004523,Colchester 018,2249
E02004524,Colchester 019,1340
E02004525,Colchester 020,1535
E02004526,Colchester 021,1301
E02004527,Epping Forest 001,1518
E02004528,Epping Forest 002,1332
E02004529,Epping Forest 003,1008
E02004530,Epping Forest 004,1271
E02004531,Epping Forest 005,1249
E02004532,Epping Forest 006,982
E02004533,Epping Forest 007,1405
E02004534,Epping Forest 008,1499
E02004535,Epping Forest 009,780
E02004536,Epping Forest 010,913
E02004537,Epping Forest 011,1523
E02004538,Epping Forest 012,1219
E02004539,Epping Forest 013,1403
E02004540,Epping Forest 014,746
E02004541,Epping Forest 015,1559
E02004542,Epping Forest 016,787
E02004543,Epping Forest 017,812
E02004544,Harlow 001,1746
E02004545,Harlow 002,1199
E02004546,Harlow 003,1115
E02004547,Harlow 004,1482
E02004548,Harlow 005,1310
E02004549,Harlow 006,1305
E02004550,Harlow 007,1276
E02004551,Harlow 008,1270
E02004552,Harlow 009,1298
E02004553,Harlow 010,1332
E02004554,Harlow 011,1408
E02004555,Maldon 001,1016
E02004556,Maldon 002,917
E02004557,Maldon 003,1442
E02004558,Maldon 004,1050
E02004559,Maldon 005,1613
E02004560,Maldon 006,1506
E02004561,Maldon 007,1383
E02004562,Maldon 008,1331
E02004563,Rochford 001,1116
E02004564,Rochford 002,1255
E02004566,Rochford 004,861
E02004567,Rochford 005,1468
E02004568,Rochford 006,1404
E02004569,Rochford 007,1466
E02004570,Rochford 008,1386
E02004571,Rochford 009,1358
E02004572,Rochford 010,1513
E02004573,Tendring 001,1136
E02004574,Tendring 002,1772
E02004575,Tendring 003,2015
E02004576,Tendring 004,1628
E02004577,Tendring 005,908
E02004578,Tendring 006,1199
E02004579,Tendring 007,1309
E02004580,Tendring 008,2068
E02004581,Tendring 009,1537
E02004582,Tendring 010,1153
E02004583,Tendring 011,1549
E02004584,Tendring 012,1032
E02004585,Tendring 013,1517
E02004586,Tendring 014,1273
E02004587,Tendring 015,1358
E02004588,Tendring 016,710
E02004589,Tendring 017,1266
E02004590,Tendring 018,1139
E02004591,Uttlesford 001,1128
E02004592,Uttlesford 002,2210
E02004593,Uttlesford 003,1257
E02004594,Uttlesford 004,1109
E02004595,Uttlesford 005,2000
E02004596,Uttlesford 006,1262
E02004597,Uttlesford 007,1326
E02004598,Uttlesford 008,1404
E02004599,Uttlesford 009,958
E02004675,Basingstoke and Deane 001,1609
E02004676,Basingstoke and Deane 002,1374
E02004677,Basingstoke and Deane 003,1022
E02004678,Basingstoke and Deane 004,1324
E02004679,Basingstoke and Deane 005,1527
E02004680,Basingstoke and Deane 006,930
E02004681,Basingstoke and Deane 007,2876
E02004682,Basingstoke and Deane 008,1154
E02004683,Basingstoke and Deane 009,1466
E02004684,Basingstoke and Deane 010,2080
E02004685,Basingstoke and Deane 011,1067
E02004686,Basingstoke and Deane 012,1510
E02004687,Basingstoke and Deane 013,1446
E02004688,Basingstoke and Deane 014,1665
E02004689,Basingstoke and Deane 015,972
E02004690,Basingstoke and Deane 016,1659
E02004691,Basingstoke and Deane 017,1092
E02004692,Basingstoke and Deane 018,1260
E02004693,Basingstoke and Deane 019,1466
E02004694,Basingstoke and Deane 020,1193
E02004695,Basingstoke and Deane 021,900
