Middle layer Super Output Areas Code,Middle layer Super Output Areas,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_0,total,% Higher_professional,% Lower_professional,%  Intermediate_occupations,% Small_employers,% Lower_supervisory,% Semi_routine,% Routine
E02005555,King's Lynn and West Norfolk 005,849,1402,802,642,343,670,563,260,236,1068,6835,12.42136064,20.51207023,11.73372348,9.392831017,5.018288222,9.802487198,8.237015362
E02005556,King's Lynn and West Norfolk 006,456,1270,908,559,533,983,1049,417,236,1361,7772,5.867215646,16.34071024,11.68296449,7.192485847,6.857951621,12.64796706,13.49716933
E02005557,King's Lynn and West Norfolk 007,162,495,401,409,425,942,1508,612,299,1623,6876,2.356020942,7.19895288,5.831878999,5.948225713,6.180919139,13.69982548,21.93135544
E02005558,King's Lynn and West Norfolk 008,508,1080,749,846,441,916,963,450,223,1181,7357,6.904988446,14.6798967,10.18078021,11.49925241,5.994291151,12.4507272,13.08957455
E02005559,King's Lynn and West Norfolk 009,347,1004,638,594,425,986,1189,520,272,1383,7358,4.715955423,13.64501223,8.670834466,8.072845882,5.776026094,13.40038054,16.15928241
E02005560,King's Lynn and West Norfolk 010,532,1362,754,538,504,1064,1343,572,368,2050,9087,5.854517443,14.98844503,8.297567954,5.920545835,5.546384946,11.70903489,14.77935512
E02005561,King's Lynn and West Norfolk 011,571,1222,788,795,700,1469,2119,830,376,2017,10887,5.244787361,11.22439607,7.237990264,7.302287131,6.429686782,13.49315698,19.46358042
E02005562,King's Lynn and West Norfolk 012,675,1256,762,907,495,785,788,458,192,1142,7460,9.048257373,16.83646113,10.21447721,12.15817694,6.63538874,10.5227882,10.56300268
E02005563,King's Lynn and West Norfolk 013,519,1198,781,1064,452,909,1012,528,261,1331,8055,6.44320298,14.87274984,9.695841092,13.20918684,5.611421477,11.2849162,12.56362508
E02005564,King's Lynn and West Norfolk 014,936,1802,1190,995,547,951,876,530,274,1546,9647,9.702498186,18.67938219,12.33544107,10.31408728,5.670156525,9.857986939,9.080543174
E02005565,King's Lynn and West Norfolk 015,553,1194,729,788,441,890,887,434,229,1204,7349,7.524833311,16.24710845,9.919716968,10.72254729,6.000816438,12.11049122,12.06966934
E02005566,King's Lynn and West Norfolk 016,742,1452,939,1444,614,1121,1335,752,304,1713,10416,7.123655914,13.94009217,9.014976959,13.86328725,5.894777266,10.76228879,12.81682028
E02005567,King's Lynn and West Norfolk 017,903,1867,1222,1012,658,1396,1412,709,324,1846,11349,7.956648163,16.45078862,10.7674685,8.917085206,5.797867654,12.30064323,12.44162481
E02005568,King's Lynn and West Norfolk 018,673,1226,728,1034,463,821,860,446,193,1150,7594,8.862259679,16.14432447,9.58651567,13.61601264,6.09691862,10.81116671,11.32473005
E02005569,King's Lynn and West Norfolk 019,650,1311,844,1025,499,847,1039,572,348,1605,8740,7.437070938,15,9.656750572,11.72768879,5.709382151,9.691075515,11.88787185
E02005570,North Norfolk 001,715,1341,769,949,352,852,606,425,221,858,7088,10.08747178,18.91930023,10.8493228,13.38882619,4.966139955,12.02031603,8.5496614
E02005571,North Norfolk 002,664,1040,443,975,286,613,566,369,143,735,5834,11.38155639,17.82653411,7.593417895,16.71237573,4.90229688,10.50737059,9.701748372
