Middle layer Super Output Areas Code,Middle layer Super Output Areas,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_0,total,% Higher_professional,% Lower_professional,%  Intermediate_occupations,% Small_employers,% Lower_supervisory,% Semi_routine,% Routine
E02000001,City of London 001,3176,1914,433,568,134,289,255,437,798,579,8583,37.00337877,22.29989514,5.044856111,6.617732727,1.561225679,3.367121053,2.970989165
E02000002,Barking and Dagenham 001,400,919,612,779,314,741,726,822,671,2297,8281,4.830334501,11.09769352,7.390411786,9.40707644,3.791812583,8.948194662,8.767057119
E02000003,Barking and Dagenham 002,787,1485,1030,1259,364,1010,984,1032,894,2695,11540,6.819757366,12.86828423,8.925476603,10.90987868,3.154246101,8.752166378,8.526863085
E02000004,Barking and Dagenham 003,460,1002,684,638,326,608,615,565,418,1325,6641,6.926667671,15.08808914,10.29965367,9.6069869,4.908899262,9.155247704,9.260653516
E02000005,Barking and Dagenham 004,598,1293,892,988,425,1025,1043,973,747,3096,11080,5.397111913,11.66967509,8.050541516,8.916967509,3.835740072,9.250902527,9.413357401
E02000007,Barking and Dagenham 006,442,1130,805,875,401,998,1076,930,808,2696,10161,4.349965555,11.12095266,7.922448578,8.61135715,3.946461962,9.821867926,10.58950891
E02000008,Barking and Dagenham 007,546,1356,1030,1335,528,1288,1466,1307,995,3399,13250,4.120754717,10.23396226,7.773584906,10.0754717,3.98490566,9.720754717,11.06415094
E02000009,Barking and Dagenham 008,615,1421,888,1215,445,1136,1317,1222,1096,3510,12865,4.78041197,11.04547221,6.902448504,9.444228527,3.458997279,8.830159347,10.23707734
E02000010,Barking and Dagenham 009,400,1069,762,958,355,951,994,871,714,2410,9484,4.217629692,11.27161535,8.034584563,10.10122311,3.743146352,10.02741459,10.48080978
E02000011,Barking and Dagenham 010,334,875,590,798,287,658,698,619,558,1613,7030,4.751066856,12.44665718,8.392603129,11.35135135,4.082503556,9.359886202,9.928876245
E02000012,Barking and Dagenham 011,869,1545,1045,1122,337,804,752,1263,1108,2666,11511,7.549300669,13.42194423,9.078272956,9.747198332,2.927634437,6.984623404,6.532881592
E02000013,Barking and Dagenham 012,391,992,719,928,374,933,1001,908,717,2432,9395,4.161788185,10.55880788,7.653006919,9.877594465,3.980840873,9.930814263,10.65460351
E02000014,Barking and Dagenham 013,379,1055,742,1003,437,984,1179,922,733,2432,9866,3.841475775,10.69329009,7.520778431,10.16622745,4.429353335,9.973646868,11.95013177
E02000015,Barking and Dagenham 014,354,887,599,740,322,844,886,802,598,2200,8232,4.300291545,10.7750243,7.276482021,8.98931001,3.911564626,10.2526725,10.76287658
E02000016,Barking and Dagenham 015,793,1089,635,876,302,840,915,1177,955,2984,10566,7.505205376,10.30664395,6.009842892,8.290743896,2.858224494,7.950028393,8.659852357
E02000017,Barking and Dagenham 016,590,922,662,1123,332,756,861,1050,846,1991,9133,6.460089784,10.09525895,7.248439724,12.2960692,3.635169167,8.277674368,9.427351363
E02000018,Barking and Dagenham 017,384,977,734,987,372,893,961,926,764,2554,9552,4.020100503,10.22822446,7.684254606,10.33291457,3.894472362,9.348827471,10.06072027
E02000019,Barking and Dagenham 018,449,1116,734,839,364,831,999,941,752,2641,9666,4.645147941,11.54562384,7.593627147,8.679908959,3.76577695,8.597144631,10.33519553
E02000020,Barking and Dagenham 019,889,1656,1001,1343,482,1131,1182,1391,1189,3791,14055,6.325151192,11.78228388,7.122020633,9.555318392,3.429384561,8.046958378,8.40981857
E02000021,Barking and Dagenham 020,321,928,712,837,336,826,913,804,691,2391,8759,3.664801918,10.59481676,8.128781824,9.555885375,3.836054344,9.430300263,10.42356433
E02000022,Barking and Dagenham 021,474,889,516,619,237,629,584,666,803,2324,7741,6.123239891,11.48430435,6.665805451,7.996382896,3.061619946,8.125565172,7.54424493
E02000023,Barking and Dagenham 022,301,858,568,609,270,663,759,804,775,2413,8020,3.753117207,10.69825436,7.082294264,7.593516209,3.366583541,8.266832918,9.463840399
E02000024,Barnet 001,2099,2379,941,1058,261,608,443,558,576,1918,10841,19.3616825,21.94447007,8.680011069,9.759247302,2.407526981,5.608338714,4.086338899
E02000025,Barnet 002,1305,1665,804,891,296,516,418,593,499,1595,8582,15.20624563,19.40107201,9.368445584,10.38219529,3.449079469,6.012584479,4.87065952
E02000026,Barnet 003,1045,1244,632,722,164,343,258,416,390,1241,6455,16.18900077,19.27188226,9.790859799,11.18512781,2.54066615,5.313710302,3.996901627
E02000027,Barnet 004,1169,1608,836,922,302,765,691,778,656,1920,9647,12.11775682,16.66839432,8.665906499,9.55737535,3.130506893,7.929926402,7.162848554
E02000028,Barnet 005,1102,1303,556,689,164,421,285,414,372,1228,6534,16.86562596,19.94184267,8.509335782,10.54484236,2.509947964,6.44322008,4.361799816
E02000029,Barnet 006,1177,1594,877,1040,267,624,592,688,580,2240,9679,12.16034714,16.46864345,9.060853394,10.74491166,2.758549437,6.446946999,6.116334332
E02000030,Barnet 007,1746,1700,785,1173,205,496,374,654,585,1740,9458,18.46056249,17.97420173,8.299851977,12.4021992,2.167477268,5.244237682,3.954324381
E02000031,Barnet 008,1785,1608,700,836,160,392,326,581,422,1521,8331,21.42599928,19.30140439,8.402352659,10.03480975,1.920537751,4.705317489,3.913095667
E02000032,Barnet 009,1281,1387,776,967,191,413,381,520,512,1515,7943,16.12740778,17.46191615,9.76960846,12.17424147,2.40463301,5.199546771,4.796676319
E02000033,Barnet 010,1012,1525,828,1019,294,650,544,750,523,1746,8891,11.3822967,17.15217636,9.312788213,11.46102801,3.306714655,7.310763694,6.118546845
E02000034,Barnet 011,1365,1573,802,1062,262,559,477,604,573,1807,9084,15.02642008,17.31616028,8.828709819,11.69088507,2.884191986,6.153676794,5.250990753
E02000035,Barnet 012,1616,1538,660,933,195,495,435,741,471,1446,8530,18.94490035,18.03048066,7.737397421,10.93786635,2.286049238,5.803048066,5.0996483
E02000036,Barnet 013,1330,1787,975,1385,283,733,567,886,703,2596,11245,11.82747888,15.89150734,8.670520231,12.31658515,2.516674077,6.518452646,5.042240996
E02000037,Barnet 014,1736,1791,980,1177,179,563,371,721,694,2623,10835,16.02215044,16.52976465,9.044762344,10.86294416,1.65205353,5.196123673,3.424088602
E02000038,Barnet 015,1525,1837,868,1290,252,662,584,913,711,2077,10719,14.22707342,17.1377927,8.097770314,12.03470473,2.350965575,6.175949249,5.448269428
E02000039,Barnet 016,1286,1308,514,922,118,351,320,404,433,1512,7168,17.94084821,18.24776786,7.170758929,12.86272321,1.646205357,4.896763393,4.464285714
E02000040,Barnet 017,1643,1580,643,974,201,483,385,622,718,1889,9138,17.9798643,17.29043554,7.036550668,10.65878748,2.199606041,5.285620486,4.21317575
E02000041,Barnet 018,1037,1343,840,1288,270,642,573,780,676,2007,9456,10.96658206,14.20262267,8.883248731,13.62098139,2.855329949,6.789340102,6.05964467
E02000042,Barnet 019,1681,2026,818,1326,314,712,656,1131,742,2153,11559,14.54278052,17.52746777,7.076736742,11.47158059,2.716497967,6.159702396,5.675231421
E02000043,Barnet 020,1635,1415,575,724,133,282,231,492,404,1679,7570,21.5984148,18.69220608,7.595772787,9.564068692,1.756935271,3.725231176,3.051519155
E02000044,Barnet 021,843,1245,742,968,283,682,678,784,650,1969,8844,9.531886024,14.07734057,8.389868838,10.94527363,3.199909543,7.711442786,7.666214383
E02000045,Barnet 022,1230,1657,798,1227,312,760,674,889,736,2240,10523,11.68868193,15.74646013,7.583388767,11.66017295,2.964933954,7.222275017,6.405017581
E02000046,Barnet 023,1314,1371,518,770,186,350,345,472,375,1262,6963,18.87117622,19.68978888,7.439322131,11.05845182,2.671262387,5.026569008,4.954760879
E02000047,Barnet 024,730,1377,931,1531,459,1049,1112,1328,1062,2816,12395,5.889471561,11.10931827,7.511093183,12.35175474,3.703106091,8.463089956,8.971359419
E02000048,Barnet 025,1861,1760,810,1176,184,545,358,704,690,2196,10284,18.09607157,17.11396344,7.876312719,11.43523921,1.789187087,5.29949436,3.481135745
E02000049,Barnet 026,874,1259,743,952,348,885,821,1125,1013,2512,10532,8.2985188,11.95404482,7.054690467,9.039118876,3.304215724,8.4029624,7.795290543
E02000050,Barnet 027,1502,1789,765,995,280,685,660,885,806,2013,10380,14.47013487,17.23506744,7.369942197,9.585741811,2.697495183,6.599229287,6.358381503
E02000051,Barnet 028,1741,1514,638,1188,198,441,390,831,552,1666,9159,19.0086254,16.53018889,6.965825964,12.97084835,2.161808058,4.814936128,4.25810678
E02000052,Barnet 029,1905,2099,703,904,238,558,419,570,576,1879,9851,19.33813826,21.30748147,7.136331337,9.176733327,2.415998376,5.664399553,4.253375292
E02000054,Barnet 031,1032,1177,529,1037,208,448,443,666,681,1410,7631,13.52378456,15.42392871,6.932250033,13.58930677,2.72572402,5.870790198,5.805267986
E02000055,Barnet 032,1419,1682,817,1471,344,739,781,884,1357,2229,11723,12.10441013,14.34786317,6.969205835,12.5479826,2.934402457,6.303847138,6.662117205
E02000056,Barnet 033,2244,1638,544,979,135,325,230,538,567,1929,9129,24.58100559,17.94281959,5.959031657,10.72406616,1.478803812,3.560083251,2.519443532
E02000057,Barnet 034,956,1154,570,950,172,427,382,588,735,2079,8013,11.93061275,14.4015974,7.113440659,11.85573443,2.146511918,5.328840634,4.767253214
E02000058,Barnet 035,2065,1773,790,1058,154,461,334,659,667,2267,10228,20.1896754,17.33476731,7.72389519,10.3441533,1.505670708,4.507235041,3.265545561
E02000059,Barnet 036,1300,1604,897,1579,390,888,1077,1026,862,2003,11626,11.18183382,13.79666265,7.715465336,13.58162739,3.354550146,7.638052641,9.26371925
E02000060,Barnet 037,1314,1649,1020,1115,249,585,383,883,798,3562,11558,11.36874892,14.26717425,8.825056238,9.64699775,2.154351964,5.061429313,3.313722097
E02000061,Barnet 038,1785,1517,491,913,164,365,325,685,644,1458,8347,21.38492872,18.17419432,5.882352941,10.93806158,1.964777764,4.372828561,3.893614472
E02000062,Barnet 039,515,917,470,781,238,560,619,805,558,1493,6956,7.403680276,13.18286371,6.756756757,11.22771708,3.421506613,8.050603795,8.898792409
E02000063,Barnet 040,830,1058,533,985,225,511,484,857,601,1501,7585,10.94264997,13.94858273,7.027027027,12.98615689,2.966381015,6.736980883,6.381015162
E02000064,Barnet 041,1001,1030,489,650,195,388,413,603,565,1339,6673,15.00074929,15.43533643,7.328038364,9.740746291,2.922223887,5.814476248,6.189120336
E02000065,Bexley 001,480,977,651,650,281,816,669,609,807,2122,8062,5.953857604,12.118581,8.074919375,8.062515505,3.485487472,10.12155793,8.298189035
E02000066,Bexley 002,524,1151,740,709,402,979,1019,936,792,2178,9430,5.556733828,12.20572641,7.847295864,7.518557794,4.262990456,10.38176034,10.80593849
E02000067,Bexley 003,764,1460,981,845,457,924,1000,810,664,2325,10230,7.468230694,14.27174976,9.589442815,8.26001955,4.467253177,9.032258065,9.775171065
E02000068,Bexley 004,510,1124,757,579,319,780,762,668,530,2147,8176,6.23776908,13.74755382,9.258806262,7.081702544,3.901663405,9.540117417,9.319960861
E02000069,Bexley 005,679,1159,781,597,292,654,658,492,362,1538,7212,9.414864115,16.07043816,10.8291736,8.277870216,4.048807543,9.068219634,9.123682751
E02000070,Bexley 006,812,1268,1024,784,335,720,696,506,409,1557,8111,10.01109604,15.63309086,12.62483048,9.665885834,4.130193564,8.876833929,8.580939465
E02000071,Bexley 007,629,1148,939,603,377,645,693,536,414,1686,7670,8.200782269,14.96740548,12.24250326,7.861799218,4.915254237,8.409387223,9.035202086
E02000072,Bexley 008,904,1736,1120,834,505,1209,1295,984,901,3436,12924,6.994738471,13.43237388,8.666047663,6.453110492,3.907458991,9.354688951,10.02011761
E02000073,Bexley 009,1284,1827,1515,910,437,899,737,574,519,2022,10724,11.97314435,17.03655352,14.12719135,8.485639687,4.074972025,8.38306602,6.872435658
E02000074,Bexley 010,544,1218,923,641,417,936,982,687,512,2000,8860,6.139954853,13.74717833,10.41760722,7.23476298,4.706546275,10.56433409,11.08352144
E02000075,Bexley 011,964,1404,1141,715,379,677,549,430,348,1380,7987,12.06961312,17.57856517,14.28571429,8.952047076,4.745210968,8.476273945,6.873669713
E02000077,Bexley 013,794,1294,962,707,374,720,665,587,465,1570,8138,9.756696977,15.90071271,11.82108626,8.68763824,4.595723765,8.847382649,8.171540919
E02000078,Bexley 014,857,1455,1062,662,385,676,599,374,324,1539,7933,10.80297491,18.34110677,13.38711711,8.344888441,4.85314509,8.521366444,7.550737426
E02000079,Bexley 015,1083,1626,1109,774,350,698,586,512,359,1673,8770,12.34891676,18.54047891,12.64538198,8.825541619,3.990877993,7.958950969,6.681870011
E02000080,Bexley 016,1100,1668,1292,941,423,888,722,557,496,1978,10065,10.92896175,16.57228018,12.83656234,9.349230005,4.202682563,8.822652757,7.173373075
E02000081,Bexley 017,832,1462,1046,723,358,715,617,483,381,1689,8306,10.01685529,17.60173369,12.59330604,8.704550927,4.31013725,8.608235011,7.428365037
E02000082,Bexley 018,1009,1586,1229,891,428,751,634,476,452,1880,9336,10.80762639,16.98800343,13.16409597,9.543701799,4.584404456,8.044130249,6.790916881
E02000083,Bexley 019,1120,1821,1253,873,506,985,1028,678,620,2386,11270,9.937888199,16.15794144,11.11801242,7.746228926,4.489795918,8.740017746,9.121561668
E02000084,Bexley 020,1434,2074,1432,1167,367,793,639,537,486,2186,11115,12.90148448,18.65946919,12.88349078,10.49932524,3.301844354,7.134502924,5.748987854
E02000085,Bexley 021,763,1282,1131,787,346,686,577,421,389,1580,7962,9.583019342,16.10148204,14.20497362,9.884451143,4.345641799,8.615925647,7.246922884
E02000086,Bexley 022,880,1282,1109,722,304,505,417,337,296,1325,7177,12.26139055,17.86261669,15.45213878,10.05991361,4.2357531,7.03636617,5.810227114
E02000087,Bexley 023,1398,1600,1090,753,240,495,357,419,371,1486,8209,17.03008893,19.49080278,13.27810939,9.172859057,2.923620417,6.029967109,4.34888537
E02000088,Bexley 024,1045,1446,1087,702,283,563,445,342,358,1478,7749,13.48561105,18.66047232,14.02761647,9.059233449,3.65208414,7.265453607,5.742676474
E02000089,Bexley 025,1087,1435,1057,710,291,531,400,402,435,1518,7866,13.81896771,18.24307145,13.43757946,9.02618866,3.699466056,6.750572082,5.08517671
E02000090,Bexley 026,1323,1861,1303,796,329,660,507,524,807,1529,9639,13.7254902,19.30698205,13.51799979,8.258118062,3.413217139,6.847183318,5.25988173
E02000091,Bexley 027,1402,1983,1278,861,375,762,609,583,561,1750,10164,13.79378198,19.51003542,12.57378985,8.47107438,3.689492326,7.497048406,5.991735537
E02000092,Bexley 028,536,1003,683,599,297,669,560,608,336,1460,6751,7.939564509,14.85705821,10.1170197,8.872759591,4.399348245,9.909643016,8.295067397
E02000093,Brent 001,1143,1493,958,1905,338,957,968,1105,916,2093,11876,9.624452678,12.57157292,8.066689121,16.04075446,2.84607612,8.058268777,8.150892556
E02000094,Brent 002,1023,1432,807,1414,324,771,850,933,910,1997,10461,9.779179811,13.68893987,7.714367651,13.51687219,3.097218239,7.370232291,8.12541822
E02000095,Brent 003,957,1353,866,1706,265,793,838,1024,792,1867,10461,9.148264984,12.93375394,8.278367269,16.30819233,2.533218622,7.580537234,8.010706433
E02000096,Brent 004,1228,1189,714,1009,144,434,387,694,474,1358,7631,16.09225527,15.58118202,9.356571878,13.22238239,1.887039706,5.687328004,5.071419211
E02000097,Brent 005,710,1146,772,1531,308,811,806,932,741,1775,9532,7.448594209,12.02266051,8.09903483,16.06168695,3.23122115,8.508182963,8.455728074
E02000098,Brent 006,927,1156,669,1122,218,607,617,1078,761,1587,8742,10.60398078,13.22351865,7.65271105,12.83459163,2.493708534,6.943491192,7.057881492
E02000099,Brent 007,850,1118,716,1420,322,647,818,825,825,2019,9560,8.891213389,11.69456067,7.489539749,14.85355649,3.368200837,6.767782427,8.556485356
E02000100,Brent 008,1169,1512,773,947,207,471,466,665,970,1139,8319,14.05216973,18.17526145,9.291982209,11.38357976,2.488279841,5.66173819,5.601634812
E02000101,Brent 009,834,1207,690,1121,315,770,825,1252,919,2004,9937,8.392875113,12.1465231,6.943745597,11.28107075,3.169970816,7.748817551,8.302304518
E02000102,Brent 010,358,755,512,958,296,663,836,1109,738,2103,8328,4.298751201,9.065802113,6.147934678,11.50336215,3.554274736,7.961095101,10.03842459
E02000103,Brent 011,674,1222,751,1063,318,895,902,1213,815,2123,9976,6.756214916,12.24939856,7.528067362,10.65557338,3.187650361,8.971531676,9.04170008
E02000104,Brent 012,755,949,573,980,223,590,717,900,579,1239,7505,10.05996003,12.6449034,7.63491006,13.05796136,2.971352432,7.861425716,9.553630913
E02000105,Brent 013,739,1114,743,1027,367,872,1001,1042,947,1990,9842,7.508636456,11.31883763,7.549278602,10.43487096,3.728916887,8.859987807,10.17069701
E02000106,Brent 014,540,998,643,1462,405,884,1105,1331,891,2094,10353,5.215879455,9.639717956,6.210760166,14.12151067,3.911909591,8.538587849,10.67323481
E02000107,Brent 015,1242,1583,655,1232,442,837,1106,1209,757,1876,10939,11.35387147,14.47115824,5.987750251,11.26245543,4.040588719,7.651522077,10.1106134
E02000108,Brent 016,553,866,581,748,274,683,795,711,645,1403,7259,7.618129219,11.93001791,8.003857281,10.30444965,3.774624604,9.409009505,10.95192175
E02000110,Brent 018,1078,1408,550,847,264,545,601,806,670,1406,8175,13.18654434,17.22324159,6.727828746,10.36085627,3.229357798,6.666666667,7.351681957
E02000111,Brent 019,678,1147,773,994,507,1085,1664,1313,874,2249,11284,6.008507621,10.16483516,6.850407657,8.808933002,4.493087558,9.615384615,14.74654378
E02000112,Brent 020,762,1362,859,1046,609,1122,1924,1135,883,2047,11749,6.485658354,11.59247596,7.311260533,8.902885352,5.183419866,9.549748915,16.37586178
E02000113,Brent 021,326,861,659,753,317,885,1120,1460,1050,2199,9630,3.385254413,8.940809969,6.843198339,7.819314642,3.291796469,9.190031153,11.63032191
E02000114,Brent 022,970,1469,657,968,376,705,889,887,678,1394,8993,10.78616702,16.33492717,7.305682197,10.7639275,4.18102969,7.839430668,9.885466474
E02000115,Brent 023,1404,1631,530,748,280,510,610,911,666,1332,8622,16.28392484,18.91672466,6.147065646,8.675481327,3.247506379,5.915100905,7.074924611
E02000116,Brent 024,492,925,549,884,276,758,951,1114,726,1874,8549,5.755059071,10.81997894,6.42180372,10.34039069,3.228447772,8.866534098,11.12410808
E02000117,Brent 025,582,1322,861,1080,471,1169,1456,1697,1042,3053,12733,4.570800283,10.38247075,6.761957119,8.481897432,3.699049713,9.180868609,11.43485432
E02000118,Brent 026,577,1111,739,1020,530,1094,2009,1329,843,2043,11295,5.108455069,9.836210713,6.542718017,9.030544489,4.692341744,9.685701638,17.78663125
E02000119,Brent 027,771,1306,733,751,348,946,901,1416,1001,2452,10625,7.256470588,12.29176471,6.898823529,7.068235294,3.275294118,8.903529412,8.48
E02000120,Brent 028,1544,1823,562,788,272,554,677,798,591,1407,9016,17.12511091,20.21960958,6.23336291,8.740017746,3.016858917,6.144631766,7.508873114
E02000121,Brent 029,780,1218,782,1042,516,1152,1942,1433,981,2394,12240,6.37254902,9.950980392,6.388888889,8.513071895,4.215686275,9.411764706,15.86601307
E02000122,Brent 030,1333,1533,533,889,175,462,487,701,577,1489,8179,16.29783592,18.74312263,6.516689082,10.86929943,2.139625871,5.6486123,5.954273139
E02000123,Brent 031,883,1663,908,1434,489,1238,1543,1555,1074,2790,13577,6.503645872,12.24865581,6.687780806,10.56197982,3.601679311,9.118361936,11.36480813
E02000124,Brent 032,1884,2028,586,1017,252,512,587,587,667,1837,9957,18.92136186,20.3675806,5.885306819,10.21391986,2.530882796,5.142111078,5.895350005
E02000125,Brent 033,1445,1933,636,1060,298,578,798,740,578,1874,9940,14.53722334,19.44668008,6.398390342,10.6639839,2.997987928,5.814889336,8.028169014
E02000126,Brent 034,854,1127,567,556,312,766,677,970,745,1621,8195,10.42098841,13.75228798,6.918852959,6.784624771,3.807199512,9.347162904,8.261134838
E02000127,Bromley 001,876,1318,932,909,369,887,762,697,470,2110,9330,9.389067524,14.12647374,9.989281886,9.742765273,3.954983923,9.506966774,8.167202572
E02000128,Bromley 002,1272,1470,806,750,227,453,386,398,342,1687,7791,16.32653061,18.86792453,10.34527018,9.626492106,2.913618277,5.814401232,4.954434604
E02000130,Bromley 004,1520,1882,763,669,262,482,402,467,373,1606,8426,18.03940185,22.33562782,9.055305008,7.93971042,3.109423214,5.720389271,4.770947069
E02000131,Bromley 005,1916,2387,813,827,309,671,600,584,527,1852,10486,18.27198169,22.76368491,7.753194736,7.886706084,2.946786191,6.399008201,5.721914934
E02000132,Bromley 006,1964,2260,987,809,272,580,499,484,377,1604,9836,19.96746645,22.97681985,10.0345669,8.224888166,2.765351769,5.896705978,5.073200488
E02000133,Bromley 007,2744,2135,951,1006,174,460,265,445,519,2054,10753,25.51845996,19.85492421,8.844043523,9.35552869,1.618153074,4.277875942,2.464428532
E02000134,Bromley 008,1948,2409,1093,1098,334,679,580,694,606,2310,11751,16.57731257,20.50038295,9.301336057,9.343885627,2.842311293,5.77823164,4.935750149
E02000135,Bromley 009,911,1666,846,783,367,945,847,945,662,1899,9871,9.229054807,16.87772262,8.570560227,7.932327019,3.717961706,9.573498126,8.580690913
E02000136,Bromley 010,827,992,646,615,171,405,329,384,286,1088,5743,14.4001393,17.27320216,11.24847641,10.70868884,2.977537872,7.052063382,5.728713216
E02000137,Bromley 011,1730,1856,828,770,196,428,311,358,347,1578,8402,20.59033563,22.08997858,9.854796477,9.164484647,2.33277791,5.094025232,3.701499643
E02000138,Bromley 012,2019,1922,889,832,198,424,274,376,301,1267,8502,23.74735356,22.60644554,10.45636321,9.785932722,2.328863797,4.987061868,3.222771113
E02000139,Bromley 013,1495,1637,712,628,242,400,355,336,336,1573,7714,19.38034742,21.22115634,9.22997148,8.141042261,3.137153228,5.185377236,4.602022297
E02000140,Bromley 014,608,1184,841,719,389,829,807,754,456,2095,8682,7.002994702,13.63741073,9.686708132,8.281501958,4.480534439,9.548491131,9.295093296
E02000141,Bromley 015,1049,1581,701,624,205,468,436,417,345,1407,7233,14.50297249,21.85815015,9.691690861,8.627125674,2.834231992,6.470344255,6.027927554
E02000142,Bromley 016,1710,1823,873,806,228,416,354,371,429,1809,8819,19.38995351,20.67127792,9.899081529,9.139358204,2.585327135,4.717088105,4.014060551
E02000144,Bromley 018,2018,2275,996,851,255,476,379,449,407,1957,10063,20.05366193,22.60757229,9.897644838,8.456722647,2.534035576,4.730199742,3.766272483
E02000145,Bromley 019,715,1230,873,743,411,812,737,712,445,2145,8823,8.103819563,13.94083645,9.894593676,8.421171937,4.658279497,9.20321886,8.353167857
E02000146,Bromley 020,1632,2057,1018,872,270,578,449,438,418,1969,9701,16.82300794,21.20399959,10.49376353,8.988764045,2.783218225,5.958148644,4.628388826
E02000147,Bromley 021,1784,1632,899,726,175,369,230,320,432,1625,8192,21.77734375,19.921875,10.97412109,8.862304688,2.136230469,4.504394531,2.807617188
E02000148,Bromley 022,1390,1368,727,604,149,370,217,289,295,1316,6725,20.66914498,20.34200743,10.81040892,8.981412639,2.215613383,5.501858736,3.226765799
E02000149,Bromley 023,897,1369,891,725,353,707,627,567,364,1666,8166,10.98457017,16.76463385,10.91109478,8.878275778,4.322801861,8.65784962,7.67817781
E02000150,Bromley 024,1367,1686,989,768,232,509,359,420,414,1770,8514,16.05590792,19.80267794,11.61616162,9.020436927,2.724923655,5.978388537,4.216584449
E02000151,Bromley 025,1718,1458,846,648,175,404,230,262,262,1538,7541,22.78212439,19.33430579,11.21867126,8.593024798,2.320647129,5.357379658,3.04999337
E02000152,Bromley 026,978,1269,780,710,266,605,537,560,423,1833,7961,12.28488883,15.94020852,9.7977641,8.918477578,3.341288783,7.599547796,6.745383746
E02000153,Bromley 027,1319,1572,941,754,237,517,324,313,404,1727,8108,16.26788357,19.38825851,11.60582141,9.299457326,2.923038974,6.376418352,3.996053281
E02000154,Bromley 028,1636,1681,953,716,226,564,437,402,363,1549,8527,19.18611469,19.71385012,11.17626363,8.396857042,2.650404597,6.614284039,5.124897385
E02000155,Bromley 029,830,1305,941,628,313,669,536,458,292,1184,7156,11.59865847,18.23644494,13.14980436,8.775852432,4.373951928,9.348798211,7.490217999
E02000156,Bromley 030,2133,2573,1529,1164,344,775,483,521,549,2219,12290,17.35557364,20.9357201,12.44100895,9.471114727,2.799023596,6.305939788,3.93002441
E02000157,Bromley 031,1550,1776,1057,700,214,498,263,268,420,1621,8367,18.52515836,21.22624597,12.63296283,8.36620055,2.557667025,5.951954105,3.143301064
E02000158,Bromley 032,1143,1260,851,675,241,613,472,472,398,1662,7787,14.67831,16.18081418,10.92847053,8.668293309,3.094901759,7.872094517,6.061384359
E02000159,Bromley 033,1272,1388,838,859,184,380,268,373,343,1212,7117,17.87269917,19.50259941,11.77462414,12.06969229,2.585359,5.339328369,3.765631586
E02000160,Bromley 034,1241,1586,1001,861,242,507,366,341,389,1574,8108,15.30587074,19.56092748,12.34583128,10.61914159,2.984706463,6.253083374,4.514060187
E02000161,Bromley 035,1596,1714,1047,671,223,555,349,383,380,1784,8702,18.34061135,19.69662147,12.03171685,7.710871064,2.562629281,6.377844174,4.010572282
E02000162,Bromley 036,1005,1386,799,666,237,553,396,427,320,1332,7121,14.11318635,19.46355849,11.22033422,9.352619014,3.328184244,7.765763236,5.561016711
E02000163,Bromley 037,1451,1499,907,754,238,471,305,326,346,1418,7715,18.80751782,19.42968244,11.75631886,9.773169151,3.084899546,6.104990279,3.953337654
E02000165,Bromley 039,739,1364,937,808,339,590,409,275,322,1389,7172,10.30395984,19.01840491,13.06469604,11.26603458,4.726715003,8.226436141,5.70273285
E02000166,Camden 001,1616,1651,476,682,152,439,364,612,533,1217,7742,20.87315939,21.32523896,6.148282098,8.809093258,1.963316972,5.670369414,4.701627486
E02000167,Camden 002,2311,1644,313,666,73,197,102,282,414,1196,7198,32.10614059,22.83967769,4.348430119,9.252570158,1.014170603,2.736871353,1.417060295
E02000168,Camden 003,1818,1779,449,658,172,378,346,475,551,1190,7816,23.25997953,22.76100307,5.744626407,8.418628454,2.200614125,4.836233367,4.426816786
E02000169,Camden 004,2183,1249,375,703,49,189,136,400,476,1419,7179,30.40813484,17.39796629,5.223568742,9.792450202,0.682546316,2.632678646,1.894414264
E02000170,Camden 005,2043,1621,406,678,162,335,309,480,544,1338,7916,25.80848914,20.4775139,5.128852956,8.564931784,2.046488125,4.231935321,3.903486609
E02000171,Camden 006,1820,1577,432,609,158,320,269,495,532,1179,7391,24.62454336,21.33676093,5.844946557,8.239751049,2.137735083,4.329590042,3.639561629
E02000172,Camden 007,1214,1529,651,739,280,720,681,1219,1133,1832,9998,12.14242849,15.29305861,6.51130226,7.391478296,2.800560112,7.201440288,6.811362272
E02000173,Camden 008,2164,1648,349,621,93,244,179,355,520,1318,7491,28.88799893,21.99973301,4.658924042,8.289947938,1.241489788,3.257242024,2.389534108
E02000174,Camden 009,1458,1546,544,601,184,464,428,689,847,1325,8086,18.03116498,19.11946574,6.727677467,7.432599555,2.275537967,5.738313134,5.293099184
E02000175,Camden 010,2445,1863,495,670,172,440,332,606,856,1202,9081,26.92434754,20.51536174,5.450941526,7.378042066,1.89406453,4.845281357,3.655985024
E02000176,Camden 011,1884,1280,313,537,74,198,146,237,302,946,5917,31.84045969,21.63258408,5.289842826,9.07554504,1.250633767,3.34629035,2.467466622
E02000177,Camden 012,1380,1420,564,644,226,560,548,882,874,1390,8488,16.25824694,16.72950047,6.644674835,7.587181904,2.662582469,6.597549482,6.456173421
E02000178,Camden 013,1701,1645,539,667,276,616,572,916,682,1291,8905,19.1016283,18.47276811,6.052779337,7.49017406,3.099382369,6.9174621,6.423357664
E02000179,Camden 014,1363,993,308,495,89,284,225,431,532,1028,5748,23.71259569,17.27557411,5.358385525,8.611691023,1.548364649,4.940848991,3.91440501
