Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_or_more_cars
E02000234,Croydon 041,323
E02000235,Croydon 042,337
E02000236,Croydon 043,379
E02000237,Croydon 044,364
E02000238,Ealing 001,210
E02000239,Ealing 002,235
E02000240,Ealing 003,200
E02000241,Ealing 004,174
E02000242,Ealing 005,155
E02000243,Ealing 006,196
E02000244,Ealing 007,165
E02000245,Ealing 008,132
E02000246,Ealing 009,244
E02000247,Ealing 010,209
E02000248,Ealing 011,117
E02000249,Ealing 012,184
E02000250,Ealing 013,92
E02000251,Ealing 014,275
E02000252,Ealing 015,72
E02000253,Ealing 016,117
E02000254,Ealing 017,307
E02000255,Ealing 018,137
E02000256,Ealing 019,118
E02000258,Ealing 021,62
E02000259,Ealing 022,87
E02000260,Ealing 023,215
E02000261,Ealing 024,96
E02000262,Ealing 025,58
E02000263,Ealing 026,225
E02000264,Ealing 027,102
E02000265,Ealing 028,58
E02000266,Ealing 029,246
E02000267,Ealing 030,60
E02000268,Ealing 031,129
E02000269,Ealing 032,78
E02000270,Ealing 033,47
E02000271,Ealing 034,59
E02000272,Ealing 035,90
E02000275,Ealing 038,257
E02000276,Ealing 039,54
E02000277,Enfield 001,223
E02000278,Enfield 002,187
E02000279,Enfield 003,198
E02000280,Enfield 004,246
E02000281,Enfield 005,291
E02000282,Enfield 006,177
E02000283,Enfield 007,254
E02000284,Enfield 008,159
E02000285,Enfield 009,245
E02000286,Enfield 010,210
E02000287,Enfield 011,417
E02000288,Enfield 012,231
E02000289,Enfield 013,304
E02000290,Enfield 014,89
E02000291,Enfield 015,159
E02000292,Enfield 016,215
E02000293,Enfield 017,295
E02000294,Enfield 018,224
E02000295,Enfield 019,254
E02000296,Enfield 020,169
E02000297,Enfield 021,372
E02000298,Enfield 022,357
E02000299,Enfield 023,124
E02000300,Enfield 024,145
E02000301,Enfield 025,113
E02000302,Enfield 026,248
E02000303,Enfield 027,135
E02000304,Enfield 028,269
E02000305,Enfield 029,139
E02000306,Enfield 030,74
E02000307,Enfield 031,251
E02000308,Enfield 032,137
E02000309,Enfield 033,103
E02000311,Enfield 035,189
E02000312,Enfield 036,135
E02000313,Greenwich 001,63
E02000314,Greenwich 002,137
E02000315,Greenwich 003,91
E02000317,Greenwich 005,40
E02000318,Greenwich 006,87
E02000319,Greenwich 007,85
E02000320,Greenwich 008,117
E02000321,Greenwich 009,44
E02000323,Greenwich 011,110
E02000324,Greenwich 012,95
E02000326,Greenwich 014,101
E02000327,Greenwich 015,47
E02000328,Greenwich 016,67
E02000329,Greenwich 017,125
E02000331,Greenwich 019,118
E02000332,Greenwich 020,146
E02000333,Greenwich 021,82
E02000334,Greenwich 022,126
E02000335,Greenwich 023,156
E02000337,Greenwich 025,145
E02000339,Greenwich 027,152
E02000340,Greenwich 028,179
E02000341,Greenwich 029,115
E02000342,Greenwich 030,104
E02000343,Greenwich 031,182
E02000344,Greenwich 032,211
E02000345,Hackney 001,27
E02000346,Hackney 002,25
E02000347,Hackney 003,20
E02000348,Hackney 004,13
E02000350,Hackney 006,59
E02000351,Hackney 007,22
E02000352,Hackney 008,27
E02000353,Hackney 009,28
E02000354,Hackney 010,37
E02000355,Hackney 011,41
E02000356,Hackney 012,23
E02000357,Hackney 013,25
E02000358,Hackney 014,45
E02000359,Hackney 015,20
E02000360,Hackney 016,24
E02000361,Hackney 017,8
E02000362,Hackney 018,20
E02000363,Hackney 019,18
E02000364,Hackney 020,32
E02000366,Hackney 022,33
E02000367,Hackney 023,29
E02000368,Hackney 024,37
E02000369,Hackney 025,27
E02000370,Hackney 026,18
E02000372,Hammersmith and Fulham 001,35
E02000373,Hammersmith and Fulham 002,17
E02000374,Hammersmith and Fulham 003,39
E02000375,Hammersmith and Fulham 004,20
E02000376,Hammersmith and Fulham 005,26
E02000377,Hammersmith and Fulham 006,33
E02000378,Hammersmith and Fulham 007,17
E02000379,Hammersmith and Fulham 008,44
E02000380,Hammersmith and Fulham 009,22
E02000381,Hammersmith and Fulham 010,44
E02000382,Hammersmith and Fulham 011,27
E02000383,Hammersmith and Fulham 012,27
E02000384,Hammersmith and Fulham 013,16
E02000385,Hammersmith and Fulham 014,14
E02000386,Hammersmith and Fulham 015,26
E02000387,Hammersmith and Fulham 016,26
E02000388,Hammersmith and Fulham 017,31
E02000389,Hammersmith and Fulham 018,59
E02000390,Hammersmith and Fulham 019,30
E02000391,Hammersmith and Fulham 020,60
E02000392,Hammersmith and Fulham 021,46
E02000393,Hammersmith and Fulham 022,46
E02000394,Hammersmith and Fulham 023,45
E02000395,Hammersmith and Fulham 024,72
E02000396,Hammersmith and Fulham 025,46
E02000397,Haringey 001,49
E02000398,Haringey 002,44
E02000400,Haringey 004,72
E02000401,Haringey 005,59
E02000402,Haringey 006,53
E02000403,Haringey 007,35
E02000404,Haringey 008,36
E02000405,Haringey 009,65
E02000406,Haringey 010,34
E02000407,Haringey 011,30
E02000408,Haringey 012,43
E02000409,Haringey 013,34
E02000410,Haringey 014,60
E02000411,Haringey 015,41
E02000412,Haringey 016,20
E02000413,Haringey 017,89
E02000414,Haringey 018,29
E02000415,Haringey 019,37
E02000416,Haringey 020,31
E02000417,Haringey 021,81
E02000418,Haringey 022,33
E02000419,Haringey 023,36
E02000420,Haringey 024,47
E02000421,Haringey 025,31
E02000422,Haringey 026,30
E02000423,Haringey 027,24
E02000424,Haringey 028,34
E02000425,Haringey 029,39
E02000426,Haringey 030,150
E02000427,Haringey 031,34
E02000428,Haringey 032,45
E02000429,Haringey 033,60
E02000430,Haringey 034,31
E02000431,Haringey 035,33
E02000432,Haringey 036,19
E02000433,Harrow 001,286
E02000434,Harrow 002,268
E02000435,Harrow 003,289
E02000436,Harrow 004,293
E02000437,Harrow 005,287
E02000438,Harrow 006,242
E02000439,Harrow 007,203
E02000440,Harrow 008,333
E02000441,Harrow 009,234
E02000442,Harrow 010,239
E02000443,Harrow 011,169
E02000444,Harrow 012,261
E02000445,Harrow 013,223
E02000447,Harrow 015,259
E02000448,Harrow 016,235
E02000449,Harrow 017,211
E02000451,Harrow 019,219
E02000452,Harrow 020,112
E02000453,Harrow 021,147
E02000454,Harrow 022,237
E02000455,Harrow 023,95
E02000456,Harrow 024,198
E02000457,Harrow 025,169
E02000459,Harrow 027,148
E02000460,Harrow 028,140
E02000461,Harrow 029,126
E02000462,Harrow 030,158
E02000463,Harrow 031,249
E02000464,Havering 001,267
E02000465,Havering 002,262
E02000466,Havering 003,384
E02000467,Havering 004,232
E02000468,Havering 005,353
E02000469,Havering 006,206
E02000470,Havering 007,299
E02000471,Havering 008,454
E02000472,Havering 009,375
E02000473,Havering 010,469
E02000474,Havering 011,244
E02000475,Havering 012,414
E02000476,Havering 013,159
E02000477,Havering 014,395
E02000478,Havering 015,510
E02000479,Havering 016,206
E02000480,Havering 017,312
E02000481,Havering 018,361
E02000482,Havering 019,310
E02000483,Havering 020,269
E02000484,Havering 021,381
E02000485,Havering 022,260
E02000486,Havering 023,235
E02000487,Havering 024,424
E02000488,Havering 025,316
E02000489,Havering 026,263
E02000490,Havering 027,296
E02000491,Havering 028,303
E02000492,Havering 029,369
E02000493,Havering 030,199
E02000494,Hillingdon 001,348
E02000495,Hillingdon 002,243
E02000496,Hillingdon 003,397
E02000497,Hillingdon 004,343
E02000498,Hillingdon 005,259
E02000499,Hillingdon 006,291
E02000500,Hillingdon 007,360
E02000501,Hillingdon 008,278
E02000502,Hillingdon 009,219
E02000503,Hillingdon 010,323
E02000504,Hillingdon 011,375
E02000506,Hillingdon 013,512
E02000507,Hillingdon 014,331
E02000508,Hillingdon 015,194
E02000509,Hillingdon 016,166
E02000510,Hillingdon 017,361
E02000511,Hillingdon 018,469
E02000512,Hillingdon 019,254
E02000513,Hillingdon 020,189
E02000514,Hillingdon 021,342
E02000515,Hillingdon 022,261
E02000516,Hillingdon 023,274
E02000517,Hillingdon 024,271
E02000518,Hillingdon 025,329
E02000519,Hillingdon 026,321
E02000520,Hillingdon 027,331
E02000521,Hillingdon 028,358
E02000522,Hillingdon 029,249
E02000523,Hillingdon 030,336
E02000524,Hillingdon 031,242
E02000525,Hillingdon 032,191
E02000526,Hounslow 001,76
E02000529,Hounslow 004,285
E02000530,Hounslow 005,177
E02000531,Hounslow 006,113
E02000532,Hounslow 007,128
E02000533,Hounslow 008,121
E02000534,Hounslow 009,211
E02000535,Hounslow 010,366
E02000536,Hounslow 011,333
E02000537,Hounslow 012,222
E02000538,Hounslow 013,267
E02000539,Hounslow 014,151
E02000540,Hounslow 015,144
E02000541,Hounslow 016,205
E02000542,Hounslow 017,178
E02000543,Hounslow 018,168
E02000544,Hounslow 019,268
E02000545,Hounslow 020,137
E02000546,Hounslow 021,256
E02000547,Hounslow 022,289
E02000548,Hounslow 023,250
E02000549,Hounslow 024,357
E02000550,Hounslow 025,228
E02000551,Hounslow 026,190
E02000552,Hounslow 027,261
E02000553,Hounslow 028,241
E02000554,Islington 001,22
E02000555,Islington 002,38
E02000556,Islington 003,54
E02000557,Islington 004,22
E02000558,Islington 005,23
E02000559,Islington 006,54
E02000560,Islington 007,18
E02000561,Islington 008,36
E02000562,Islington 009,36
E02000563,Islington 010,25
E02000564,Islington 011,18
E02000565,Islington 012,23
E02000566,Islington 013,29
E02000567,Islington 014,29
E02000568,Islington 015,26
E02000569,Islington 016,45
E02000570,Islington 017,28
E02000571,Islington 018,18
E02000572,Islington 019,15
E02000573,Islington 020,23
E02000574,Islington 021,19
E02000575,Islington 022,23
E02000576,Islington 023,9
E02000577,Kensington and Chelsea 001,25
E02000578,Kensington and Chelsea 002,33
E02000579,Kensington and Chelsea 003,78
E02000580,Kensington and Chelsea 004,17
E02000581,Kensington and Chelsea 005,28
