Middle layer Super Output Areas Code,Middle layer Super Output Areas,2_bedrooms
E02000001,City of London 001,1578
E02000002,Barking and Dagenham 001,1088
E02000003,Barking and Dagenham 002,1085
E02000004,Barking and Dagenham 003,515
E02000005,Barking and Dagenham 004,1281
E02000007,Barking and Dagenham 006,1275
E02000008,Barking and Dagenham 007,2045
E02000009,Barking and Dagenham 008,1707
E02000010,Barking and Dagenham 009,1524
E02000011,Barking and Dagenham 010,634
E02000012,Barking and Dagenham 011,556
E02000013,Barking and Dagenham 012,1346
E02000014,Barking and Dagenham 013,1504
E02000015,Barking and Dagenham 014,894
E02000016,Barking and Dagenham 015,1304
E02000017,Barking and Dagenham 016,470
E02000018,Barking and Dagenham 017,1375
E02000019,Barking and Dagenham 018,1427
E02000020,Barking and Dagenham 019,1794
E02000021,Barking and Dagenham 020,706
E02000022,Barking and Dagenham 021,1344
E02000023,Barking and Dagenham 022,822
E02000024,Barnet 001,1133
E02000025,Barnet 002,1319
E02000026,Barnet 003,561
E02000027,Barnet 004,987
E02000028,Barnet 005,826
E02000029,Barnet 006,1238
E02000030,Barnet 007,725
E02000031,Barnet 008,860
E02000032,Barnet 009,140
E02000033,Barnet 010,1036
E02000034,Barnet 011,1215
E02000035,Barnet 012,1279
E02000036,Barnet 013,1063
E02000037,Barnet 014,808
E02000038,Barnet 015,1190
E02000039,Barnet 016,654
E02000040,Barnet 017,1147
E02000041,Barnet 018,888
E02000042,Barnet 019,1561
E02000043,Barnet 020,393
E02000044,Barnet 021,986
E02000045,Barnet 022,1524
E02000046,Barnet 023,907
E02000047,Barnet 024,1578
E02000048,Barnet 025,1253
E02000049,Barnet 026,1518
E02000050,Barnet 027,1192
E02000051,Barnet 028,1453
E02000052,Barnet 029,1319
E02000054,Barnet 031,895
E02000055,Barnet 032,1490
E02000056,Barnet 033,845
E02000057,Barnet 034,639
E02000058,Barnet 035,973
E02000059,Barnet 036,1553
E02000060,Barnet 037,695
E02000061,Barnet 038,918
E02000062,Barnet 039,870
E02000063,Barnet 040,585
E02000064,Barnet 041,1180
E02000065,Bexley 001,816
E02000066,Bexley 002,853
E02000067,Bexley 003,1523
E02000068,Bexley 004,1401
E02000069,Bexley 005,826
E02000070,Bexley 006,732
E02000071,Bexley 007,638
E02000072,Bexley 008,1523
E02000073,Bexley 009,629
E02000074,Bexley 010,1125
E02000075,Bexley 011,663
E02000077,Bexley 013,379
E02000078,Bexley 014,778
E02000079,Bexley 015,1075
E02000080,Bexley 016,939
E02000081,Bexley 017,752
E02000082,Bexley 018,465
E02000083,Bexley 019,1215
E02000084,Bexley 020,871
E02000085,Bexley 021,1000
E02000086,Bexley 022,551
E02000087,Bexley 023,754
E02000088,Bexley 024,598
E02000089,Bexley 025,403
E02000090,Bexley 026,1564
E02000091,Bexley 027,1290
E02000092,Bexley 028,918
E02000093,Brent 001,804
E02000094,Brent 002,893
E02000095,Brent 003,697
E02000096,Brent 004,365
E02000097,Brent 005,594
E02000098,Brent 006,656
E02000099,Brent 007,770
E02000100,Brent 008,223
E02000101,Brent 009,1260
E02000102,Brent 010,577
E02000103,Brent 011,1185
E02000104,Brent 012,567
E02000105,Brent 013,1017
E02000106,Brent 014,1043
E02000107,Brent 015,1393
E02000108,Brent 016,576
E02000110,Brent 018,680
E02000111,Brent 019,1146
E02000112,Brent 020,937
E02000113,Brent 021,1125
E02000114,Brent 022,1248
E02000115,Brent 023,1496
E02000116,Brent 024,1413
E02000117,Brent 025,1693
E02000118,Brent 026,755
E02000119,Brent 027,1490
E02000120,Brent 028,1432
E02000121,Brent 029,1176
E02000122,Brent 030,865
E02000123,Brent 031,1987
E02000124,Brent 032,1560
E02000125,Brent 033,1209
E02000126,Brent 034,1435
E02000127,Bromley 001,1216
E02000128,Bromley 002,833
E02000130,Bromley 004,1059
E02000131,Bromley 005,2093
E02000132,Bromley 006,2066
E02000133,Bromley 007,862
E02000134,Bromley 008,2132
E02000135,Bromley 009,1709
E02000136,Bromley 010,625
E02000137,Bromley 011,1166
E02000138,Bromley 012,1550
E02000139,Bromley 013,959
E02000140,Bromley 014,904
E02000141,Bromley 015,919
E02000142,Bromley 016,833
E02000144,Bromley 018,1424
E02000145,Bromley 019,1276
E02000146,Bromley 020,1311
E02000147,Bromley 021,516
E02000148,Bromley 022,466
E02000149,Bromley 023,1051
E02000150,Bromley 024,310
E02000151,Bromley 025,420
E02000152,Bromley 026,740
E02000153,Bromley 027,265
E02000154,Bromley 028,846
E02000155,Bromley 029,822
E02000156,Bromley 030,701
E02000157,Bromley 031,568
E02000158,Bromley 032,528
E02000159,Bromley 033,514
E02000160,Bromley 034,599
E02000161,Bromley 035,487
E02000162,Bromley 036,691
E02000163,Bromley 037,495
E02000165,Bromley 039,431
E02000166,Camden 001,869
E02000167,Camden 002,1066
E02000168,Camden 003,1041
E02000169,Camden 004,948
E02000170,Camden 005,991
E02000171,Camden 006,1152
E02000172,Camden 007,1363
E02000173,Camden 008,1070
E02000174,Camden 009,1133
E02000175,Camden 010,1462
E02000176,Camden 011,1132
E02000177,Camden 012,1302
E02000178,Camden 013,1406
E02000179,Camden 014,907
E02000180,Camden 015,1235
E02000181,Camden 016,1555
E02000182,Camden 017,1149
E02000183,Camden 018,1125
E02000184,Camden 019,1420
