Middle layer Super Output Areas Code,Middle layer Super Output Areas,2_bedrooms
E02000185,Camden 020,1335
E02000186,Camden 021,948
E02000187,Camden 022,1427
E02000188,Camden 023,934
E02000191,Camden 026,795
E02000192,Camden 027,1151
E02000193,Camden 028,952
E02000194,Croydon 001,1590
E02000195,Croydon 002,750
E02000196,Croydon 003,450
E02000197,Croydon 004,1021
E02000198,Croydon 005,1338
E02000199,Croydon 006,779
E02000200,Croydon 007,1408
E02000201,Croydon 008,1329
E02000202,Croydon 009,577
E02000203,Croydon 010,932
E02000204,Croydon 011,618
E02000206,Croydon 013,1857
E02000207,Croydon 014,1169
E02000208,Croydon 015,1458
E02000209,Croydon 016,965
E02000210,Croydon 017,1083
E02000211,Croydon 018,639
E02000212,Croydon 019,1205
E02000213,Croydon 020,2289
E02000214,Croydon 021,304
E02000215,Croydon 022,1894
E02000216,Croydon 023,979
E02000217,Croydon 024,2149
E02000218,Croydon 025,623
E02000219,Croydon 026,529
E02000221,Croydon 028,1375
E02000222,Croydon 029,1456
E02000223,Croydon 030,768
E02000224,Croydon 031,1158
E02000225,Croydon 032,652
E02000226,Croydon 033,194
E02000227,Croydon 034,1066
E02000228,Croydon 035,386
E02000229,Croydon 036,689
E02000230,Croydon 037,1106
E02000231,Croydon 038,353
E02000232,Croydon 039,373
E02000233,Croydon 040,574
E02000234,Croydon 041,895
E02000235,Croydon 042,571
E02000236,Croydon 043,385
E02000237,Croydon 044,577
E02000238,Ealing 001,836
E02000239,Ealing 002,301
E02000240,Ealing 003,1634
E02000241,Ealing 004,803
E02000242,Ealing 005,347
E02000243,Ealing 006,698
E02000244,Ealing 007,569
E02000245,Ealing 008,1405
E02000246,Ealing 009,900
E02000247,Ealing 010,1451
E02000248,Ealing 011,988
E02000249,Ealing 012,874
E02000250,Ealing 013,561
E02000251,Ealing 014,371
E02000252,Ealing 015,1266
E02000253,Ealing 016,1367
E02000254,Ealing 017,429
E02000255,Ealing 018,1111
E02000256,Ealing 019,1497
E02000258,Ealing 021,684
E02000259,Ealing 022,617
E02000260,Ealing 023,646
E02000261,Ealing 024,1615
E02000262,Ealing 025,1377
E02000263,Ealing 026,656
E02000264,Ealing 027,996
E02000265,Ealing 028,1476
E02000266,Ealing 029,1358
E02000267,Ealing 030,1035
E02000268,Ealing 031,1058
E02000269,Ealing 032,896
E02000270,Ealing 033,1692
E02000271,Ealing 034,710
E02000272,Ealing 035,497
E02000275,Ealing 038,583
E02000276,Ealing 039,764
E02000277,Enfield 001,669
E02000278,Enfield 002,963
E02000279,Enfield 003,1412
E02000280,Enfield 004,1108
E02000281,Enfield 005,1277
E02000282,Enfield 006,1126
E02000283,Enfield 007,560
E02000284,Enfield 008,1198
E02000285,Enfield 009,227
E02000286,Enfield 010,1450
E02000287,Enfield 011,626
E02000288,Enfield 012,897
E02000289,Enfield 013,271
E02000290,Enfield 014,874
E02000291,Enfield 015,1767
E02000292,Enfield 016,922
E02000293,Enfield 017,517
E02000294,Enfield 018,757
E02000295,Enfield 019,1239
E02000296,Enfield 020,1702
E02000297,Enfield 021,415
E02000298,Enfield 022,584
E02000299,Enfield 023,926
E02000300,Enfield 024,619
E02000301,Enfield 025,1230
E02000302,Enfield 026,500
E02000303,Enfield 027,793
E02000304,Enfield 028,454
E02000305,Enfield 029,1019
E02000306,Enfield 030,1412
E02000307,Enfield 031,796
E02000308,Enfield 032,832
E02000309,Enfield 033,1498
E02000311,Enfield 035,827
E02000312,Enfield 036,1298
E02000313,Greenwich 001,592
E02000314,Greenwich 002,2095
E02000315,Greenwich 003,1132
E02000317,Greenwich 005,999
E02000318,Greenwich 006,1086
E02000319,Greenwich 007,1611
E02000320,Greenwich 008,866
E02000321,Greenwich 009,1107
E02000323,Greenwich 011,1670
E02000324,Greenwich 012,726
E02000326,Greenwich 014,936
E02000327,Greenwich 015,823
E02000328,Greenwich 016,1005
E02000329,Greenwich 017,600
E02000331,Greenwich 019,1000
E02000332,Greenwich 020,700
E02000333,Greenwich 021,947
E02000334,Greenwich 022,623
E02000335,Greenwich 023,415
E02000337,Greenwich 025,724
E02000339,Greenwich 027,521
E02000340,Greenwich 028,944
E02000341,Greenwich 029,967
E02000342,Greenwich 030,740
E02000343,Greenwich 031,500
E02000344,Greenwich 032,367
E02000345,Hackney 001,687
E02000346,Hackney 002,1572
E02000347,Hackney 003,938
E02000348,Hackney 004,1038
E02000350,Hackney 006,1042
E02000351,Hackney 007,1588
E02000352,Hackney 008,1021
E02000353,Hackney 009,828
E02000354,Hackney 010,1262
E02000355,Hackney 011,689
E02000356,Hackney 012,936
E02000357,Hackney 013,850
E02000358,Hackney 014,1588
E02000359,Hackney 015,490
E02000360,Hackney 016,1998
E02000361,Hackney 017,1300
E02000362,Hackney 018,961
E02000363,Hackney 019,1858
E02000364,Hackney 020,1265
E02000366,Hackney 022,1107
E02000367,Hackney 023,1888
E02000368,Hackney 024,1439
E02000369,Hackney 025,2619
E02000370,Hackney 026,1548
E02000372,Hammersmith and Fulham 001,1318
E02000373,Hammersmith and Fulham 002,958
E02000374,Hammersmith and Fulham 003,736
E02000375,Hammersmith and Fulham 004,1155
E02000376,Hammersmith and Fulham 005,995
E02000377,Hammersmith and Fulham 006,993
E02000378,Hammersmith and Fulham 007,1089
E02000379,Hammersmith and Fulham 008,1004
E02000380,Hammersmith and Fulham 009,778
E02000381,Hammersmith and Fulham 010,1171
E02000382,Hammersmith and Fulham 011,899
E02000383,Hammersmith and Fulham 012,1430
E02000384,Hammersmith and Fulham 013,1295
E02000385,Hammersmith and Fulham 014,893
E02000386,Hammersmith and Fulham 015,1229
E02000387,Hammersmith and Fulham 016,685
E02000388,Hammersmith and Fulham 017,1379
E02000389,Hammersmith and Fulham 018,1152
E02000390,Hammersmith and Fulham 019,734
E02000391,Hammersmith and Fulham 020,944
E02000392,Hammersmith and Fulham 021,1347
E02000393,Hammersmith and Fulham 022,1000
E02000394,Hammersmith and Fulham 023,2087
E02000395,Hammersmith and Fulham 024,840
E02000396,Hammersmith and Fulham 025,932
E02000397,Haringey 001,1291
E02000398,Haringey 002,1000
E02000400,Haringey 004,1043
E02000401,Haringey 005,848
E02000402,Haringey 006,903
E02000403,Haringey 007,998
E02000404,Haringey 008,830
E02000405,Haringey 009,583
E02000406,Haringey 010,1003
E02000407,Haringey 011,1081
E02000408,Haringey 012,1065
E02000409,Haringey 013,751
E02000410,Haringey 014,837
E02000411,Haringey 015,1570
E02000412,Haringey 016,865
E02000413,Haringey 017,775
E02000414,Haringey 018,756
E02000415,Haringey 019,779
E02000416,Haringey 020,1439
E02000417,Haringey 021,900
E02000418,Haringey 022,527
E02000419,Haringey 023,1185
E02000420,Haringey 024,1121
E02000421,Haringey 025,1043
E02000422,Haringey 026,910
E02000423,Haringey 027,643
E02000424,Haringey 028,999
E02000425,Haringey 029,382
E02000426,Haringey 030,945
E02000427,Haringey 031,821
E02000428,Haringey 032,918
E02000429,Haringey 033,1148
E02000430,Haringey 034,1106
E02000431,Haringey 035,1088
E02000432,Haringey 036,1042
E02000433,Harrow 001,1363
E02000434,Harrow 002,943
E02000435,Harrow 003,672
E02000436,Harrow 004,212
E02000437,Harrow 005,665
E02000438,Harrow 006,894
E02000439,Harrow 007,695
E02000440,Harrow 008,280
E02000441,Harrow 009,838
E02000442,Harrow 010,366
E02000443,Harrow 011,787
E02000444,Harrow 012,538
E02000445,Harrow 013,1068
E02000447,Harrow 015,479
E02000448,Harrow 016,720
E02000449,Harrow 017,433
E02000451,Harrow 019,280
E02000452,Harrow 020,1204
E02000453,Harrow 021,848
E02000454,Harrow 022,405
E02000455,Harrow 023,1989
E02000456,Harrow 024,501
E02000457,Harrow 025,404
E02000459,Harrow 027,1060
E02000460,Harrow 028,767
E02000461,Harrow 029,1071
E02000462,Harrow 030,487
E02000463,Harrow 031,580
E02000464,Havering 001,782
E02000465,Havering 002,752
E02000466,Havering 003,897
E02000467,Havering 004,957
E02000468,Havering 005,502
E02000469,Havering 006,867
E02000470,Havering 007,1072
E02000471,Havering 008,388
E02000472,Havering 009,754
E02000473,Havering 010,735
E02000474,Havering 011,934
E02000475,Havering 012,1142
E02000476,Havering 013,1656
E02000477,Havering 014,607
E02000478,Havering 015,273
E02000479,Havering 016,1258
E02000480,Havering 017,1620
E02000481,Havering 018,713
E02000482,Havering 019,381
E02000483,Havering 020,1112
E02000484,Havering 021,520
E02000485,Havering 022,1085
E02000486,Havering 023,661
E02000487,Havering 024,326
E02000488,Havering 025,479
E02000489,Havering 026,505
E02000490,Havering 027,514
E02000491,Havering 028,1044
E02000492,Havering 029,459
E02000493,Havering 030,629
E02000494,Hillingdon 001,756
E02000495,Hillingdon 002,1508
E02000496,Hillingdon 003,1015
E02000497,Hillingdon 004,1101
E02000498,Hillingdon 005,718
E02000499,Hillingdon 006,555
E02000500,Hillingdon 007,754
E02000501,Hillingdon 008,863
E02000502,Hillingdon 009,1323
E02000503,Hillingdon 010,975
E02000504,Hillingdon 011,486
E02000506,Hillingdon 013,375
E02000507,Hillingdon 014,416
E02000508,Hillingdon 015,1481
E02000509,Hillingdon 016,1034
E02000510,Hillingdon 017,659
E02000511,Hillingdon 018,666
E02000512,Hillingdon 019,1023
E02000513,Hillingdon 020,1500
E02000514,Hillingdon 021,857
E02000515,Hillingdon 022,1882
E02000516,Hillingdon 023,879
E02000517,Hillingdon 024,946
E02000518,Hillingdon 025,812
E02000519,Hillingdon 026,770
E02000520,Hillingdon 027,1145
E02000521,Hillingdon 028,1203
E02000522,Hillingdon 029,1148
E02000523,Hillingdon 030,829
E02000524,Hillingdon 031,674
E02000525,Hillingdon 032,1292
E02000526,Hounslow 001,955
E02000529,Hounslow 004,853
E02000530,Hounslow 005,931
E02000531,Hounslow 006,1701
E02000532,Hounslow 007,1032
E02000533,Hounslow 008,1187
E02000534,Hounslow 009,753
E02000535,Hounslow 010,444
E02000536,Hounslow 011,680
E02000537,Hounslow 012,792
E02000538,Hounslow 013,741
E02000539,Hounslow 014,1902
E02000540,Hounslow 015,1573
E02000541,Hounslow 016,841
E02000542,Hounslow 017,1275
E02000543,Hounslow 018,1744
E02000544,Hounslow 019,356
E02000545,Hounslow 020,1285
E02000546,Hounslow 021,917
E02000547,Hounslow 022,1354
E02000548,Hounslow 023,1185
E02000549,Hounslow 024,1118
E02000550,Hounslow 025,1551
E02000551,Hounslow 026,1150
E02000552,Hounslow 027,1346
E02000553,Hounslow 028,832
E02000554,Islington 001,1426
E02000555,Islington 002,1134
E02000556,Islington 003,1545
E02000557,Islington 004,1338
E02000558,Islington 005,1190
E02000559,Islington 006,1273
E02000560,Islington 007,1089
E02000561,Islington 008,925
E02000562,Islington 009,1216
E02000563,Islington 010,1451
E02000564,Islington 011,2235
E02000565,Islington 012,1340
E02000566,Islington 013,1280
E02000567,Islington 014,1894
E02000568,Islington 015,1759
E02000569,Islington 016,1771
E02000570,Islington 017,1363
E02000571,Islington 018,1677
E02000572,Islington 019,1248
E02000573,Islington 020,1776
E02000574,Islington 021,1536
E02000575,Islington 022,2083
E02000576,Islington 023,2195
E02000577,Kensington and Chelsea 001,1045
E02000578,Kensington and Chelsea 002,910
E02000579,Kensington and Chelsea 003,1254
E02000580,Kensington and Chelsea 004,1380
E02000581,Kensington and Chelsea 005,899
E02000582,Kensington and Chelsea 006,1140
E02000583,Kensington and Chelsea 007,957
E02000584,Kensington and Chelsea 008,1072
E02000585,Kensington and Chelsea 009,1293
E02000586,Kensington and Chelsea 010,1016
E02000587,Kensington and Chelsea 011,945
E02000588,Kensington and Chelsea 012,1115
E02000589,Kensington and Chelsea 013,1348
E02000590,Kensington and Chelsea 014,981
E02000591,Kensington and Chelsea 015,1337
E02000592,Kensington and Chelsea 016,1106
E02000593,Kensington and Chelsea 017,1488
E02000594,Kensington and Chelsea 018,968
E02000595,Kensington and Chelsea 019,834
E02000596,Kensington and Chelsea 020,1121
E02000597,Kensington and Chelsea 021,1261
E02000598,Kingston upon Thames 001,586
E02000599,Kingston upon Thames 002,213
E02000600,Kingston upon Thames 003,1199
E02000601,Kingston upon Thames 004,1710
E02000602,Kingston upon Thames 005,1399
E02000603,Kingston upon Thames 006,585
E02000604,Kingston upon Thames 007,817
E02000605,Kingston upon Thames 008,596
E02000606,Kingston upon Thames 009,2047
E02000607,Kingston upon Thames 010,597
E02000608,Kingston upon Thames 011,1509
E02000609,Kingston upon Thames 012,446
E02000610,Kingston upon Thames 013,1605
E02000611,Kingston upon Thames 014,232
E02000612,Kingston upon Thames 015,336
E02000613,Kingston upon Thames 016,983
E02000614,Kingston upon Thames 017,639
E02000615,Kingston upon Thames 018,589
E02000616,Kingston upon Thames 019,635
E02000617,Kingston upon Thames 020,1056
E02000619,Lambeth 002,1415
E02000620,Lambeth 003,1901
E02000621,Lambeth 004,2430
E02000622,Lambeth 005,1229
E02000623,Lambeth 006,1407
E02000624,Lambeth 007,1828
E02000625,Lambeth 008,1642
E02000626,Lambeth 009,1245
E02000627,Lambeth 010,1649
E02000628,Lambeth 011,1550
E02000629,Lambeth 012,1435
E02000630,Lambeth 013,1336
E02000631,Lambeth 014,1180
E02000632,Lambeth 015,1668
E02000633,Lambeth 016,1440
E02000634,Lambeth 017,1223
E02000635,Lambeth 018,1412
E02000636,Lambeth 019,925
E02000637,Lambeth 020,1312
E02000638,Lambeth 021,1629
E02000639,Lambeth 022,1528
E02000640,Lambeth 023,1262
E02000641,Lambeth 024,1220
E02000642,Lambeth 025,1251
E02000643,Lambeth 026,1389
E02000644,Lambeth 027,1142
E02000645,Lambeth 028,1403
E02000646,Lambeth 029,1284
E02000647,Lambeth 030,949
E02000648,Lambeth 031,1163
E02000649,Lambeth 032,2062
E02000650,Lambeth 033,1033
E02000651,Lambeth 034,1004
E02000652,Lambeth 035,329
E02000653,Lewisham 001,2304
E02000654,Lewisham 002,1367
E02000655,Lewisham 003,1389
E02000657,Lewisham 005,1280
E02000658,Lewisham 006,1105
E02000659,Lewisham 007,1425
E02000660,Lewisham 008,1451
E02000661,Lewisham 009,1103
E02000662,Lewisham 010,1212
E02000663,Lewisham 011,897
E02000665,Lewisham 013,1120
E02000666,Lewisham 014,786
E02000667,Lewisham 015,500
E02000668,Lewisham 016,846
E02000669,Lewisham 017,1320
E02000670,Lewisham 018,1065
E02000671,Lewisham 019,1246
E02000672,Lewisham 020,1460
E02000673,Lewisham 021,1160
E02000674,Lewisham 022,523
E02000675,Lewisham 023,1036
E02000676,Lewisham 024,1083
E02000677,Lewisham 025,577
E02000678,Lewisham 026,784
E02000679,Lewisham 027,1031
E02000680,Lewisham 028,1166
E02000681,Lewisham 029,826
E02000682,Lewisham 030,821
E02000683,Lewisham 031,907
E02000685,Lewisham 033,1264
E02000686,Lewisham 034,1312
E02000687,Lewisham 035,1201
E02000689,Merton 001,750
E02000690,Merton 002,456
E02000691,Merton 003,921
E02000692,Merton 004,1382
E02000693,Merton 005,1794
E02000694,Merton 006,1265
E02000695,Merton 007,376
E02000696,Merton 008,891
E02000697,Merton 009,1224
E02000698,Merton 010,720
E02000699,Merton 011,916
E02000700,Merton 012,1281
E02000701,Merton 013,797
E02000702,Merton 014,1033
E02000703,Merton 015,495
E02000704,Merton 016,1200
E02000705,Merton 017,491
E02000706,Merton 018,1101
E02000707,Merton 019,404
E02000708,Merton 020,443
E02000709,Merton 021,195
E02000710,Merton 022,1072
E02000711,Merton 023,1387
E02000712,Merton 024,1103
E02000713,Merton 025,488
E02000714,Newham 001,880
E02000715,Newham 002,525
E02000716,Newham 003,703
E02000717,Newham 004,714
E02000718,Newham 005,834
E02000719,Newham 006,958
E02000720,Newham 007,454
E02000721,Newham 008,681
E02000722,Newham 009,1055
E02000723,Newham 010,446
E02000724,Newham 011,433
E02000725,Newham 012,1692
E02000727,Newham 014,565
E02000728,Newham 015,467
E02000729,Newham 016,526
E02000730,Newham 017,569
E02000731,Newham 018,609
E02000732,Newham 019,858
E02000733,Newham 020,1156
E02000734,Newham 021,780
E02000735,Newham 022,728
E02000736,Newham 023,735
E02000737,Newham 024,920
E02000738,Newham 025,733
E02000739,Newham 026,691
E02000740,Newham 027,908
E02000741,Newham 028,1154
E02000742,Newham 029,751
E02000743,Newham 030,1297
E02000744,Newham 031,1272
E02000745,Newham 032,813
E02000746,Newham 033,1331
E02000747,Newham 034,2054
E02000748,Newham 035,839
E02000749,Newham 036,1116
E02000751,Redbridge 001,1108
E02000752,Redbridge 002,922
E02000753,Redbridge 003,724
E02000754,Redbridge 004,629
E02000755,Redbridge 005,583
E02000756,Redbridge 006,1297
E02000757,Redbridge 007,1578
E02000758,Redbridge 008,405
E02000759,Redbridge 009,1373
E02000760,Redbridge 010,831
E02000762,Redbridge 012,284
E02000763,Redbridge 013,574
E02000764,Redbridge 014,1806
E02000765,Redbridge 015,499
E02000767,Redbridge 017,551
E02000768,Redbridge 018,370
E02000770,Redbridge 020,471
E02000772,Redbridge 022,551
E02000773,Redbridge 023,736
E02000774,Redbridge 024,426
E02000776,Redbridge 026,430
E02000777,Redbridge 027,570
E02000779,Redbridge 029,770
E02000781,Redbridge 031,572
E02000782,Redbridge 032,1307
E02000783,Redbridge 033,634
E02000784,Richmond upon Thames 001,1096
E02000785,Richmond upon Thames 002,1286
E02000786,Richmond upon Thames 003,1769
E02000787,Richmond upon Thames 004,1710
E02000788,Richmond upon Thames 005,901
E02000789,Richmond upon Thames 006,1016
E02000790,Richmond upon Thames 007,808
E02000791,Richmond upon Thames 008,1074
E02000792,Richmond upon Thames 009,986
E02000793,Richmond upon Thames 010,621
E02000794,Richmond upon Thames 011,699
E02000795,Richmond upon Thames 012,511
E02000796,Richmond upon Thames 013,998
E02000797,Richmond upon Thames 014,1232
E02000798,Richmond upon Thames 015,1189
E02000799,Richmond upon Thames 016,624
E02000800,Richmond upon Thames 017,532
E02000801,Richmond upon Thames 018,870
E02000802,Richmond upon Thames 019,826
E02000803,Richmond upon Thames 020,1128
E02000804,Richmond upon Thames 021,880
E02000805,Richmond upon Thames 022,1545
E02000806,Richmond upon Thames 023,1072
E02000807,Southwark 001,1681
E02000808,Southwark 002,2017
E02000810,Southwark 004,2350
E02000812,Southwark 006,1835
E02000813,Southwark 007,1897
E02000814,Southwark 008,1853
E02000815,Southwark 009,1593
E02000816,Southwark 010,1559
E02000817,Southwark 011,1000
E02000818,Southwark 012,1690
E02000819,Southwark 013,1173
E02000820,Southwark 014,1637
E02000821,Southwark 015,1055
E02000822,Southwark 016,1133
E02000823,Southwark 017,1589
E02000824,Southwark 018,1453
E02000825,Southwark 019,1621
E02000826,Southwark 020,1417
E02000827,Southwark 021,2027
E02000828,Southwark 022,1077
E02000829,Southwark 023,1401
E02000830,Southwark 024,1084
E02000831,Southwark 025,1398
E02000832,Southwark 026,1295
E02000833,Southwark 027,1255
E02000834,Southwark 028,1226
E02000835,Southwark 029,989
E02000836,Southwark 030,886
E02000837,Southwark 031,539
E02000838,Southwark 032,1381
E02000839,Southwark 033,1157
E02000840,Sutton 001,1303
E02000841,Sutton 002,1198
E02000842,Sutton 003,586
E02000843,Sutton 004,1534
E02000844,Sutton 005,974
E02000845,Sutton 006,956
E02000846,Sutton 007,726
E02000847,Sutton 008,907
E02000848,Sutton 009,418
E02000849,Sutton 010,1012
E02000850,Sutton 011,948
E02000851,Sutton 012,2072
E02000852,Sutton 013,983
E02000853,Sutton 014,1125
E02000854,Sutton 015,897
E02000855,Sutton 016,644
E02000856,Sutton 017,1122
E02000857,Sutton 018,1943
E02000858,Sutton 019,1095
E02000859,Sutton 020,1070
E02000860,Sutton 021,1794
E02000861,Sutton 022,388
E02000863,Sutton 024,362
E02000864,Tower Hamlets 001,1963
E02000865,Tower Hamlets 002,928
E02000866,Tower Hamlets 003,1181
E02000867,Tower Hamlets 004,2133
E02000868,Tower Hamlets 005,1096
E02000869,Tower Hamlets 006,992
E02000870,Tower Hamlets 007,952
E02000871,Tower Hamlets 008,1581
E02000872,Tower Hamlets 009,1408
E02000873,Tower Hamlets 010,1479
E02000874,Tower Hamlets 011,1007
E02000875,Tower Hamlets 012,2070
E02000876,Tower Hamlets 013,914
E02000877,Tower Hamlets 014,1974
E02000878,Tower Hamlets 015,1482
E02000879,Tower Hamlets 016,1054
E02000880,Tower Hamlets 017,900
E02000881,Tower Hamlets 018,1511
E02000882,Tower Hamlets 019,1540
E02000883,Tower Hamlets 020,1173
E02000884,Tower Hamlets 021,1860
E02000885,Tower Hamlets 022,891
E02000886,Tower Hamlets 023,1717
E02000887,Tower Hamlets 024,1555
E02000888,Tower Hamlets 025,1518
E02000889,Tower Hamlets 026,1568
E02000890,Tower Hamlets 027,1351
E02000893,Tower Hamlets 030,1330
E02000894,Tower Hamlets 031,1906
E02000895,Waltham Forest 001,737
E02000896,Waltham Forest 002,1050
E02000897,Waltham Forest 003,1035
E02000898,Waltham Forest 004,895
E02000899,Waltham Forest 005,573
E02000900,Waltham Forest 006,655
E02000901,Waltham Forest 007,794
E02000902,Waltham Forest 008,969
E02000903,Waltham Forest 009,1004
E02000904,Waltham Forest 010,817
E02000905,Waltham Forest 011,1169
E02000906,Waltham Forest 012,1505
E02000907,Waltham Forest 013,1419
E02000908,Waltham Forest 014,1993
E02000909,Waltham Forest 015,1173
E02000910,Waltham Forest 016,1380
E02000911,Waltham Forest 017,1933
E02000912,Waltham Forest 018,924
E02000913,Waltham Forest 019,661
E02000914,Waltham Forest 020,1134
E02000915,Waltham Forest 021,1109
E02000916,Waltham Forest 022,1790
E02000917,Waltham Forest 023,1584
E02000918,Waltham Forest 024,1023
E02000919,Waltham Forest 025,979
E02000920,Waltham Forest 026,1098
E02000921,Waltham Forest 027,1300
E02000922,Waltham Forest 028,1132
E02000923,Wandsworth 001,1388
E02000925,Wandsworth 003,1428
E02000926,Wandsworth 004,2447
E02000927,Wandsworth 005,1288
E02000928,Wandsworth 006,1053
E02000929,Wandsworth 007,1514
E02000930,Wandsworth 008,1629
E02000931,Wandsworth 009,1014
E02000932,Wandsworth 010,2666
E02000933,Wandsworth 011,1275
E02000934,Wandsworth 012,1451
E02000935,Wandsworth 013,927
E02000936,Wandsworth 014,2001
E02000937,Wandsworth 015,838
E02000938,Wandsworth 016,1704
E02000939,Wandsworth 017,529
E02000940,Wandsworth 018,1828
E02000941,Wandsworth 019,1184
E02000942,Wandsworth 020,991
E02000943,Wandsworth 021,1238
E02000944,Wandsworth 022,1164
E02000945,Wandsworth 023,798
E02000946,Wandsworth 024,1004
E02000947,Wandsworth 025,1328
E02000948,Wandsworth 026,1710
