Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02000444,Harrow 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",921
E02000445,Harrow 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1234
E02000447,Harrow 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",535
E02000448,Harrow 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",265
E02000449,Harrow 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1045
E02000451,Harrow 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",420
E02000452,Harrow 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",841
E02000453,Harrow 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",659
E02000454,Harrow 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",332
E02000455,Harrow 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",832
E02000456,Harrow 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",695
E02000457,Harrow 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",437
E02000459,Harrow 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",751
E02000460,Harrow 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",541
E02000461,Harrow 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",461
E02000462,Harrow 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",589
E02000463,Harrow 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",696
E02000464,Havering 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",796
E02000465,Havering 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",937
E02000466,Havering 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",917
E02000467,Havering 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1084
E02000468,Havering 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",899
E02000469,Havering 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",717
E02000470,Havering 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",772
E02000471,Havering 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",720
E02000472,Havering 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",866
E02000473,Havering 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",824
E02000474,Havering 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",881
E02000475,Havering 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",732
E02000476,Havering 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",809
E02000477,Havering 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",761
E02000478,Havering 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",377
E02000479,Havering 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",921
E02000480,Havering 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1244
E02000481,Havering 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",634
E02000482,Havering 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",342
E02000483,Havering 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",675
E02000484,Havering 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",733
E02000485,Havering 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",683
E02000486,Havering 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",667
E02000487,Havering 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",479
E02000488,Havering 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",641
E02000489,Havering 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",771
E02000490,Havering 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",839
E02000491,Havering 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1018
E02000492,Havering 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",680
E02000493,Havering 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",629
E02000494,Hillingdon 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",301
E02000495,Hillingdon 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",789
E02000496,Hillingdon 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",652
E02000497,Hillingdon 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",606
E02000498,Hillingdon 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",455
E02000499,Hillingdon 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",479
E02000500,Hillingdon 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",480
E02000501,Hillingdon 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",601
E02000502,Hillingdon 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",656
E02000503,Hillingdon 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",645
E02000504,Hillingdon 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",482
E02000506,Hillingdon 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",511
E02000507,Hillingdon 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",659
E02000508,Hillingdon 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",710
E02000509,Hillingdon 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",667
E02000510,Hillingdon 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",652
E02000511,Hillingdon 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",885
E02000512,Hillingdon 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",741
E02000513,Hillingdon 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",862
E02000514,Hillingdon 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",873
E02000515,Hillingdon 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1093
E02000516,Hillingdon 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",792
E02000517,Hillingdon 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",846
E02000518,Hillingdon 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",778
E02000519,Hillingdon 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",727
E02000520,Hillingdon 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1115
E02000521,Hillingdon 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1063
E02000522,Hillingdon 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",793
E02000523,Hillingdon 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",920
E02000524,Hillingdon 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",662
E02000525,Hillingdon 032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",800
E02000526,Hounslow 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",373
E02000529,Hounslow 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",680
E02000530,Hounslow 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",676
E02000531,Hounslow 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",889
E02000532,Hounslow 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",510
E02000533,Hounslow 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",435
E02000534,Hounslow 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",623
E02000535,Hounslow 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",764
E02000536,Hounslow 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",816
E02000537,Hounslow 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",892
E02000538,Hounslow 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",724
E02000539,Hounslow 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",883
E02000540,Hounslow 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",887
E02000541,Hounslow 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",809
E02000542,Hounslow 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",863
E02000543,Hounslow 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1167
E02000544,Hounslow 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",796
E02000545,Hounslow 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",635
E02000546,Hounslow 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",946
E02000547,Hounslow 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",882
E02000548,Hounslow 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",951
E02000549,Hounslow 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1170
E02000550,Hounslow 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",847
E02000551,Hounslow 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",870
E02000552,Hounslow 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",827
E02000553,Hounslow 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",663
E02000554,Islington 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",492
E02000555,Islington 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",479
E02000556,Islington 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",564
E02000557,Islington 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",460
E02000558,Islington 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",524
E02000559,Islington 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",388
E02000560,Islington 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",404
E02000561,Islington 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",342
E02000562,Islington 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",369
E02000563,Islington 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",491
E02000564,Islington 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",559
E02000565,Islington 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",469
E02000566,Islington 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",310
E02000567,Islington 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",492
E02000568,Islington 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",611
E02000569,Islington 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",440
E02000570,Islington 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",314
E02000571,Islington 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",424
E02000572,Islington 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",476
E02000573,Islington 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",378
E02000574,Islington 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",358
E02000575,Islington 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",481
E02000576,Islington 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",500
E02000577,Kensington and Chelsea 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",514
E02000578,Kensington and Chelsea 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",373
E02000579,Kensington and Chelsea 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",560
E02000580,Kensington and Chelsea 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",563
E02000581,Kensington and Chelsea 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",435
E02000582,Kensington and Chelsea 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",266
E02000583,Kensington and Chelsea 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",222
E02000584,Kensington and Chelsea 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",225
E02000585,Kensington and Chelsea 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",326
E02000586,Kensington and Chelsea 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",206
E02000587,Kensington and Chelsea 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",204
E02000588,Kensington and Chelsea 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",235
E02000589,Kensington and Chelsea 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",275
E02000590,Kensington and Chelsea 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",260
E02000591,Kensington and Chelsea 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",283
E02000592,Kensington and Chelsea 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",233
E02000593,Kensington and Chelsea 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",304
E02000594,Kensington and Chelsea 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",258
E02000595,Kensington and Chelsea 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",193
E02000596,Kensington and Chelsea 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",242
E02000597,Kensington and Chelsea 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",329
E02000598,Kingston upon Thames 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",302
E02000599,Kingston upon Thames 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",280
E02000600,Kingston upon Thames 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",402
E02000601,Kingston upon Thames 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",435
E02000602,Kingston upon Thames 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",506
E02000603,Kingston upon Thames 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",603
E02000604,Kingston upon Thames 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",531
E02000605,Kingston upon Thames 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",424
E02000606,Kingston upon Thames 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",466
E02000607,Kingston upon Thames 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",327
E02000608,Kingston upon Thames 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",401
E02000609,Kingston upon Thames 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",498
E02000610,Kingston upon Thames 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",459
E02000611,Kingston upon Thames 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",408
E02000612,Kingston upon Thames 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",512
E02000613,Kingston upon Thames 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",485
E02000614,Kingston upon Thames 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",794
E02000615,Kingston upon Thames 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",739
E02000616,Kingston upon Thames 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",557
E02000617,Kingston upon Thames 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",805
E02000619,Lambeth 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",572
E02000620,Lambeth 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",575
E02000621,Lambeth 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",690
E02000622,Lambeth 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",474
E02000623,Lambeth 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",589
E02000624,Lambeth 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",597
E02000625,Lambeth 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",704
E02000626,Lambeth 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",659
E02000627,Lambeth 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",628
E02000628,Lambeth 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",777
E02000629,Lambeth 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",479
E02000630,Lambeth 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",317
E02000631,Lambeth 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",547
E02000632,Lambeth 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",426
E02000633,Lambeth 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",564
E02000634,Lambeth 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",365
E02000635,Lambeth 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",555
E02000636,Lambeth 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",283
E02000637,Lambeth 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",440
E02000638,Lambeth 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",737
E02000639,Lambeth 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",682
E02000640,Lambeth 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",371
E02000641,Lambeth 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",616
E02000642,Lambeth 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",563
E02000643,Lambeth 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",577
E02000644,Lambeth 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",590
E02000645,Lambeth 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",588
E02000646,Lambeth 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",640
E02000647,Lambeth 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",565
E02000648,Lambeth 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",541
E02000649,Lambeth 032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1122
E02000650,Lambeth 033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",502
E02000651,Lambeth 034,"Works mainly at an offshore installation, in no fixed place, or outside the UK",753
E02000652,Lambeth 035,"Works mainly at an offshore installation, in no fixed place, or outside the UK",783
E02000653,Lewisham 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",723
E02000654,Lewisham 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",577
E02000655,Lewisham 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",740
E02000657,Lewisham 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",614
E02000658,Lewisham 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",564
E02000659,Lewisham 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",358
E02000660,Lewisham 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",462
E02000661,Lewisham 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",314
E02000662,Lewisham 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",504
E02000663,Lewisham 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",372
E02000665,Lewisham 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",420
E02000666,Lewisham 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",413
E02000667,Lewisham 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",353
E02000668,Lewisham 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",382
E02000669,Lewisham 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",475
E02000670,Lewisham 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",512
E02000671,Lewisham 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",537
E02000672,Lewisham 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",764
E02000673,Lewisham 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",451
E02000674,Lewisham 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",564
E02000675,Lewisham 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",642
E02000676,Lewisham 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",452
E02000677,Lewisham 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",492
E02000678,Lewisham 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",595
E02000679,Lewisham 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",571
E02000680,Lewisham 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",428
E02000681,Lewisham 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",645
E02000682,Lewisham 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",715
E02000683,Lewisham 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",588
E02000685,Lewisham 033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",531
E02000686,Lewisham 034,"Works mainly at an offshore installation, in no fixed place, or outside the UK",586
E02000687,Lewisham 035,"Works mainly at an offshore installation, in no fixed place, or outside the UK",583
E02000689,Merton 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",377
E02000690,Merton 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",180
E02000691,Merton 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",342
E02000692,Merton 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",256
E02000693,Merton 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",720
E02000694,Merton 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",460
E02000695,Merton 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",890
E02000696,Merton 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",980
E02000697,Merton 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",430
E02000698,Merton 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",284
E02000699,Merton 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",360
E02000700,Merton 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",824
E02000701,Merton 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",969
E02000702,Merton 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",875
E02000703,Merton 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",419
E02000704,Merton 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",587
E02000705,Merton 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",996
E02000706,Merton 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1015
E02000707,Merton 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",829
E02000708,Merton 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",570
E02000709,Merton 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",549
E02000710,Merton 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",886
E02000711,Merton 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1017
E02000712,Merton 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",901
E02000713,Merton 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",696
E02000714,Newham 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",695
E02000715,Newham 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",615
E02000716,Newham 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",616
E02000717,Newham 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",731
E02000718,Newham 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",583
E02000719,Newham 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",904
E02000720,Newham 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",643
E02000721,Newham 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",739
E02000722,Newham 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",906
E02000723,Newham 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",894
E02000724,Newham 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",825
E02000725,Newham 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",820
E02000727,Newham 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",721
E02000728,Newham 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",963
E02000729,Newham 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",741
E02000730,Newham 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",946
E02000731,Newham 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",828
E02000732,Newham 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",667
E02000733,Newham 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",916
E02000734,Newham 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",729
E02000735,Newham 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",756
E02000736,Newham 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",813
E02000737,Newham 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",937
E02000738,Newham 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",879
E02000739,Newham 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",918
E02000740,Newham 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",703
E02000741,Newham 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",804
E02000742,Newham 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",907
E02000743,Newham 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",954
E02000744,Newham 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",963
E02000745,Newham 032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",995
E02000746,Newham 033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",795
E02000747,Newham 034,"Works mainly at an offshore installation, in no fixed place, or outside the UK",948
E02000748,Newham 035,"Works mainly at an offshore installation, in no fixed place, or outside the UK",817
E02000749,Newham 036,"Works mainly at an offshore installation, in no fixed place, or outside the UK",916
E02000751,Redbridge 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",602
E02000752,Redbridge 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",900
E02000753,Redbridge 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",748
E02000754,Redbridge 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",589
E02000755,Redbridge 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",520
E02000756,Redbridge 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1385
E02000757,Redbridge 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",851
E02000758,Redbridge 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",536
E02000759,Redbridge 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",997
E02000760,Redbridge 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",648
E02000762,Redbridge 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",475
E02000763,Redbridge 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",662
E02000764,Redbridge 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",704
E02000765,Redbridge 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",637
E02000767,Redbridge 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",661
E02000768,Redbridge 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",305
E02000770,Redbridge 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",651
E02000772,Redbridge 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",650
E02000773,Redbridge 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",758
E02000774,Redbridge 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",671
E02000776,Redbridge 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",532
E02000777,Redbridge 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",369
E02000779,Redbridge 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",672
E02000781,Redbridge 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1397
E02000782,Redbridge 032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",823
E02000783,Redbridge 033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",611
E02000784,Richmond upon Thames 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",374
E02000785,Richmond upon Thames 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",314
E02000786,Richmond upon Thames 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",446
E02000787,Richmond upon Thames 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",514
