Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02000075,Bexley 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",640
E02000077,Bexley 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",666
E02000078,Bexley 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",649
E02000079,Bexley 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",667
E02000080,Bexley 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",901
E02000081,Bexley 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",635
E02000082,Bexley 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",918
E02000083,Bexley 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",956
E02000084,Bexley 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",877
E02000085,Bexley 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",769
E02000086,Bexley 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",639
E02000087,Bexley 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",511
E02000088,Bexley 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",628
E02000089,Bexley 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",552
E02000090,Bexley 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",649
E02000091,Bexley 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",681
E02000092,Bexley 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",550
E02000093,Brent 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1549
E02000094,Brent 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1122
E02000095,Brent 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1218
E02000096,Brent 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",584
E02000097,Brent 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1229
E02000098,Brent 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",854
E02000099,Brent 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1167
E02000100,Brent 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",626
E02000101,Brent 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",841
E02000102,Brent 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",862
E02000103,Brent 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",945
E02000104,Brent 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",710
E02000105,Brent 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",890
E02000106,Brent 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1242
E02000107,Brent 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",998
E02000108,Brent 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",608
E02000110,Brent 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",643
E02000111,Brent 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",772
E02000112,Brent 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",936
E02000113,Brent 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",785
E02000114,Brent 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",795
E02000115,Brent 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",524
E02000116,Brent 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",818
E02000117,Brent 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1133
E02000118,Brent 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",959
E02000119,Brent 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",784
E02000120,Brent 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",577
E02000121,Brent 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",884
E02000122,Brent 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",458
E02000123,Brent 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1279
E02000124,Brent 032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",566
E02000125,Brent 033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",710
E02000126,Brent 034,"Works mainly at an offshore installation, in no fixed place, or outside the UK",571
E02000127,Bromley 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",790
E02000128,Bromley 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",541
E02000130,Bromley 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",452
E02000131,Bromley 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",702
E02000132,Bromley 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",594
E02000133,Bromley 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",378
E02000134,Bromley 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",745
E02000135,Bromley 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",776
E02000136,Bromley 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",352
E02000137,Bromley 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",492
E02000138,Bromley 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",462
E02000139,Bromley 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",437
E02000140,Bromley 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",722
E02000141,Bromley 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",506
E02000142,Bromley 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",489
E02000144,Bromley 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",597
E02000145,Bromley 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",699
E02000146,Bromley 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",597
E02000147,Bromley 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",400
E02000148,Bromley 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",346
E02000149,Bromley 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",617
E02000150,Bromley 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",512
E02000151,Bromley 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",355
E02000152,Bromley 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",642
E02000153,Bromley 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",521
E02000154,Bromley 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",495
E02000155,Bromley 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",582
E02000156,Bromley 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",769
E02000157,Bromley 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",445
E02000158,Bromley 032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",504
E02000159,Bromley 033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",451
E02000160,Bromley 034,"Works mainly at an offshore installation, in no fixed place, or outside the UK",578
E02000161,Bromley 035,"Works mainly at an offshore installation, in no fixed place, or outside the UK",460
E02000162,Bromley 036,"Works mainly at an offshore installation, in no fixed place, or outside the UK",466
E02000163,Bromley 037,"Works mainly at an offshore installation, in no fixed place, or outside the UK",450
E02000165,Bromley 039,"Works mainly at an offshore installation, in no fixed place, or outside the UK",770
E02000166,Camden 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",324
E02000167,Camden 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",209
E02000168,Camden 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",353
E02000169,Camden 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",211
E02000170,Camden 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",367
E02000171,Camden 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",354
E02000172,Camden 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",482
E02000173,Camden 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",257
