Middle layer Super Output Areas Code,Middle layer Super Output Areas,Semi_detached
E02000957,Wandsworth 035,288
E02000958,Wandsworth 036,555
E02000959,Wandsworth 037,255
E02000960,Westminster 001,127
E02000961,Westminster 002,247
E02000962,Westminster 003,87
E02000963,Westminster 004,218
E02000964,Westminster 005,85
E02000965,Westminster 006,50
E02000966,Westminster 007,143
E02000967,Westminster 008,52
E02000968,Westminster 009,36
E02000969,Westminster 010,21
E02000970,Westminster 011,72
E02000971,Westminster 012,40
E02000972,Westminster 013,19
E02000973,Westminster 014,114
E02000974,Westminster 015,69
E02000975,Westminster 016,28
E02000976,Westminster 017,65
E02000977,Westminster 018,21
E02000978,Westminster 019,131
E02000979,Westminster 020,23
E02000980,Westminster 021,9
E02000981,Westminster 022,31
E02000982,Westminster 023,33
E02000983,Westminster 024,17
E02003237,Peterborough 001,815
E02003238,Peterborough 002,495
E02003239,Peterborough 003,1045
E02003240,Peterborough 004,771
E02003241,Peterborough 005,1142
E02003242,Peterborough 006,2095
E02003243,Peterborough 007,1770
E02003244,Peterborough 008,2591
E02003245,Peterborough 009,601
E02003246,Peterborough 010,1169
E02003247,Peterborough 011,644
E02003248,Peterborough 012,1443
E02003249,Peterborough 013,1912
E02003250,Peterborough 014,865
E02003251,Peterborough 015,589
E02003252,Peterborough 016,1407
E02003253,Peterborough 017,1369
E02003254,Peterborough 018,1042
E02003255,Peterborough 019,2425
E02003257,Peterborough 021,781
E02003258,Luton 001,898
E02003259,Luton 002,1862
E02003260,Luton 003,805
E02003261,Luton 004,1095
E02003262,Luton 005,1816
E02003263,Luton 006,2161
E02003264,Luton 007,1644
E02003265,Luton 008,1610
E02003266,Luton 009,1734
E02003267,Luton 010,1887
E02003268,Luton 011,1766
E02003269,Luton 012,2008
E02003270,Luton 013,2000
E02003271,Luton 014,1884
E02003272,Luton 015,1331
E02003273,Luton 016,2520
E02003274,Luton 017,746
E02003276,Luton 019,725
E02003277,Luton 020,1761
E02003278,Luton 021,1000
E02003279,Southend-on-Sea 001,2100
E02003280,Southend-on-Sea 002,2337
E02003281,Southend-on-Sea 003,2010
E02003282,Southend-on-Sea 004,2158
E02003283,Southend-on-Sea 005,1874
E02003284,Southend-on-Sea 006,1937
E02003285,Southend-on-Sea 007,709
E02003286,Southend-on-Sea 008,1868
E02003287,Southend-on-Sea 009,1296
E02003288,Southend-on-Sea 010,868
E02003289,Southend-on-Sea 011,1061
E02003290,Southend-on-Sea 012,616
E02003291,Southend-on-Sea 013,1474
E02003292,Southend-on-Sea 014,675
E02003293,Southend-on-Sea 015,500
E02003294,Southend-on-Sea 016,1337
E02003295,Southend-on-Sea 017,1460
E02003296,Thurrock 001,1397
E02003297,Thurrock 002,1296
E02003298,Thurrock 003,1451
E02003299,Thurrock 004,902
E02003300,Thurrock 005,1437
E02003301,Thurrock 006,1235
E02003302,Thurrock 007,1051
E02003303,Thurrock 008,1533
E02003304,Thurrock 009,1835
E02003305,Thurrock 010,1666
E02003307,Thurrock 012,1431
E02003308,Thurrock 013,1388
E02003309,Thurrock 014,1336
E02003311,Thurrock 016,686
E02003312,Thurrock 017,374
E02003313,Thurrock 018,1548
E02003314,Medway 001,1053
E02003315,Medway 002,923
E02003316,Medway 003,2211
E02003317,Medway 004,1259
E02003318,Medway 005,1177
E02003319,Medway 006,608
E02003320,Medway 007,617
E02003321,Medway 008,1047
E02003322,Medway 009,358
E02003323,Medway 010,538
E02003324,Medway 011,1443
E02003325,Medway 012,229
E02003326,Medway 013,589
E02003327,Medway 014,400
E02003328,Medway 015,437
E02003329,Medway 016,258
E02003330,Medway 017,754
E02003331,Medway 018,1617
E02003332,Medway 019,800
E02003333,Medway 020,340
E02003334,Medway 021,375
E02003335,Medway 022,468
E02003336,Medway 023,1630
E02003337,Medway 024,1364
E02003338,Medway 025,732
E02003339,Medway 026,727
E02003340,Medway 027,1782
E02003341,Medway 028,1111
E02003342,Medway 029,1409
E02003343,Medway 030,887
E02003344,Medway 031,701
E02003345,Medway 032,647
E02003346,Medway 033,1250
E02003347,Medway 034,763
E02003348,Medway 035,1072
E02003349,Medway 036,809
E02003350,Medway 037,937
E02003351,Medway 038,1083
E02003352,Bracknell Forest 001,370
E02003353,Bracknell Forest 002,1217
E02003354,Bracknell Forest 003,701
E02003355,Bracknell Forest 004,614
E02003356,Bracknell Forest 005,1121
E02003357,Bracknell Forest 006,654
E02003358,Bracknell Forest 007,962
E02003359,Bracknell Forest 008,481
E02003360,Bracknell Forest 009,986
E02003361,Bracknell Forest 010,606
E02003362,Bracknell Forest 011,512
E02003363,Bracknell Forest 012,499
E02003364,Bracknell Forest 013,825
E02003365,Bracknell Forest 014,662
E02003366,Bracknell Forest 015,706
E02003367,West Berkshire 001,871
E02003368,West Berkshire 002,749
E02003369,West Berkshire 003,733
E02003370,West Berkshire 004,726
E02003371,West Berkshire 005,1345
E02003372,West Berkshire 006,1503
E02003373,West Berkshire 007,859
E02003374,West Berkshire 008,917
E02003375,West Berkshire 009,903
E02003376,West Berkshire 010,915
E02003377,West Berkshire 011,1097
E02003378,West Berkshire 012,1084
E02003379,West Berkshire 013,1005
E02003380,West Berkshire 014,1522
E02003381,West Berkshire 015,697
E02003382,West Berkshire 016,1063
E02003383,West Berkshire 017,945
E02003384,West Berkshire 018,850
E02003385,West Berkshire 019,759
E02003386,West Berkshire 020,1122
E02003387,West Berkshire 021,1188
E02003388,West Berkshire 022,833
E02003389,Reading 001,1224
E02003390,Reading 002,871
E02003391,Reading 003,1392
E02003392,Reading 004,732
E02003393,Reading 005,1166
E02003394,Reading 006,1171
E02003395,Reading 007,472
E02003396,Reading 008,923
E02003397,Reading 009,1293
E02003398,Reading 010,362
E02003400,Reading 012,727
E02003401,Reading 013,798
E02003402,Reading 014,442
E02003403,Reading 015,1427
E02003404,Reading 016,736
E02003405,Reading 017,1963
E02003406,Reading 018,1600
E02003407,Slough 001,909
E02003408,Slough 002,1444
E02003409,Slough 003,843
E02003410,Slough 004,1485
E02003411,Slough 005,1191
E02003412,Slough 006,1665
E02003414,Slough 008,1339
E02003415,Slough 009,877
E02003416,Slough 010,1108
E02003417,Slough 011,814
E02003418,Slough 012,969
E02003419,Slough 013,756
E02003420,Slough 014,715
E02003421,Windsor and Maidenhead 001,653
E02003422,Windsor and Maidenhead 002,1509
E02003423,Windsor and Maidenhead 003,881
E02003424,Windsor and Maidenhead 004,383
E02003425,Windsor and Maidenhead 005,946
E02003426,Windsor and Maidenhead 006,1250
E02003427,Windsor and Maidenhead 007,1237
E02003428,Windsor and Maidenhead 008,1290
E02003429,Windsor and Maidenhead 009,600
E02003430,Windsor and Maidenhead 010,521
E02003431,Windsor and Maidenhead 011,782
E02003432,Windsor and Maidenhead 012,734
E02003433,Windsor and Maidenhead 013,903
E02003434,Windsor and Maidenhead 014,1244
E02003435,Windsor and Maidenhead 015,470
E02003436,Windsor and Maidenhead 016,1037
E02003437,Windsor and Maidenhead 017,624
E02003438,Windsor and Maidenhead 018,864
E02003439,Wokingham 001,542
E02003440,Wokingham 002,945
E02003441,Wokingham 003,1244
E02003442,Wokingham 004,906
E02003443,Wokingham 005,1029
E02003444,Wokingham 006,1834
E02003445,Wokingham 007,2061
E02003446,Wokingham 008,923
E02003447,Wokingham 009,875
E02003448,Wokingham 010,961
E02003449,Wokingham 011,677
E02003450,Wokingham 012,1656
E02003451,Wokingham 013,952
E02003452,Wokingham 014,1017
E02003453,Wokingham 015,453
E02003454,Wokingham 016,824
E02003455,Wokingham 017,1293
E02003456,Wokingham 018,787
E02003457,Wokingham 019,534
E02003458,Wokingham 020,662
E02003459,Milton Keynes 001,1002
E02003460,Milton Keynes 002,1588
E02003461,Milton Keynes 003,1335
E02003462,Milton Keynes 004,1104
E02003463,Milton Keynes 005,608
E02003464,Milton Keynes 006,958
E02003465,Milton Keynes 007,904
E02003466,Milton Keynes 008,589
E02003467,Milton Keynes 009,550
E02003468,Milton Keynes 010,1443
E02003469,Milton Keynes 011,799
E02003470,Milton Keynes 012,501
E02003471,Milton Keynes 013,800
E02003472,Milton Keynes 014,385
E02003473,Milton Keynes 015,615
E02003474,Milton Keynes 016,739
E02003476,Milton Keynes 018,714
E02003478,Milton Keynes 020,1047
E02003479,Milton Keynes 021,956
E02003480,Milton Keynes 022,1097
E02003481,Milton Keynes 023,669
E02003482,Milton Keynes 024,1090
E02003483,Milton Keynes 025,1013
E02003484,Milton Keynes 026,824
E02003485,Milton Keynes 027,1157
E02003486,Milton Keynes 028,1089
E02003487,Milton Keynes 029,1150
E02003488,Milton Keynes 030,1377
E02003489,Milton Keynes 031,1578
E02003490,Milton Keynes 032,1158
E02003491,Brighton and Hove 001,2136
E02003492,Brighton and Hove 002,1185
E02003493,Brighton and Hove 003,1015
E02003494,Brighton and Hove 004,1114
E02003495,Brighton and Hove 005,1392
E02003496,Brighton and Hove 006,1410
E02003497,Brighton and Hove 007,977
E02003498,Brighton and Hove 008,753
E02003499,Brighton and Hove 009,1721
E02003500,Brighton and Hove 010,405
E02003501,Brighton and Hove 011,351
E02003502,Brighton and Hove 012,1163
E02003503,Brighton and Hove 013,1896
E02003504,Brighton and Hove 014,391
E02003505,Brighton and Hove 015,142
E02003506,Brighton and Hove 016,402
E02003507,Brighton and Hove 017,1178
E02003508,Brighton and Hove 018,254
E02003509,Brighton and Hove 019,222
E02003510,Brighton and Hove 020,341
E02003511,Brighton and Hove 021,1163
E02003512,Brighton and Hove 022,126
E02003513,Brighton and Hove 023,672
E02003514,Brighton and Hove 024,117
E02003515,Brighton and Hove 025,1413
E02003516,Brighton and Hove 026,61
E02003517,Brighton and Hove 027,191
E02003518,Brighton and Hove 028,251
E02003519,Brighton and Hove 029,66
E02003520,Brighton and Hove 030,179
E02003521,Brighton and Hove 031,134
E02003522,Brighton and Hove 032,342
E02003523,Brighton and Hove 033,750
E02003524,Portsmouth 001,1327
E02003525,Portsmouth 002,970
E02003526,Portsmouth 003,1119
E02003527,Portsmouth 004,879
E02003529,Portsmouth 006,857
E02003530,Portsmouth 007,955
E02003531,Portsmouth 008,906
E02003532,Portsmouth 009,494
E02003533,Portsmouth 010,209
E02003534,Portsmouth 011,572
E02003535,Portsmouth 012,269
E02003536,Portsmouth 013,164
E02003537,Portsmouth 014,731
E02003538,Portsmouth 015,278
E02003540,Portsmouth 017,684
E02003541,Portsmouth 018,218
E02003542,Portsmouth 019,199
E02003543,Portsmouth 020,349
E02003544,Portsmouth 021,191
E02003545,Portsmouth 022,300
E02003546,Portsmouth 023,473
E02003547,Portsmouth 024,244
E02003548,Portsmouth 025,371
E02003549,Southampton 001,637
E02003550,Southampton 002,745
E02003551,Southampton 003,464
E02003552,Southampton 004,786
E02003553,Southampton 005,1400
E02003554,Southampton 006,615
E02003555,Southampton 007,1075
E02003556,Southampton 008,907
E02003557,Southampton 009,648
E02003558,Southampton 010,802
E02003559,Southampton 011,1300
E02003560,Southampton 012,554
E02003561,Southampton 013,738
E02003562,Southampton 014,976
E02003563,Southampton 015,1008
E02003564,Southampton 016,998
E02003565,Southampton 017,454
E02003566,Southampton 018,787
E02003567,Southampton 019,1503
E02003568,Southampton 020,715
E02003569,Southampton 021,760
E02003570,Southampton 022,344
E02003571,Southampton 023,423
E02003572,Southampton 024,887
E02003573,Southampton 025,630
E02003574,Southampton 026,1392
E02003575,Southampton 027,617
E02003576,Southampton 028,1092
E02003578,Southampton 030,1224
E02003579,Southampton 031,1285
E02003580,Southampton 032,450
E02003581,Isle of Wight 001,970
E02003582,Isle of Wight 002,1449
E02003583,Isle of Wight 003,1120
E02003584,Isle of Wight 004,642
E02003585,Isle of Wight 005,719
E02003586,Isle of Wight 006,1391
E02003587,Isle of Wight 007,1526
E02003588,Isle of Wight 008,1327
E02003589,Isle of Wight 009,881
E02003590,Isle of Wight 010,820
E02003591,Isle of Wight 011,1324
E02003592,Isle of Wight 012,1454
E02003593,Isle of Wight 013,564
E02003594,Isle of Wight 014,1206
E02003595,Isle of Wight 015,900
E02003596,Isle of Wight 016,1062
E02003597,Isle of Wight 017,841
E02003598,Isle of Wight 018,881
E02003599,Central Bedfordshire 001,732
E02003600,Central Bedfordshire 002,935
E02003601,Central Bedfordshire 003,1270
E02003602,Central Bedfordshire 004,872
E02003603,Central Bedfordshire 005,1498
E02003604,Central Bedfordshire 006,1971
E02003605,Central Bedfordshire 007,1308
E02003606,Central Bedfordshire 008,1177
E02003607,Central Bedfordshire 009,1558
E02003608,Central Bedfordshire 010,1727
E02003609,Central Bedfordshire 011,1319
E02003610,Central Bedfordshire 012,1141
E02003611,Central Bedfordshire 013,1296
E02003612,Central Bedfordshire 014,1804
E02003613,Central Bedfordshire 015,800
E02003614,Central Bedfordshire 016,1307
E02003615,Central Bedfordshire 017,1343
E02003616,Bedford 001,575
E02003617,Bedford 002,1134
E02003618,Bedford 003,1500
E02003619,Bedford 004,1382
E02003620,Bedford 005,1154
E02003621,Bedford 006,1513
E02003622,Bedford 007,1349
E02003623,Bedford 008,1469
E02003624,Bedford 009,475
E02003625,Bedford 010,636
E02003626,Bedford 011,1028
E02003627,Bedford 012,946
E02003628,Bedford 013,1147
E02003629,Bedford 014,1701
E02003630,Bedford 015,1519
E02003631,Bedford 016,655
E02003632,Bedford 017,1140
E02003633,Bedford 018,1900
E02003635,Bedford 020,1466
E02003636,Central Bedfordshire 018,1336
E02003637,Central Bedfordshire 019,1486
E02003638,Central Bedfordshire 020,1010
E02003639,Central Bedfordshire 021,1109
E02003640,Central Bedfordshire 022,720
E02003641,Central Bedfordshire 023,638
E02003642,Central Bedfordshire 025,1012
E02003643,Central Bedfordshire 024,2062
E02003644,Central Bedfordshire 026,1529
E02003645,Central Bedfordshire 027,1890
E02003646,Central Bedfordshire 028,1799
E02003647,Central Bedfordshire 029,1097
E02003648,Central Bedfordshire 030,788
E02003649,Central Bedfordshire 031,1130
E02003650,Central Bedfordshire 032,717
E02003651,Central Bedfordshire 033,1192
E02003652,Buckinghamshire 001,1149
E02003653,Buckinghamshire 002,819
E02003654,Buckinghamshire 003,836
E02003655,Buckinghamshire 004,1269
E02003656,Buckinghamshire 005,828
E02003657,Buckinghamshire 006,899
E02003658,Buckinghamshire 007,1443
E02003659,Buckinghamshire 009,1235
E02003660,Buckinghamshire 008,1420
E02003661,Buckinghamshire 010,915
E02003662,Buckinghamshire 012,693
E02003663,Buckinghamshire 011,1977
E02003664,Buckinghamshire 013,1050
E02003665,Buckinghamshire 014,900
E02003666,Buckinghamshire 015,516
E02003667,Buckinghamshire 016,1015
E02003668,Buckinghamshire 018,1680
E02003669,Buckinghamshire 017,1254
E02003670,Buckinghamshire 019,964
E02003671,Buckinghamshire 020,691
E02003672,Buckinghamshire 021,1538
E02003673,Buckinghamshire 022,1218
E02003674,Buckinghamshire 023,717
E02003675,Buckinghamshire 024,1536
E02003676,Buckinghamshire 029,790
E02003677,Buckinghamshire 027,1537
E02003678,Buckinghamshire 028,741
E02003679,Buckinghamshire 030,686
E02003680,Buckinghamshire 031,830
E02003681,Buckinghamshire 032,957
E02003682,Buckinghamshire 034,1170
E02003683,Buckinghamshire 035,648
E02003685,Buckinghamshire 047,598
E02003686,Buckinghamshire 050,347
E02003687,Buckinghamshire 054,683
E02003688,Buckinghamshire 053,1066
E02003689,Buckinghamshire 058,288
E02003690,Buckinghamshire 059,772
E02003691,Buckinghamshire 063,494
E02003692,Buckinghamshire 064,997
E02003693,Buckinghamshire 065,634
E02003694,Buckinghamshire 066,1216
E02003695,Buckinghamshire 067,1531
E02003696,Buckinghamshire 026,1522
E02003697,Buckinghamshire 025,579
E02003698,Buckinghamshire 033,827
E02003699,Buckinghamshire 037,728
E02003701,Buckinghamshire 038,1558
E02003702,Buckinghamshire 040,965
E02003703,Buckinghamshire 041,922
E02003704,Buckinghamshire 045,766
E02003705,Buckinghamshire 042,1473
E02003706,Buckinghamshire 043,1123
E02003707,Buckinghamshire 044,1000
E02003708,Buckinghamshire 046,1429
E02003709,Buckinghamshire 048,1105
E02003710,Buckinghamshire 049,1314
E02003711,Buckinghamshire 051,1122
E02003712,Buckinghamshire 052,1106
E02003713,Buckinghamshire 055,740
E02003714,Buckinghamshire 056,979
E02003715,Buckinghamshire 057,391
E02003716,Buckinghamshire 060,824
E02003717,Buckinghamshire 062,913
E02003718,Buckinghamshire 061,578
E02003719,Cambridge 001,1135
E02003720,Cambridge 002,1150
E02003721,Cambridge 003,1448
E02003722,Cambridge 004,1072
E02003723,Cambridge 005,557
E02003724,Cambridge 006,1565
E02003725,Cambridge 007,291
E02003726,Cambridge 008,391
E02003727,Cambridge 009,872
E02003728,Cambridge 010,1439
E02003729,Cambridge 011,1535
E02003731,Cambridge 013,1326
E02003732,East Cambridgeshire 001,1602
E02003733,East Cambridgeshire 002,1164
E02003734,East Cambridgeshire 003,1432
E02003735,East Cambridgeshire 004,986
E02003736,East Cambridgeshire 005,1289
E02003737,East Cambridgeshire 006,1975
E02003738,East Cambridgeshire 007,906
E02003739,East Cambridgeshire 008,744
E02003740,East Cambridgeshire 009,938
E02003742,Fenland 001,778
E02003743,Fenland 002,1843
E02003744,Fenland 003,1565
E02003745,Fenland 004,1330
E02003746,Fenland 005,790
E02003747,Fenland 006,1620
E02003748,Fenland 007,1152
E02003749,Fenland 008,771
E02003750,Fenland 009,823
E02003751,Fenland 010,852
E02003752,Fenland 011,1662
E02003753,Huntingdonshire 001,1728
E02003754,Huntingdonshire 002,779
E02003755,Huntingdonshire 003,1297
E02003756,Huntingdonshire 004,1073
E02003757,Huntingdonshire 005,778
E02003758,Huntingdonshire 006,1320
E02003759,Huntingdonshire 007,785
E02003760,Huntingdonshire 008,1031
E02003761,Huntingdonshire 009,591
E02003762,Huntingdonshire 010,1679
E02003763,Huntingdonshire 011,1286
E02003764,Huntingdonshire 012,1022
E02003765,Huntingdonshire 013,1148
E02003766,Huntingdonshire 014,973
E02003767,Huntingdonshire 015,665
E02003768,Huntingdonshire 016,1112
E02003769,Huntingdonshire 017,817
E02003770,Huntingdonshire 018,1296
E02003771,Huntingdonshire 019,920
E02003772,Huntingdonshire 020,676
E02003773,Huntingdonshire 021,1483
E02003774,Huntingdonshire 022,787
E02003775,South Cambridgeshire 001,743
E02003776,South Cambridgeshire 002,925
E02003777,South Cambridgeshire 003,1279
E02003778,South Cambridgeshire 004,844
E02003780,South Cambridgeshire 006,1652
E02003781,South Cambridgeshire 007,811
E02003784,South Cambridgeshire 010,1296
E02003785,South Cambridgeshire 011,1223
E02003786,South Cambridgeshire 012,1084
E02003787,South Cambridgeshire 013,1140
E02003788,South Cambridgeshire 014,946
E02003789,South Cambridgeshire 015,1450
E02003790,South Cambridgeshire 016,1578
E02003791,South Cambridgeshire 017,1238
E02003792,South Cambridgeshire 018,1497
E02003793,South Cambridgeshire 019,1032
E02004356,Eastbourne 001,1159
E02004357,Eastbourne 002,817
E02004358,Eastbourne 003,940
E02004359,Eastbourne 004,912
E02004361,Eastbourne 006,1040
E02004362,Eastbourne 007,1484
E02004363,Eastbourne 008,288
E02004364,Eastbourne 009,833
E02004365,Eastbourne 010,267
E02004366,Eastbourne 011,129
E02004367,Eastbourne 012,372
E02004368,Hastings 001,702
E02004369,Hastings 002,1176
E02004370,Hastings 003,1078
E02004371,Hastings 004,849
E02004372,Hastings 005,690
E02004373,Hastings 006,1314
E02004374,Hastings 007,744
E02004375,Hastings 008,495
E02004376,Hastings 009,195
E02004377,Hastings 010,1459
E02004378,Hastings 011,133
E02004379,Lewes 001,959
E02004380,Lewes 002,980
E02004381,Lewes 003,1124
E02004382,Lewes 004,1183
E02004383,Lewes 005,986
E02004384,Lewes 006,882
E02004385,Lewes 007,979
E02004386,Lewes 008,785
E02004387,Lewes 009,836
E02004388,Lewes 010,1010
E02004389,Lewes 011,892
E02004390,Lewes 012,845
E02004391,Lewes 013,463
E02004392,Rother 001,1176
E02004393,Rother 002,707
E02004394,Rother 003,928
E02004395,Rother 004,1201
E02004396,Rother 005,800
E02004397,Rother 006,799
E02004398,Rother 007,1600
E02004399,Rother 008,785
E02004400,Rother 009,542
E02004401,Rother 010,776
E02004402,Rother 011,303
E02004403,Wealden 001,783
E02004404,Wealden 002,812
E02004405,Wealden 003,589
E02004406,Wealden 004,451
E02004407,Wealden 005,921
E02004408,Wealden 006,1304
E02004409,Wealden 007,493
E02004410,Wealden 008,871
E02004411,Wealden 009,1216
E02004412,Wealden 010,1013
E02004413,Wealden 011,899
E02004414,Wealden 012,762
E02004415,Wealden 013,778
E02004416,Wealden 014,772
E02004417,Wealden 015,1001
E02004418,Wealden 016,850
E02004419,Wealden 017,844
E02004420,Wealden 018,1804
E02004421,Wealden 019,2019
E02004422,Wealden 020,1545
E02004423,Wealden 021,1438
E02004424,Basildon 001,998
E02004425,Basildon 002,1314
E02004426,Basildon 003,1105
E02004427,Basildon 004,1430
E02004428,Basildon 005,1107
E02004429,Basildon 006,1563
E02004430,Basildon 007,1586
E02004431,Basildon 008,1217
E02004432,Basildon 009,932
E02004433,Basildon 010,889
E02004434,Basildon 011,878
E02004435,Basildon 012,744
E02004436,Basildon 013,402
E02004437,Basildon 014,901
E02004438,Basildon 015,456
E02004439,Basildon 016,966
E02004440,Basildon 017,415
E02004441,Basildon 018,817
E02004442,Basildon 019,566
E02004443,Basildon 020,721
E02004444,Basildon 021,581
E02004445,Basildon 022,676
E02004446,Braintree 001,987
E02004447,Braintree 002,770
E02004448,Braintree 003,1276
E02004449,Braintree 004,1410
E02004450,Braintree 005,1061
E02004451,Braintree 006,1438
E02004452,Braintree 007,1233
E02004453,Braintree 008,1375
E02004454,Braintree 009,1107
E02004455,Braintree 010,1075
E02004456,Braintree 011,1541
E02004457,Braintree 012,1900
E02004458,Braintree 013,1035
E02004459,Braintree 014,1634
E02004460,Braintree 015,1793
E02004461,Braintree 016,381
E02004462,Braintree 017,1135
E02004463,Braintree 018,1388
E02004464,Brentwood 001,1328
E02004465,Brentwood 002,1043
E02004466,Brentwood 003,1433
E02004467,Brentwood 004,1250
E02004468,Brentwood 005,896
E02004469,Brentwood 006,1265
E02004470,Brentwood 007,922
E02004471,Brentwood 008,956
E02004472,Brentwood 009,1228
E02004473,Castle Point 001,1848
E02004474,Castle Point 002,1630
E02004475,Castle Point 003,1272
E02004476,Castle Point 004,1232
E02004477,Castle Point 005,1318
E02004478,Castle Point 006,1078
E02004479,Castle Point 007,1657
E02004480,Castle Point 008,739
E02004481,Castle Point 009,595
E02004482,Castle Point 010,1221
E02004483,Castle Point 011,972
E02004484,Castle Point 012,693
E02004485,Chelmsford 001,1162
E02004486,Chelmsford 002,1592
E02004487,Chelmsford 003,1039
E02004488,Chelmsford 004,1318
E02004489,Chelmsford 005,1168
E02004490,Chelmsford 006,1239
E02004491,Chelmsford 007,854
E02004492,Chelmsford 008,1347
E02004493,Chelmsford 009,1163
E02004495,Chelmsford 011,1615
E02004496,Chelmsford 012,1718
E02004497,Chelmsford 013,1202
E02004498,Chelmsford 014,1413
E02004499,Chelmsford 015,960
E02004500,Chelmsford 016,725
E02004501,Chelmsford 017,982
E02004502,Chelmsford 018,796
E02004503,Chelmsford 019,1142
E02004504,Chelmsford 020,407
E02004505,Chelmsford 021,996
E02004506,Colchester 001,769
E02004507,Colchester 002,1143
E02004508,Colchester 003,831
E02004512,Colchester 007,1061
E02004513,Colchester 008,958
E02004514,Colchester 009,560
E02004515,Colchester 010,1268
E02004516,Colchester 011,1335
E02004517,Colchester 012,1247
E02004518,Colchester 013,1269
E02004519,Colchester 014,1426
E02004520,Colchester 015,1093
E02004521,Colchester 016,1389
E02004522,Colchester 017,1433
E02004523,Colchester 018,1564
E02004524,Colchester 019,1000
E02004525,Colchester 020,1500
E02004526,Colchester 021,601
E02004527,Epping Forest 001,1296
E02004528,Epping Forest 002,1202
E02004529,Epping Forest 003,960
E02004530,Epping Forest 004,1292
E02004531,Epping Forest 005,1172
E02004532,Epping Forest 006,873
E02004533,Epping Forest 007,1023
E02004534,Epping Forest 008,954
E02004535,Epping Forest 009,528
E02004536,Epping Forest 010,1259
E02004537,Epping Forest 011,1135
E02004538,Epping Forest 012,1347
E02004539,Epping Forest 013,964
E02004540,Epping Forest 014,678
E02004541,Epping Forest 015,1621
E02004542,Epping Forest 016,727
E02004543,Epping Forest 017,683
E02004544,Harlow 001,1322
E02004545,Harlow 002,344
E02004546,Harlow 003,472
E02004547,Harlow 004,577
E02004548,Harlow 005,975
E02004549,Harlow 006,367
E02004550,Harlow 007,380
E02004551,Harlow 008,500
E02004552,Harlow 009,565
E02004553,Harlow 010,613
E02004554,Harlow 011,436
E02004555,Maldon 001,896
E02004556,Maldon 002,727
E02004557,Maldon 003,1277
E02004558,Maldon 004,987
E02004559,Maldon 005,1319
E02004560,Maldon 006,1155
E02004561,Maldon 007,1006
E02004562,Maldon 008,1125
E02004563,Rochford 001,1206
E02004564,Rochford 002,1409
E02004566,Rochford 004,912
E02004567,Rochford 005,1566
E02004568,Rochford 006,1545
E02004569,Rochford 007,1700
E02004570,Rochford 008,1756
E02004571,Rochford 009,1660
E02004572,Rochford 010,1576
E02004573,Tendring 001,585
E02004574,Tendring 002,1348
E02004575,Tendring 003,1842
E02004576,Tendring 004,1298
E02004577,Tendring 005,737
E02004578,Tendring 006,835
E02004579,Tendring 007,1045
E02004580,Tendring 008,1880
E02004581,Tendring 009,1293
E02004582,Tendring 010,1702
E02004583,Tendring 011,1408
E02004584,Tendring 012,807
E02004585,Tendring 013,1505
E02004586,Tendring 014,905
E02004587,Tendring 015,1111
E02004588,Tendring 016,632
E02004589,Tendring 017,1104
E02004590,Tendring 018,1157
E02004591,Uttlesford 001,1030
E02004592,Uttlesford 002,1852
E02004593,Uttlesford 003,1138
E02004594,Uttlesford 004,988
E02004595,Uttlesford 005,1891
E02004596,Uttlesford 006,1210
E02004597,Uttlesford 007,1004
E02004598,Uttlesford 008,1397
E02004599,Uttlesford 009,917
E02004675,Basingstoke and Deane 001,1314
E02004676,Basingstoke and Deane 002,767
E02004677,Basingstoke and Deane 003,702
E02004678,Basingstoke and Deane 004,1054
E02004679,Basingstoke and Deane 005,1313
E02004680,Basingstoke and Deane 006,803
E02004681,Basingstoke and Deane 007,874
E02004682,Basingstoke and Deane 008,702
E02004683,Basingstoke and Deane 009,1193
E02004684,Basingstoke and Deane 010,1177
E02004685,Basingstoke and Deane 011,703
E02004686,Basingstoke and Deane 012,692
E02004687,Basingstoke and Deane 013,668
E02004688,Basingstoke and Deane 014,1165
E02004689,Basingstoke and Deane 015,712
E02004690,Basingstoke and Deane 016,1357
E02004691,Basingstoke and Deane 017,831
E02004692,Basingstoke and Deane 018,784
E02004693,Basingstoke and Deane 019,696
E02004694,Basingstoke and Deane 020,972
E02004695,Basingstoke and Deane 021,505
E02004696,Basingstoke and Deane 022,898
E02004697,East Hampshire 001,752
E02004698,East Hampshire 002,797
E02004699,East Hampshire 003,1490
E02004700,East Hampshire 004,819
E02004702,East Hampshire 006,913
E02004703,East Hampshire 007,1042
E02004704,East Hampshire 008,737
E02004705,East Hampshire 009,1018
E02004706,East Hampshire 010,887
E02004707,East Hampshire 011,1191
E02004708,East Hampshire 012,1108
E02004709,East Hampshire 013,928
E02004710,East Hampshire 014,628
E02004712,Eastleigh 001,362
E02004713,Eastleigh 002,937
E02004714,Eastleigh 003,777
E02004715,Eastleigh 004,1478
E02004716,Eastleigh 005,1583
E02004717,Eastleigh 006,1748
E02004718,Eastleigh 007,523
E02004719,Eastleigh 008,1282
E02004720,Eastleigh 009,1327
E02004721,Eastleigh 010,943
E02004722,Eastleigh 011,1128
E02004723,Eastleigh 012,936
E02004724,Eastleigh 013,1424
E02004725,Eastleigh 014,940
E02004726,Eastleigh 015,802
E02004727,Fareham 001,841
E02004728,Fareham 002,906
E02004729,Fareham 003,1186
