Middle layer Super Output Areas Code,Middle layer Super Output Areas,social_rented
E02000963,Westminster 004,1572
E02000964,Westminster 005,610
E02000965,Westminster 006,192
E02000966,Westminster 007,154
E02000967,Westminster 008,91
E02000968,Westminster 009,2254
E02000969,Westminster 010,1407
E02000970,Westminster 011,74
E02000971,Westminster 012,99
E02000972,Westminster 013,381
E02000973,Westminster 014,426
E02000974,Westminster 015,137
E02000975,Westminster 016,150
E02000976,Westminster 017,405
E02000977,Westminster 018,205
E02000978,Westminster 019,33
E02000979,Westminster 020,107
E02000980,Westminster 021,1177
E02000981,Westminster 022,105
E02000982,Westminster 023,808
E02000983,Westminster 024,780
E02003237,Peterborough 001,47
E02003238,Peterborough 002,81
E02003239,Peterborough 003,84
E02003240,Peterborough 004,64
E02003241,Peterborough 005,110
E02003242,Peterborough 006,151
E02003243,Peterborough 007,819
E02003244,Peterborough 008,503
E02003245,Peterborough 009,457
E02003246,Peterborough 010,181
E02003247,Peterborough 011,287
E02003248,Peterborough 012,77
E02003249,Peterborough 013,489
E02003250,Peterborough 014,176
E02003251,Peterborough 015,43
E02003252,Peterborough 016,177
E02003253,Peterborough 017,215
E02003254,Peterborough 018,90
E02003255,Peterborough 019,265
E02003257,Peterborough 021,435
E02003258,Luton 001,83
E02003259,Luton 002,273
E02003260,Luton 003,1101
E02003261,Luton 004,252
E02003262,Luton 005,908
E02003263,Luton 006,309
E02003264,Luton 007,10
E02003265,Luton 008,283
E02003266,Luton 009,992
E02003267,Luton 010,106
E02003268,Luton 011,88
E02003269,Luton 012,188
E02003270,Luton 013,192
E02003271,Luton 014,142
E02003272,Luton 015,78
E02003273,Luton 016,710
E02003274,Luton 017,249
E02003276,Luton 019,70
E02003277,Luton 020,911
E02003278,Luton 021,533
E02003279,Southend-on-Sea 001,80
E02003280,Southend-on-Sea 002,438
E02003281,Southend-on-Sea 003,313
E02003282,Southend-on-Sea 004,222
E02003283,Southend-on-Sea 005,589
E02003284,Southend-on-Sea 006,339
E02003285,Southend-on-Sea 007,33
E02003286,Southend-on-Sea 008,55
E02003287,Southend-on-Sea 009,456
E02003288,Southend-on-Sea 010,844
E02003289,Southend-on-Sea 011,42
E02003290,Southend-on-Sea 012,90
E02003291,Southend-on-Sea 013,465
E02003292,Southend-on-Sea 014,322
E02003293,Southend-on-Sea 015,75
E02003294,Southend-on-Sea 016,25
E02003295,Southend-on-Sea 017,430
E02003296,Thurrock 001,20
E02003297,Thurrock 002,490
E02003298,Thurrock 003,292
E02003299,Thurrock 004,119
E02003300,Thurrock 005,105
E02003301,Thurrock 006,804
E02003302,Thurrock 007,1347
E02003303,Thurrock 008,654
E02003304,Thurrock 009,897
E02003305,Thurrock 010,250
E02003307,Thurrock 012,1268
E02003308,Thurrock 013,101
E02003309,Thurrock 014,191
E02003311,Thurrock 016,206
E02003312,Thurrock 017,613
E02003313,Thurrock 018,1623
E02003314,Medway 001,49
E02003315,Medway 002,24
E02003316,Medway 003,83
E02003317,Medway 004,40
E02003318,Medway 005,9
E02003319,Medway 006,41
E02003320,Medway 007,235
E02003321,Medway 008,119
E02003322,Medway 009,267
E02003323,Medway 010,280
E02003324,Medway 011,90
E02003325,Medway 012,305
E02003326,Medway 013,143
E02003327,Medway 014,94
E02003328,Medway 015,204
E02003329,Medway 016,36
E02003330,Medway 017,34
E02003331,Medway 018,713
E02003332,Medway 019,247
E02003333,Medway 020,94
E02003334,Medway 021,42
E02003335,Medway 022,140
E02003336,Medway 023,111
E02003337,Medway 024,59
E02003338,Medway 025,240
E02003339,Medway 026,32
E02003340,Medway 027,159
E02003341,Medway 028,22
E02003342,Medway 029,156
E02003343,Medway 030,41
E02003344,Medway 031,127
E02003345,Medway 032,11
E02003346,Medway 033,53
E02003347,Medway 034,16
E02003348,Medway 035,9
E02003349,Medway 036,115
E02003350,Medway 037,80
E02003351,Medway 038,30
E02003352,Bracknell Forest 001,19
E02003353,Bracknell Forest 002,100
E02003354,Bracknell Forest 003,130
E02003355,Bracknell Forest 004,353
E02003356,Bracknell Forest 005,48
E02003357,Bracknell Forest 006,361
E02003358,Bracknell Forest 007,317
E02003359,Bracknell Forest 008,191
E02003360,Bracknell Forest 009,312
E02003361,Bracknell Forest 010,252
E02003362,Bracknell Forest 011,215
E02003363,Bracknell Forest 012,32
E02003364,Bracknell Forest 013,73
E02003365,Bracknell Forest 014,56
E02003366,Bracknell Forest 015,51
E02003367,West Berkshire 001,26
E02003368,West Berkshire 002,46
E02003369,West Berkshire 003,10
E02003370,West Berkshire 004,13
E02003371,West Berkshire 005,2
E02003372,West Berkshire 006,28
E02003373,West Berkshire 007,16
E02003374,West Berkshire 008,19
E02003375,West Berkshire 009,45
E02003376,West Berkshire 010,33
E02003377,West Berkshire 011,40
E02003378,West Berkshire 012,63
E02003379,West Berkshire 013,54
E02003380,West Berkshire 014,22
E02003381,West Berkshire 015,26
E02003382,West Berkshire 016,60
E02003383,West Berkshire 017,18
E02003384,West Berkshire 018,25
E02003385,West Berkshire 019,78
E02003386,West Berkshire 020,93
E02003387,West Berkshire 021,32
E02003388,West Berkshire 022,36
E02003389,Reading 001,47
E02003390,Reading 002,17
E02003391,Reading 003,192
E02003392,Reading 004,259
E02003393,Reading 005,56
E02003394,Reading 006,542
E02003395,Reading 007,67
E02003396,Reading 008,105
E02003397,Reading 009,689
E02003398,Reading 010,335
E02003400,Reading 012,26
E02003401,Reading 013,464
E02003402,Reading 014,242
E02003403,Reading 015,783
E02003404,Reading 016,520
E02003405,Reading 017,922
E02003406,Reading 018,609
E02003407,Slough 001,1125
E02003408,Slough 002,267
E02003409,Slough 003,661
E02003410,Slough 004,488
E02003411,Slough 005,616
E02003412,Slough 006,327
E02003414,Slough 008,380
E02003415,Slough 009,375
E02003416,Slough 010,223
E02003417,Slough 011,274
E02003418,Slough 012,793
E02003419,Slough 013,436
E02003420,Slough 014,66
E02003421,Windsor and Maidenhead 001,7
E02003422,Windsor and Maidenhead 002,25
E02003423,Windsor and Maidenhead 003,42
E02003424,Windsor and Maidenhead 004,6
E02003425,Windsor and Maidenhead 005,83
E02003426,Windsor and Maidenhead 006,15
E02003427,Windsor and Maidenhead 007,50
E02003428,Windsor and Maidenhead 008,47
E02003429,Windsor and Maidenhead 009,7
E02003430,Windsor and Maidenhead 010,34
E02003431,Windsor and Maidenhead 011,72
E02003432,Windsor and Maidenhead 012,34
E02003433,Windsor and Maidenhead 013,45
E02003434,Windsor and Maidenhead 014,131
E02003435,Windsor and Maidenhead 015,19
E02003436,Windsor and Maidenhead 016,19
E02003437,Windsor and Maidenhead 017,29
E02003438,Windsor and Maidenhead 018,42
E02003439,Wokingham 001,181
E02003440,Wokingham 002,186
E02003441,Wokingham 003,109
E02003442,Wokingham 004,29
E02003443,Wokingham 005,467
E02003444,Wokingham 006,42
E02003445,Wokingham 007,28
E02003446,Wokingham 008,31
E02003447,Wokingham 009,134
E02003448,Wokingham 010,76
E02003449,Wokingham 011,9
E02003450,Wokingham 012,277
E02003451,Wokingham 013,552
E02003452,Wokingham 014,82
E02003453,Wokingham 015,13
E02003454,Wokingham 016,76
E02003455,Wokingham 017,189
E02003456,Wokingham 018,206
E02003457,Wokingham 019,102
E02003458,Wokingham 020,56
E02003459,Milton Keynes 001,176
E02003460,Milton Keynes 002,264
E02003461,Milton Keynes 003,183
E02003462,Milton Keynes 004,126
E02003463,Milton Keynes 005,317
E02003464,Milton Keynes 006,588
E02003465,Milton Keynes 007,156
E02003466,Milton Keynes 008,278
E02003467,Milton Keynes 009,441
E02003468,Milton Keynes 010,244
E02003469,Milton Keynes 011,147
E02003470,Milton Keynes 012,833
E02003471,Milton Keynes 013,379
E02003472,Milton Keynes 014,658
E02003473,Milton Keynes 015,71
E02003474,Milton Keynes 016,195
E02003476,Milton Keynes 018,896
E02003478,Milton Keynes 020,133
E02003479,Milton Keynes 021,353
E02003480,Milton Keynes 022,46
E02003481,Milton Keynes 023,1108
E02003482,Milton Keynes 024,138
E02003483,Milton Keynes 025,72
E02003484,Milton Keynes 026,104
E02003485,Milton Keynes 027,608
E02003486,Milton Keynes 028,75
E02003487,Milton Keynes 029,514
E02003488,Milton Keynes 030,347
E02003489,Milton Keynes 031,228
E02003490,Milton Keynes 032,1035
E02003491,Brighton and Hove 001,284
E02003492,Brighton and Hove 002,721
E02003493,Brighton and Hove 003,116
E02003494,Brighton and Hove 004,148
E02003495,Brighton and Hove 005,201
E02003496,Brighton and Hove 006,708
E02003497,Brighton and Hove 007,38
E02003498,Brighton and Hove 008,1084
E02003499,Brighton and Hove 009,725
E02003500,Brighton and Hove 010,42
E02003501,Brighton and Hove 011,49
E02003502,Brighton and Hove 012,451
E02003503,Brighton and Hove 013,429
E02003504,Brighton and Hove 014,83
E02003505,Brighton and Hove 015,181
E02003506,Brighton and Hove 016,85
E02003507,Brighton and Hove 017,439
E02003508,Brighton and Hove 018,84
E02003509,Brighton and Hove 019,340
E02003510,Brighton and Hove 020,54
E02003511,Brighton and Hove 021,192
E02003512,Brighton and Hove 022,223
E02003513,Brighton and Hove 023,302
E02003514,Brighton and Hove 024,91
E02003515,Brighton and Hove 025,1819
E02003516,Brighton and Hove 026,66
E02003517,Brighton and Hove 027,293
E02003518,Brighton and Hove 028,58
E02003519,Brighton and Hove 029,64
E02003520,Brighton and Hove 030,1061
E02003521,Brighton and Hove 031,611
E02003522,Brighton and Hove 032,465
E02003523,Brighton and Hove 033,80
E02003524,Portsmouth 001,975
E02003525,Portsmouth 002,710
E02003526,Portsmouth 003,31
E02003527,Portsmouth 004,265
E02003529,Portsmouth 006,162
E02003530,Portsmouth 007,302
E02003531,Portsmouth 008,23
E02003532,Portsmouth 009,42
E02003533,Portsmouth 010,264
E02003534,Portsmouth 011,45
E02003535,Portsmouth 012,53
E02003536,Portsmouth 013,1832
E02003537,Portsmouth 014,267
E02003538,Portsmouth 015,259
E02003540,Portsmouth 017,210
E02003541,Portsmouth 018,1535
E02003542,Portsmouth 019,37
E02003543,Portsmouth 020,64
E02003544,Portsmouth 021,62
E02003545,Portsmouth 022,122
E02003546,Portsmouth 023,76
E02003547,Portsmouth 024,99
E02003548,Portsmouth 025,23
E02003549,Southampton 001,211
E02003550,Southampton 002,511
E02003551,Southampton 003,275
E02003552,Southampton 004,930
E02003553,Southampton 005,447
E02003554,Southampton 006,281
E02003555,Southampton 007,735
E02003556,Southampton 008,127
E02003557,Southampton 009,55
E02003558,Southampton 010,661
E02003559,Southampton 011,71
E02003560,Southampton 012,1338
E02003561,Southampton 013,233
E02003562,Southampton 014,105
E02003563,Southampton 015,532
E02003564,Southampton 016,552
E02003565,Southampton 017,58
E02003566,Southampton 018,525
E02003567,Southampton 019,644
E02003568,Southampton 020,31
E02003569,Southampton 021,171
E02003570,Southampton 022,555
E02003571,Southampton 023,254
E02003572,Southampton 024,157
E02003573,Southampton 025,1180
E02003574,Southampton 026,271
E02003575,Southampton 027,1233
E02003576,Southampton 028,459
E02003578,Southampton 030,186
E02003579,Southampton 031,143
E02003580,Southampton 032,1141
E02003581,Isle of Wight 001,30
E02003582,Isle of Wight 002,12
E02003583,Isle of Wight 003,48
E02003584,Isle of Wight 004,32
E02003585,Isle of Wight 005,18
E02003586,Isle of Wight 006,46
E02003587,Isle of Wight 007,83
E02003588,Isle of Wight 008,79
E02003589,Isle of Wight 009,47
E02003590,Isle of Wight 010,12
E02003591,Isle of Wight 011,41
E02003592,Isle of Wight 012,41
E02003593,Isle of Wight 013,12
E02003594,Isle of Wight 014,57
E02003595,Isle of Wight 015,22
E02003596,Isle of Wight 016,44
E02003597,Isle of Wight 017,18
E02003598,Isle of Wight 018,37
E02003599,Central Bedfordshire 001,53
E02003600,Central Bedfordshire 002,60
E02003601,Central Bedfordshire 003,54
E02003602,Central Bedfordshire 004,33
E02003603,Central Bedfordshire 005,89
E02003604,Central Bedfordshire 006,67
E02003605,Central Bedfordshire 007,33
E02003606,Central Bedfordshire 008,40
E02003607,Central Bedfordshire 009,42
E02003608,Central Bedfordshire 010,81
E02003609,Central Bedfordshire 011,66
E02003610,Central Bedfordshire 012,35
E02003611,Central Bedfordshire 013,26
E02003612,Central Bedfordshire 014,54
E02003613,Central Bedfordshire 015,48
E02003614,Central Bedfordshire 016,20
E02003615,Central Bedfordshire 017,28
E02003616,Bedford 001,15
E02003617,Bedford 002,39
E02003618,Bedford 003,45
E02003619,Bedford 004,65
E02003620,Bedford 005,58
E02003621,Bedford 006,29
E02003622,Bedford 007,205
E02003623,Bedford 008,34
E02003624,Bedford 009,37
E02003625,Bedford 010,147
E02003626,Bedford 011,28
E02003627,Bedford 012,142
E02003628,Bedford 013,94
E02003629,Bedford 014,254
E02003630,Bedford 015,195
E02003631,Bedford 016,38
E02003632,Bedford 017,43
E02003633,Bedford 018,112
E02003635,Bedford 020,84
E02003636,Central Bedfordshire 018,135
E02003637,Central Bedfordshire 019,321
E02003638,Central Bedfordshire 020,217
E02003639,Central Bedfordshire 021,679
E02003640,Central Bedfordshire 022,145
E02003641,Central Bedfordshire 023,42
E02003642,Central Bedfordshire 025,843
E02003643,Central Bedfordshire 024,149
E02003644,Central Bedfordshire 026,255
E02003645,Central Bedfordshire 027,17
E02003646,Central Bedfordshire 028,567
E02003647,Central Bedfordshire 029,391
E02003648,Central Bedfordshire 030,511
E02003649,Central Bedfordshire 031,63
E02003650,Central Bedfordshire 032,296
E02003651,Central Bedfordshire 033,158
E02003652,Buckinghamshire 001,90
E02003653,Buckinghamshire 002,116
E02003654,Buckinghamshire 003,87
E02003655,Buckinghamshire 004,114
E02003656,Buckinghamshire 005,104
E02003657,Buckinghamshire 006,87
E02003658,Buckinghamshire 007,107
E02003659,Buckinghamshire 009,76
E02003660,Buckinghamshire 008,127
E02003661,Buckinghamshire 010,52
E02003662,Buckinghamshire 012,116
E02003663,Buckinghamshire 011,276
E02003664,Buckinghamshire 013,214
E02003665,Buckinghamshire 014,52
E02003666,Buckinghamshire 015,114
E02003667,Buckinghamshire 016,93
E02003668,Buckinghamshire 018,25
E02003669,Buckinghamshire 017,383
E02003670,Buckinghamshire 019,94
E02003671,Buckinghamshire 020,194
E02003672,Buckinghamshire 021,104
E02003673,Buckinghamshire 022,94
E02003674,Buckinghamshire 023,80
E02003675,Buckinghamshire 024,109
E02003676,Buckinghamshire 029,23
E02003677,Buckinghamshire 027,205
E02003678,Buckinghamshire 028,33
E02003679,Buckinghamshire 030,100
E02003680,Buckinghamshire 031,51
E02003681,Buckinghamshire 032,65
E02003682,Buckinghamshire 034,39
E02003683,Buckinghamshire 035,62
E02003685,Buckinghamshire 047,29
E02003686,Buckinghamshire 050,18
E02003687,Buckinghamshire 054,54
E02003688,Buckinghamshire 053,60
E02003689,Buckinghamshire 058,16
E02003690,Buckinghamshire 059,58
E02003691,Buckinghamshire 063,25
E02003692,Buckinghamshire 064,32
E02003693,Buckinghamshire 065,27
E02003694,Buckinghamshire 066,71
E02003695,Buckinghamshire 067,64
E02003696,Buckinghamshire 026,118
E02003697,Buckinghamshire 025,29
E02003698,Buckinghamshire 033,10
E02003699,Buckinghamshire 037,40
E02003701,Buckinghamshire 038,139
E02003702,Buckinghamshire 040,27
E02003703,Buckinghamshire 041,42
E02003704,Buckinghamshire 045,22
E02003705,Buckinghamshire 042,82
E02003706,Buckinghamshire 043,172
E02003707,Buckinghamshire 044,73
E02003708,Buckinghamshire 046,144
E02003709,Buckinghamshire 048,171
E02003710,Buckinghamshire 049,71
E02003711,Buckinghamshire 051,113
E02003712,Buckinghamshire 052,162
E02003713,Buckinghamshire 055,51
E02003714,Buckinghamshire 056,86
E02003715,Buckinghamshire 057,11
E02003716,Buckinghamshire 060,52
E02003717,Buckinghamshire 062,106
E02003718,Buckinghamshire 061,64
E02003719,Cambridge 001,1191
E02003720,Cambridge 002,911
E02003721,Cambridge 003,476
E02003722,Cambridge 004,130
E02003723,Cambridge 005,116
E02003724,Cambridge 006,1028
E02003725,Cambridge 007,142
E02003726,Cambridge 008,244
E02003727,Cambridge 009,353
E02003728,Cambridge 010,642
E02003729,Cambridge 011,639
E02003731,Cambridge 013,526
E02003732,East Cambridgeshire 001,94
E02003733,East Cambridgeshire 002,39
E02003734,East Cambridgeshire 003,123
E02003735,East Cambridgeshire 004,44
E02003736,East Cambridgeshire 005,71
E02003737,East Cambridgeshire 006,137
E02003738,East Cambridgeshire 007,46
E02003739,East Cambridgeshire 008,42
E02003740,East Cambridgeshire 009,50
E02003742,Fenland 001,50
E02003743,Fenland 002,260
E02003744,Fenland 003,242
E02003745,Fenland 004,154
E02003746,Fenland 005,30
E02003747,Fenland 006,116
E02003748,Fenland 007,80
E02003749,Fenland 008,36
E02003750,Fenland 009,55
E02003751,Fenland 010,45
E02003752,Fenland 011,106
E02003753,Huntingdonshire 001,122
E02003754,Huntingdonshire 002,40
E02003755,Huntingdonshire 003,108
E02003756,Huntingdonshire 004,62
E02003757,Huntingdonshire 005,69
E02003758,Huntingdonshire 006,60
E02003759,Huntingdonshire 007,37
E02003760,Huntingdonshire 008,299
E02003761,Huntingdonshire 009,61
E02003762,Huntingdonshire 010,105
E02003763,Huntingdonshire 011,54
E02003764,Huntingdonshire 012,95
E02003765,Huntingdonshire 013,55
E02003766,Huntingdonshire 014,82
E02003767,Huntingdonshire 015,32
E02003768,Huntingdonshire 016,46
E02003769,Huntingdonshire 017,27
E02003770,Huntingdonshire 018,77
E02003771,Huntingdonshire 019,76
E02003772,Huntingdonshire 020,15
E02003773,Huntingdonshire 021,177
E02003774,Huntingdonshire 022,122
E02003775,South Cambridgeshire 001,230
E02003776,South Cambridgeshire 002,236
E02003777,South Cambridgeshire 003,210
E02003778,South Cambridgeshire 004,244
E02003780,South Cambridgeshire 006,338
E02003781,South Cambridgeshire 007,129
E02003784,South Cambridgeshire 010,187
E02003785,South Cambridgeshire 011,282
E02003786,South Cambridgeshire 012,333
E02003787,South Cambridgeshire 013,400
E02003788,South Cambridgeshire 014,276
E02003789,South Cambridgeshire 015,424
E02003790,South Cambridgeshire 016,440
E02003791,South Cambridgeshire 017,345
E02003792,South Cambridgeshire 018,436
E02003793,South Cambridgeshire 019,322
E02004356,Eastbourne 001,508
E02004357,Eastbourne 002,392
E02004358,Eastbourne 003,478
E02004359,Eastbourne 004,477
E02004361,Eastbourne 006,378
E02004362,Eastbourne 007,102
E02004363,Eastbourne 008,69
E02004364,Eastbourne 009,188
E02004365,Eastbourne 010,271
E02004366,Eastbourne 011,57
E02004367,Eastbourne 012,44
E02004368,Hastings 001,47
E02004369,Hastings 002,35
E02004370,Hastings 003,246
E02004371,Hastings 004,88
E02004372,Hastings 005,180
E02004373,Hastings 006,79
E02004374,Hastings 007,39
E02004375,Hastings 008,31
E02004376,Hastings 009,61
E02004377,Hastings 010,40
E02004378,Hastings 011,75
E02004379,Lewes 001,263
E02004380,Lewes 002,201
E02004381,Lewes 003,645
E02004382,Lewes 004,170
E02004383,Lewes 005,297
E02004384,Lewes 006,101
E02004385,Lewes 007,147
E02004386,Lewes 008,166
E02004387,Lewes 009,365
E02004388,Lewes 010,260
E02004389,Lewes 011,79
E02004390,Lewes 012,317
E02004391,Lewes 013,153
E02004392,Rother 001,61
E02004393,Rother 002,44
E02004394,Rother 003,46
E02004395,Rother 004,97
E02004396,Rother 005,31
E02004397,Rother 006,72
E02004398,Rother 007,187
E02004399,Rother 008,21
E02004400,Rother 009,20
E02004401,Rother 010,25
E02004402,Rother 011,43
E02004403,Wealden 001,184
E02004404,Wealden 002,82
E02004405,Wealden 003,31
E02004406,Wealden 004,18
E02004407,Wealden 005,144
E02004408,Wealden 006,348
E02004409,Wealden 007,72
E02004410,Wealden 008,144
E02004411,Wealden 009,271
E02004412,Wealden 010,173
E02004413,Wealden 011,110
E02004414,Wealden 012,96
E02004415,Wealden 013,81
E02004416,Wealden 014,102
E02004417,Wealden 015,55
E02004418,Wealden 016,120
E02004419,Wealden 017,445
E02004420,Wealden 018,91
E02004421,Wealden 019,139
E02004422,Wealden 020,110
E02004423,Wealden 021,73
E02004424,Basildon 001,11
E02004425,Basildon 002,209
E02004426,Basildon 003,223
E02004427,Basildon 004,206
E02004428,Basildon 005,402
E02004429,Basildon 006,117
E02004430,Basildon 007,10
E02004431,Basildon 008,177
E02004432,Basildon 009,54
E02004433,Basildon 010,415
E02004434,Basildon 011,523
E02004435,Basildon 012,721
E02004436,Basildon 013,1250
E02004437,Basildon 014,862
E02004438,Basildon 015,1055
E02004439,Basildon 016,756
E02004440,Basildon 017,690
E02004441,Basildon 018,880
E02004442,Basildon 019,585
E02004443,Basildon 020,512
E02004444,Basildon 021,230
E02004445,Basildon 022,673
E02004446,Braintree 001,67
E02004447,Braintree 002,39
E02004448,Braintree 003,92
E02004449,Braintree 004,219
E02004450,Braintree 005,62
E02004451,Braintree 006,92
E02004452,Braintree 007,54
E02004453,Braintree 008,283
E02004454,Braintree 009,91
E02004455,Braintree 010,24
E02004456,Braintree 011,211
E02004457,Braintree 012,153
E02004458,Braintree 013,38
E02004459,Braintree 014,123
E02004460,Braintree 015,177
E02004461,Braintree 016,180
E02004462,Braintree 017,191
E02004463,Braintree 018,90
E02004464,Brentwood 001,199
E02004465,Brentwood 002,263
E02004466,Brentwood 003,548
E02004467,Brentwood 004,494
E02004468,Brentwood 005,51
E02004469,Brentwood 006,110
E02004470,Brentwood 007,292
E02004471,Brentwood 008,646
E02004472,Brentwood 009,47
E02004473,Castle Point 001,97
E02004474,Castle Point 002,37
E02004475,Castle Point 003,80
E02004476,Castle Point 004,21
E02004477,Castle Point 005,29
E02004478,Castle Point 006,219
E02004479,Castle Point 007,86
E02004480,Castle Point 008,53
E02004481,Castle Point 009,68
E02004482,Castle Point 010,512
E02004483,Castle Point 011,96
E02004484,Castle Point 012,125
E02004485,Chelmsford 001,101
E02004486,Chelmsford 002,29
E02004487,Chelmsford 003,145
E02004488,Chelmsford 004,64
E02004489,Chelmsford 005,46
E02004490,Chelmsford 006,293
E02004491,Chelmsford 007,14
E02004492,Chelmsford 008,97
E02004493,Chelmsford 009,149
E02004495,Chelmsford 011,87
E02004496,Chelmsford 012,26
E02004497,Chelmsford 013,36
E02004498,Chelmsford 014,174
E02004499,Chelmsford 015,11
E02004500,Chelmsford 016,58
E02004501,Chelmsford 017,99
E02004502,Chelmsford 018,27
E02004503,Chelmsford 019,6
E02004504,Chelmsford 020,36
E02004505,Chelmsford 021,23
E02004506,Colchester 001,153
E02004507,Colchester 002,115
E02004508,Colchester 003,192
E02004512,Colchester 007,211
E02004513,Colchester 008,1241
E02004514,Colchester 009,146
E02004515,Colchester 010,127
E02004516,Colchester 011,198
E02004517,Colchester 012,243
E02004518,Colchester 013,61
E02004519,Colchester 014,132
E02004520,Colchester 015,480
E02004521,Colchester 016,595
E02004522,Colchester 017,92
E02004523,Colchester 018,563
E02004524,Colchester 019,127
E02004525,Colchester 020,157
E02004526,Colchester 021,150
E02004527,Epping Forest 001,301
E02004528,Epping Forest 002,237
E02004529,Epping Forest 003,233
E02004530,Epping Forest 004,372
E02004531,Epping Forest 005,373
E02004532,Epping Forest 006,252
E02004533,Epping Forest 007,738
E02004534,Epping Forest 008,621
E02004535,Epping Forest 009,135
E02004536,Epping Forest 010,199
E02004537,Epping Forest 011,1139
E02004538,Epping Forest 012,149
E02004539,Epping Forest 013,610
E02004540,Epping Forest 014,145
E02004541,Epping Forest 015,291
E02004542,Epping Forest 016,89
E02004543,Epping Forest 017,329
E02004544,Harlow 001,601
E02004545,Harlow 002,1187
E02004546,Harlow 003,1166
E02004547,Harlow 004,1074
E02004548,Harlow 005,33
E02004549,Harlow 006,1116
E02004550,Harlow 007,1010
E02004551,Harlow 008,1031
E02004552,Harlow 009,529
E02004553,Harlow 010,588
E02004554,Harlow 011,718
E02004555,Maldon 001,33
E02004556,Maldon 002,28
E02004557,Maldon 003,35
E02004558,Maldon 004,50
E02004559,Maldon 005,28
E02004560,Maldon 006,34
E02004561,Maldon 007,20
E02004562,Maldon 008,39
E02004563,Rochford 001,10
E02004564,Rochford 002,16
E02004566,Rochford 004,73
E02004567,Rochford 005,7
E02004568,Rochford 006,51
E02004569,Rochford 007,33
E02004570,Rochford 008,52
E02004571,Rochford 009,15
E02004572,Rochford 010,73
E02004573,Tendring 001,242
E02004574,Tendring 002,307
E02004575,Tendring 003,360
E02004576,Tendring 004,146
E02004577,Tendring 005,95
E02004578,Tendring 006,134
E02004579,Tendring 007,115
E02004580,Tendring 008,108
E02004581,Tendring 009,78
E02004582,Tendring 010,22
E02004583,Tendring 011,125
E02004584,Tendring 012,26
E02004585,Tendring 013,71
E02004586,Tendring 014,93
E02004587,Tendring 015,435
E02004588,Tendring 016,144
E02004589,Tendring 017,130
E02004590,Tendring 018,71
E02004591,Uttlesford 001,156
E02004592,Uttlesford 002,524
E02004593,Uttlesford 003,301
E02004594,Uttlesford 004,276
E02004595,Uttlesford 005,279
E02004596,Uttlesford 006,270
E02004597,Uttlesford 007,323
E02004598,Uttlesford 008,261
E02004599,Uttlesford 009,290
E02004675,Basingstoke and Deane 001,26
E02004676,Basingstoke and Deane 002,15
E02004677,Basingstoke and Deane 003,33
E02004678,Basingstoke and Deane 004,26
E02004679,Basingstoke and Deane 005,42
E02004680,Basingstoke and Deane 006,6
E02004681,Basingstoke and Deane 007,103
E02004682,Basingstoke and Deane 008,37
E02004683,Basingstoke and Deane 009,73
E02004684,Basingstoke and Deane 010,38
E02004685,Basingstoke and Deane 011,36
E02004686,Basingstoke and Deane 012,33
E02004687,Basingstoke and Deane 013,49
E02004688,Basingstoke and Deane 014,82
E02004689,Basingstoke and Deane 015,7
E02004690,Basingstoke and Deane 016,6
E02004691,Basingstoke and Deane 017,20
E02004692,Basingstoke and Deane 018,5
E02004693,Basingstoke and Deane 019,46
E02004694,Basingstoke and Deane 020,36
E02004695,Basingstoke and Deane 021,8
E02004696,Basingstoke and Deane 022,40
E02004697,East Hampshire 001,18
E02004698,East Hampshire 002,164
E02004699,East Hampshire 003,54
E02004700,East Hampshire 004,90
E02004702,East Hampshire 006,90
E02004703,East Hampshire 007,31
E02004704,East Hampshire 008,43
E02004705,East Hampshire 009,68
E02004706,East Hampshire 010,49
E02004707,East Hampshire 011,45
E02004708,East Hampshire 012,119
E02004709,East Hampshire 013,44
E02004710,East Hampshire 014,39
E02004712,Eastleigh 001,2
E02004713,Eastleigh 002,11
E02004714,Eastleigh 003,10
E02004715,Eastleigh 004,72
E02004716,Eastleigh 005,44
E02004717,Eastleigh 006,166
E02004718,Eastleigh 007,70
E02004719,Eastleigh 008,29
E02004720,Eastleigh 009,38
E02004721,Eastleigh 010,27
E02004722,Eastleigh 011,55
E02004723,Eastleigh 012,14
E02004724,Eastleigh 013,60
E02004725,Eastleigh 014,41
E02004726,Eastleigh 015,30
E02004727,Fareham 001,55
E02004728,Fareham 002,172
E02004729,Fareham 003,418
E02004730,Fareham 004,16
E02004731,Fareham 005,52
E02004732,Fareham 006,116
E02004733,Fareham 007,178
E02004734,Fareham 008,132
E02004735,Fareham 009,27
E02004736,Fareham 010,73
E02004737,Fareham 011,525
E02004738,Fareham 012,259
E02004739,Fareham 013,192
E02004740,Fareham 014,26
E02004741,Gosport 001,438
E02004742,Gosport 002,550
E02004743,Gosport 003,143
E02004744,Gosport 004,226
E02004745,Gosport 005,404
E02004746,Gosport 006,131
E02004747,Gosport 007,220
E02004748,Gosport 008,753
E02004749,Gosport 009,30
E02004750,Gosport 010,104
E02004751,Hart 001,43
E02004752,Hart 002,11
E02004753,Hart 003,36
E02004754,Hart 004,55
E02004755,Hart 005,32
E02004756,Hart 006,39
E02004757,Hart 007,11
E02004758,Hart 008,52
E02004759,Hart 009,7
E02004760,Hart 010,43
E02004761,Hart 011,39
E02004764,Havant 003,90
E02004765,Havant 004,21
