Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_with_mortgage
E02000949,Wandsworth 027,1352
E02000950,Wandsworth 028,750
E02000951,Wandsworth 029,735
E02000952,Wandsworth 030,666
E02000953,Wandsworth 031,1005
E02000954,Wandsworth 032,640
E02000955,Wandsworth 033,565
E02000956,Wandsworth 034,573
E02000957,Wandsworth 035,1052
E02000958,Wandsworth 036,950
E02000959,Wandsworth 037,831
E02000960,Westminster 001,368
E02000961,Westminster 002,598
E02000962,Westminster 003,398
E02000963,Westminster 004,491
E02000964,Westminster 005,661
E02000965,Westminster 006,689
E02000966,Westminster 007,755
E02000967,Westminster 008,418
E02000968,Westminster 009,315
E02000969,Westminster 010,293
E02000970,Westminster 011,383
E02000971,Westminster 012,392
E02000972,Westminster 013,305
E02000973,Westminster 014,654
E02000974,Westminster 015,414
E02000975,Westminster 016,467
E02000976,Westminster 017,462
E02000977,Westminster 018,254
E02000978,Westminster 019,401
E02000979,Westminster 020,381
E02000980,Westminster 021,435
E02000981,Westminster 022,575
E02000982,Westminster 023,326
E02000983,Westminster 024,310
E02003237,Peterborough 001,884
E02003238,Peterborough 002,827
E02003239,Peterborough 003,1239
E02003240,Peterborough 004,903
E02003241,Peterborough 005,1079
E02003242,Peterborough 006,1100
E02003243,Peterborough 007,1176
E02003244,Peterborough 008,945
E02003245,Peterborough 009,565
E02003246,Peterborough 010,768
E02003247,Peterborough 011,723
E02003248,Peterborough 012,989
E02003249,Peterborough 013,1192
E02003250,Peterborough 014,649
E02003251,Peterborough 015,958
E02003252,Peterborough 016,1419
E02003253,Peterborough 017,1176
E02003254,Peterborough 018,1280
E02003255,Peterborough 019,2156
E02003257,Peterborough 021,763
E02003258,Luton 001,1277
E02003259,Luton 002,883
E02003260,Luton 003,806
E02003261,Luton 004,755
E02003262,Luton 005,1151
E02003263,Luton 006,1416
E02003264,Luton 007,1393
E02003265,Luton 008,1174
E02003266,Luton 009,1110
E02003267,Luton 010,1336
E02003268,Luton 011,1272
E02003269,Luton 012,1327
E02003270,Luton 013,969
E02003271,Luton 014,1415
E02003272,Luton 015,863
E02003273,Luton 016,1454
E02003274,Luton 017,632
E02003276,Luton 019,571
E02003277,Luton 020,977
E02003278,Luton 021,816
E02003279,Southend-on-Sea 001,1392
E02003280,Southend-on-Sea 002,1502
E02003281,Southend-on-Sea 003,1302
E02003282,Southend-on-Sea 004,1482
E02003283,Southend-on-Sea 005,1536
E02003284,Southend-on-Sea 006,1623
E02003285,Southend-on-Sea 007,1624
E02003286,Southend-on-Sea 008,1501
E02003287,Southend-on-Sea 009,1062
E02003288,Southend-on-Sea 010,1167
E02003289,Southend-on-Sea 011,1676
E02003290,Southend-on-Sea 012,1280
E02003291,Southend-on-Sea 013,1437
E02003292,Southend-on-Sea 014,1060
E02003293,Southend-on-Sea 015,1166
E02003294,Southend-on-Sea 016,1245
E02003295,Southend-on-Sea 017,1249
E02003296,Thurrock 001,1125
E02003297,Thurrock 002,933
E02003298,Thurrock 003,1025
E02003299,Thurrock 004,969
E02003300,Thurrock 005,1471
E02003301,Thurrock 006,1874
E02003302,Thurrock 007,1366
E02003303,Thurrock 008,1534
E02003304,Thurrock 009,1280
E02003305,Thurrock 010,1070
E02003307,Thurrock 012,1183
E02003308,Thurrock 013,1194
E02003309,Thurrock 014,1192
E02003311,Thurrock 016,1202
E02003312,Thurrock 017,1061
E02003313,Thurrock 018,1405
E02003314,Medway 001,959
E02003315,Medway 002,924
E02003316,Medway 003,1953
E02003317,Medway 004,1126
E02003318,Medway 005,876
E02003319,Medway 006,1061
E02003320,Medway 007,1070
E02003321,Medway 008,739
E02003322,Medway 009,699
E02003323,Medway 010,890
E02003324,Medway 011,1578
E02003325,Medway 012,655
E02003326,Medway 013,1030
E02003327,Medway 014,888
E02003328,Medway 015,844
E02003329,Medway 016,760
E02003330,Medway 017,952
E02003331,Medway 018,1204
E02003332,Medway 019,805
E02003333,Medway 020,684
E02003334,Medway 021,728
E02003335,Medway 022,735
E02003336,Medway 023,953
E02003337,Medway 024,931
E02003338,Medway 025,973
E02003339,Medway 026,863
E02003340,Medway 027,1024
E02003341,Medway 028,1141
E02003342,Medway 029,917
E02003343,Medway 030,822
E02003344,Medway 031,967
E02003345,Medway 032,1091
E02003346,Medway 033,1107
E02003347,Medway 034,1198
E02003348,Medway 035,1208
E02003349,Medway 036,1152
E02003350,Medway 037,941
E02003351,Medway 038,1291
E02003352,Bracknell Forest 001,795
E02003353,Bracknell Forest 002,2290
E02003354,Bracknell Forest 003,1787
E02003355,Bracknell Forest 004,831
E02003356,Bracknell Forest 005,1143
E02003357,Bracknell Forest 006,1423
E02003358,Bracknell Forest 007,1457
E02003359,Bracknell Forest 008,1122
E02003360,Bracknell Forest 009,1788
E02003361,Bracknell Forest 010,1156
E02003362,Bracknell Forest 011,965
E02003363,Bracknell Forest 012,898
E02003364,Bracknell Forest 013,1264
E02003365,Bracknell Forest 014,1183
E02003366,Bracknell Forest 015,951
E02003367,West Berkshire 001,802
E02003368,West Berkshire 002,664
E02003369,West Berkshire 003,831
E02003370,West Berkshire 004,1003
E02003371,West Berkshire 005,956
E02003372,West Berkshire 006,1103
E02003373,West Berkshire 007,1072
E02003374,West Berkshire 008,943
E02003375,West Berkshire 009,908
E02003376,West Berkshire 010,641
E02003377,West Berkshire 011,1291
E02003378,West Berkshire 012,898
E02003379,West Berkshire 013,895
E02003380,West Berkshire 014,1386
E02003381,West Berkshire 015,850
E02003382,West Berkshire 016,938
E02003383,West Berkshire 017,1125
E02003384,West Berkshire 018,767
E02003385,West Berkshire 019,1479
E02003386,West Berkshire 020,1094
E02003387,West Berkshire 021,1336
E02003388,West Berkshire 022,849
E02003389,Reading 001,1212
E02003390,Reading 002,1251
E02003391,Reading 003,1306
E02003392,Reading 004,1088
E02003393,Reading 005,1279
E02003394,Reading 006,1103
E02003395,Reading 007,1029
E02003396,Reading 008,1266
E02003397,Reading 009,972
E02003398,Reading 010,926
E02003400,Reading 012,671
E02003401,Reading 013,944
E02003402,Reading 014,877
E02003403,Reading 015,1128
E02003404,Reading 016,497
E02003405,Reading 017,1154
E02003406,Reading 018,986
E02003407,Slough 001,1182
E02003408,Slough 002,956
E02003409,Slough 003,1229
E02003410,Slough 004,942
E02003411,Slough 005,1043
E02003412,Slough 006,1297
E02003414,Slough 008,1594
E02003415,Slough 009,891
E02003416,Slough 010,1191
E02003417,Slough 011,1211
E02003418,Slough 012,1092
E02003419,Slough 013,937
E02003420,Slough 014,686
E02003421,Windsor and Maidenhead 001,791
E02003422,Windsor and Maidenhead 002,1639
E02003423,Windsor and Maidenhead 003,757
E02003424,Windsor and Maidenhead 004,1421
E02003425,Windsor and Maidenhead 005,1440
E02003426,Windsor and Maidenhead 006,1470
E02003427,Windsor and Maidenhead 007,921
E02003428,Windsor and Maidenhead 008,1270
E02003429,Windsor and Maidenhead 009,1111
E02003430,Windsor and Maidenhead 010,643
E02003431,Windsor and Maidenhead 011,1021
E02003432,Windsor and Maidenhead 012,954
E02003433,Windsor and Maidenhead 013,759
E02003434,Windsor and Maidenhead 014,1040
E02003435,Windsor and Maidenhead 015,1014
E02003436,Windsor and Maidenhead 016,1266
E02003437,Windsor and Maidenhead 017,981
E02003438,Windsor and Maidenhead 018,1417
E02003439,Wokingham 001,755
E02003440,Wokingham 002,1398
E02003441,Wokingham 003,1110
E02003442,Wokingham 004,1558
E02003443,Wokingham 005,836
E02003444,Wokingham 006,1296
E02003445,Wokingham 007,1489
E02003446,Wokingham 008,1241
E02003447,Wokingham 009,1688
E02003448,Wokingham 010,1258
E02003449,Wokingham 011,1288
E02003450,Wokingham 012,2156
E02003451,Wokingham 013,1178
E02003452,Wokingham 014,1683
E02003453,Wokingham 015,1194
E02003454,Wokingham 016,1343
E02003455,Wokingham 017,1998
E02003456,Wokingham 018,1201
E02003457,Wokingham 019,1628
E02003458,Wokingham 020,1346
E02003459,Milton Keynes 001,1194
E02003460,Milton Keynes 002,1838
E02003461,Milton Keynes 003,1026
E02003462,Milton Keynes 004,1265
E02003463,Milton Keynes 005,822
E02003464,Milton Keynes 006,732
E02003465,Milton Keynes 007,770
E02003466,Milton Keynes 008,1060
E02003467,Milton Keynes 009,568
E02003468,Milton Keynes 010,1171
E02003469,Milton Keynes 011,764
E02003470,Milton Keynes 012,408
E02003471,Milton Keynes 013,582
E02003472,Milton Keynes 014,532
E02003473,Milton Keynes 015,658
E02003474,Milton Keynes 016,984
E02003476,Milton Keynes 018,493
E02003478,Milton Keynes 020,765
E02003479,Milton Keynes 021,471
E02003480,Milton Keynes 022,921
E02003481,Milton Keynes 023,554
E02003482,Milton Keynes 024,1449
E02003483,Milton Keynes 025,1616
E02003484,Milton Keynes 026,753
E02003485,Milton Keynes 027,989
E02003486,Milton Keynes 028,1521
E02003487,Milton Keynes 029,922
E02003488,Milton Keynes 030,1012
E02003489,Milton Keynes 031,1013
E02003490,Milton Keynes 032,1326
E02003491,Brighton and Hove 001,1216
E02003492,Brighton and Hove 002,378
E02003493,Brighton and Hove 003,1167
E02003494,Brighton and Hove 004,996
E02003495,Brighton and Hove 005,1059
E02003496,Brighton and Hove 006,889
E02003497,Brighton and Hove 007,1128
E02003498,Brighton and Hove 008,602
E02003499,Brighton and Hove 009,474
E02003500,Brighton and Hove 010,1300
E02003501,Brighton and Hove 011,1199
E02003502,Brighton and Hove 012,1113
E02003503,Brighton and Hove 013,1184
E02003504,Brighton and Hove 014,1195
E02003505,Brighton and Hove 015,948
E02003506,Brighton and Hove 016,1204
E02003507,Brighton and Hove 017,1200
E02003508,Brighton and Hove 018,1105
E02003509,Brighton and Hove 019,1050
E02003510,Brighton and Hove 020,1073
E02003511,Brighton and Hove 021,1287
E02003512,Brighton and Hove 022,1054
E02003513,Brighton and Hove 023,820
E02003514,Brighton and Hove 024,961
E02003515,Brighton and Hove 025,481
E02003516,Brighton and Hove 026,936
E02003517,Brighton and Hove 027,777
E02003518,Brighton and Hove 028,898
E02003519,Brighton and Hove 029,841
E02003520,Brighton and Hove 030,642
E02003521,Brighton and Hove 031,782
E02003522,Brighton and Hove 032,647
E02003523,Brighton and Hove 033,1364
E02003524,Portsmouth 001,856
E02003525,Portsmouth 002,545
E02003526,Portsmouth 003,894
E02003527,Portsmouth 004,869
E02003529,Portsmouth 006,1327
E02003530,Portsmouth 007,968
E02003531,Portsmouth 008,1228
E02003532,Portsmouth 009,1124
E02003533,Portsmouth 010,723
E02003534,Portsmouth 011,1281
E02003535,Portsmouth 012,1338
E02003536,Portsmouth 013,340
E02003537,Portsmouth 014,1539
E02003538,Portsmouth 015,1163
E02003540,Portsmouth 017,1349
E02003541,Portsmouth 018,369
E02003542,Portsmouth 019,1056
E02003543,Portsmouth 020,756
E02003544,Portsmouth 021,966
E02003545,Portsmouth 022,634
E02003546,Portsmouth 023,947
E02003547,Portsmouth 024,707
E02003548,Portsmouth 025,744
E02003549,Southampton 001,826
E02003550,Southampton 002,1078
E02003551,Southampton 003,472
E02003552,Southampton 004,637
E02003553,Southampton 005,407
E02003554,Southampton 006,677
E02003555,Southampton 007,1124
E02003556,Southampton 008,843
E02003557,Southampton 009,553
E02003558,Southampton 010,606
E02003559,Southampton 011,1081
E02003560,Southampton 012,653
E02003561,Southampton 013,525
E02003562,Southampton 014,1159
E02003563,Southampton 015,860
E02003564,Southampton 016,1077
E02003565,Southampton 017,371
E02003566,Southampton 018,834
E02003567,Southampton 019,928
E02003568,Southampton 020,900
E02003569,Southampton 021,798
E02003570,Southampton 022,545
E02003571,Southampton 023,402
E02003572,Southampton 024,970
E02003573,Southampton 025,784
E02003574,Southampton 026,1198
E02003575,Southampton 027,552
E02003576,Southampton 028,1127
E02003578,Southampton 030,1016
E02003579,Southampton 031,1306
E02003580,Southampton 032,511
E02003581,Isle of Wight 001,1002
E02003582,Isle of Wight 002,1116
E02003583,Isle of Wight 003,860
E02003584,Isle of Wight 004,578
E02003585,Isle of Wight 005,767
E02003586,Isle of Wight 006,926
E02003587,Isle of Wight 007,903
E02003588,Isle of Wight 008,1025
E02003589,Isle of Wight 009,830
E02003590,Isle of Wight 010,679
E02003591,Isle of Wight 011,1177
E02003592,Isle of Wight 012,823
E02003593,Isle of Wight 013,586
E02003594,Isle of Wight 014,923
E02003595,Isle of Wight 015,880
E02003596,Isle of Wight 016,742
E02003597,Isle of Wight 017,629
E02003598,Isle of Wight 018,643
E02003599,Central Bedfordshire 001,839
E02003600,Central Bedfordshire 002,900
E02003601,Central Bedfordshire 003,1232
E02003602,Central Bedfordshire 004,823
E02003603,Central Bedfordshire 005,1712
E02003604,Central Bedfordshire 006,1972
E02003605,Central Bedfordshire 007,1483
E02003606,Central Bedfordshire 008,1449
E02003607,Central Bedfordshire 009,1845
E02003608,Central Bedfordshire 010,1947
E02003609,Central Bedfordshire 011,1652
E02003610,Central Bedfordshire 012,1513
E02003611,Central Bedfordshire 013,1506
E02003612,Central Bedfordshire 014,2136
E02003613,Central Bedfordshire 015,795
E02003614,Central Bedfordshire 016,1475
E02003615,Central Bedfordshire 017,1619
E02003616,Bedford 001,754
E02003617,Bedford 002,1224
E02003618,Bedford 003,1256
E02003619,Bedford 004,1698
E02003620,Bedford 005,1058
E02003621,Bedford 006,1038
E02003622,Bedford 007,961
E02003623,Bedford 008,2179
E02003624,Bedford 009,561
E02003625,Bedford 010,798
E02003626,Bedford 011,714
E02003627,Bedford 012,987
E02003628,Bedford 013,820
E02003629,Bedford 014,1080
E02003630,Bedford 015,984
E02003631,Bedford 016,592
E02003632,Bedford 017,781
E02003633,Bedford 018,1474
E02003635,Bedford 020,1867
E02003636,Central Bedfordshire 018,1116
E02003637,Central Bedfordshire 019,1737
E02003638,Central Bedfordshire 020,1156
E02003639,Central Bedfordshire 021,1327
E02003640,Central Bedfordshire 022,931
E02003641,Central Bedfordshire 023,871
E02003642,Central Bedfordshire 025,1225
E02003643,Central Bedfordshire 024,2553
E02003644,Central Bedfordshire 026,1553
E02003645,Central Bedfordshire 027,1041
E02003646,Central Bedfordshire 028,1619
E02003647,Central Bedfordshire 029,1591
E02003648,Central Bedfordshire 030,686
E02003649,Central Bedfordshire 031,975
E02003650,Central Bedfordshire 032,972
E02003651,Central Bedfordshire 033,1054
E02003652,Buckinghamshire 001,1391
E02003653,Buckinghamshire 002,788
E02003654,Buckinghamshire 003,907
E02003655,Buckinghamshire 004,1572
E02003656,Buckinghamshire 005,890
E02003657,Buckinghamshire 006,1092
E02003658,Buckinghamshire 007,1736
E02003659,Buckinghamshire 009,1412
E02003660,Buckinghamshire 008,1714
E02003661,Buckinghamshire 010,820
E02003662,Buckinghamshire 012,891
E02003663,Buckinghamshire 011,2393
E02003664,Buckinghamshire 013,1128
E02003665,Buckinghamshire 014,865
E02003666,Buckinghamshire 015,854
E02003667,Buckinghamshire 016,1664
E02003668,Buckinghamshire 018,1253
E02003669,Buckinghamshire 017,722
E02003670,Buckinghamshire 019,1374
E02003671,Buckinghamshire 020,860
E02003672,Buckinghamshire 021,1885
E02003673,Buckinghamshire 022,1346
E02003674,Buckinghamshire 023,789
E02003675,Buckinghamshire 024,1192
E02003676,Buckinghamshire 029,1085
E02003677,Buckinghamshire 027,1239
E02003678,Buckinghamshire 028,921
E02003679,Buckinghamshire 030,890
E02003680,Buckinghamshire 031,1429
E02003681,Buckinghamshire 032,1348
E02003682,Buckinghamshire 034,1108
E02003683,Buckinghamshire 035,969
E02003685,Buckinghamshire 047,1165
E02003686,Buckinghamshire 050,1128
E02003687,Buckinghamshire 054,831
E02003688,Buckinghamshire 053,1524
E02003689,Buckinghamshire 058,1242
E02003690,Buckinghamshire 059,986
E02003691,Buckinghamshire 063,983
E02003692,Buckinghamshire 064,1182
E02003693,Buckinghamshire 065,1011
E02003694,Buckinghamshire 066,1077
E02003695,Buckinghamshire 067,1548
E02003696,Buckinghamshire 026,1092
E02003697,Buckinghamshire 025,894
E02003698,Buckinghamshire 033,1273
E02003699,Buckinghamshire 037,882
E02003701,Buckinghamshire 038,1663
E02003702,Buckinghamshire 040,1083
E02003703,Buckinghamshire 041,1198
E02003704,Buckinghamshire 045,967
E02003705,Buckinghamshire 042,845
E02003706,Buckinghamshire 043,874
E02003707,Buckinghamshire 044,948
E02003708,Buckinghamshire 046,873
E02003709,Buckinghamshire 048,733
E02003710,Buckinghamshire 049,1472
E02003711,Buckinghamshire 051,1497
E02003712,Buckinghamshire 052,1098
E02003713,Buckinghamshire 055,851
E02003714,Buckinghamshire 056,1115
E02003715,Buckinghamshire 057,864
E02003716,Buckinghamshire 060,828
E02003717,Buckinghamshire 062,1236
E02003718,Buckinghamshire 061,788
E02003719,Cambridge 001,733
E02003720,Cambridge 002,808
E02003721,Cambridge 003,654
E02003722,Cambridge 004,728
E02003723,Cambridge 005,477
E02003724,Cambridge 006,844
E02003725,Cambridge 007,486
E02003726,Cambridge 008,600
E02003727,Cambridge 009,918
E02003728,Cambridge 010,803
E02003729,Cambridge 011,1009
E02003731,Cambridge 013,854
E02003732,East Cambridgeshire 001,1398
E02003733,East Cambridgeshire 002,1307
E02003734,East Cambridgeshire 003,1567
E02003735,East Cambridgeshire 004,1100
E02003736,East Cambridgeshire 005,1418
E02003737,East Cambridgeshire 006,1782
E02003738,East Cambridgeshire 007,863
E02003739,East Cambridgeshire 008,935
E02003740,East Cambridgeshire 009,723
E02003742,Fenland 001,843
E02003743,Fenland 002,972
E02003744,Fenland 003,1290
E02003745,Fenland 004,1391
E02003746,Fenland 005,998
E02003747,Fenland 006,1846
E02003748,Fenland 007,828
E02003749,Fenland 008,976
E02003750,Fenland 009,898
E02003751,Fenland 010,1110
E02003752,Fenland 011,1668
E02003753,Huntingdonshire 001,1714
E02003754,Huntingdonshire 002,806
E02003755,Huntingdonshire 003,1197
E02003756,Huntingdonshire 004,1089
E02003757,Huntingdonshire 005,1015
E02003758,Huntingdonshire 006,1362
E02003759,Huntingdonshire 007,914
E02003760,Huntingdonshire 008,937
E02003761,Huntingdonshire 009,819
E02003762,Huntingdonshire 010,1773
E02003763,Huntingdonshire 011,1412
E02003764,Huntingdonshire 012,1326
E02003765,Huntingdonshire 013,840
E02003766,Huntingdonshire 014,1147
E02003767,Huntingdonshire 015,940
E02003768,Huntingdonshire 016,1394
E02003769,Huntingdonshire 017,916
E02003770,Huntingdonshire 018,1631
E02003771,Huntingdonshire 019,797
E02003772,Huntingdonshire 020,981
E02003773,Huntingdonshire 021,1594
E02003774,Huntingdonshire 022,799
E02003775,South Cambridgeshire 001,1048
E02003776,South Cambridgeshire 002,984
E02003777,South Cambridgeshire 003,1735
E02003778,South Cambridgeshire 004,896
E02003780,South Cambridgeshire 006,1277
E02003781,South Cambridgeshire 007,756
E02003784,South Cambridgeshire 010,1203
E02003785,South Cambridgeshire 011,946
E02003786,South Cambridgeshire 012,749
E02003787,South Cambridgeshire 013,976
E02003788,South Cambridgeshire 014,1164
E02003789,South Cambridgeshire 015,889
E02003790,South Cambridgeshire 016,1184
E02003791,South Cambridgeshire 017,1124
E02003792,South Cambridgeshire 018,1244
E02003793,South Cambridgeshire 019,987
E02004356,Eastbourne 001,810
E02004357,Eastbourne 002,846
E02004358,Eastbourne 003,896
E02004359,Eastbourne 004,822
E02004361,Eastbourne 006,1041
E02004362,Eastbourne 007,1199
E02004363,Eastbourne 008,771
E02004364,Eastbourne 009,1053
E02004365,Eastbourne 010,560
E02004366,Eastbourne 011,504
E02004367,Eastbourne 012,579
E02004368,Hastings 001,1196
E02004369,Hastings 002,1258
E02004370,Hastings 003,764
E02004371,Hastings 004,876
E02004372,Hastings 005,605
E02004373,Hastings 006,1095
E02004374,Hastings 007,875
E02004375,Hastings 008,961
E02004376,Hastings 009,599
E02004377,Hastings 010,1343
E02004378,Hastings 011,673
E02004379,Lewes 001,1058
E02004380,Lewes 002,1258
E02004381,Lewes 003,1067
E02004382,Lewes 004,685
E02004383,Lewes 005,877
E02004384,Lewes 006,1166
E02004385,Lewes 007,1024
E02004386,Lewes 008,862
E02004387,Lewes 009,753
E02004388,Lewes 010,1033
E02004389,Lewes 011,1112
E02004390,Lewes 012,915
E02004391,Lewes 013,739
E02004392,Rother 001,1221
E02004393,Rother 002,659
E02004394,Rother 003,980
E02004395,Rother 004,707
E02004396,Rother 005,1058
E02004397,Rother 006,901
E02004398,Rother 007,1010
E02004399,Rother 008,894
E02004400,Rother 009,1133
E02004401,Rother 010,800
E02004402,Rother 011,847
E02004403,Wealden 001,762
E02004404,Wealden 002,940
E02004405,Wealden 003,799
E02004406,Wealden 004,1003
E02004407,Wealden 005,1077
E02004408,Wealden 006,1205
E02004409,Wealden 007,707
E02004410,Wealden 008,1099
E02004411,Wealden 009,1177
E02004412,Wealden 010,1189
E02004413,Wealden 011,1058
E02004414,Wealden 012,1037
E02004415,Wealden 013,877
E02004416,Wealden 014,804
E02004417,Wealden 015,940
E02004418,Wealden 016,735
E02004419,Wealden 017,703
E02004420,Wealden 018,1853
E02004421,Wealden 019,1325
E02004422,Wealden 020,1713
E02004423,Wealden 021,1036
E02004424,Basildon 001,1144
E02004425,Basildon 002,1189
E02004426,Basildon 003,1272
E02004427,Basildon 004,1193
E02004428,Basildon 005,1014
E02004429,Basildon 006,1107
E02004430,Basildon 007,1454
E02004431,Basildon 008,1616
E02004432,Basildon 009,987
E02004433,Basildon 010,1270
E02004434,Basildon 011,1180
E02004435,Basildon 012,1407
E02004436,Basildon 013,627
E02004437,Basildon 014,1446
E02004438,Basildon 015,994
E02004439,Basildon 016,823
E02004440,Basildon 017,1106
E02004441,Basildon 018,811
E02004442,Basildon 019,695
E02004443,Basildon 020,1407
E02004444,Basildon 021,1470
E02004445,Basildon 022,1054
E02004446,Braintree 001,1000
E02004447,Braintree 002,767
E02004448,Braintree 003,1195
E02004449,Braintree 004,1134
E02004450,Braintree 005,837
E02004451,Braintree 006,1354
E02004452,Braintree 007,1422
E02004453,Braintree 008,803
E02004454,Braintree 009,1183
E02004455,Braintree 010,1204
E02004456,Braintree 011,1325
E02004457,Braintree 012,1517
E02004458,Braintree 013,1592
E02004459,Braintree 014,1440
E02004460,Braintree 015,1427
E02004461,Braintree 016,734
E02004462,Braintree 017,1798
E02004463,Braintree 018,1096
E02004464,Brentwood 001,1399
E02004465,Brentwood 002,845
E02004466,Brentwood 003,1168
E02004467,Brentwood 004,1189
E02004468,Brentwood 005,1554
E02004469,Brentwood 006,1258
E02004470,Brentwood 007,1803
E02004471,Brentwood 008,1238
E02004472,Brentwood 009,1007
E02004473,Castle Point 001,1214
E02004474,Castle Point 002,1266
E02004475,Castle Point 003,1018
E02004476,Castle Point 004,1326
E02004477,Castle Point 005,894
E02004478,Castle Point 006,914
E02004479,Castle Point 007,1244
E02004480,Castle Point 008,1078
E02004481,Castle Point 009,858
E02004482,Castle Point 010,974
E02004483,Castle Point 011,1049
E02004484,Castle Point 012,1165
E02004485,Chelmsford 001,1487
E02004486,Chelmsford 002,1293
E02004487,Chelmsford 003,947
E02004488,Chelmsford 004,1623
E02004489,Chelmsford 005,1466
E02004490,Chelmsford 006,666
E02004491,Chelmsford 007,1166
E02004492,Chelmsford 008,1505
E02004493,Chelmsford 009,1384
E02004495,Chelmsford 011,1049
E02004496,Chelmsford 012,1375
E02004497,Chelmsford 013,1188
E02004498,Chelmsford 014,1283
E02004499,Chelmsford 015,1082
E02004500,Chelmsford 016,1317
E02004501,Chelmsford 017,936
E02004502,Chelmsford 018,914
E02004503,Chelmsford 019,1250
E02004504,Chelmsford 020,1339
E02004505,Chelmsford 021,899
E02004506,Colchester 001,1013
E02004507,Colchester 002,1394
E02004508,Colchester 003,905
E02004512,Colchester 007,1245
E02004513,Colchester 008,517
E02004514,Colchester 009,819
E02004515,Colchester 010,1743
E02004516,Colchester 011,1572
E02004517,Colchester 012,1533
E02004518,Colchester 013,1167
E02004519,Colchester 014,1031
E02004520,Colchester 015,846
E02004521,Colchester 016,1322
E02004522,Colchester 017,1050
E02004523,Colchester 018,1471
E02004524,Colchester 019,1224
E02004525,Colchester 020,1082
E02004526,Colchester 021,836
E02004527,Epping Forest 001,1366
E02004528,Epping Forest 002,1263
E02004529,Epping Forest 003,949
E02004530,Epping Forest 004,941
E02004531,Epping Forest 005,1014
E02004532,Epping Forest 006,903
E02004533,Epping Forest 007,930
E02004534,Epping Forest 008,1355
E02004535,Epping Forest 009,718
E02004536,Epping Forest 010,860
E02004537,Epping Forest 011,1186
E02004538,Epping Forest 012,1510
E02004539,Epping Forest 013,1138
E02004540,Epping Forest 014,943
E02004541,Epping Forest 015,1793
E02004542,Epping Forest 016,1066
E02004543,Epping Forest 017,870
E02004544,Harlow 001,1919
E02004545,Harlow 002,788
E02004546,Harlow 003,872
E02004547,Harlow 004,1018
E02004548,Harlow 005,1678
E02004549,Harlow 006,904
E02004550,Harlow 007,819
E02004551,Harlow 008,908
E02004552,Harlow 009,885
E02004553,Harlow 010,930
E02004554,Harlow 011,901
E02004555,Maldon 001,813
E02004556,Maldon 002,1015
E02004557,Maldon 003,1357
E02004558,Maldon 004,695
E02004559,Maldon 005,1160
E02004560,Maldon 006,1298
E02004561,Maldon 007,1492
E02004562,Maldon 008,1204
E02004563,Rochford 001,894
E02004564,Rochford 002,1260
E02004566,Rochford 004,694
E02004567,Rochford 005,1282
E02004568,Rochford 006,1528
E02004569,Rochford 007,1400
E02004570,Rochford 008,1195
E02004571,Rochford 009,1198
E02004572,Rochford 010,1211
E02004573,Tendring 001,635
E02004574,Tendring 002,939
E02004575,Tendring 003,1714
E02004576,Tendring 004,1229
E02004577,Tendring 005,945
E02004578,Tendring 006,674
E02004579,Tendring 007,1081
E02004580,Tendring 008,1256
E02004581,Tendring 009,1186
E02004582,Tendring 010,795
E02004583,Tendring 011,1133
E02004584,Tendring 012,622
E02004585,Tendring 013,1095
E02004586,Tendring 014,793
E02004587,Tendring 015,671
E02004588,Tendring 016,515
E02004589,Tendring 017,735
E02004590,Tendring 018,686
E02004591,Uttlesford 001,1050
E02004592,Uttlesford 002,1619
E02004593,Uttlesford 003,1222
E02004594,Uttlesford 004,1053
E02004595,Uttlesford 005,2382
E02004596,Uttlesford 006,1606
E02004597,Uttlesford 007,1305
E02004598,Uttlesford 008,1593
E02004599,Uttlesford 009,1079
E02004675,Basingstoke and Deane 001,1112
E02004676,Basingstoke and Deane 002,1229
E02004677,Basingstoke and Deane 003,928
E02004678,Basingstoke and Deane 004,1072
E02004679,Basingstoke and Deane 005,1804
E02004680,Basingstoke and Deane 006,1489
E02004681,Basingstoke and Deane 007,1888
E02004682,Basingstoke and Deane 008,1223
E02004683,Basingstoke and Deane 009,1010
E02004684,Basingstoke and Deane 010,1779
E02004685,Basingstoke and Deane 011,896
E02004686,Basingstoke and Deane 012,1054
E02004687,Basingstoke and Deane 013,911
E02004688,Basingstoke and Deane 014,841
E02004689,Basingstoke and Deane 015,806
E02004690,Basingstoke and Deane 016,1272
E02004691,Basingstoke and Deane 017,1006
E02004692,Basingstoke and Deane 018,1075
E02004693,Basingstoke and Deane 019,1017
E02004694,Basingstoke and Deane 020,1025
E02004695,Basingstoke and Deane 021,1676
E02004696,Basingstoke and Deane 022,1056
E02004697,East Hampshire 001,922
E02004698,East Hampshire 002,661
E02004699,East Hampshire 003,1484
E02004700,East Hampshire 004,1096
E02004702,East Hampshire 006,1272
E02004703,East Hampshire 007,1780
E02004704,East Hampshire 008,897
E02004705,East Hampshire 009,1416
E02004706,East Hampshire 010,1015
E02004707,East Hampshire 011,1355
E02004708,East Hampshire 012,1089
E02004709,East Hampshire 013,1341
E02004710,East Hampshire 014,990
E02004712,Eastleigh 001,1278
E02004713,Eastleigh 002,1265
E02004714,Eastleigh 003,1116
E02004715,Eastleigh 004,1302
E02004716,Eastleigh 005,1281
