Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_Managers,2_Professional,3_Associate,4_Administrative,5_Skilled,6_Caring,7_Sales,8_Process,9_Elementary,0_notapply,total,1_%,2_%,3_%,4_%,5_%,6_%,7_%,8_%,9_%
E02005967,South Oxfordshire 010,639,1350,825,538,433,407,303,326,541,4172,9534,6.702328508,14.15984896,8.653241032,5.642962031,4.541640445,4.268932243,3.178099434,3.419341305,5.674428362
E02005968,South Oxfordshire 011,745,838,808,532,367,295,182,173,226,3843,8009,9.30203521,10.46322887,10.08865027,6.642527157,4.582344862,3.683356224,2.272443501,2.160069921,2.821825446
E02005969,South Oxfordshire 012,786,1305,701,371,499,386,309,199,331,4812,9699,8.10392824,13.45499536,7.227549232,3.825136612,5.144860295,3.979791731,3.185895453,2.051757913,3.412722961
E02005970,South Oxfordshire 013,290,693,397,269,306,264,237,238,456,2364,5514,5.259339862,12.56800871,7.199854915,4.878491114,5.549510337,4.78781284,4.298150163,4.316285818,8.269858542
E02005971,South Oxfordshire 014,366,703,461,313,408,278,203,251,374,3001,6358,5.75652721,11.05693614,7.25070777,4.92293174,6.417112299,4.372444165,3.192827933,3.947782321,5.882352941
E02005972,South Oxfordshire 015,1061,1783,953,506,570,456,303,207,365,5808,12012,8.832833833,14.84348984,7.933732934,4.212454212,4.745254745,3.796203796,2.522477522,1.723276723,3.038628039
E02005973,South Oxfordshire 016,629,650,445,232,207,213,131,91,221,3094,5913,10.63757822,10.99272789,7.525790631,3.923558261,3.500761035,3.602232369,2.215457467,1.538981904,3.737527482
E02005974,South Oxfordshire 017,758,797,506,227,206,190,135,71,207,3177,6274,12.08160663,12.70321964,8.065030284,3.618106471,3.283391776,3.028371055,2.151737329,1.131654447,3.299330571
E02005975,South Oxfordshire 018,857,1020,580,317,329,239,139,112,220,4421,8234,10.40806412,12.38766092,7.043964051,3.849890697,3.995627884,2.90259898,1.688122419,1.360213748,2.671848433
E02005976,South Oxfordshire 019,898,689,463,203,207,175,110,53,98,3444,6340,14.16403785,10.86750789,7.302839117,3.201892744,3.264984227,2.760252366,1.735015773,0.835962145,1.545741325
E02005977,South Oxfordshire 020,636,717,385,245,280,208,131,81,129,3346,6158,10.32802858,11.64339071,6.25202988,3.978564469,4.546930822,3.377720039,2.127314063,1.315362131,2.094835986
E02005978,Vale of White Horse 001,668,1248,477,293,306,193,198,142,238,3836,7599,8.790630346,16.42321358,6.277141729,3.855770496,4.026845638,2.539807869,2.605606001,1.86866693,3.131991051
E02005979,Vale of White Horse 002,775,1846,706,410,434,317,280,206,340,4965,10279,7.539643934,17.95894542,6.86837241,3.988714856,4.222200603,3.083957583,2.724000389,2.004086001,3.307714758
E02005980,Vale of White Horse 003,850,1350,932,465,533,382,225,347,356,6324,11764,7.225433526,11.47568854,7.922475349,3.952737164,4.530771846,3.247194832,1.912614757,2.949676981,3.026181571
E02005981,Vale of White Horse 004,600,1351,661,523,476,331,259,196,281,3874,8552,7.015902713,15.79747428,7.729186155,6.115528531,5.565949486,3.870439663,3.028531338,2.291861553,3.285781104
E02005982,Vale of White Horse 005,355,906,444,272,266,224,178,124,189,2782,5740,6.18466899,15.78397213,7.735191638,4.738675958,4.634146341,3.902439024,3.101045296,2.160278746,3.292682927
E02005983,Vale of White Horse 006,648,1791,941,534,468,431,318,279,470,5101,10981,5.901101903,16.30998998,8.569347054,4.862945087,4.26190693,3.924961297,2.895911119,2.540752208,4.280120208
E02005984,Vale of White Horse 007,987,1274,736,388,437,288,217,155,229,4438,9149,10.78806427,13.92501913,8.044595038,4.240900645,4.776478304,3.147885015,2.371843917,1.694174227,2.503005793
E02005985,Vale of White Horse 008,375,895,512,317,411,340,247,248,446,4115,7906,4.743232988,11.32051606,6.476094106,4.009612952,5.198583354,4.300531242,3.124209461,3.136858082,5.6412851
E02005986,Vale of White Horse 009,701,1109,721,425,546,424,304,252,420,4790,9692,7.232769294,11.44242674,7.439125052,4.385059843,5.633512175,4.374742055,3.136607511,2.600082542,4.333470904
E02005987,Vale of White Horse 010,876,1357,766,484,520,382,292,256,374,4990,10297,8.507332233,13.17859571,7.43905992,4.700398174,5.050014567,3.709818394,2.835777411,2.486161018,3.632125862
E02005988,Vale of White Horse 011,551,1008,747,503,548,397,335,286,385,4368,9128,6.036371604,11.04294479,8.183610868,5.51051709,6.003505697,4.349255039,3.670026293,3.133216477,4.217791411
E02005991,Vale of White Horse 014,643,1247,816,476,527,448,341,292,408,4868,10066,6.387840254,12.38823763,8.106497119,4.728789986,5.235446056,4.450625869,3.387641566,2.900854361,4.05324856
E02005992,Vale of White Horse 015,1228,2019,1088,605,613,510,335,284,443,6790,13915,8.825008983,14.5095221,7.818900467,4.347826087,4.405318002,3.665109594,2.407473949,2.04096299,3.183614804
E02005993,West Oxfordshire 001,534,719,441,250,466,394,263,183,318,3681,7249,7.366533315,9.918609463,6.083597738,3.448751552,6.428472893,5.435232446,3.628086633,2.524486136,4.386811974
E02005994,West Oxfordshire 002,627,622,427,269,386,299,135,131,241,3134,6271,9.998405358,9.918673258,6.809121352,4.289586988,6.155318131,4.767979589,2.152766704,2.088981024,3.843087227
E02005995,West Oxfordshire 003,652,632,411,251,376,264,153,121,212,3300,6372,10.23226616,9.918392969,6.450094162,3.9391086,5.90081607,4.143126177,2.401129944,1.898932831,3.327055869
E02005996,West Oxfordshire 004,832,1282,681,358,444,323,224,134,252,4401,8931,9.315866084,14.35449558,7.625125966,4.008509685,4.971447766,3.61661628,2.508117792,1.500391893,2.821632516
E02005997,West Oxfordshire 005,503,702,438,211,329,206,138,146,166,3116,5955,8.446683459,11.7884131,7.355163728,3.543240974,5.524769102,3.459277918,2.317380353,2.451721243,2.787573468
