Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_Managers,2_Professional,3_Associate,4_Administrative,5_Skilled,6_Caring,7_Sales,8_Process,9_Elementary,0_notapply,total,1_%,2_%,3_%,4_%,5_%,6_%,7_%,8_%,9_%
E02000001,City of London 001,1104,2349,1027,267,97,152,122,50,178,3232,8578,12.8701329,27.3840056,11.97248776,3.112613663,1.13079972,1.771974819,1.422242947,0.582886454,2.075075775
E02000002,Barking and Dagenham 001,277,533,308,298,414,378,254,300,478,5043,8283,3.344198962,6.434866594,3.718459495,3.597730291,4.998189062,4.563563926,3.066521792,3.621876132,5.77085597
E02000003,Barking and Dagenham 002,512,912,539,567,580,519,427,434,748,6304,11542,4.435972968,7.90157685,4.66990123,4.912493502,5.025125628,4.496621036,3.699532143,3.760180211,6.480679258
E02000004,Barking and Dagenham 003,262,614,350,343,390,302,216,280,357,3526,6640,3.945783133,9.246987952,5.271084337,5.165662651,5.873493976,4.548192771,3.253012048,4.21686747,5.376506024
E02000005,Barking and Dagenham 004,432,784,509,467,558,562,434,449,669,6220,11084,3.897509924,7.073258751,4.59220498,4.213280404,5.034283652,5.070371707,3.915553952,4.050884157,6.035727174
E02000007,Barking and Dagenham 006,301,685,409,382,453,573,366,382,718,5893,10162,2.962015351,6.740799055,4.024798268,3.759102539,4.457783901,5.638653808,3.601653218,3.759102539,7.06553828
E02000008,Barking and Dagenham 007,472,758,535,471,745,684,511,569,956,7551,13252,3.561726532,5.719891337,4.037126471,3.554180501,5.621792937,5.161485059,3.856021733,4.293691518,7.214005433
E02000009,Barking and Dagenham 008,417,806,535,509,634,615,464,528,924,7432,12864,3.241604478,6.265547264,4.158893035,3.956778607,4.928482587,4.780783582,3.606965174,4.104477612,7.182835821
E02000010,Barking and Dagenham 009,304,623,373,399,582,534,320,378,718,5254,9485,3.205060622,6.568265683,3.93252504,4.206642066,6.136004217,5.629942014,3.373748023,3.985239852,7.569847127
E02000011,Barking and Dagenham 010,256,454,300,287,407,343,218,348,486,3930,7029,3.642054346,6.458955755,4.268032437,4.083084365,5.79029734,4.879783753,3.101436904,4.950917627,6.914212548
E02000012,Barking and Dagenham 011,563,1015,558,584,445,461,408,490,500,6486,11510,4.891398784,8.818418766,4.847958297,5.073848827,3.866203301,4.005212858,3.544743701,4.25716768,4.344048653
E02000013,Barking and Dagenham 012,301,574,365,354,518,522,340,388,644,5393,9399,3.202468348,6.107032663,3.88339185,3.766358123,5.511224598,5.553782317,3.617406107,4.128098734,6.851792744
E02000014,Barking and Dagenham 013,323,555,372,377,596,557,355,446,804,5483,9868,3.273206323,5.624239968,3.769760843,3.820429672,6.039724362,5.644507499,3.597486826,4.519659505,8.147547629
E02000015,Barking and Dagenham 014,255,529,338,286,360,495,288,382,578,4716,8227,3.099550261,6.430047405,4.108423484,3.476358332,4.375835663,6.016774037,3.50066853,4.643247842,7.025647259
E02000016,Barking and Dagenham 015,341,932,474,358,372,514,385,355,818,6018,10567,3.227027539,8.819911044,4.485662913,3.387905744,3.520393678,4.864199868,3.643418189,3.359515473,7.741080723
E02000017,Barking and Dagenham 016,345,635,404,345,556,349,344,405,769,4982,9134,3.777096562,6.952047296,4.423034815,3.777096562,6.087146924,3.820888986,3.766148456,4.433982921,8.419093497
E02000018,Barking and Dagenham 017,318,540,364,351,549,512,318,377,659,5563,9551,3.329494294,5.653858235,3.811119255,3.675007853,5.748089205,5.360695215,3.329494294,3.947230656,6.899801068
E02000019,Barking and Dagenham 018,380,678,368,379,482,485,323,424,633,5511,9663,3.932526131,7.016454517,3.808341095,3.922177378,4.988098934,5.019145193,3.342647211,4.387871262,6.550760633
E02000020,Barking and Dagenham 019,538,1151,638,573,705,586,532,568,966,7798,14055,3.827819281,8.189256492,4.539309854,4.076840982,5.016008538,4.169334756,3.785129847,4.041266453,6.872998933
E02000021,Barking and Dagenham 020,268,508,316,364,422,510,299,361,658,5052,8758,3.060059374,5.800411053,3.60812971,4.156200046,4.818451701,5.823247317,3.414021466,4.12194565,7.513130852
E02000022,Barking and Dagenham 021,261,600,430,264,289,429,261,295,525,4386,7740,3.372093023,7.751937984,5.555555556,3.410852713,3.733850129,5.542635659,3.372093023,3.811369509,6.782945736
E02000023,Barking and Dagenham 022,239,538,312,315,270,444,248,298,559,4796,8019,2.980421499,6.709065968,3.890759446,3.928170595,3.367003367,5.536849981,3.092654945,3.716174087,6.970944008
E02000024,Barnet 001,961,1822,913,435,274,331,214,154,219,5518,10841,8.864495895,16.80656766,8.421732313,4.012544968,2.527442118,3.053223872,1.97398764,1.420533161,2.020108846
E02000025,Barnet 002,721,1177,635,408,333,310,213,169,233,4385,8584,8.399347623,13.71155638,7.397483691,4.753028891,3.879310345,3.611369991,2.481360671,1.968779124,2.714352283
E02000026,Barnet 003,542,842,457,331,211,214,147,107,126,3480,6457,8.393991018,13.04011151,7.077590212,5.126219607,3.267771411,3.314232616,2.27659904,1.657116308,1.951370606
E02000027,Barnet 004,595,1152,595,441,376,421,248,242,356,5221,9647,6.167720535,11.94153623,6.167720535,4.571369338,3.897584741,4.364051,2.570747383,2.508551881,3.690266404
E02000028,Barnet 005,557,985,506,299,233,245,165,109,169,3265,6533,8.525945201,15.07729986,7.745293127,4.576764121,3.566508495,3.750191336,2.525639063,1.668452472,2.586866677
E02000029,Barnet 006,622,1163,638,488,446,407,283,217,358,5055,9677,6.427611863,12.01818745,6.592952361,5.042885192,4.608866384,4.20584892,2.92446006,2.242430505,3.699493645
E02000030,Barnet 007,1104,1227,612,398,257,280,177,128,195,5082,9460,11.67019027,12.97040169,6.469344609,4.207188161,2.716701903,2.959830867,1.871035941,1.353065539,2.061310782
E02000031,Barnet 008,933,1364,600,357,213,202,144,105,171,4240,8329,11.20182495,16.37651579,7.203745948,4.286228839,2.557329812,2.425261136,1.728899027,1.260655541,2.053067595
E02000032,Barnet 009,706,1103,511,428,272,247,201,146,178,4145,7937,8.895048507,13.89693839,6.438200832,5.392465667,3.426987527,3.112007056,2.532442989,1.839485952,2.242660955
E02000033,Barnet 010,645,977,641,427,425,366,276,216,317,4598,8888,7.256975698,10.99234923,7.211971197,4.804230423,4.781728173,4.117911791,3.105310531,2.430243024,3.566606661
E02000034,Barnet 011,726,1181,666,411,373,316,267,192,308,4647,9087,7.989435457,12.99658853,7.329151535,4.522944866,4.104765049,3.477495323,2.938263453,2.112908551,3.389457467
E02000035,Barnet 012,694,1406,670,352,298,250,241,152,257,4210,8530,8.135990621,16.48300117,7.854630715,4.126611958,3.493552169,2.930832356,2.825322392,1.781946073,3.012895662
E02000036,Barnet 013,754,1318,663,534,471,438,318,312,445,5990,11243,6.70639509,11.72284977,5.897002579,4.749621987,4.189273326,3.89575736,2.828426577,2.775060037,3.958018323
E02000037,Barnet 014,981,1512,625,523,286,310,273,215,257,5853,10835,9.053991694,13.95477619,5.768343332,4.8269497,2.639593909,2.861098293,2.519612367,1.984310106,2.371942778
E02000038,Barnet 015,907,1360,766,499,402,415,325,234,334,5479,10721,8.460031713,12.68538383,7.14485589,4.654416566,3.749650219,3.870907565,3.031433635,2.182632217,3.115381028
E02000039,Barnet 016,819,1014,476,302,199,221,165,145,191,3637,7169,11.42418747,14.14423211,6.639698703,4.21258195,2.775840424,3.082717255,2.301576231,2.022597294,2.664248849
E02000040,Barnet 017,883,1296,692,338,243,275,230,174,200,4808,9139,9.661888609,14.1809826,7.571944414,3.698435277,2.658934238,3.009081956,2.516686727,1.90392822,2.188423241
E02000041,Barnet 018,627,987,516,435,481,410,272,262,490,4976,9456,6.63071066,10.43781726,5.456852792,4.600253807,5.086717428,4.335871404,2.876480541,2.77072758,5.181895093
E02000042,Barnet 019,862,1608,835,482,450,333,309,250,441,5984,11554,7.460619699,13.91725809,7.226934395,4.171715423,3.894755063,2.882118747,2.674398477,2.163752813,3.816859962
E02000043,Barnet 020,844,1270,531,304,170,167,132,91,127,3934,7570,11.14927345,16.77675033,7.014531044,4.015852048,2.245706737,2.206076618,1.743725231,1.202113606,1.677675033
E02000044,Barnet 021,497,833,500,372,442,465,308,309,476,4644,8846,5.61835858,9.416685508,5.652272213,4.205290527,4.996608637,5.256613158,3.481799683,3.493104228,5.380963147
E02000045,Barnet 022,696,1178,712,464,457,457,354,246,406,5552,10522,6.614712032,11.19559019,6.766774377,4.409808021,4.343280745,4.343280745,3.364379396,2.337958563,3.858582019
E02000046,Barnet 023,595,1221,577,298,307,246,192,106,281,3140,6963,8.545167313,17.53554502,8.28665805,4.279764469,4.409019101,3.532959931,2.757432141,1.522332328,4.035616832
E02000047,Barnet 024,491,875,523,445,745,618,432,474,841,6952,12396,3.960955147,7.058728622,4.219102936,3.589867699,6.010003227,4.985479187,3.48499516,3.823814134,6.784446596
E02000048,Barnet 025,988,1454,684,452,293,354,225,176,211,5446,10283,9.608091024,14.13984246,6.651755324,4.395604396,2.849363026,3.442575124,2.188077409,1.711562774,2.051930371
E02000049,Barnet 026,469,957,522,392,446,583,334,380,568,5881,10532,4.453095329,9.08659324,4.956323585,3.721990125,4.234713255,5.535510824,3.171287505,3.608051652,5.393087733
E02000050,Barnet 027,737,1447,752,388,354,384,312,185,358,5461,10378,7.101560994,13.94295625,7.246097514,3.738677973,3.411061862,3.700134901,3.006359607,1.782617075,3.449604934
E02000051,Barnet 028,899,1315,687,338,257,260,200,110,275,4821,9162,9.812268064,14.35276141,7.498362803,3.68915084,2.805064396,2.837808339,2.182929491,1.20061122,3.001528051
E02000052,Barnet 029,844,1754,911,379,286,339,217,145,258,4719,9852,8.566788469,17.80349168,9.246853431,3.846934633,2.902963865,3.4409257,2.202598457,1.471782379,2.618757613
E02000054,Barnet 031,624,895,460,317,393,282,225,218,382,3835,7631,8.177172061,11.72847595,6.028043507,4.154108243,5.150045866,3.695452758,2.948499541,2.856768445,5.005896999
E02000055,Barnet 032,832,1312,689,465,558,536,372,307,708,5944,11723,7.09715943,11.19167449,5.877335153,3.96656146,4.759873752,4.572208479,3.173249168,2.618783588,6.039409707
E02000056,Barnet 033,1195,1439,647,278,151,249,122,57,124,4868,9130,13.08871851,15.76122673,7.08652793,3.0449069,1.65388828,2.727272727,1.336254107,0.624315444,1.358159912
E02000057,Barnet 034,587,974,375,352,312,264,218,157,301,4474,8014,7.324681807,12.15373097,4.679311205,4.392313451,3.893186923,3.294235089,2.720239581,1.959071625,3.755927128
E02000058,Barnet 035,1145,1493,620,425,189,309,210,113,253,5469,10226,11.19694895,14.60003912,6.062976726,4.156072756,1.848230002,3.021709368,2.053588891,1.105026403,2.474085664
E02000059,Barnet 036,766,1235,705,489,682,444,486,430,815,5574,11626,6.588680544,10.62274213,6.063994495,4.206089799,5.866162051,3.81902632,4.180285567,3.698606571,7.010149665
E02000060,Barnet 037,932,1220,496,635,299,363,304,118,308,6883,11558,8.063678837,10.55545942,4.291399896,5.494030109,2.58695276,3.140681779,2.63021284,1.020937879,2.664820903
E02000061,Barnet 038,941,1379,604,275,194,288,176,89,252,4149,8347,11.27351144,16.52090571,7.236132742,3.294596861,2.324188331,3.45034144,2.108541991,1.066251348,3.01904876
E02000062,Barnet 039,360,560,353,264,318,349,258,247,405,3840,6954,5.176876618,8.052919183,5.076215128,3.796376186,4.572907679,5.018694277,3.710094909,3.551912568,5.823986195
E02000063,Barnet 040,515,744,414,306,317,342,246,198,351,4152,7585,6.789716546,9.808833223,5.458141068,4.034278181,4.179301252,4.508899143,3.243243243,2.610415293,4.627554384
E02000064,Barnet 041,548,840,470,237,215,304,173,140,265,3482,6674,8.210967935,12.58615523,7.042253521,3.551093797,3.221456398,4.554989512,2.592148636,2.097692538,3.970632304
E02000065,Bexley 001,258,694,344,303,310,558,291,307,509,4488,8062,3.200198462,8.608285785,4.266931283,3.758372612,3.845199702,6.921359464,3.609526172,3.807988092,6.313569834
E02000066,Bexley 002,301,695,442,319,378,593,360,365,683,5292,9428,3.192617734,7.371658888,4.688162919,3.383538396,4.009333899,6.289775138,3.818413237,3.871446754,7.244378447
E02000067,Bexley 003,508,852,618,498,483,506,409,459,630,5268,10231,4.965301535,8.327631708,6.040465253,4.867559378,4.720946144,4.945753103,3.997654188,4.486364969,6.15775584
E02000068,Bexley 004,345,629,452,387,313,406,306,324,445,4570,8177,4.219151278,7.692307692,5.527699645,4.732787086,3.82780971,4.965146142,3.742203742,3.962333374,5.442093677
E02000069,Bexley 005,359,704,441,397,337,360,252,248,360,3752,7210,4.979195562,9.764216366,6.116504854,5.506241331,4.6740638,4.993065187,3.495145631,3.439667129,4.993065187
E02000070,Bexley 006,459,703,530,513,422,368,276,291,308,4243,8113,5.657586589,8.665105386,6.532725256,6.323185012,5.201528411,4.535929989,3.401947492,3.586835942,3.796376186
E02000071,Bexley 007,393,607,453,513,433,318,277,264,346,4065,7669,5.124527318,7.914982397,5.906897901,6.689268484,5.646107706,4.146564089,3.611944191,3.442430565,4.511670361
E02000072,Bexley 008,513,1125,678,559,518,716,531,464,735,7085,12924,3.969359331,8.704735376,5.246053853,4.325286289,4.008047044,5.54008047,4.108635097,3.590219746,5.687093779
E02000073,Bexley 009,709,1103,744,782,541,422,387,280,376,5382,10726,6.610106284,10.28342346,6.936416185,7.290695506,5.043818758,3.934365094,3.608055193,2.610479209,3.505500653
E02000074,Bexley 010,356,626,487,480,480,422,359,360,486,4807,8863,4.016698635,7.063071195,5.494753469,5.41577344,5.41577344,4.761367483,4.050547219,4.06183008,5.483470608
E02000075,Bexley 011,489,779,526,586,425,287,222,227,222,4227,7990,6.120150188,9.749687109,6.583229036,7.33416771,5.319148936,3.591989987,2.778473091,2.841051314,2.778473091
E02000077,Bexley 013,473,761,512,532,447,338,284,238,345,4210,8140,5.810810811,9.348894349,6.28992629,6.535626536,5.491400491,4.152334152,3.488943489,2.923832924,4.238329238
E02000078,Bexley 014,511,774,569,565,439,281,253,253,294,3992,7931,6.443071492,9.759172866,7.174379019,7.123944017,5.535241458,3.543058883,3.19001387,3.19001387,3.706972639
E02000079,Bexley 015,608,956,625,592,449,285,301,184,298,4472,8770,6.9327252,10.90079818,7.126567845,6.750285063,5.11972634,3.249714937,3.432155074,2.098061574,3.397947548
E02000080,Bexley 016,637,972,693,720,578,398,299,264,388,5116,10065,6.328862394,9.657228018,6.885245902,7.153502235,5.742672628,3.954297069,2.970690512,2.62295082,3.854942871
E02000081,Bexley 017,541,742,532,521,420,282,279,213,316,4460,8306,6.513363833,8.933301228,6.405008428,6.272574043,5.056585601,3.395136046,3.359017578,2.564411269,3.80447869
E02000082,Bexley 018,571,926,679,730,574,380,318,321,352,4485,9336,6.116109683,9.918594687,7.272922022,7.819194516,6.148243359,4.070265638,3.406169666,3.438303342,3.770351328
E02000083,Bexley 019,691,1076,764,689,599,448,436,407,520,5639,11269,6.131866182,9.548318396,6.779661017,6.114118378,5.315467211,3.975508031,3.869021209,3.611678055,4.614428964
E02000084,Bexley 020,819,1267,786,790,578,362,324,256,322,5611,11115,7.368421053,11.39901035,7.071524966,7.107512371,5.200179937,3.256860099,2.914979757,2.303193882,2.896986055
E02000085,Bexley 021,480,689,556,644,516,349,256,244,294,3935,7963,6.02787894,8.652517895,6.982293106,8.087404245,6.479969861,4.382770313,3.214868768,3.064171795,3.692075851
E02000086,Bexley 022,551,655,529,602,421,252,197,189,222,3560,7178,7.676232934,9.125104486,7.369740875,8.386737253,5.865143494,3.510727222,2.744497074,2.633045417,3.092783505
E02000087,Bexley 023,729,998,640,559,299,252,197,131,180,4222,8207,8.882661143,12.16035092,7.798221031,6.811258682,3.643231388,3.070549531,2.400389911,1.596198367,2.193249665
E02000088,Bexley 024,556,842,616,622,411,259,198,177,209,3863,7753,7.171417516,10.86031214,7.945311492,8.02270089,5.301173739,3.340642332,2.553850123,2.282987231,2.695730685
E02000089,Bexley 025,536,861,583,570,404,244,204,149,193,4123,7867,6.813270624,10.94445151,7.410702936,7.245455701,5.13537562,3.101563493,2.593110461,1.893987543,2.453285878
E02000090,Bexley 026,686,1110,831,655,414,335,247,164,279,4918,9639,7.116920842,11.5157174,8.621226268,6.795310717,4.295051354,3.47546426,2.562506484,1.701421309,2.89449113
E02000091,Bexley 027,722,1137,734,645,397,344,282,226,266,5411,10164,7.103502558,11.18654073,7.221566312,6.3459268,3.905942542,3.384494294,2.774498229,2.223534042,2.61707989
E02000092,Bexley 028,337,541,361,357,330,313,214,211,253,3835,6752,4.991113744,8.012440758,5.346563981,5.287322275,4.887440758,4.635663507,3.16943128,3.125,3.747037915
E02000093,Brent 001,668,1038,625,539,933,434,515,429,802,5895,11878,5.623842398,8.738844923,5.261828591,4.537800977,7.85485772,3.653813773,4.335746759,3.611719145,6.751978448
E02000094,Brent 002,566,1047,562,467,662,345,429,417,603,5361,10459,5.411607228,10.01051726,5.373362654,4.46505402,6.329477005,3.298594512,4.101730567,3.986996845,5.765369538
E02000095,Brent 003,618,920,512,524,795,352,403,354,634,5350,10462,5.907092334,8.793729688,4.89390174,5.008602562,7.598929459,3.364557446,3.85203594,3.38367425,6.060026764
E02000096,Brent 004,573,1071,395,432,317,217,229,166,278,3954,7632,7.507861635,14.03301887,5.17557652,5.660377358,4.153563941,2.843291405,3.000524109,2.175052411,3.642557652
E02000097,Brent 005,481,727,433,431,657,421,400,415,601,4971,9537,5.043514732,7.622942225,4.540211807,4.519240851,6.888958792,4.414386075,4.194191045,4.35147321,6.301772046
E02000098,Brent 006,491,837,422,371,434,301,298,295,432,4859,8740,5.61784897,9.576659039,4.828375286,4.244851259,4.965675057,3.443935927,3.409610984,3.375286041,4.942791762
E02000099,Brent 007,486,831,419,431,728,330,396,412,677,4851,9561,5.083150298,8.69155946,4.38238678,4.507896664,7.61426629,3.451521807,4.141826169,4.309172681,7.080849284
E02000100,Brent 008,631,1298,458,413,302,258,268,230,350,4111,8319,7.58504628,15.60283688,5.505469407,4.964539007,3.63024402,3.101334295,3.221541051,2.764755379,4.207236447
E02000101,Brent 009,519,848,414,386,444,419,374,341,546,5646,9937,5.222904297,8.533762705,4.166247358,3.884472175,4.468149341,4.216564355,3.763711382,3.431619201,5.494616081
E02000102,Brent 010,271,402,282,271,447,351,294,357,551,5104,8330,3.253301321,4.825930372,3.385354142,3.253301321,5.366146459,4.213685474,3.529411765,4.285714286,6.614645858
E02000103,Brent 011,494,715,451,379,426,483,400,351,558,5717,9974,4.952877481,7.16863846,4.521756567,3.799879687,4.271104873,4.842590736,4.01042711,3.519149789,5.594545819
E02000104,Brent 012,447,724,348,305,381,274,306,302,501,3918,7506,5.955235811,9.64561684,4.636290967,4.063415934,5.075939249,3.650413003,4.076738609,4.023447908,6.674660272
E02000105,Brent 013,468,750,426,377,504,437,496,423,731,5230,9842,4.755131071,7.620402357,4.328388539,3.830522252,5.120910384,4.44015444,5.039626092,4.297906929,7.427352164
E02000106,Brent 014,417,586,367,351,686,446,410,423,804,5866,10356,4.026651217,5.658555427,3.54383932,3.389339513,6.62417922,4.306682117,3.959057551,4.084588644,7.763615295
E02000107,Brent 015,700,1157,710,351,540,503,404,321,840,5414,10940,6.398537477,10.57586837,6.489945155,3.208409506,4.936014625,4.597806216,3.692870201,2.934186472,7.678244973
E02000108,Brent 016,348,608,347,319,326,291,374,327,572,3746,7258,4.794709286,8.376963351,4.780931386,4.395150179,4.491595481,4.009368972,5.152934693,4.505373381,7.880958942
E02000110,Brent 018,523,1034,645,293,334,306,253,197,387,4203,8175,6.397553517,12.64831804,7.889908257,3.584097859,4.085626911,3.743119266,3.094801223,2.409785933,4.733944954
E02000111,Brent 019,456,676,446,438,492,380,650,695,1073,5977,11283,4.04147833,5.991314367,3.952849419,3.881946291,4.360542409,3.367898609,5.760879199,6.159709297,9.509882124
E02000112,Brent 020,457,826,570,543,602,496,605,711,1274,5665,11749,3.88969274,7.030385565,4.851476721,4.621669929,5.123840327,4.221635884,5.149374415,6.051578858,10.84347604
E02000113,Brent 021,193,421,341,283,305,501,386,461,555,6184,9630,2.004153686,4.371754933,3.541017653,2.938733126,3.167185877,5.202492212,4.008307373,4.787123572,5.763239875
E02000114,Brent 022,620,972,787,339,466,407,356,233,618,4198,8996,6.891951979,10.80480213,8.748332592,3.768341485,5.180080036,4.524232992,3.957314362,2.590040018,6.869719876
E02000115,Brent 023,665,1337,818,327,274,287,214,176,336,4187,8621,7.713722306,15.50864169,9.488458415,3.79306345,3.178285582,3.329080153,2.482310637,2.041526505,3.897459691
E02000116,Brent 024,354,557,373,282,406,503,325,276,646,4828,8550,4.140350877,6.514619883,4.362573099,3.298245614,4.748538012,5.883040936,3.801169591,3.228070175,7.555555556
E02000117,Brent 025,390,683,564,440,487,644,446,538,828,7715,12735,3.062426384,5.36317236,4.428739694,3.455045151,3.824106792,5.056929721,3.502159403,4.224577935,6.501766784
E02000118,Brent 026,403,642,409,381,617,392,663,840,1302,5644,11293,3.568582308,5.684937572,3.621712565,3.373771363,5.463561498,3.471176835,5.870893474,7.438236075,11.52926592
E02000119,Brent 027,435,910,549,366,278,558,426,378,519,6205,10624,4.094503012,8.565512048,5.167545181,3.44503012,2.616716867,5.252259036,4.009789157,3.557981928,4.885165663
E02000120,Brent 028,785,1434,976,331,278,343,288,200,416,3966,9017,8.705777975,15.90329378,10.82399911,3.670843961,3.083065321,3.803925918,3.193966951,2.218032605,4.613507819
E02000121,Brent 029,504,795,513,436,604,415,676,809,1140,6347,12239,4.117983495,6.495628728,4.191518915,3.562382548,4.935043713,3.390799902,5.523327069,6.610017158,9.314486478
E02000122,Brent 030,867,1085,721,337,189,298,195,106,292,4086,8176,10.60420744,13.27054795,8.818493151,4.121819961,2.311643836,3.64481409,2.385029354,1.296477495,3.571428571
E02000123,Brent 031,599,944,820,529,549,814,468,449,1038,7368,13578,4.411548093,6.952423037,6.039181028,3.896008249,4.043305347,5.994991899,3.446752099,3.306819856,7.644719399
E02000124,Brent 032,1081,1487,1088,327,208,364,245,160,345,4651,9956,10.85777421,14.93571716,10.92808357,3.284451587,2.089192447,3.656086782,2.460827642,1.607071113,3.465247087
E02000125,Brent 033,869,1313,1055,369,325,403,258,241,394,4714,9941,8.741575294,13.20792677,10.61261443,3.711900211,3.269288804,4.053918117,2.595312343,2.42430339,3.963383965
E02000126,Brent 034,450,811,561,308,228,436,330,260,380,4432,8196,5.490483163,9.895070766,6.844802343,3.757930698,2.781844802,5.319668131,4.026354319,3.172279161,4.636408004
E02000127,Bromley 001,541,830,517,464,519,437,306,238,409,5069,9330,5.798499464,8.896034298,5.541264737,4.973204716,5.562700965,4.683815648,3.279742765,2.55091104,4.383708467
E02000128,Bromley 002,699,984,574,422,315,244,150,153,199,4049,7789,8.974194377,12.63320067,7.369367056,5.417897034,4.044164848,3.13262293,1.925792785,1.96430864,2.554885094
E02000130,Bromley 004,806,1354,900,374,261,261,242,112,246,3869,8425,9.566765579,16.07121662,10.68249258,4.439169139,3.097922849,3.097922849,2.872403561,1.329376855,2.919881306
E02000131,Bromley 005,935,1834,1253,489,363,419,301,215,432,4244,10485,8.917501192,17.49165474,11.95040534,4.663805436,3.462088698,3.996185026,2.870767763,2.050548402,4.120171674
E02000132,Bromley 006,951,1648,1037,503,327,352,252,155,308,4298,9831,9.673481843,16.76329977,10.54826569,5.116468315,3.326213,3.58051063,2.56332011,1.576645306,3.132946801
E02000133,Bromley 007,1407,1614,880,502,192,201,195,99,117,5544,10751,13.08715468,15.01255697,8.18528509,4.669333085,1.785880383,1.869593526,1.813784764,0.920844573,1.088270859
E02000134,Bromley 008,999,1783,1053,628,401,405,287,221,370,5608,11755,8.498511272,15.16801361,8.957890259,5.342407486,3.411314334,3.445342407,2.441514249,1.880051042,3.147596767
E02000135,Bromley 009,504,1043,750,488,395,545,338,265,539,5007,9874,5.104314361,10.563095,7.595705894,4.942272635,4.000405104,5.519546283,3.423131456,2.683816083,5.458780636
E02000136,Bromley 010,479,583,322,293,217,203,152,82,164,3247,5742,8.342041101,10.1532567,5.60780216,5.102751654,3.779171021,3.535353535,2.647161268,1.428073842,2.856147684
E02000137,Bromley 011,805,1366,670,447,265,232,167,118,183,4147,8400,9.583333333,16.26190476,7.976190476,5.321428571,3.154761905,2.761904762,1.988095238,1.404761905,2.178571429
E02000138,Bromley 012,897,1365,743,462,245,204,175,111,169,4129,8500,10.55294118,16.05882353,8.741176471,5.435294118,2.882352941,2.4,2.058823529,1.305882353,1.988235294
E02000139,Bromley 013,726,1273,720,385,285,258,188,108,198,3573,7714,9.411459684,16.50246305,9.333679025,4.99092559,3.694581281,3.344568317,2.437127301,1.400051854,2.566761732
E02000140,Bromley 014,422,625,447,402,483,437,316,283,400,4865,8680,4.861751152,7.200460829,5.149769585,4.631336406,5.564516129,5.034562212,3.640552995,3.260368664,4.608294931
E02000141,Bromley 015,596,1023,699,378,296,304,183,160,274,3318,7231,8.24229014,14.14742083,9.666712764,5.22749274,4.093486378,4.204121145,2.530770295,2.21269534,3.789240769
E02000142,Bromley 016,834,1333,739,465,305,239,191,112,199,4402,8819,9.456854519,15.11509241,8.379634879,5.272706656,3.458442,2.71005783,2.165778433,1.269985259,2.256491666
E02000144,Bromley 018,899,1853,923,566,357,275,232,150,247,4561,10063,8.933717579,18.41399185,9.172215045,5.624565239,3.547649806,2.732783464,2.305475504,1.490609162,2.454536421
E02000145,Bromley 019,445,752,486,440,444,415,319,248,390,4887,8826,5.041921595,8.520280988,5.506458192,4.985270791,5.030591434,4.702016769,3.614321323,2.8098799,4.418762746
E02000146,Bromley 020,830,1524,884,576,362,322,266,176,215,4547,9702,8.554937126,15.70810142,9.111523397,5.936920223,3.731189445,3.318903319,2.741702742,1.814058957,2.21603793
E02000147,Bromley 021,804,1198,578,439,207,179,155,86,123,4421,8190,9.816849817,14.62759463,7.057387057,5.36019536,2.527472527,2.185592186,1.892551893,1.05006105,1.501831502
E02000148,Bromley 022,641,951,463,392,178,159,153,89,107,3593,6726,9.530181386,14.13916146,6.883734761,5.828129646,2.646446625,2.363960749,2.274754683,1.323223313,1.590841511
E02000149,Bromley 023,532,855,551,475,411,373,253,206,326,4184,8166,6.514817536,10.47024247,6.747489591,5.816801372,5.033063924,4.567719814,3.098212099,2.522654911,3.992162626
E02000150,Bromley 024,785,1098,660,515,302,270,213,135,193,4347,8518,9.215778352,12.89034985,7.748297722,6.046020193,3.5454332,3.169758159,2.500586992,1.58487908,2.265790092
E02000151,Bromley 025,783,1057,539,399,226,175,128,86,116,4034,7543,10.38048522,14.01299218,7.145697998,5.289672544,2.996155376,2.320031818,1.696937558,1.140129922,1.537849662
E02000152,Bromley 026,535,896,568,415,397,295,205,166,266,4221,7964,6.717729784,11.25062783,7.132094425,5.210949272,4.984932195,3.704168759,2.574083375,2.084379709,3.340030136
E02000153,Bromley 027,752,986,628,483,348,282,186,136,142,4163,8106,9.277078707,12.16382926,7.747347644,5.958549223,4.29311621,3.478904515,2.294596595,1.677769553,1.751788798
E02000154,Bromley 028,713,1295,612,414,287,261,241,168,236,4300,8527,8.36167468,15.18705289,7.177201829,4.855165943,3.365779289,3.060865486,2.826316407,1.970212267,2.767679137
E02000155,Bromley 029,415,737,437,408,361,287,211,183,244,3873,7156,5.799329234,10.29904975,6.106763555,5.701509223,5.044717719,4.010620458,2.948574623,2.557294578,3.409726104
E02000156,Bromley 030,1019,1579,962,700,478,346,298,165,237,6507,12291,8.290619152,12.84679847,7.826865186,5.695224148,3.889024489,2.815067936,2.42453828,1.342445692,1.928240176
E02000157,Bromley 031,687,1161,616,503,292,232,187,110,133,4448,8369,8.208866053,13.87262516,7.360497073,6.010276019,3.489066794,2.772135261,2.234436611,1.314374477,1.589198232
E02000158,Bromley 032,518,877,426,382,302,274,212,138,242,4417,7788,6.651258346,11.26091423,5.469953775,4.904982024,3.877760657,3.518233179,2.72213662,1.771956857,3.107344633
