Middle layer Super Output Areas Code,Middle layer Super Output Areas,lives_rent_free
E02000395,Hammersmith and Fulham 024,3
E02000396,Hammersmith and Fulham 025,2
E02000397,Haringey 001,8
E02000398,Haringey 002,15
E02000400,Haringey 004,15
E02000401,Haringey 005,14
E02000402,Haringey 006,20
E02000403,Haringey 007,3
E02000404,Haringey 008,15
E02000405,Haringey 009,2
E02000406,Haringey 010,18
E02000407,Haringey 011,14
E02000408,Haringey 012,17
E02000409,Haringey 013,25
E02000410,Haringey 014,1
E02000411,Haringey 015,23
E02000412,Haringey 016,8
E02000413,Haringey 017,9
E02000414,Haringey 018,7
E02000415,Haringey 019,4
E02000416,Haringey 020,18
E02000417,Haringey 021,4
E02000418,Haringey 022,4
E02000419,Haringey 023,5
E02000420,Haringey 024,23
E02000421,Haringey 025,19
E02000422,Haringey 026,30
E02000423,Haringey 027,4
E02000424,Haringey 028,4
E02000425,Haringey 029,6
E02000426,Haringey 030,4
E02000427,Haringey 031,3
E02000428,Haringey 032,8
E02000429,Haringey 033,4
E02000430,Haringey 034,3
E02000431,Haringey 035,5
E02000432,Haringey 036,6
E02000433,Harrow 001,2
E02000434,Harrow 002,5
E02000435,Harrow 003,10
E02000436,Harrow 004,1
E02000437,Harrow 005,4
E02000438,Harrow 006,9
E02000439,Harrow 007,6
E02000440,Harrow 008,3
E02000441,Harrow 009,10
E02000442,Harrow 010,0
E02000443,Harrow 011,9
E02000444,Harrow 012,4
E02000445,Harrow 013,8
E02000447,Harrow 015,1
E02000448,Harrow 016,2
E02000449,Harrow 017,10
E02000451,Harrow 019,3
E02000452,Harrow 020,4
E02000453,Harrow 021,7
E02000454,Harrow 022,2
E02000455,Harrow 023,10
E02000456,Harrow 024,9
E02000457,Harrow 025,4
E02000459,Harrow 027,7
E02000460,Harrow 028,4
E02000461,Harrow 029,3
E02000462,Harrow 030,0
E02000463,Harrow 031,12
E02000464,Havering 001,2
E02000465,Havering 002,4
E02000466,Havering 003,1
E02000467,Havering 004,19
E02000468,Havering 005,5
E02000469,Havering 006,7
E02000470,Havering 007,3
E02000471,Havering 008,2
E02000472,Havering 009,0
E02000473,Havering 010,2
E02000474,Havering 011,3
E02000475,Havering 012,4
E02000476,Havering 013,2
E02000477,Havering 014,0
E02000478,Havering 015,1
E02000479,Havering 016,8
E02000480,Havering 017,10
E02000481,Havering 018,3
E02000482,Havering 019,0
E02000483,Havering 020,2
E02000484,Havering 021,3
E02000485,Havering 022,1
E02000486,Havering 023,1
E02000487,Havering 024,0
E02000488,Havering 025,0
E02000489,Havering 026,3
E02000490,Havering 027,3
E02000491,Havering 028,5
E02000492,Havering 029,4
E02000493,Havering 030,2
E02000494,Hillingdon 001,0
E02000495,Hillingdon 002,0
E02000496,Hillingdon 003,2
E02000497,Hillingdon 004,3
E02000498,Hillingdon 005,2
E02000499,Hillingdon 006,0
E02000500,Hillingdon 007,0
E02000501,Hillingdon 008,3
E02000502,Hillingdon 009,2
E02000503,Hillingdon 010,2
E02000504,Hillingdon 011,2
E02000506,Hillingdon 013,0
E02000507,Hillingdon 014,0
E02000508,Hillingdon 015,4
E02000509,Hillingdon 016,10
E02000510,Hillingdon 017,3
E02000511,Hillingdon 018,1
E02000512,Hillingdon 019,4
E02000513,Hillingdon 020,4
E02000514,Hillingdon 021,1
E02000515,Hillingdon 022,9
E02000516,Hillingdon 023,3
E02000517,Hillingdon 024,2
E02000518,Hillingdon 025,6
E02000519,Hillingdon 026,19
E02000520,Hillingdon 027,11
E02000521,Hillingdon 028,5
E02000522,Hillingdon 029,3
E02000523,Hillingdon 030,11
E02000524,Hillingdon 031,3
E02000525,Hillingdon 032,17
E02000526,Hounslow 001,1
E02000529,Hounslow 004,10
E02000530,Hounslow 005,18
E02000531,Hounslow 006,12
E02000532,Hounslow 007,12
E02000533,Hounslow 008,10
E02000534,Hounslow 009,0
E02000535,Hounslow 010,10
E02000536,Hounslow 011,16
E02000537,Hounslow 012,4
E02000538,Hounslow 013,8
E02000539,Hounslow 014,4
E02000540,Hounslow 015,12
E02000541,Hounslow 016,14
E02000542,Hounslow 017,14
E02000543,Hounslow 018,9
E02000544,Hounslow 019,5
E02000545,Hounslow 020,4
E02000546,Hounslow 021,2
E02000547,Hounslow 022,37
E02000548,Hounslow 023,10
E02000549,Hounslow 024,9
E02000550,Hounslow 025,5
E02000551,Hounslow 026,16
E02000552,Hounslow 027,6
E02000553,Hounslow 028,6
E02000554,Islington 001,36
E02000555,Islington 002,10
E02000556,Islington 003,40
E02000557,Islington 004,11
E02000558,Islington 005,25
E02000559,Islington 006,2
E02000560,Islington 007,7
E02000561,Islington 008,2
E02000562,Islington 009,17
E02000563,Islington 010,18
E02000564,Islington 011,10
E02000565,Islington 012,11
E02000566,Islington 013,8
E02000567,Islington 014,9
E02000568,Islington 015,19
E02000569,Islington 016,13
E02000570,Islington 017,4
E02000571,Islington 018,15
E02000572,Islington 019,12
E02000573,Islington 020,2
E02000574,Islington 021,8
E02000575,Islington 022,14
E02000576,Islington 023,14
E02000577,Kensington and Chelsea 001,13
E02000578,Kensington and Chelsea 002,26
E02000579,Kensington and Chelsea 003,8
E02000580,Kensington and Chelsea 004,12
E02000581,Kensington and Chelsea 005,17
E02000582,Kensington and Chelsea 006,6
E02000583,Kensington and Chelsea 007,1
E02000584,Kensington and Chelsea 008,3
E02000585,Kensington and Chelsea 009,2
E02000586,Kensington and Chelsea 010,2
E02000587,Kensington and Chelsea 011,2
E02000588,Kensington and Chelsea 012,2
E02000589,Kensington and Chelsea 013,0
E02000590,Kensington and Chelsea 014,4
E02000591,Kensington and Chelsea 015,4
E02000592,Kensington and Chelsea 016,0
E02000593,Kensington and Chelsea 017,7
E02000594,Kensington and Chelsea 018,4
E02000595,Kensington and Chelsea 019,7
E02000596,Kensington and Chelsea 020,2
E02000597,Kensington and Chelsea 021,4
E02000598,Kingston upon Thames 001,3
E02000599,Kingston upon Thames 002,2
E02000600,Kingston upon Thames 003,8
E02000601,Kingston upon Thames 004,8
E02000602,Kingston upon Thames 005,16
E02000603,Kingston upon Thames 006,5
E02000604,Kingston upon Thames 007,2
E02000605,Kingston upon Thames 008,3
E02000606,Kingston upon Thames 009,3
E02000607,Kingston upon Thames 010,1
E02000608,Kingston upon Thames 011,2
E02000609,Kingston upon Thames 012,5
E02000610,Kingston upon Thames 013,8
E02000611,Kingston upon Thames 014,1
E02000612,Kingston upon Thames 015,1
E02000613,Kingston upon Thames 016,1
E02000614,Kingston upon Thames 017,4
E02000615,Kingston upon Thames 018,2
E02000616,Kingston upon Thames 019,1
E02000617,Kingston upon Thames 020,2
E02000619,Lambeth 002,10
E02000620,Lambeth 003,4
E02000621,Lambeth 004,7
E02000622,Lambeth 005,6
E02000623,Lambeth 006,11
E02000624,Lambeth 007,12
E02000625,Lambeth 008,6
E02000626,Lambeth 009,17
E02000627,Lambeth 010,9
E02000628,Lambeth 011,15
E02000629,Lambeth 012,3
E02000630,Lambeth 013,5
E02000631,Lambeth 014,1
E02000632,Lambeth 015,1
E02000633,Lambeth 016,10
E02000634,Lambeth 017,5
E02000635,Lambeth 018,2
E02000636,Lambeth 019,3
E02000637,Lambeth 020,0
E02000638,Lambeth 021,7
E02000639,Lambeth 022,6
E02000640,Lambeth 023,3
E02000641,Lambeth 024,3
E02000642,Lambeth 025,5
E02000643,Lambeth 026,7
E02000644,Lambeth 027,1
E02000645,Lambeth 028,6
E02000646,Lambeth 029,1
E02000647,Lambeth 030,1
E02000648,Lambeth 031,12
E02000649,Lambeth 032,9
E02000650,Lambeth 033,5
E02000651,Lambeth 034,5
E02000652,Lambeth 035,2
E02000653,Lewisham 001,5
E02000654,Lewisham 002,15
E02000655,Lewisham 003,9
E02000657,Lewisham 005,5
E02000658,Lewisham 006,3
E02000659,Lewisham 007,6
E02000660,Lewisham 008,3
E02000661,Lewisham 009,4
E02000662,Lewisham 010,9
E02000663,Lewisham 011,1
E02000665,Lewisham 013,4
E02000666,Lewisham 014,2
E02000667,Lewisham 015,3
E02000668,Lewisham 016,2
E02000669,Lewisham 017,1
E02000670,Lewisham 018,4
E02000671,Lewisham 019,4
E02000672,Lewisham 020,2
E02000673,Lewisham 021,5
E02000674,Lewisham 022,1
E02000675,Lewisham 023,3
E02000676,Lewisham 024,3
E02000677,Lewisham 025,4
E02000678,Lewisham 026,4
E02000679,Lewisham 027,9
E02000680,Lewisham 028,12
E02000681,Lewisham 029,6
E02000682,Lewisham 030,0
E02000683,Lewisham 031,1
E02000685,Lewisham 033,3
E02000686,Lewisham 034,7
E02000687,Lewisham 035,9
E02000689,Merton 001,1
E02000690,Merton 002,0
E02000691,Merton 003,2
E02000692,Merton 004,1
E02000693,Merton 005,0
E02000694,Merton 006,4
E02000695,Merton 007,0
E02000696,Merton 008,1
E02000697,Merton 009,0
E02000698,Merton 010,1
E02000699,Merton 011,1
E02000700,Merton 012,4
E02000701,Merton 013,0
E02000702,Merton 014,0
E02000703,Merton 015,0
E02000704,Merton 016,0
E02000705,Merton 017,1
E02000706,Merton 018,4
E02000707,Merton 019,1
E02000708,Merton 020,7
E02000709,Merton 021,1
E02000710,Merton 022,3
E02000711,Merton 023,1
E02000712,Merton 024,4
E02000713,Merton 025,1
E02000714,Newham 001,4
E02000715,Newham 002,7
E02000716,Newham 003,6
E02000717,Newham 004,8
E02000718,Newham 005,8
E02000719,Newham 006,10
E02000720,Newham 007,7
E02000721,Newham 008,9
E02000722,Newham 009,10
E02000723,Newham 010,4
E02000724,Newham 011,5
E02000725,Newham 012,33
E02000727,Newham 014,9
E02000728,Newham 015,1
E02000729,Newham 016,5
E02000730,Newham 017,4
E02000731,Newham 018,7
E02000732,Newham 019,4
E02000733,Newham 020,13
E02000734,Newham 021,18
E02000735,Newham 022,6
E02000736,Newham 023,7
E02000737,Newham 024,9
E02000738,Newham 025,2
E02000739,Newham 026,7
E02000740,Newham 027,8
E02000741,Newham 028,10
E02000742,Newham 029,6
E02000743,Newham 030,9
E02000744,Newham 031,19
E02000745,Newham 032,1
E02000746,Newham 033,4
E02000747,Newham 034,13
E02000748,Newham 035,3
E02000749,Newham 036,13
E02000751,Redbridge 001,3
E02000752,Redbridge 002,11
E02000753,Redbridge 003,14
E02000754,Redbridge 004,7
E02000755,Redbridge 005,5
E02000756,Redbridge 006,7
E02000757,Redbridge 007,5
E02000758,Redbridge 008,4
E02000759,Redbridge 009,12
E02000760,Redbridge 010,7
E02000762,Redbridge 012,1
E02000763,Redbridge 013,1
E02000764,Redbridge 014,8
E02000765,Redbridge 015,5
E02000767,Redbridge 017,13
E02000768,Redbridge 018,2
E02000770,Redbridge 020,14
E02000772,Redbridge 022,2
E02000773,Redbridge 023,13
E02000774,Redbridge 024,1
E02000776,Redbridge 026,6
E02000777,Redbridge 027,4
E02000779,Redbridge 029,8
E02000781,Redbridge 031,5
E02000782,Redbridge 032,13
E02000783,Redbridge 033,12
E02000784,Richmond upon Thames 001,8
E02000785,Richmond upon Thames 002,4
E02000786,Richmond upon Thames 003,3
E02000787,Richmond upon Thames 004,5
E02000788,Richmond upon Thames 005,1
E02000789,Richmond upon Thames 006,2
E02000790,Richmond upon Thames 007,1
E02000791,Richmond upon Thames 008,1
E02000792,Richmond upon Thames 009,0
E02000793,Richmond upon Thames 010,0
E02000794,Richmond upon Thames 011,0
E02000795,Richmond upon Thames 012,4
E02000796,Richmond upon Thames 013,6
E02000797,Richmond upon Thames 014,1
E02000798,Richmond upon Thames 015,5
E02000799,Richmond upon Thames 016,0
E02000800,Richmond upon Thames 017,1
E02000801,Richmond upon Thames 018,1
E02000802,Richmond upon Thames 019,3
E02000803,Richmond upon Thames 020,6
E02000804,Richmond upon Thames 021,0
E02000805,Richmond upon Thames 022,5
E02000806,Richmond upon Thames 023,5
E02000807,Southwark 001,2
E02000808,Southwark 002,8
E02000810,Southwark 004,5
E02000812,Southwark 006,9
E02000813,Southwark 007,8
E02000814,Southwark 008,4
E02000815,Southwark 009,9
E02000816,Southwark 010,11
E02000817,Southwark 011,10
E02000818,Southwark 012,27
E02000819,Southwark 013,10
E02000820,Southwark 014,12
E02000821,Southwark 015,5
E02000822,Southwark 016,12
E02000823,Southwark 017,11
E02000824,Southwark 018,41
E02000825,Southwark 019,17
E02000826,Southwark 020,28
E02000827,Southwark 021,16
E02000828,Southwark 022,18
E02000829,Southwark 023,18
E02000830,Southwark 024,45
E02000831,Southwark 025,3
E02000832,Southwark 026,12
E02000833,Southwark 027,8
E02000834,Southwark 028,9
E02000835,Southwark 029,7
E02000836,Southwark 030,4
E02000837,Southwark 031,3
E02000838,Southwark 032,7
E02000839,Southwark 033,6
E02000840,Sutton 001,10
E02000841,Sutton 002,7
E02000842,Sutton 003,0
E02000843,Sutton 004,1
E02000844,Sutton 005,5
E02000845,Sutton 006,0
E02000846,Sutton 007,2
E02000847,Sutton 008,0
E02000848,Sutton 009,0
E02000849,Sutton 010,6
E02000850,Sutton 011,0
E02000851,Sutton 012,9
E02000852,Sutton 013,3
E02000853,Sutton 014,3
E02000854,Sutton 015,3
E02000855,Sutton 016,2
E02000856,Sutton 017,2
E02000857,Sutton 018,1
E02000858,Sutton 019,5
E02000859,Sutton 020,1
E02000860,Sutton 021,4
E02000861,Sutton 022,0
E02000863,Sutton 024,1
E02000864,Tower Hamlets 001,5
E02000865,Tower Hamlets 002,11
E02000866,Tower Hamlets 003,12
E02000867,Tower Hamlets 004,11
E02000868,Tower Hamlets 005,4
E02000869,Tower Hamlets 006,12
E02000870,Tower Hamlets 007,5
E02000871,Tower Hamlets 008,11
E02000872,Tower Hamlets 009,9
E02000873,Tower Hamlets 010,14
E02000874,Tower Hamlets 011,13
E02000875,Tower Hamlets 012,6
E02000876,Tower Hamlets 013,11
E02000877,Tower Hamlets 014,8
E02000878,Tower Hamlets 015,10
E02000879,Tower Hamlets 016,7
E02000880,Tower Hamlets 017,7
E02000881,Tower Hamlets 018,9
E02000882,Tower Hamlets 019,9
E02000883,Tower Hamlets 020,6
E02000884,Tower Hamlets 021,4
E02000885,Tower Hamlets 022,16
E02000886,Tower Hamlets 023,10
E02000887,Tower Hamlets 024,16
E02000888,Tower Hamlets 025,16
E02000889,Tower Hamlets 026,6
E02000890,Tower Hamlets 027,2
E02000893,Tower Hamlets 030,8
E02000894,Tower Hamlets 031,10
E02000895,Waltham Forest 001,3
E02000896,Waltham Forest 002,3
E02000897,Waltham Forest 003,4
E02000898,Waltham Forest 004,4
E02000899,Waltham Forest 005,1
E02000900,Waltham Forest 006,3
E02000901,Waltham Forest 007,2
E02000902,Waltham Forest 008,6
E02000903,Waltham Forest 009,9
E02000904,Waltham Forest 010,0
E02000905,Waltham Forest 011,4
E02000906,Waltham Forest 012,3
E02000907,Waltham Forest 013,16
E02000908,Waltham Forest 014,5
E02000909,Waltham Forest 015,5
E02000910,Waltham Forest 016,7
E02000911,Waltham Forest 017,7
E02000912,Waltham Forest 018,6
E02000913,Waltham Forest 019,4
E02000914,Waltham Forest 020,12
E02000915,Waltham Forest 021,1
E02000916,Waltham Forest 022,9
E02000917,Waltham Forest 023,1
E02000918,Waltham Forest 024,6
E02000919,Waltham Forest 025,7
E02000920,Waltham Forest 026,7
E02000921,Waltham Forest 027,12
E02000922,Waltham Forest 028,7
E02000923,Wandsworth 001,3
E02000925,Wandsworth 003,9
E02000926,Wandsworth 004,1
E02000927,Wandsworth 005,3
E02000928,Wandsworth 006,5
E02000929,Wandsworth 007,12
E02000930,Wandsworth 008,3
E02000931,Wandsworth 009,0
E02000932,Wandsworth 010,2
E02000933,Wandsworth 011,10
E02000934,Wandsworth 012,3
E02000935,Wandsworth 013,16
E02000936,Wandsworth 014,12
E02000937,Wandsworth 015,1
E02000938,Wandsworth 016,15
E02000939,Wandsworth 017,1
E02000940,Wandsworth 018,4
E02000941,Wandsworth 019,2
E02000942,Wandsworth 020,2
E02000943,Wandsworth 021,0
E02000944,Wandsworth 022,4
E02000945,Wandsworth 023,5
E02000946,Wandsworth 024,5
E02000947,Wandsworth 025,2
E02000948,Wandsworth 026,6
E02000949,Wandsworth 027,0
E02000950,Wandsworth 028,7
E02000951,Wandsworth 029,0
E02000952,Wandsworth 030,2
E02000953,Wandsworth 031,3
E02000954,Wandsworth 032,1
E02000955,Wandsworth 033,7
E02000956,Wandsworth 034,12
E02000957,Wandsworth 035,5
E02000958,Wandsworth 036,3
E02000959,Wandsworth 037,1
E02000960,Westminster 001,4
E02000961,Westminster 002,12
E02000962,Westminster 003,12
E02000963,Westminster 004,18
E02000964,Westminster 005,15
E02000965,Westminster 006,6
E02000966,Westminster 007,3
E02000967,Westminster 008,4
E02000968,Westminster 009,73
E02000969,Westminster 010,33
E02000970,Westminster 011,2
E02000971,Westminster 012,2
E02000972,Westminster 013,14
E02000973,Westminster 014,4
E02000974,Westminster 015,3
E02000975,Westminster 016,9
E02000976,Westminster 017,15
E02000977,Westminster 018,2
