Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_car
E02000221,Croydon 028,1806
E02000222,Croydon 029,1813
E02000223,Croydon 030,1118
E02000224,Croydon 031,1636
E02000225,Croydon 032,1110
E02000226,Croydon 033,1160
E02000227,Croydon 034,2366
E02000228,Croydon 035,1236
E02000229,Croydon 036,888
E02000230,Croydon 037,1958
E02000231,Croydon 038,1031
E02000232,Croydon 039,969
E02000233,Croydon 040,1169
E02000234,Croydon 041,1720
E02000235,Croydon 042,1160
E02000236,Croydon 043,1521
E02000237,Croydon 044,1210
E02000238,Ealing 001,1690
E02000239,Ealing 002,1332
E02000240,Ealing 003,1755
E02000241,Ealing 004,1224
E02000242,Ealing 005,1018
E02000243,Ealing 006,1375
E02000244,Ealing 007,1333
E02000245,Ealing 008,1523
E02000246,Ealing 009,1337
E02000247,Ealing 010,1821
E02000248,Ealing 011,1378
E02000249,Ealing 012,1231
E02000250,Ealing 013,1352
E02000251,Ealing 014,1078
E02000252,Ealing 015,1488
E02000253,Ealing 016,1709
E02000254,Ealing 017,1024
E02000255,Ealing 018,1858
E02000256,Ealing 019,1721
E02000258,Ealing 021,1212
E02000259,Ealing 022,1205
E02000260,Ealing 023,1000
E02000261,Ealing 024,1799
E02000262,Ealing 025,1505
E02000263,Ealing 026,1390
E02000264,Ealing 027,1555
E02000265,Ealing 028,2001
E02000266,Ealing 029,1855
E02000267,Ealing 030,1605
E02000268,Ealing 031,1792
E02000269,Ealing 032,1716
E02000270,Ealing 033,1563
E02000271,Ealing 034,1508
E02000272,Ealing 035,1390
E02000275,Ealing 038,839
E02000276,Ealing 039,1391
E02000277,Enfield 001,1116
E02000278,Enfield 002,1485
E02000279,Enfield 003,2084
E02000280,Enfield 004,1583
E02000281,Enfield 005,1587
E02000282,Enfield 006,1462
E02000283,Enfield 007,1220
E02000284,Enfield 008,1805
E02000285,Enfield 009,1101
E02000286,Enfield 010,2017
E02000287,Enfield 011,1112
E02000288,Enfield 012,1714
E02000289,Enfield 013,1026
E02000290,Enfield 014,1104
E02000291,Enfield 015,2005
E02000292,Enfield 016,1698
E02000293,Enfield 017,1073
E02000294,Enfield 018,1302
E02000295,Enfield 019,1622
E02000296,Enfield 020,1910
E02000297,Enfield 021,1555
E02000298,Enfield 022,1423
E02000299,Enfield 023,1339
E02000300,Enfield 024,1251
E02000301,Enfield 025,1534
E02000302,Enfield 026,1425
E02000303,Enfield 027,1168
E02000304,Enfield 028,1347
E02000305,Enfield 029,1732
E02000306,Enfield 030,1226
E02000307,Enfield 031,1441
E02000308,Enfield 032,1512
E02000309,Enfield 033,1651
E02000311,Enfield 035,1632
E02000312,Enfield 036,1995
E02000313,Greenwich 001,1060
E02000314,Greenwich 002,2102
E02000315,Greenwich 003,1495
E02000317,Greenwich 005,1147
E02000318,Greenwich 006,1428
E02000319,Greenwich 007,1669
E02000320,Greenwich 008,1134
E02000321,Greenwich 009,1186
E02000323,Greenwich 011,1662
