Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_car
E02000926,Wandsworth 004,2187
E02000927,Wandsworth 005,1307
E02000928,Wandsworth 006,1779
E02000929,Wandsworth 007,1064
E02000930,Wandsworth 008,1644
E02000931,Wandsworth 009,1704
E02000932,Wandsworth 010,2462
E02000933,Wandsworth 011,1691
E02000934,Wandsworth 012,1642
E02000935,Wandsworth 013,900
E02000936,Wandsworth 014,1749
E02000937,Wandsworth 015,1487
E02000938,Wandsworth 016,1970
E02000939,Wandsworth 017,1490
E02000940,Wandsworth 018,1653
E02000941,Wandsworth 019,2055
E02000942,Wandsworth 020,1934
E02000943,Wandsworth 021,1560
E02000944,Wandsworth 022,1236
E02000945,Wandsworth 023,1078
E02000946,Wandsworth 024,1475
E02000947,Wandsworth 025,2086
E02000948,Wandsworth 026,1952
E02000949,Wandsworth 027,1906
E02000950,Wandsworth 028,1469
E02000951,Wandsworth 029,1101
E02000952,Wandsworth 030,1024
E02000953,Wandsworth 031,1526
E02000954,Wandsworth 032,1017
E02000955,Wandsworth 033,1104
E02000956,Wandsworth 034,1097
E02000957,Wandsworth 035,1775
E02000958,Wandsworth 036,1400
E02000959,Wandsworth 037,1361
E02000960,Westminster 001,984
E02000961,Westminster 002,1435
E02000962,Westminster 003,1070
E02000963,Westminster 004,1532
E02000964,Westminster 005,1602
E02000965,Westminster 006,1202
E02000966,Westminster 007,1382
E02000967,Westminster 008,741
E02000968,Westminster 009,1461
E02000969,Westminster 010,1142
E02000970,Westminster 011,909
E02000971,Westminster 012,839
E02000972,Westminster 013,785
E02000973,Westminster 014,1352
E02000974,Westminster 015,992
E02000975,Westminster 016,907
E02000976,Westminster 017,971
E02000977,Westminster 018,647
E02000978,Westminster 019,1063
E02000979,Westminster 020,980
E02000980,Westminster 021,1096
E02000981,Westminster 022,1188
E02000982,Westminster 023,961
E02000983,Westminster 024,1066
E02003237,Peterborough 001,1024
E02003238,Peterborough 002,1078
E02003239,Peterborough 003,1479
E02003240,Peterborough 004,1071
E02003241,Peterborough 005,1210
E02003242,Peterborough 006,1696
E02003243,Peterborough 007,2137
E02003244,Peterborough 008,1690
E02003245,Peterborough 009,1359
E02003246,Peterborough 010,1364
E02003247,Peterborough 011,1576
E02003248,Peterborough 012,1393
E02003249,Peterborough 013,2353
E02003250,Peterborough 014,1880
E02003251,Peterborough 015,1299
E02003252,Peterborough 016,2224
E02003253,Peterborough 017,2144
E02003254,Peterborough 018,1697
E02003255,Peterborough 019,2431
E02003257,Peterborough 021,1728
E02003258,Luton 001,1450
E02003259,Luton 002,1148
E02003260,Luton 003,1427
E02003261,Luton 004,1083
E02003262,Luton 005,1770
E02003263,Luton 006,2122
E02003264,Luton 007,1205
E02003265,Luton 008,1470
E02003266,Luton 009,1589
E02003267,Luton 010,1574
E02003268,Luton 011,1721
E02003269,Luton 012,1836
E02003270,Luton 013,1400
E02003271,Luton 014,1695
E02003272,Luton 015,1320
E02003273,Luton 016,2020
E02003274,Luton 017,1383
E02003276,Luton 019,1191
E02003277,Luton 020,1641
E02003278,Luton 021,2192
E02003279,Southend-on-Sea 001,1598
E02003280,Southend-on-Sea 002,1899
E02003281,Southend-on-Sea 003,1817
E02003282,Southend-on-Sea 004,1908
E02003283,Southend-on-Sea 005,1926
E02003284,Southend-on-Sea 006,2146
E02003285,Southend-on-Sea 007,2188
E02003286,Southend-on-Sea 008,1739
E02003287,Southend-on-Sea 009,1753
E02003288,Southend-on-Sea 010,2635
E02003289,Southend-on-Sea 011,2500
E02003290,Southend-on-Sea 012,2033
E02003291,Southend-on-Sea 013,2318
E02003292,Southend-on-Sea 014,2421
E02003293,Southend-on-Sea 015,2477
E02003294,Southend-on-Sea 016,1763
E02003295,Southend-on-Sea 017,1614
E02003296,Thurrock 001,975
E02003297,Thurrock 002,1178
E02003298,Thurrock 003,1074
E02003299,Thurrock 004,767
E02003300,Thurrock 005,1456
E02003301,Thurrock 006,2086
E02003302,Thurrock 007,1620
E02003303,Thurrock 008,1471
E02003304,Thurrock 009,1351
E02003305,Thurrock 010,1013
E02003307,Thurrock 012,1528
E02003308,Thurrock 013,1136
E02003309,Thurrock 014,1203
E02003311,Thurrock 016,1625
E02003312,Thurrock 017,1913
E02003313,Thurrock 018,2188
E02003314,Medway 001,1135
E02003315,Medway 002,713
E02003316,Medway 003,1646
E02003317,Medway 004,1016
E02003318,Medway 005,825
E02003319,Medway 006,1450
E02003320,Medway 007,1782
E02003321,Medway 008,990
E02003322,Medway 009,1470
E02003323,Medway 010,1240
E02003324,Medway 011,1637
E02003325,Medway 012,1325
E02003326,Medway 013,1291
E02003327,Medway 014,1802
E02003328,Medway 015,1862
E02003329,Medway 016,1223
E02003330,Medway 017,1264
E02003331,Medway 018,1492
E02003332,Medway 019,889
E02003333,Medway 020,1236
E02003334,Medway 021,1097
E02003335,Medway 022,1173
E02003336,Medway 023,1099
E02003337,Medway 024,1066
E02003338,Medway 025,1429
E02003339,Medway 026,950
E02003340,Medway 027,1272
E02003341,Medway 028,915
E02003342,Medway 029,1005
E02003343,Medway 030,789
E02003344,Medway 031,1035
E02003345,Medway 032,946
E02003346,Medway 033,1118
E02003347,Medway 034,896
E02003348,Medway 035,1046
E02003349,Medway 036,1244
E02003350,Medway 037,932
E02003351,Medway 038,1256
E02003352,Bracknell Forest 001,919
E02003353,Bracknell Forest 002,1724
E02003354,Bracknell Forest 003,1426
E02003355,Bracknell Forest 004,1183
E02003356,Bracknell Forest 005,1044
E02003357,Bracknell Forest 006,1913
E02003358,Bracknell Forest 007,2116
E02003359,Bracknell Forest 008,1181
E02003360,Bracknell Forest 009,1612
E02003361,Bracknell Forest 010,1237
E02003362,Bracknell Forest 011,1135
E02003363,Bracknell Forest 012,1000
E02003364,Bracknell Forest 013,956
E02003365,Bracknell Forest 014,876
E02003366,Bracknell Forest 015,937
E02003367,West Berkshire 001,708
E02003368,West Berkshire 002,894
E02003369,West Berkshire 003,886
E02003370,West Berkshire 004,1030
E02003371,West Berkshire 005,845
E02003372,West Berkshire 006,1200
E02003373,West Berkshire 007,840
E02003374,West Berkshire 008,1036
E02003375,West Berkshire 009,1035
E02003376,West Berkshire 010,1187
E02003377,West Berkshire 011,1412
E02003378,West Berkshire 012,1543
E02003379,West Berkshire 013,1185
E02003380,West Berkshire 014,1301
E02003381,West Berkshire 015,766
E02003382,West Berkshire 016,1321
E02003383,West Berkshire 017,974
E02003384,West Berkshire 018,876
E02003385,West Berkshire 019,2592
E02003386,West Berkshire 020,1594
E02003387,West Berkshire 021,1414
E02003388,West Berkshire 022,877
E02003389,Reading 001,1349
E02003390,Reading 002,1103
E02003391,Reading 003,1609
E02003392,Reading 004,1944
E02003393,Reading 005,1285
E02003394,Reading 006,1449
E02003395,Reading 007,2101
E02003396,Reading 008,1971
E02003397,Reading 009,1291
E02003398,Reading 010,1945
E02003400,Reading 012,1350
E02003401,Reading 013,1880
E02003402,Reading 014,1775
E02003403,Reading 015,1645
E02003404,Reading 016,962
E02003405,Reading 017,2347
E02003406,Reading 018,1320
E02003407,Slough 001,1553
E02003408,Slough 002,1396
E02003409,Slough 003,1813
E02003410,Slough 004,1344
E02003411,Slough 005,1476
E02003412,Slough 006,1521
E02003414,Slough 008,2124
E02003415,Slough 009,1874
E02003416,Slough 010,1484
E02003417,Slough 011,1965
E02003418,Slough 012,1358
E02003419,Slough 013,1341
E02003420,Slough 014,1116
E02003421,Windsor and Maidenhead 001,774
E02003422,Windsor and Maidenhead 002,1651
E02003423,Windsor and Maidenhead 003,888
E02003424,Windsor and Maidenhead 004,1700
E02003425,Windsor and Maidenhead 005,2624
E02003426,Windsor and Maidenhead 006,1413
E02003427,Windsor and Maidenhead 007,1364
E02003428,Windsor and Maidenhead 008,1236
E02003429,Windsor and Maidenhead 009,985
E02003430,Windsor and Maidenhead 010,1187
E02003431,Windsor and Maidenhead 011,1140
E02003432,Windsor and Maidenhead 012,1523
E02003433,Windsor and Maidenhead 013,1131
E02003434,Windsor and Maidenhead 014,1561
E02003435,Windsor and Maidenhead 015,1288
E02003436,Windsor and Maidenhead 016,1158
E02003437,Windsor and Maidenhead 017,1126
E02003438,Windsor and Maidenhead 018,1600
E02003439,Wokingham 001,740
E02003440,Wokingham 002,1572
E02003441,Wokingham 003,1069
E02003442,Wokingham 004,1237
E02003443,Wokingham 005,1067
E02003444,Wokingham 006,1255
E02003445,Wokingham 007,1435
E02003446,Wokingham 008,1167
E02003447,Wokingham 009,1433
E02003448,Wokingham 010,1099
E02003449,Wokingham 011,1362
E02003450,Wokingham 012,2054
E02003451,Wokingham 013,2148
E02003452,Wokingham 014,1383
E02003453,Wokingham 015,804
E02003454,Wokingham 016,1496
E02003455,Wokingham 017,1542
E02003456,Wokingham 018,1087
E02003457,Wokingham 019,981
E02003458,Wokingham 020,1004
E02003459,Milton Keynes 001,1466
E02003460,Milton Keynes 002,1801
E02003461,Milton Keynes 003,1188
E02003462,Milton Keynes 004,1489
E02003463,Milton Keynes 005,1109
E02003464,Milton Keynes 006,1220
E02003465,Milton Keynes 007,1107
E02003466,Milton Keynes 008,1472
E02003467,Milton Keynes 009,1102
E02003468,Milton Keynes 010,1805
E02003469,Milton Keynes 011,1063
E02003470,Milton Keynes 012,1006
E02003471,Milton Keynes 013,1187
E02003472,Milton Keynes 014,1973
E02003473,Milton Keynes 015,1066
E02003474,Milton Keynes 016,1453
E02003476,Milton Keynes 018,1446
E02003478,Milton Keynes 020,1216
E02003479,Milton Keynes 021,1314
E02003480,Milton Keynes 022,1568
E02003481,Milton Keynes 023,1448
E02003482,Milton Keynes 024,1458
E02003483,Milton Keynes 025,1616
E02003484,Milton Keynes 026,1313
E02003485,Milton Keynes 027,1377
E02003486,Milton Keynes 028,1626
E02003487,Milton Keynes 029,1239
E02003488,Milton Keynes 030,1453
E02003489,Milton Keynes 031,1345
E02003490,Milton Keynes 032,1705
E02003491,Brighton and Hove 001,1317
E02003492,Brighton and Hove 002,819
E02003493,Brighton and Hove 003,1494
E02003494,Brighton and Hove 004,1259
E02003495,Brighton and Hove 005,1356
E02003496,Brighton and Hove 006,1375
E02003497,Brighton and Hove 007,1174
E02003498,Brighton and Hove 008,1381
E02003499,Brighton and Hove 009,1125
E02003500,Brighton and Hove 010,1637
E02003501,Brighton and Hove 011,1810
E02003502,Brighton and Hove 012,1505
E02003503,Brighton and Hove 013,1497
E02003504,Brighton and Hove 014,1934
E02003505,Brighton and Hove 015,1567
E02003506,Brighton and Hove 016,1642
E02003507,Brighton and Hove 017,1649
E02003508,Brighton and Hove 018,1668
E02003509,Brighton and Hove 019,2030
E02003510,Brighton and Hove 020,1949
E02003511,Brighton and Hove 021,1728
E02003512,Brighton and Hove 022,1663
E02003513,Brighton and Hove 023,1294
E02003514,Brighton and Hove 024,1556
E02003515,Brighton and Hove 025,1510
E02003516,Brighton and Hove 026,1910
E02003517,Brighton and Hove 027,1513
E02003518,Brighton and Hove 028,1874
E02003519,Brighton and Hove 029,1609
E02003520,Brighton and Hove 030,1512
E02003521,Brighton and Hove 031,1653
E02003522,Brighton and Hove 032,1749
E02003523,Brighton and Hove 033,2117
E02003524,Portsmouth 001,1265
E02003525,Portsmouth 002,1053
E02003526,Portsmouth 003,1017
E02003527,Portsmouth 004,1175
E02003529,Portsmouth 006,1286
E02003530,Portsmouth 007,1494
E02003531,Portsmouth 008,1582
E02003532,Portsmouth 009,1504
E02003533,Portsmouth 010,1165
E02003534,Portsmouth 011,1633
E02003535,Portsmouth 012,1845
E02003536,Portsmouth 013,1151
E02003537,Portsmouth 014,1924
E02003538,Portsmouth 015,1957
E02003540,Portsmouth 017,1943
E02003541,Portsmouth 018,1461
E02003542,Portsmouth 019,1704
E02003543,Portsmouth 020,1517
E02003544,Portsmouth 021,1422
E02003545,Portsmouth 022,1584
E02003546,Portsmouth 023,1826
E02003547,Portsmouth 024,2056
E02003548,Portsmouth 025,1255
E02003549,Southampton 001,1130
E02003550,Southampton 002,1505
E02003551,Southampton 003,958
E02003552,Southampton 004,1143
E02003553,Southampton 005,1008
E02003554,Southampton 006,1266
E02003555,Southampton 007,1648
E02003556,Southampton 008,1057
E02003557,Southampton 009,1238
E02003558,Southampton 010,1376
E02003559,Southampton 011,1300
E02003560,Southampton 012,1324
E02003561,Southampton 013,1419
E02003562,Southampton 014,1788
E02003563,Southampton 015,1563
E02003564,Southampton 016,1464
E02003565,Southampton 017,1151
E02003566,Southampton 018,1203
E02003567,Southampton 019,1351
E02003568,Southampton 020,1818
E02003569,Southampton 021,1807
E02003570,Southampton 022,1468
E02003571,Southampton 023,1324
E02003572,Southampton 024,1066
E02003573,Southampton 025,1376
E02003574,Southampton 026,1483
E02003575,Southampton 027,1245
E02003576,Southampton 028,1534
E02003578,Southampton 030,1217
E02003579,Southampton 031,2128
E02003580,Southampton 032,1129
E02003581,Isle of Wight 001,1825
E02003582,Isle of Wight 002,1690
E02003583,Isle of Wight 003,1695
E02003584,Isle of Wight 004,1393
E02003585,Isle of Wight 005,1296
E02003586,Isle of Wight 006,1469
E02003587,Isle of Wight 007,1731
E02003588,Isle of Wight 008,1584
E02003589,Isle of Wight 009,1482
E02003590,Isle of Wight 010,1627
E02003591,Isle of Wight 011,1788
E02003592,Isle of Wight 012,2260
E02003593,Isle of Wight 013,933
E02003594,Isle of Wight 014,1985
E02003595,Isle of Wight 015,1591
E02003596,Isle of Wight 016,1793
E02003597,Isle of Wight 017,1001
E02003598,Isle of Wight 018,1625
E02003599,Central Bedfordshire 001,907
E02003600,Central Bedfordshire 002,1116
E02003601,Central Bedfordshire 003,1301
E02003602,Central Bedfordshire 004,849
E02003603,Central Bedfordshire 005,2187
E02003604,Central Bedfordshire 006,1799
E02003605,Central Bedfordshire 007,1319
E02003606,Central Bedfordshire 008,1248
E02003607,Central Bedfordshire 009,1533
E02003608,Central Bedfordshire 010,1949
E02003609,Central Bedfordshire 011,1720
E02003610,Central Bedfordshire 012,1422
E02003611,Central Bedfordshire 013,1393
E02003612,Central Bedfordshire 014,1796
E02003613,Central Bedfordshire 015,990
E02003614,Central Bedfordshire 016,1436
E02003615,Central Bedfordshire 017,1351
E02003616,Bedford 001,813
E02003617,Bedford 002,1356
E02003618,Bedford 003,1420
E02003619,Bedford 004,1519
E02003620,Bedford 005,1421
E02003621,Bedford 006,1335
E02003622,Bedford 007,1654
E02003623,Bedford 008,1899
E02003624,Bedford 009,1142
E02003625,Bedford 010,1820
E02003626,Bedford 011,1012
E02003627,Bedford 012,2206
E02003628,Bedford 013,1321
E02003629,Bedford 014,1891
E02003630,Bedford 015,1878
E02003631,Bedford 016,960
E02003632,Bedford 017,1138
E02003633,Bedford 018,1673
E02003635,Bedford 020,1333
E02003636,Central Bedfordshire 018,1022
E02003637,Central Bedfordshire 019,1478
E02003638,Central Bedfordshire 020,1178
E02003639,Central Bedfordshire 021,2018
E02003640,Central Bedfordshire 022,1269
E02003641,Central Bedfordshire 023,1000
E02003642,Central Bedfordshire 025,1521
E02003643,Central Bedfordshire 024,2212
E02003644,Central Bedfordshire 026,1634
E02003645,Central Bedfordshire 027,1033
E02003646,Central Bedfordshire 028,1674
E02003647,Central Bedfordshire 029,2090
E02003648,Central Bedfordshire 030,944
E02003649,Central Bedfordshire 031,1083
E02003650,Central Bedfordshire 032,1035
E02003651,Central Bedfordshire 033,1114
E02003652,Buckinghamshire 001,1366
E02003653,Buckinghamshire 002,1192
E02003654,Buckinghamshire 003,701
E02003655,Buckinghamshire 004,1323
E02003656,Buckinghamshire 005,1101
E02003657,Buckinghamshire 006,884
E02003658,Buckinghamshire 007,1340
E02003659,Buckinghamshire 009,1295
E02003660,Buckinghamshire 008,1403
E02003661,Buckinghamshire 010,680
E02003662,Buckinghamshire 012,1080
E02003663,Buckinghamshire 011,2024
E02003664,Buckinghamshire 013,1400
E02003665,Buckinghamshire 014,988
E02003666,Buckinghamshire 015,1665
E02003667,Buckinghamshire 016,1777
E02003668,Buckinghamshire 018,1256
E02003669,Buckinghamshire 017,1133
E02003670,Buckinghamshire 019,1569
E02003671,Buckinghamshire 020,1115
E02003672,Buckinghamshire 021,1585
E02003673,Buckinghamshire 022,1503
E02003674,Buckinghamshire 023,690
E02003675,Buckinghamshire 024,1496
E02003676,Buckinghamshire 029,918
E02003677,Buckinghamshire 027,1592
E02003678,Buckinghamshire 028,924
E02003679,Buckinghamshire 030,1462
E02003680,Buckinghamshire 031,1443
E02003681,Buckinghamshire 032,1771
E02003682,Buckinghamshire 034,1305
E02003683,Buckinghamshire 035,1107
E02003685,Buckinghamshire 047,1054
E02003686,Buckinghamshire 050,993
E02003687,Buckinghamshire 054,782
E02003688,Buckinghamshire 053,1864
E02003689,Buckinghamshire 058,1118
E02003690,Buckinghamshire 059,1353
E02003691,Buckinghamshire 063,936
E02003692,Buckinghamshire 064,1185
E02003693,Buckinghamshire 065,1068
E02003694,Buckinghamshire 066,1472
E02003695,Buckinghamshire 067,1503
E02003696,Buckinghamshire 026,1505
E02003697,Buckinghamshire 025,778
E02003698,Buckinghamshire 033,964
E02003699,Buckinghamshire 037,800
E02003701,Buckinghamshire 038,1790
E02003702,Buckinghamshire 040,922
E02003703,Buckinghamshire 041,1460
E02003704,Buckinghamshire 045,761
E02003705,Buckinghamshire 042,1114
E02003706,Buckinghamshire 043,1143
E02003707,Buckinghamshire 044,1124
E02003708,Buckinghamshire 046,1428
E02003709,Buckinghamshire 048,880
E02003710,Buckinghamshire 049,1732
E02003711,Buckinghamshire 051,2016
E02003712,Buckinghamshire 052,1227
E02003713,Buckinghamshire 055,725
E02003714,Buckinghamshire 056,1104
E02003715,Buckinghamshire 057,705
E02003716,Buckinghamshire 060,1032
E02003717,Buckinghamshire 062,1517
E02003718,Buckinghamshire 061,1045
E02003719,Cambridge 001,1810
E02003720,Cambridge 002,1834
E02003721,Cambridge 003,1978
E02003722,Cambridge 004,1768
E02003723,Cambridge 005,1306
E02003724,Cambridge 006,1960
E02003725,Cambridge 007,1537
E02003726,Cambridge 008,1429
E02003727,Cambridge 009,1870
E02003728,Cambridge 010,1825
E02003729,Cambridge 011,1864
E02003731,Cambridge 013,1867
E02003732,East Cambridgeshire 001,1635
E02003733,East Cambridgeshire 002,1203
E02003734,East Cambridgeshire 003,2442
E02003735,East Cambridgeshire 004,1637
E02003736,East Cambridgeshire 005,1536
E02003737,East Cambridgeshire 006,2217
E02003738,East Cambridgeshire 007,955
E02003739,East Cambridgeshire 008,967
E02003740,East Cambridgeshire 009,965
E02003742,Fenland 001,1212
E02003743,Fenland 002,2030
E02003744,Fenland 003,2522
E02003745,Fenland 004,1687
E02003746,Fenland 005,1369
E02003747,Fenland 006,2347
E02003748,Fenland 007,1629
E02003749,Fenland 008,942
E02003750,Fenland 009,1444
E02003751,Fenland 010,1098
E02003752,Fenland 011,2028
E02003753,Huntingdonshire 001,1849
E02003754,Huntingdonshire 002,838
E02003755,Huntingdonshire 003,1524
E02003756,Huntingdonshire 004,1081
E02003757,Huntingdonshire 005,1049
E02003758,Huntingdonshire 006,1538
E02003759,Huntingdonshire 007,818
E02003760,Huntingdonshire 008,1434
E02003761,Huntingdonshire 009,1045
E02003762,Huntingdonshire 010,1868
E02003763,Huntingdonshire 011,1887
E02003764,Huntingdonshire 012,2114
E02003765,Huntingdonshire 013,1509
E02003766,Huntingdonshire 014,1430
E02003767,Huntingdonshire 015,766
E02003768,Huntingdonshire 016,1650
E02003769,Huntingdonshire 017,1047
E02003770,Huntingdonshire 018,1773
E02003771,Huntingdonshire 019,1304
E02003772,Huntingdonshire 020,1196
E02003773,Huntingdonshire 021,2058
E02003774,Huntingdonshire 022,1082
E02003775,South Cambridgeshire 001,1109
E02003776,South Cambridgeshire 002,1219
E02003777,South Cambridgeshire 003,1746
E02003778,South Cambridgeshire 004,1263
E02003780,South Cambridgeshire 006,2213
E02003781,South Cambridgeshire 007,1225
E02003784,South Cambridgeshire 010,1333
E02003785,South Cambridgeshire 011,1765
E02003786,South Cambridgeshire 012,1286
E02003787,South Cambridgeshire 013,1144
E02003788,South Cambridgeshire 014,1395
E02003789,South Cambridgeshire 015,1347
E02003790,South Cambridgeshire 016,1378
E02003791,South Cambridgeshire 017,1264
E02003792,South Cambridgeshire 018,1539
E02003793,South Cambridgeshire 019,943
E02004356,Eastbourne 001,1285
E02004357,Eastbourne 002,1351
E02004358,Eastbourne 003,1594
E02004359,Eastbourne 004,1520
E02004361,Eastbourne 006,1363
E02004362,Eastbourne 007,1543
E02004363,Eastbourne 008,1524
E02004364,Eastbourne 009,1773
E02004365,Eastbourne 010,1540
E02004366,Eastbourne 011,1793
E02004367,Eastbourne 012,1631
E02004368,Hastings 001,1348
E02004369,Hastings 002,1846
E02004370,Hastings 003,1337
E02004371,Hastings 004,1335
E02004372,Hastings 005,1264
E02004373,Hastings 006,1559
E02004374,Hastings 007,1543
E02004375,Hastings 008,1766
E02004376,Hastings 009,1443
E02004377,Hastings 010,2042
E02004378,Hastings 011,1898
E02004379,Lewes 001,1040
E02004380,Lewes 002,1550
E02004381,Lewes 003,2142
E02004382,Lewes 004,1148
E02004383,Lewes 005,1533
E02004384,Lewes 006,1374
E02004385,Lewes 007,1484
E02004386,Lewes 008,1348
E02004387,Lewes 009,1077
E02004388,Lewes 010,1593
E02004389,Lewes 011,1885
E02004390,Lewes 012,1542
E02004391,Lewes 013,1568
E02004392,Rother 001,1387
E02004393,Rother 002,1121
E02004394,Rother 003,1130
E02004395,Rother 004,1698
E02004396,Rother 005,1531
E02004397,Rother 006,1312
E02004398,Rother 007,1687
E02004399,Rother 008,1738
E02004400,Rother 009,2153
E02004401,Rother 010,1804
E02004402,Rother 011,2270
E02004403,Wealden 001,993
E02004404,Wealden 002,832
E02004405,Wealden 003,930
E02004406,Wealden 004,1062
E02004407,Wealden 005,1262
E02004408,Wealden 006,1287
E02004409,Wealden 007,582
E02004410,Wealden 008,989
E02004411,Wealden 009,1469
E02004412,Wealden 010,1403
E02004413,Wealden 011,1042
E02004414,Wealden 012,1082
E02004415,Wealden 013,837
E02004416,Wealden 014,911
E02004417,Wealden 015,1131
E02004418,Wealden 016,980
E02004419,Wealden 017,1203
E02004420,Wealden 018,2347
E02004421,Wealden 019,1864
E02004422,Wealden 020,1880
E02004423,Wealden 021,1495
E02004424,Basildon 001,1059
E02004425,Basildon 002,1436
E02004426,Basildon 003,1485
E02004427,Basildon 004,1463
E02004428,Basildon 005,1267
E02004429,Basildon 006,1166
E02004430,Basildon 007,1193
E02004431,Basildon 008,1746
E02004432,Basildon 009,873
E02004433,Basildon 010,1515
E02004434,Basildon 011,1413
E02004435,Basildon 012,1584
E02004436,Basildon 013,1419
E02004437,Basildon 014,1887
E02004438,Basildon 015,1618
E02004439,Basildon 016,1609
E02004440,Basildon 017,1667
E02004441,Basildon 018,1385
E02004442,Basildon 019,1356
E02004443,Basildon 020,1953
E02004444,Basildon 021,1459
E02004445,Basildon 022,1483
E02004446,Braintree 001,898
E02004447,Braintree 002,814
E02004448,Braintree 003,1156
E02004449,Braintree 004,1683
E02004450,Braintree 005,849
E02004451,Braintree 006,1401
E02004452,Braintree 007,1310
E02004453,Braintree 008,1260
E02004454,Braintree 009,2031
E02004455,Braintree 010,1014
E02004456,Braintree 011,1749
E02004457,Braintree 012,1516
E02004458,Braintree 013,1267
E02004459,Braintree 014,1800
E02004460,Braintree 015,1676
E02004461,Braintree 016,959
E02004462,Braintree 017,2347
E02004463,Braintree 018,1298
E02004464,Brentwood 001,1186
E02004465,Brentwood 002,1189
E02004466,Brentwood 003,1468
E02004467,Brentwood 004,1510
E02004468,Brentwood 005,1734
E02004469,Brentwood 006,1143
E02004470,Brentwood 007,3015
E02004471,Brentwood 008,1695
E02004472,Brentwood 009,1010
E02004473,Castle Point 001,1127
E02004474,Castle Point 002,1236
E02004475,Castle Point 003,939
E02004476,Castle Point 004,1114
E02004477,Castle Point 005,1037
E02004478,Castle Point 006,1206
E02004479,Castle Point 007,1317
E02004480,Castle Point 008,1061
E02004481,Castle Point 009,1447
E02004482,Castle Point 010,1226
E02004483,Castle Point 011,1346
E02004484,Castle Point 012,1580
E02004485,Chelmsford 001,1390
E02004486,Chelmsford 002,1567
E02004487,Chelmsford 003,1212
E02004488,Chelmsford 004,1924
E02004489,Chelmsford 005,1329
E02004490,Chelmsford 006,1393
E02004491,Chelmsford 007,1308
E02004492,Chelmsford 008,1882
E02004493,Chelmsford 009,1913
E02004495,Chelmsford 011,1468
E02004496,Chelmsford 012,1556
E02004497,Chelmsford 013,1364
E02004498,Chelmsford 014,1800
E02004499,Chelmsford 015,1188
E02004500,Chelmsford 016,1149
E02004501,Chelmsford 017,1081
E02004502,Chelmsford 018,998
E02004503,Chelmsford 019,1285
E02004504,Chelmsford 020,1233
E02004505,Chelmsford 021,1015
E02004506,Colchester 001,967
E02004507,Colchester 002,1877
E02004508,Colchester 003,901
E02004512,Colchester 007,2662
E02004513,Colchester 008,1702
E02004514,Colchester 009,959
E02004515,Colchester 010,1371
E02004516,Colchester 011,2746
E02004517,Colchester 012,1559
E02004518,Colchester 013,1598
E02004519,Colchester 014,1239
E02004520,Colchester 015,1527
E02004521,Colchester 016,1796
E02004522,Colchester 017,1672
E02004523,Colchester 018,1827
E02004524,Colchester 019,1033
E02004525,Colchester 020,1390
E02004526,Colchester 021,1350
E02004527,Epping Forest 001,1591
E02004528,Epping Forest 002,1120
E02004529,Epping Forest 003,806
E02004530,Epping Forest 004,1098
E02004531,Epping Forest 005,1264
E02004532,Epping Forest 006,1359
E02004533,Epping Forest 007,1238
E02004534,Epping Forest 008,1592
E02004535,Epping Forest 009,1194
E02004536,Epping Forest 010,1016
E02004537,Epping Forest 011,1908
E02004538,Epping Forest 012,1714
E02004539,Epping Forest 013,1536
E02004540,Epping Forest 014,1114
E02004541,Epping Forest 015,2396
E02004542,Epping Forest 016,959
E02004543,Epping Forest 017,1131
E02004544,Harlow 001,1926
E02004545,Harlow 002,1354
E02004546,Harlow 003,1539
E02004547,Harlow 004,1711
E02004548,Harlow 005,1359
E02004549,Harlow 006,1297
E02004550,Harlow 007,1471
E02004551,Harlow 008,1363
E02004552,Harlow 009,1169
E02004553,Harlow 010,1362
E02004554,Harlow 011,1240
E02004555,Maldon 001,846
E02004556,Maldon 002,876
E02004557,Maldon 003,1351
E02004558,Maldon 004,1462
E02004559,Maldon 005,1159
E02004560,Maldon 006,1201
E02004561,Maldon 007,1259
E02004562,Maldon 008,1630
E02004563,Rochford 001,1172
E02004564,Rochford 002,1126
E02004566,Rochford 004,931
E02004567,Rochford 005,1282
E02004568,Rochford 006,1469
E02004569,Rochford 007,1538
E02004570,Rochford 008,1457
E02004571,Rochford 009,1185
E02004572,Rochford 010,1211
E02004573,Tendring 001,1334
E02004574,Tendring 002,1496
E02004575,Tendring 003,2210
E02004576,Tendring 004,1565
E02004577,Tendring 005,749
E02004578,Tendring 006,1794
E02004579,Tendring 007,1376
E02004580,Tendring 008,2633
E02004581,Tendring 009,1300
E02004582,Tendring 010,1614
E02004583,Tendring 011,1833
E02004584,Tendring 012,1630
E02004585,Tendring 013,1728
E02004586,Tendring 014,1668
E02004587,Tendring 015,1538
E02004588,Tendring 016,1306
E02004589,Tendring 017,1491
E02004590,Tendring 018,1940
E02004591,Uttlesford 001,1165
E02004592,Uttlesford 002,2539
E02004593,Uttlesford 003,1172
E02004594,Uttlesford 004,1019
E02004595,Uttlesford 005,2194
E02004596,Uttlesford 006,1306
E02004597,Uttlesford 007,1432
E02004598,Uttlesford 008,1312
E02004599,Uttlesford 009,885
E02004675,Basingstoke and Deane 001,1212
E02004676,Basingstoke and Deane 002,1134
E02004677,Basingstoke and Deane 003,807
E02004678,Basingstoke and Deane 004,1063
E02004679,Basingstoke and Deane 005,1539
