Middle layer Super Output Areas Code,Middle layer Super Output Areas,Does not apply,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,outside the UK,Works mainly from home,Total,% work from home
E02000422,Haringey 026,3896,229,362,677,296,54,12,14,22,727,1172,7461,15.70835009
E02000423,Haringey 027,2979,244,387,807,224,43,9,10,25,572,1605,6905,23.24402607
E02000424,Haringey 028,2909,209,327,501,143,36,5,11,11,351,2252,6755,33.33826795
E02000425,Haringey 029,5053,944,210,451,203,24,6,18,16,591,652,8168,7.982370225
E02000426,Haringey 030,3194,141,255,470,117,26,11,3,17,230,2029,6493,31.24903742
E02000427,Haringey 031,2606,150,369,744,187,36,10,8,19,520,1975,6624,29.81582126
E02000428,Haringey 032,4165,337,523,857,322,43,22,16,24,698,1429,8436,16.93930773
E02000429,Haringey 033,2977,149,227,464,102,24,12,8,18,271,2543,6795,37.42457689
E02000430,Haringey 034,2641,241,318,601,123,32,11,8,17,348,2582,6922,37.30135799
E02000431,Haringey 035,2194,137,180,475,98,18,8,4,21,288,2424,5847,41.45715752
E02000432,Haringey 036,2373,152,336,574,131,28,9,13,21,346,2138,6121,34.92893318
E02000433,Harrow 001,4707,164,311,384,502,125,35,33,16,498,1824,8599,21.21176881
E02000434,Harrow 002,4945,274,420,478,638,113,55,21,37,753,2113,9847,21.45831218
E02000435,Harrow 003,4604,153,388,445,489,114,45,29,24,634,1267,8192,15.46630859
E02000436,Harrow 004,2971,67,268,281,264,115,18,21,12,277,1464,5758,25.42549496
E02000437,Harrow 005,4781,243,481,449,531,112,28,11,41,767,1320,8764,15.0616157
E02000438,Harrow 006,4791,180,475,391,429,162,23,19,44,580,1451,8545,16.98069046
E02000439,Harrow 007,4793,345,412,485,619,122,32,34,42,1183,1198,9265,12.93038316
E02000440,Harrow 008,4809,278,501,515,591,130,36,28,48,800,1867,9603,19.44184109
E02000441,Harrow 009,4069,162,299,375,337,183,31,18,23,415,1565,7477,20.93085462
E02000442,Harrow 010,4776,368,506,597,646,126,37,37,62,1415,1015,9585,10.5894627
E02000443,Harrow 011,5926,471,514,548,675,128,26,23,29,1029,1379,10748,12.83029401
E02000444,Harrow 012,4554,267,489,491,506,108,31,29,50,921,1273,8719,14.6002982
E02000445,Harrow 013,6404,475,570,606,848,124,22,27,64,1234,1397,11771,11.86815054
E02000447,Harrow 015,4134,291,439,406,467,107,21,18,43,535,1728,8189,21.10147759
E02000448,Harrow 016,3834,152,278,252,276,143,27,21,16,265,1807,7071,25.55508415
E02000449,Harrow 017,4210,279,545,500,572,93,26,25,48,1045,954,8297,11.49813185
E02000451,Harrow 019,3423,155,303,283,318,149,41,14,34,420,1573,6713,23.43214658
E02000452,Harrow 020,4767,483,351,499,696,139,34,20,37,841,1634,9501,17.19818966
E02000453,Harrow 021,4117,343,379,457,519,107,18,17,38,659,1732,8386,20.65347007
E02000454,Harrow 022,3779,169,303,365,340,137,28,9,28,332,1850,7340,25.20435967
E02000455,Harrow 023,5584,711,398,522,867,127,20,15,52,832,2540,11668,21.76894069
E02000456,Harrow 024,3855,329,341,416,513,117,20,22,39,695,1476,7823,18.86744216
E02000457,Harrow 025,3635,187,345,400,392,121,16,19,28,437,1479,7059,20.9519762
E02000459,Harrow 027,4914,342,529,587,647,89,33,19,49,751,1367,9327,14.65637397
E02000460,Harrow 028,3956,221,480,455,426,113,22,8,36,541,1055,7313,14.42636401
E02000461,Harrow 029,3859,361,294,366,501,62,11,15,16,461,1344,7290,18.43621399
E02000462,Harrow 030,3674,227,409,536,519,81,18,21,37,589,871,6982,12.47493555
E02000463,Harrow 031,4785,296,527,571,563,120,30,30,41,696,1048,8707,12.03629264
E02000464,Havering 001,4227,262,281,436,438,352,63,29,27,796,845,7756,10.89479113
E02000465,Havering 002,4934,323,374,461,525,416,113,41,40,937,1182,9346,12.64712176
E02000466,Havering 003,5030,188,611,438,474,270,56,27,21,917,1037,9069,11.43455728
E02000467,Havering 004,6683,477,606,475,546,390,87,35,32,1084,1043,11458,9.102810264
E02000468,Havering 005,4695,188,537,466,509,252,43,17,20,899,1024,8650,11.83815029
E02000469,Havering 006,4048,257,388,293,405,289,56,33,29,717,770,7285,10.56966369
E02000470,Havering 007,4776,262,418,326,469,513,82,37,29,772,2099,9783,21.45558622
E02000471,Havering 008,4132,252,405,350,366,253,45,19,19,720,1261,7822,16.12119662
E02000472,Havering 009,4932,327,585,421,580,307,53,23,34,866,1344,9472,14.18918919
E02000473,Havering 010,5239,318,613,362,538,446,73,33,23,824,2024,10493,19.28904984
E02000474,Havering 011,4842,393,488,408,556,237,53,18,35,881,1273,9184,13.86106272
E02000475,Havering 012,4920,270,436,295,434,423,60,26,33,732,1983,9612,20.63046192
E02000476,Havering 013,4617,568,366,343,557,396,48,21,32,809,1605,9362,17.1437727
E02000477,Havering 014,4729,409,425,313,413,359,54,25,32,761,2015,9535,21.13266911
E02000478,Havering 015,3251,117,280,250,282,204,45,18,15,377,1150,5989,19.2018701
E02000479,Havering 016,4643,555,386,339,527,397,54,19,35,921,1571,9447,16.62961787
E02000480,Havering 017,7199,1042,612,559,788,439,67,35,51,1244,1806,13842,13.04724751
E02000481,Havering 018,4401,182,243,496,336,355,75,15,22,634,1475,8234,17.91352927
E02000482,Havering 019,3567,183,155,260,194,277,40,15,14,342,1541,6588,23.39101396
E02000483,Havering 020,4139,248,461,308,361,340,48,21,21,675,1380,8002,17.24568858
E02000484,Havering 021,4199,444,461,340,410,285,50,26,30,733,1512,8490,17.80918728
E02000485,Havering 022,4211,247,366,352,329,360,61,18,27,683,1822,8476,21.49598867
E02000486,Havering 023,3768,223,388,292,381,313,49,19,11,667,1244,7355,16.91366417
E02000487,Havering 024,4282,175,207,376,241,285,28,16,19,479,1805,7913,22.81056489
E02000488,Havering 025,3824,191,442,344,343,312,36,9,18,641,1423,7583,18.76566003
E02000489,Havering 026,4510,191,593,350,510,309,37,19,35,771,1309,8634,15.16099143
E02000490,Havering 027,4469,158,520,484,508,249,49,15,32,839,1145,8468,13.52149268
E02000491,Havering 028,5750,251,486,831,654,294,69,19,36,1018,1230,10638,11.56232375
E02000492,Havering 029,3626,138,260,511,358,243,44,13,26,680,932,6831,13.64368321
E02000493,Havering 030,3628,187,208,551,410,249,36,12,23,629,804,6737,11.93409529
E02000494,Hillingdon 001,4262,156,231,323,376,268,50,27,27,301,1937,7958,24.3402865
E02000495,Hillingdon 002,5340,366,344,583,543,340,38,15,36,789,2022,10416,19.4124424
E02000496,Hillingdon 003,3941,329,314,576,536,146,48,31,29,652,1198,7800,15.35897436
E02000497,Hillingdon 004,4924,246,367,535,465,251,44,17,35,606,2030,9520,21.32352941
E02000498,Hillingdon 005,3392,179,298,346,325,150,20,11,16,455,1184,6376,18.56963614
E02000499,Hillingdon 006,4012,205,302,430,396,132,27,12,26,479,1706,7727,22.0784263
E02000500,Hillingdon 007,4209,249,275,475,421,206,20,14,23,480,1906,8278,23.02488524
E02000501,Hillingdon 008,4160,295,341,573,494,170,19,9,18,601,1795,8475,21.179941
E02000502,Hillingdon 009,4328,269,423,507,560,268,37,25,34,656,1821,8928,20.39650538
E02000503,Hillingdon 010,4068,380,330,634,583,216,25,13,20,645,1770,8684,20.3823123
E02000504,Hillingdon 011,3872,185,348,419,351,200,43,11,27,482,1705,7643,22.30799424
E02000506,Hillingdon 013,4070,200,317,456,359,223,44,26,24,511,1732,7962,21.75332831
E02000507,Hillingdon 014,4226,214,625,591,383,209,30,19,23,659,1260,8239,15.2931181
E02000508,Hillingdon 015,6399,531,408,657,625,346,67,32,44,710,2130,11949,17.82575948
E02000509,Hillingdon 016,6255,519,310,524,526,269,47,28,42,667,1368,10555,12.96068214
E02000510,Hillingdon 017,4731,547,503,628,448,183,47,23,29,652,1323,9114,14.51612903
E02000511,Hillingdon 018,5236,288,856,775,484,179,35,23,42,885,1129,9932,11.36729762
E02000512,Hillingdon 019,4913,340,608,588,387,174,33,11,40,741,988,8823,11.19800521
E02000513,Hillingdon 020,5780,259,650,810,461,137,25,28,35,862,715,9762,7.324318787
E02000514,Hillingdon 021,6110,367,744,904,498,153,51,24,56,873,896,10676,8.392656426
E02000515,Hillingdon 022,6927,642,794,720,755,355,48,35,60,1093,1864,13293,14.02241781
E02000516,Hillingdon 023,4817,281,518,796,397,97,30,13,41,792,864,8646,9.993060375
E02000517,Hillingdon 024,5971,375,724,800,544,167,24,20,30,846,968,10469,9.246346356
E02000518,Hillingdon 025,5406,488,646,583,462,200,36,16,31,778,984,9630,10.21806854
E02000519,Hillingdon 026,5657,417,557,755,435,115,41,27,53,727,771,9555,8.069073783
E02000520,Hillingdon 027,7919,610,847,1140,697,209,71,19,63,1115,1371,14061,9.750373373
E02000521,Hillingdon 028,7084,477,1011,671,697,267,64,31,64,1063,1761,13190,13.3510235
E02000522,Hillingdon 029,5140,316,734,487,513,208,34,26,35,793,1290,9576,13.47117794
E02000523,Hillingdon 030,5971,483,954,827,586,173,47,22,44,920,1340,11367,11.7885106
E02000524,Hillingdon 031,3768,398,731,483,446,148,35,31,44,662,791,7537,10.49489187
E02000525,Hillingdon 032,5496,435,1022,719,520,159,57,14,43,800,798,10063,7.930040743
E02000526,Hounslow 001,3945,248,348,556,263,50,14,12,30,373,2799,8638,32.40333411
E02000529,Hounslow 004,5513,387,682,731,450,88,33,26,55,680,1072,9717,11.03221159
E02000530,Hounslow 005,4871,279,638,558,319,72,35,17,28,676,624,8117,7.687569299
E02000531,Hounslow 006,5495,447,668,679,619,61,22,14,35,889,2654,11583,22.91288958
E02000532,Hounslow 007,4539,288,320,455,298,33,18,9,21,510,2485,8976,27.68493761
E02000533,Hounslow 008,4053,244,320,424,348,26,13,11,36,435,2494,8404,29.6763446
E02000534,Hounslow 009,4144,366,495,532,460,46,31,12,26,623,1821,8556,21.28330996
E02000535,Hounslow 010,5551,368,818,675,497,128,46,22,44,764,1140,10053,11.33989854
E02000536,Hounslow 011,5926,396,766,776,568,96,42,29,50,816,1378,10843,12.70865996
E02000537,Hounslow 012,4838,353,625,737,635,80,25,31,42,892,1588,9846,16.12837701
E02000538,Hounslow 013,5394,497,962,928,523,123,49,18,69,724,823,10110,8.140454995
E02000539,Hounslow 014,5961,627,662,795,591,63,25,10,37,883,2571,12225,21.03067485
E02000540,Hounslow 015,6148,485,782,929,803,85,40,21,37,887,1907,12124,15.7291323
E02000541,Hounslow 016,5831,469,884,917,588,123,35,31,66,809,861,10614,8.111927643
E02000542,Hounslow 017,6747,539,880,996,727,134,39,21,59,863,1298,12303,10.55027229
E02000543,Hounslow 018,7113,546,943,1022,945,109,30,36,66,1167,2025,14002,14.46221968
E02000544,Hounslow 019,4251,405,550,568,466,76,25,12,31,796,1377,8557,16.09208835
E02000545,Hounslow 020,4964,477,467,515,405,52,24,18,28,635,1650,9235,17.86681104
E02000546,Hounslow 021,5610,426,719,764,518,98,47,12,55,946,1233,10428,11.82393556
E02000547,Hounslow 022,5916,445,878,891,594,208,40,18,35,882,1087,10994,9.887211206
E02000548,Hounslow 023,5653,409,954,877,493,204,45,18,66,951,904,10574,8.549271799
E02000549,Hounslow 024,6397,531,1020,1022,655,210,44,30,59,1170,1397,12535,11.14479458
E02000550,Hounslow 025,5507,487,744,901,510,225,49,16,40,847,1386,10712,12.93876027
E02000551,Hounslow 026,5429,435,726,755,497,118,37,18,40,870,826,9751,8.470926059
E02000552,Hounslow 027,4661,339,668,842,473,190,34,12,44,827,1168,9258,12.61611579
E02000553,Hounslow 028,3821,260,524,546,322,107,26,9,24,663,812,7114,11.41411302
E02000554,Islington 001,4822,404,494,724,181,46,6,11,24,492,2148,9352,22.96834902
E02000555,Islington 002,4654,363,502,682,167,34,12,12,18,479,2651,9574,27.68957593
E02000556,Islington 003,4920,398,638,911,230,89,25,19,33,564,3566,11393,31.299921
E02000557,Islington 004,4019,398,588,630,161,43,12,10,21,460,2439,8781,27.77587974
E02000558,Islington 005,5387,346,635,655,204,39,17,9,18,524,1599,9433,16.95112902
E02000559,Islington 006,3980,250,603,630,156,32,8,8,17,388,3507,9579,36.6113373
E02000560,Islington 007,3014,259,561,543,124,30,6,5,22,404,2388,7356,32.46329527
E02000561,Islington 008,3238,212,473,408,95,23,6,10,24,342,2555,7386,34.59247224
E02000562,Islington 009,3540,224,594,407,117,15,7,7,13,369,2573,7866,32.71039919
E02000563,Islington 010,4472,401,684,443,132,29,11,7,31,491,1980,8681,22.80843221
E02000564,Islington 011,5053,484,1145,637,243,43,14,12,36,559,4197,12423,33.78411012
E02000565,Islington 012,4117,254,679,414,163,24,13,10,20,469,2379,8542,27.85062046
E02000566,Islington 013,3562,225,686,314,113,22,4,9,24,310,3287,8556,38.41748481
E02000567,Islington 014,4490,314,853,472,151,28,6,4,21,492,3608,10439,34.56269758
E02000568,Islington 015,6116,522,910,409,180,41,8,13,38,611,2492,11340,21.97530864
