Middle layer Super Output Areas Code,Middle layer Super Output Areas,Does not apply,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,outside the UK,Works mainly from home,Total,% work from home
E02003330,Medway 017,3388,467,450,202,309,137,80,154,38,603,954,6782,14.06664701
E02003331,Medway 018,4841,429,679,328,432,140,96,112,47,908,844,8856,9.530261969
E02003332,Medway 019,3383,417,434,151,239,86,72,117,41,524,820,6284,13.04901337
E02003333,Medway 020,3919,384,543,187,263,145,87,132,35,615,495,6805,7.274063189
E02003334,Medway 021,3316,393,421,190,317,112,84,133,32,542,676,6216,10.87516088
E02003335,Medway 022,4367,486,542,159,289,140,77,145,40,656,530,7431,7.132283676
E02003336,Medway 023,3374,237,353,334,278,107,73,104,26,559,909,6354,14.30594901
E02003337,Medway 024,4134,325,488,261,317,142,91,134,51,641,834,7418,11.24292262
E02003338,Medway 025,3843,199,325,651,311,107,85,147,32,659,943,7302,12.91427006
E02003339,Medway 026,3389,336,481,213,236,119,60,137,27,565,879,6442,13.6448308
E02003340,Medway 027,4522,359,717,220,267,158,73,147,46,815,764,8088,9.446092977
E02003341,Medway 028,3237,82,215,554,388,214,90,135,34,660,993,6602,15.0408967
E02003342,Medway 029,3490,270,265,395,241,78,62,119,29,568,906,6423,14.10555815
E02003343,Medway 030,3191,250,343,235,219,100,81,103,28,467,956,5973,16.00535744
E02003344,Medway 031,3600,202,613,362,219,136,83,122,32,731,702,6802,10.32049397
E02003345,Medway 032,3056,179,254,540,278,109,84,79,31,622,1021,6253,16.32816248
E02003346,Medway 033,3691,277,480,371,264,122,82,121,39,694,949,7090,13.38504937
E02003347,Medway 034,2687,204,560,414,218,186,102,117,37,694,877,6096,14.38648294
E02003348,Medway 035,4258,260,444,474,263,161,93,127,33,604,1378,8095,17.02285361
E02003349,Medway 036,3897,281,323,530,276,129,110,126,27,701,987,7387,13.36131041
E02003350,Medway 037,3402,253,386,423,212,125,76,118,35,636,789,6455,12.22308288
E02003351,Medway 038,3997,277,437,689,310,172,108,128,35,815,948,7916,11.97574533
E02003352,Bracknell Forest 001,2994,105,221,249,278,87,35,37,20,325,1423,5774,24.64496017
E02003353,Bracknell Forest 002,5349,304,585,442,753,302,87,102,46,785,3338,12093,27.60274539
E02003354,Bracknell Forest 003,4501,422,408,436,707,217,68,61,48,678,2723,10269,26.51670075
E02003355,Bracknell Forest 004,3324,560,268,377,416,152,39,32,27,644,1116,6955,16.04601006
E02003356,Bracknell Forest 005,3546,165,316,245,475,117,63,57,24,442,1714,7164,23.92518146
E02003357,Bracknell Forest 006,4739,614,541,485,680,216,70,60,39,882,1866,10192,18.30847724
E02003358,Bracknell Forest 007,5314,1006,419,583,736,253,86,74,46,921,2434,11872,20.50202156
E02003359,Bracknell Forest 008,2543,190,460,328,484,200,53,33,19,637,1377,6324,21.77419355
E02003360,Bracknell Forest 009,5565,504,810,486,631,300,73,81,57,905,2211,11623,19.02262755
E02003361,Bracknell Forest 010,3414,375,457,389,451,195,44,38,30,682,1364,7439,18.33579782
E02003362,Bracknell Forest 011,3289,250,519,347,330,167,50,51,28,559,1131,6721,16.827853
E02003363,Bracknell Forest 012,3905,320,192,368,257,136,49,63,22,362,1426,7100,20.08450704
E02003364,Bracknell Forest 013,3215,301,432,457,385,198,50,45,29,509,1395,7016,19.88312429
E02003365,Bracknell Forest 014,3332,244,325,454,268,192,65,58,37,502,1462,6939,21.06931835
E02003366,Bracknell Forest 015,3180,460,393,423,296,172,44,55,47,528,1532,7130,21.48667602
E02003367,West Berkshire 001,3272,156,82,223,529,180,77,50,65,393,1505,6532,23.04041641
E02003368,West Berkshire 002,2795,220,198,123,402,158,99,37,61,512,1089,5694,19.12539515
E02003369,West Berkshire 003,3332,126,124,245,309,99,33,48,53,315,1718,6402,26.83536395
E02003370,West Berkshire 004,3420,136,304,436,257,122,43,49,52,413,1502,6734,22.3047223
E02003371,West Berkshire 005,2907,246,317,403,232,96,47,43,36,454,1168,5949,19.63355186
E02003372,West Berkshire 006,3964,346,415,537,313,106,48,57,50,592,1422,7850,18.11464968
E02003373,West Berkshire 007,4415,255,325,398,422,148,105,64,71,475,1977,8655,22.84228769
E02003374,West Berkshire 008,2691,213,498,332,256,89,44,34,20,510,1175,5862,20.04435346
E02003375,West Berkshire 009,2870,231,187,438,405,81,45,62,41,475,1356,6191,21.90276207
E02003376,West Berkshire 010,3011,404,98,78,480,138,104,60,36,451,1006,5866,17.1496761
E02003377,West Berkshire 011,5499,339,329,574,476,156,69,106,86,610,2168,10412,20.82212831
E02003378,West Berkshire 012,4108,651,345,221,229,163,71,46,47,548,1576,8005,19.68769519
E02003379,West Berkshire 013,3219,749,486,185,208,160,64,49,44,547,1267,6978,18.15706506
E02003380,West Berkshire 014,3604,392,978,211,357,247,74,83,50,705,1446,8147,17.74886461
E02003381,West Berkshire 015,3028,142,187,465,312,148,37,42,33,342,1381,6117,22.57642635
E02003382,West Berkshire 016,3761,429,693,316,262,157,65,48,41,600,1172,7544,15.53552492
E02003383,West Berkshire 017,3172,370,426,445,261,162,40,68,43,449,1483,6919,21.4337332
E02003384,West Berkshire 018,3292,83,154,387,260,151,93,40,84,439,1496,6479,23.08998302
E02003385,West Berkshire 019,4644,1093,571,358,363,303,118,91,93,688,2859,11181,25.57016367
E02003386,West Berkshire 020,4062,818,351,265,237,208,62,61,53,500,1698,8315,20.42092604
E02003387,West Berkshire 021,5004,450,556,242,255,242,69,88,62,478,2142,9588,22.34042553
E02003388,West Berkshire 022,3074,78,152,326,463,95,55,42,43,330,1381,6039,22.86802451
E02003389,Reading 001,4068,212,592,374,180,93,44,67,33,522,1812,7997,22.65849694
E02003390,Reading 002,4021,185,373,231,124,73,40,66,38,299,2301,7751,29.68649207
E02003391,Reading 003,4395,439,448,237,119,108,53,72,29,368,2320,8588,27.01443875
E02003392,Reading 004,3932,656,409,291,175,144,69,84,54,495,2394,8703,27.50775595
E02003393,Reading 005,3962,330,566,477,241,112,48,58,40,597,1728,8159,21.17906606
E02003394,Reading 006,4490,415,880,323,279,161,53,58,52,705,1243,8659,14.35500635
E02003395,Reading 007,4765,1064,1015,400,452,252,92,102,95,849,2189,11275,19.41463415
E02003396,Reading 008,4416,650,1088,322,343,204,79,71,57,759,1849,9838,18.79447042
E02003397,Reading 009,4402,402,674,402,232,114,41,54,45,643,1212,8221,14.74273203
E02003398,Reading 010,5556,1243,808,354,249,233,56,108,98,684,2142,11531,18.57601249
E02003400,Reading 012,4883,773,530,210,151,136,42,88,97,360,1698,8968,18.93398751
E02003401,Reading 013,4362,707,708,236,267,165,62,76,56,583,1951,9173,21.26894146
E02003402,Reading 014,4693,1483,678,291,258,203,71,103,94,552,2282,10708,21.31116922
E02003403,Reading 015,4880,407,1077,252,339,124,52,66,64,649,1469,9379,15.6626506
E02003404,Reading 016,5422,534,613,212,168,121,65,79,99,422,906,8641,10.48489758
E02003405,Reading 017,6562,1033,1224,418,354,242,72,108,88,907,2063,13071,15.78303114
E02003406,Reading 018,4273,520,823,359,225,185,61,61,51,684,1002,8244,12.15429403
E02003407,Slough 001,5977,595,707,565,563,209,102,48,27,910,1205,10908,11.04693803
E02003408,Slough 002,6184,834,789,527,570,198,97,44,48,982,1019,11292,9.02408785
E02003409,Slough 003,5198,603,588,582,539,240,144,39,47,755,1710,10445,16.3714696
E02003410,Slough 004,7160,839,817,517,512,195,71,53,47,998,1034,12243,8.445642408
E02003411,Slough 005,7120,957,893,531,543,197,79,36,54,1058,1037,12505,8.292682927
E02003412,Slough 006,5316,669,637,464,543,214,95,53,25,799,1593,10408,15.3055342
E02003414,Slough 008,7183,807,930,566,765,291,132,46,51,1080,1903,13754,13.83597499
E02003415,Slough 009,7567,999,867,540,561,293,140,54,63,1113,1311,13508,9.705359787
E02003416,Slough 010,5029,324,576,626,457,209,92,51,47,655,1746,9812,17.7945373
E02003417,Slough 011,6566,591,990,526,565,279,136,45,61,878,2169,12806,16.93737311
E02003418,Slough 012,5492,424,701,646,421,212,75,38,50,742,1518,10319,14.71072778
E02003419,Slough 013,4782,328,649,728,373,180,63,32,36,607,1204,8982,13.40458695
E02003420,Slough 014,3083,282,405,715,348,129,38,24,31,562,799,6416,12.4532419
E02003421,Windsor and Maidenhead 001,2996,208,228,189,248,93,30,45,10,321,1306,5674,23.01727177
E02003422,Windsor and Maidenhead 002,6105,201,434,422,454,191,87,103,36,649,3164,11846,26.70943778
E02003423,Windsor and Maidenhead 003,3384,421,390,259,325,91,52,50,16,459,1138,6585,17.28170084
E02003424,Windsor and Maidenhead 004,4480,286,284,330,310,134,103,96,33,451,2803,9310,30.10741139
E02003425,Windsor and Maidenhead 005,6134,910,400,544,553,174,113,141,37,721,3339,13066,25.55487525
E02003426,Windsor and Maidenhead 006,4782,451,269,285,474,134,64,75,36,483,2748,9801,28.03795531
E02003427,Windsor and Maidenhead 007,3979,700,275,347,373,117,46,75,27,581,1665,8185,20.34208919
E02003428,Windsor and Maidenhead 008,4718,310,464,378,501,137,56,73,35,579,1909,9160,20.84061135
E02003429,Windsor and Maidenhead 009,3984,112,318,386,348,104,68,54,26,442,1901,7743,24.55120754
E02003430,Windsor and Maidenhead 010,3871,557,306,256,286,116,73,25,30,447,1557,7524,20.6937799
E02003431,Windsor and Maidenhead 011,3436,107,396,418,365,173,88,25,22,466,1508,7004,21.53055397
E02003432,Windsor and Maidenhead 012,3176,501,174,281,257,116,88,18,26,414,2044,7095,28.80902044
E02003433,Windsor and Maidenhead 013,3330,201,488,385,295,112,86,20,29,419,1106,6471,17.09163962
E02003434,Windsor and Maidenhead 014,4756,542,358,456,385,133,67,20,39,678,1755,9189,19.09892262
