Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02000141,Bromley 015,Works mainly from home,1903
E02000142,Bromley 016,Works mainly from home,2263
E02000144,Bromley 018,Works mainly from home,2839
E02000145,Bromley 019,Works mainly from home,1160
E02000146,Bromley 020,Works mainly from home,2508
E02000147,Bromley 021,Works mainly from home,2025
E02000148,Bromley 022,Works mainly from home,1670
E02000149,Bromley 023,Works mainly from home,1427
E02000150,Bromley 024,Works mainly from home,2029
E02000151,Bromley 025,Works mainly from home,1985
E02000152,Bromley 026,Works mainly from home,1471
E02000153,Bromley 027,Works mainly from home,1871
E02000154,Bromley 028,Works mainly from home,2018
E02000155,Bromley 029,Works mainly from home,1165
E02000156,Bromley 030,Works mainly from home,2817
E02000157,Bromley 031,Works mainly from home,2025
E02000158,Bromley 032,Works mainly from home,1381
E02000159,Bromley 033,Works mainly from home,1542
E02000160,Bromley 034,Works mainly from home,1717
E02000161,Bromley 035,Works mainly from home,2054
E02000162,Bromley 036,Works mainly from home,1305
E02000163,Bromley 037,Works mainly from home,1828
E02000165,Bromley 039,Works mainly from home,1138
E02000166,Camden 001,Works mainly from home,2191
E02000167,Camden 002,Works mainly from home,2680
E02000168,Camden 003,Works mainly from home,2637
E02000169,Camden 004,Works mainly from home,2472
E02000170,Camden 005,Works mainly from home,2737
E02000171,Camden 006,Works mainly from home,2416
E02000172,Camden 007,Works mainly from home,1928
E02000173,Camden 008,Works mainly from home,2633
E02000174,Camden 009,Works mainly from home,2245
E02000175,Camden 010,Works mainly from home,3419
E02000176,Camden 011,Works mainly from home,2410
E02000177,Camden 012,Works mainly from home,2079
E02000178,Camden 013,Works mainly from home,2531
E02000179,Camden 014,Works mainly from home,1724
E02000180,Camden 015,Works mainly from home,2187
E02000181,Camden 016,Works mainly from home,3288
E02000182,Camden 017,Works mainly from home,2117
E02000183,Camden 018,Works mainly from home,2398
E02000184,Camden 019,Works mainly from home,1942
E02000185,Camden 020,Works mainly from home,1729
E02000186,Camden 021,Works mainly from home,1772
E02000187,Camden 022,Works mainly from home,1412
E02000188,Camden 023,Works mainly from home,949
E02000191,Camden 026,Works mainly from home,1162
E02000192,Camden 027,Works mainly from home,1608
E02000193,Camden 028,Works mainly from home,1540
E02000194,Croydon 001,Works mainly from home,2515
E02000195,Croydon 002,Works mainly from home,1865
E02000196,Croydon 003,Works mainly from home,1195
E02000197,Croydon 004,Works mainly from home,1433
E02000198,Croydon 005,Works mainly from home,1220
E02000199,Croydon 006,Works mainly from home,1450
E02000200,Croydon 007,Works mainly from home,1998
E02000201,Croydon 008,Works mainly from home,1459
E02000202,Croydon 009,Works mainly from home,1186
E02000203,Croydon 010,Works mainly from home,1003
E02000204,Croydon 011,Works mainly from home,1106
E02000206,Croydon 013,Works mainly from home,1576
E02000207,Croydon 014,Works mainly from home,1565
E02000208,Croydon 015,Works mainly from home,1175
E02000209,Croydon 016,Works mainly from home,989
E02000210,Croydon 017,Works mainly from home,1800
E02000211,Croydon 018,Works mainly from home,1574
E02000212,Croydon 019,Works mainly from home,883
E02000213,Croydon 020,Works mainly from home,1945
E02000214,Croydon 021,Works mainly from home,1389
E02000215,Croydon 022,Works mainly from home,2591
E02000216,Croydon 023,Works mainly from home,1770
E02000217,Croydon 024,Works mainly from home,2120
E02000218,Croydon 025,Works mainly from home,907
E02000219,Croydon 026,Works mainly from home,1556
E02000221,Croydon 028,Works mainly from home,1582
E02000222,Croydon 029,Works mainly from home,2185
E02000223,Croydon 030,Works mainly from home,506
E02000224,Croydon 031,Works mainly from home,1859
E02000225,Croydon 032,Works mainly from home,690
E02000226,Croydon 033,Works mainly from home,1535
E02000227,Croydon 034,Works mainly from home,1850
E02000228,Croydon 035,Works mainly from home,2012
E02000229,Croydon 036,Works mainly from home,531
E02000230,Croydon 037,Works mainly from home,2585
E02000231,Croydon 038,Works mainly from home,1998
E02000232,Croydon 039,Works mainly from home,1143
E02000233,Croydon 040,Works mainly from home,1469
E02000234,Croydon 041,Works mainly from home,2163
E02000235,Croydon 042,Works mainly from home,1715
E02000236,Croydon 043,Works mainly from home,2203
E02000237,Croydon 044,Works mainly from home,1391
E02000238,Ealing 001,Works mainly from home,1427
E02000239,Ealing 002,Works mainly from home,1268
E02000240,Ealing 003,Works mainly from home,1073
E02000241,Ealing 004,Works mainly from home,895
E02000242,Ealing 005,Works mainly from home,805
E02000243,Ealing 006,Works mainly from home,1073
E02000244,Ealing 007,Works mainly from home,1132
E02000245,Ealing 008,Works mainly from home,802
E02000246,Ealing 009,Works mainly from home,843
E02000247,Ealing 010,Works mainly from home,1121
E02000248,Ealing 011,Works mainly from home,1323
E02000249,Ealing 012,Works mainly from home,936
E02000250,Ealing 013,Works mainly from home,1791
E02000251,Ealing 014,Works mainly from home,881
E02000252,Ealing 015,Works mainly from home,1843
E02000253,Ealing 016,Works mainly from home,1283
E02000254,Ealing 017,Works mainly from home,783
E02000255,Ealing 018,Works mainly from home,2152
E02000256,Ealing 019,Works mainly from home,2773
E02000258,Ealing 021,Works mainly from home,1450
E02000259,Ealing 022,Works mainly from home,1348
E02000260,Ealing 023,Works mainly from home,661
E02000261,Ealing 024,Works mainly from home,2488
E02000262,Ealing 025,Works mainly from home,2093
E02000263,Ealing 026,Works mainly from home,824
E02000264,Ealing 027,Works mainly from home,2365
E02000265,Ealing 028,Works mainly from home,2531
E02000266,Ealing 029,Works mainly from home,1360
E02000267,Ealing 030,Works mainly from home,1726
E02000268,Ealing 031,Works mainly from home,2588
E02000269,Ealing 032,Works mainly from home,2460
E02000270,Ealing 033,Works mainly from home,2310
E02000271,Ealing 034,Works mainly from home,2400
E02000272,Ealing 035,Works mainly from home,1757
E02000275,Ealing 038,Works mainly from home,721
E02000276,Ealing 039,Works mainly from home,1875
E02000277,Enfield 001,Works mainly from home,714
E02000278,Enfield 002,Works mainly from home,693
E02000279,Enfield 003,Works mainly from home,1286
E02000280,Enfield 004,Works mainly from home,1437
E02000281,Enfield 005,Works mainly from home,1157
E02000282,Enfield 006,Works mainly from home,630
E02000283,Enfield 007,Works mainly from home,695
E02000284,Enfield 008,Works mainly from home,1778
E02000285,Enfield 009,Works mainly from home,1208
E02000286,Enfield 010,Works mainly from home,1872
E02000287,Enfield 011,Works mainly from home,1656
E02000288,Enfield 012,Works mainly from home,1047
E02000289,Enfield 013,Works mainly from home,1417
E02000290,Enfield 014,Works mainly from home,500
E02000291,Enfield 015,Works mainly from home,1634
E02000292,Enfield 016,Works mainly from home,1475
E02000293,Enfield 017,Works mainly from home,1391
E02000294,Enfield 018,Works mainly from home,730
E02000295,Enfield 019,Works mainly from home,1704
E02000296,Enfield 020,Works mainly from home,1781
E02000297,Enfield 021,Works mainly from home,1723
E02000298,Enfield 022,Works mainly from home,2182
E02000299,Enfield 023,Works mainly from home,698
E02000300,Enfield 024,Works mainly from home,785
E02000301,Enfield 025,Works mainly from home,703
E02000302,Enfield 026,Works mainly from home,1359
E02000303,Enfield 027,Works mainly from home,610
E02000304,Enfield 028,Works mainly from home,1909
E02000305,Enfield 029,Works mainly from home,2002
E02000306,Enfield 030,Works mainly from home,611
E02000307,Enfield 031,Works mainly from home,1055
E02000308,Enfield 032,Works mainly from home,1572
E02000309,Enfield 033,Works mainly from home,847
E02000311,Enfield 035,Works mainly from home,1250
E02000312,Enfield 036,Works mainly from home,2258
E02000313,Greenwich 001,Works mainly from home,504
E02000314,Greenwich 002,Works mainly from home,1646
