Middle layer Super Output Areas Code,Middle layer Super Output Areas,Warehouse
E02000204,Croydon 011,16
E02000206,Croydon 013,41
E02000207,Croydon 014,20
E02000208,Croydon 015,70
E02000209,Croydon 016,7
E02000210,Croydon 017,11
E02000211,Croydon 018,18
E02000212,Croydon 019,9
E02000213,Croydon 020,138
E02000214,Croydon 021,7
E02000215,Croydon 022,68
E02000216,Croydon 023,4
E02000217,Croydon 024,56
E02000218,Croydon 025,1
E02000219,Croydon 026,8
E02000221,Croydon 028,12
E02000222,Croydon 029,34
E02000223,Croydon 030,0
E02000224,Croydon 031,16
E02000225,Croydon 032,1
E02000226,Croydon 033,4
E02000227,Croydon 034,8
E02000228,Croydon 035,10
E02000229,Croydon 036,0
E02000230,Croydon 037,18
E02000231,Croydon 038,22
E02000232,Croydon 039,1
E02000233,Croydon 040,15
E02000234,Croydon 041,10
E02000235,Croydon 042,9
E02000236,Croydon 043,4
E02000237,Croydon 044,10
E02000238,Ealing 001,39
E02000239,Ealing 002,4
E02000240,Ealing 003,5
E02000241,Ealing 004,9
E02000242,Ealing 005,17
E02000243,Ealing 006,6
E02000244,Ealing 007,45
E02000245,Ealing 008,6
E02000246,Ealing 009,3
E02000247,Ealing 010,10
E02000248,Ealing 011,25
E02000249,Ealing 012,24
E02000250,Ealing 013,12
E02000251,Ealing 014,7
E02000252,Ealing 015,25
E02000253,Ealing 016,6
E02000254,Ealing 017,4
E02000255,Ealing 018,15
E02000256,Ealing 019,43
E02000258,Ealing 021,22
E02000259,Ealing 022,22
E02000260,Ealing 023,8
E02000261,Ealing 024,144
E02000262,Ealing 025,42
E02000263,Ealing 026,28
E02000264,Ealing 027,26
E02000265,Ealing 028,37
E02000266,Ealing 029,136
E02000267,Ealing 030,50
E02000268,Ealing 031,37
E02000269,Ealing 032,41
E02000270,Ealing 033,70
E02000271,Ealing 034,57
E02000272,Ealing 035,9
E02000275,Ealing 038,15
E02000276,Ealing 039,18
E02000277,Enfield 001,3
E02000278,Enfield 002,8
E02000279,Enfield 003,39
E02000280,Enfield 004,26
E02000281,Enfield 005,16
E02000282,Enfield 006,10
E02000283,Enfield 007,9
E02000284,Enfield 008,27
E02000285,Enfield 009,1
E02000286,Enfield 010,26
E02000287,Enfield 011,8
E02000288,Enfield 012,64
E02000289,Enfield 013,3
E02000290,Enfield 014,7
E02000291,Enfield 015,58
E02000292,Enfield 016,8
E02000293,Enfield 017,2
E02000294,Enfield 018,7
E02000295,Enfield 019,133
E02000296,Enfield 020,20
E02000297,Enfield 021,5
E02000298,Enfield 022,14
E02000299,Enfield 023,31
E02000300,Enfield 024,11
E02000301,Enfield 025,13
E02000302,Enfield 026,7
E02000303,Enfield 027,18
E02000304,Enfield 028,21
E02000305,Enfield 029,50
E02000306,Enfield 030,19
E02000307,Enfield 031,3
E02000308,Enfield 032,26
E02000309,Enfield 033,32
E02000311,Enfield 035,6
E02000312,Enfield 036,47
E02000313,Greenwich 001,9
E02000314,Greenwich 002,8
E02000315,Greenwich 003,6
E02000317,Greenwich 005,32
E02000318,Greenwich 006,18
E02000319,Greenwich 007,18
E02000320,Greenwich 008,1
E02000321,Greenwich 009,16
E02000323,Greenwich 011,98
E02000324,Greenwich 012,8
E02000326,Greenwich 014,11
E02000327,Greenwich 015,151
E02000328,Greenwich 016,33
E02000329,Greenwich 017,9
E02000331,Greenwich 019,17
E02000332,Greenwich 020,55
E02000333,Greenwich 021,48
E02000334,Greenwich 022,175
E02000335,Greenwich 023,9
E02000337,Greenwich 025,16
E02000339,Greenwich 027,15
E02000340,Greenwich 028,15
E02000341,Greenwich 029,8
E02000342,Greenwich 030,2
E02000343,Greenwich 031,2
E02000344,Greenwich 032,7
E02000345,Hackney 001,58
E02000346,Hackney 002,6
E02000347,Hackney 003,11
E02000348,Hackney 004,19
E02000350,Hackney 006,109
E02000351,Hackney 007,29
E02000352,Hackney 008,32
E02000353,Hackney 009,168
E02000354,Hackney 010,72
E02000355,Hackney 011,47
E02000356,Hackney 012,135
E02000357,Hackney 013,15
E02000358,Hackney 014,234
E02000359,Hackney 015,75
E02000360,Hackney 016,157
E02000361,Hackney 017,165
E02000362,Hackney 018,100
E02000363,Hackney 019,101
E02000364,Hackney 020,206
E02000366,Hackney 022,153
E02000367,Hackney 023,335
E02000368,Hackney 024,38
E02000369,Hackney 025,212
E02000370,Hackney 026,276
E02000372,Hammersmith and Fulham 001,19
E02000373,Hammersmith and Fulham 002,10
E02000374,Hammersmith and Fulham 003,13
E02000375,Hammersmith and Fulham 004,46
E02000376,Hammersmith and Fulham 005,47
E02000377,Hammersmith and Fulham 006,41
E02000378,Hammersmith and Fulham 007,42
E02000379,Hammersmith and Fulham 008,58
E02000380,Hammersmith and Fulham 009,49
E02000381,Hammersmith and Fulham 010,35
E02000382,Hammersmith and Fulham 011,67
E02000383,Hammersmith and Fulham 012,40
E02000384,Hammersmith and Fulham 013,47
E02000385,Hammersmith and Fulham 014,15
E02000386,Hammersmith and Fulham 015,32
E02000387,Hammersmith and Fulham 016,26
E02000388,Hammersmith and Fulham 017,46
E02000389,Hammersmith and Fulham 018,47
E02000390,Hammersmith and Fulham 019,52
E02000391,Hammersmith and Fulham 020,31
E02000392,Hammersmith and Fulham 021,27
E02000393,Hammersmith and Fulham 022,30
E02000394,Hammersmith and Fulham 023,30
E02000395,Hammersmith and Fulham 024,30
E02000396,Hammersmith and Fulham 025,63
E02000397,Haringey 001,35
E02000398,Haringey 002,18
E02000400,Haringey 004,10
E02000401,Haringey 005,1
E02000402,Haringey 006,3
E02000403,Haringey 007,15
E02000404,Haringey 008,21
E02000405,Haringey 009,20
E02000406,Haringey 010,16
E02000407,Haringey 011,73
E02000408,Haringey 012,28
E02000409,Haringey 013,6
E02000410,Haringey 014,21
E02000411,Haringey 015,13
E02000412,Haringey 016,19
E02000413,Haringey 017,24
E02000414,Haringey 018,22
E02000415,Haringey 019,11
E02000416,Haringey 020,58
E02000417,Haringey 021,36
E02000418,Haringey 022,10
E02000419,Haringey 023,39
E02000420,Haringey 024,79
E02000421,Haringey 025,158
E02000422,Haringey 026,19
E02000423,Haringey 027,25
E02000424,Haringey 028,59
E02000425,Haringey 029,18
E02000426,Haringey 030,29
E02000427,Haringey 031,15
E02000428,Haringey 032,138
E02000429,Haringey 033,28
E02000430,Haringey 034,64
E02000431,Haringey 035,54
E02000432,Haringey 036,17
E02000433,Harrow 001,48
E02000434,Harrow 002,17
E02000435,Harrow 003,6
E02000436,Harrow 004,0
E02000437,Harrow 005,14
E02000438,Harrow 006,10
E02000439,Harrow 007,19
E02000440,Harrow 008,9
E02000441,Harrow 009,6
E02000442,Harrow 010,50
E02000443,Harrow 011,17
E02000444,Harrow 012,4
E02000445,Harrow 013,13
E02000447,Harrow 015,4
E02000448,Harrow 016,13
E02000449,Harrow 017,8
E02000451,Harrow 019,0
E02000452,Harrow 020,34
E02000453,Harrow 021,17
E02000454,Harrow 022,8
E02000455,Harrow 023,55
E02000456,Harrow 024,7
E02000457,Harrow 025,28
E02000459,Harrow 027,28
E02000460,Harrow 028,5
E02000461,Harrow 029,86
