Local authority code ,Local authority name,Year ending Dec 2019,Year ending Dec 2020,Year ending Dec 2021,Year ending Dec 2022
E07000147,North Norfolk,"236,801","257,728","263,766",278376.1242
E07000148,Norwich,"227,950","231,354","248,850",264789.5101
E07000149,South Norfolk,"208,299","213,231","230,892",257569.4648
E07000200,Babergh,"236,677","235,904","269,633",271695.7256
E07000202,Ipswich,"186,858","190,678","207,843",222787.6505
E07000203,Mid Suffolk,"208,182","221,604","228,372",241768.6241
E07000240,St Albans,"521,677","532,271","565,553",613802.4097
E07000241,Welwyn Hatfield,"366,231","381,711","393,822",437601.4758
E07000242,East Hertfordshire,"383,526","392,219","402,689",448008.9453
E07000243,Stevenage,"276,012","279,109","301,900",334853.6117
E07000244,East Suffolk,"200,595","223,038","236,966",235359.1625
E07000245,West Suffolk,"227,425","232,126","245,852",265109.65
E09000001,City of London,:,:,:,:
E09000002,Barking and Dagenham,"336,817","346,073","363,439",396127.8487
E09000003,Barnet,"629,915","636,695","682,201",713025.454
E09000004,Bexley,"353,879","376,700","391,552",426646.994
E09000005,Brent,"842,409","868,862","862,991",957613.7494
E09000006,Bromley,"448,798","472,158","493,541",541802.1664
E09000007,Camden,"2,162,694","1,877,002","2,122,116",2215425.475
E09000008,Croydon,"394,730","410,923","421,867",457226.9575
E09000009,Ealing,"637,729","651,344","711,403",747609.2119
E09000010,Enfield,"455,954","471,332","500,889",534006.1346
E09000011,Greenwich,"509,119","532,596","549,107",581432.03
E09000012,Hackney,"953,769","1,087,431","1,137,938",1221521.9
E09000013,Hammersmith and Fulham,"1,425,539","1,469,701","1,535,814",1584970.4
E09000014,Haringey,"814,332","825,594","840,505",934428.1336
E09000015,Harrow,"494,755","520,077","542,162",574869.9036
E09000016,Havering,"368,091","382,918","400,290",444664.9694
E09000017,Hillingdon,"434,113","435,394","462,197",486054.8223
E09000018,Hounslow,"630,046","656,784","650,737",728452.0412
E09000019,Islington,"1,250,188","1,411,867","1,463,038",1539845.903
E09000020,Kensington and Chelsea,"3,972,661","3,978,365","4,107,254",4776660.613
E09000021,Kingston upon Thames,"546,885","554,410","575,166",629742.1898
E09000022,Lambeth,"860,920","938,842","966,147",1004298.561
E09000023,Lewisham,"555,304","619,331","624,164",670090.5836
E09000024,Merton,"590,333","661,556","685,431",749197.1896
E09000025,Newham,"449,002","433,814","473,654",496982.9454
E09000026,Redbridge,"492,673","512,226","538,440",576222.3864
E09000027,Richmond upon Thames,"865,172","936,801","920,798",1042840.975
E09000028,Southwark,"823,829","914,913","918,566",948360.1617
E09000029,Sutton,"422,623","437,537","453,558",491916.8523
E09000030,Tower Hamlets,"810,284","817,982","884,916",883846.7231
E09000031,Waltham Forest,"537,225","573,473","607,416",650910.8271
E09000032,Wandsworth,"1,009,098","1,056,515","1,094,496",1182131.563
E09000033,Westminster,"2,814,772","3,152,364","3,226,313",3471075.673
E06000035,Medway,"234,251","245,277","262,285",284362.6413
E06000036,Bracknell Forest,"332,277","338,944","335,764",380349.4412
E06000037,West Berkshire,"305,387","314,617","320,937",344716.8322
E06000038,Reading,"325,081","312,700","320,032",352654.2791
E06000039,Slough,"336,097","338,748","358,324",383652.8405
E06000040,Windsor and Maidenhead,"465,464","491,415","504,762",530390.0685
E06000041,Wokingham,"350,027","363,576","367,843",396485.6652
E06000042,Milton Keynes,"249,462","260,755","276,074",292733.3191
E06000043,Brighton and Hove,"478,695","492,163","528,297",591060.9878
E06000044,Portsmouth,"240,094","246,398","260,955",290946.7045
E06000045,Southampton,"218,251","224,517","242,320",270695.5765
E06000046,Isle of Wight,"197,254","210,026","225,021",244726.1062
E06000060,Buckinghamshire,"345,749","353,289","372,366",402745.6863
E07000061,Eastbourne,"258,538","275,817","299,019",334280.3158
E07000062,Hastings,"243,951","256,520","305,376",325496.4173
E07000063,Lewes,"337,168","353,711","384,845",410692.3739
E07000064,Rother,"287,090","297,054","310,558",357328.1545
E07000065,Wealden,"277,504","285,599","311,557",347920.3722
E07000084,Basingstoke and Deane,"273,086","281,976","286,226",307113.4137
E07000085,East Hampshire,"311,353","308,937","344,073",361068.9714
E07000086,Eastleigh,"263,290","267,634","274,016",295352.8071
E07000087,Fareham,"247,285","264,499","277,050",307419.8698
E07000088,Gosport,"204,095","214,766","225,099",252163.5273
E07000089,Hart,"344,629","344,982","360,295",396493.8087
E07000090,Havant,"239,245","244,188","267,147",290538.4005
E07000091,New Forest,"281,821","296,838","330,487",338545.1203
E07000092,Rushmoor,"297,244","295,466","311,673",339787.1186
E07000093,Test Valley,"266,893","270,177","275,864",305346.4212
E07000094,Winchester,"416,950","433,369","435,821",497560.7514
E07000105,Ashford,"246,104","261,203","281,286",296823.3223
E07000106,Canterbury,"291,808","300,979","329,135",348489.7075
E07000107,Dartford,"321,794","329,182","342,886",364882.7443
E07000108,Dover,"229,970","241,064","266,404",294146.5101
E07000109,Gravesham,"275,983","285,650","306,846",331909.8305
E07000110,Maidstone,"270,109","271,366","287,455",312624.9033
E07000111,Sevenoaks,"352,258","374,868","387,573",428494.9239
E07000112,Folkestone and Hythe,"233,302","244,214","273,118",293628.8019
E07000113,Swale,"231,979","244,264","251,586",272826.0897
E07000114,Thanet,"236,892","244,832","285,348",314148.3497
E07000115,Tonbridge and Malling,"314,908","325,982","326,374",364518.6332
E07000116,Tunbridge Wells,"386,874","395,643","404,430",440133.5027
E07000177,Cherwell,"275,232","287,582","294,815",313663.5254
E07000178,Oxford,"492,487","490,108","517,948",545686.5231
E07000179,South Oxfordshire,"351,958","386,056","403,262",428793.751
E07000180,Vale of White Horse,"290,461","303,271","311,160",336141.4421
E07000181,West Oxfordshire,"314,627","320,129","331,519",369546.3394
E07000207,Elmbridge,"549,157","542,066","563,796",637126.9977
E07000208,Epsom and Ewell,"436,237","454,853","479,181",523718.651
E07000209,Guildford,"393,363","430,077","439,115",466638.318
E07000210,Mole Valley,"433,946","470,727","463,663",499691.9897
E07000211,Reigate and Banstead,"389,191","415,239","428,422",474070.4359
E07000212,Runnymede,"381,477","416,194","421,234",462983.6306
E07000213,Spelthorne,"385,378","388,408","412,927",440276.7695
E07000214,Surrey Heath,"337,281","357,032","365,290",384729.5773
E07000215,Tandridge,"398,841","417,258","418,182",455411.4943
E07000216,Waverley,"384,860","409,011","416,660",455458.3773
E07000217,Woking,"366,559","403,752","400,351",427949.0828
E07000223,Adur,"328,112","341,770","365,286",397616.2234
E07000224,Arun,"268,328","270,609","295,544",322479.8257
E07000225,Chichester,"332,756","355,858","375,972",409485.6896
E07000226,Crawley,"287,355","293,468","303,780",334062.8577
E07000227,Horsham,"325,794","347,511","358,063",393772.2985
E07000228,Mid Sussex,"334,330","338,384","353,427",389952.6667
E07000229,Worthing,"299,576","306,709","333,409",376292.9681
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
