Middle layer Super Output Areas Code,Middle layer Super Output Areas,Detached
E02000234,Croydon 041,1056
E02000235,Croydon 042,1193
E02000236,Croydon 043,822
E02000237,Croydon 044,913
E02000238,Ealing 001,138
E02000239,Ealing 002,163
E02000240,Ealing 003,120
E02000241,Ealing 004,92
E02000242,Ealing 005,106
E02000243,Ealing 006,116
E02000244,Ealing 007,109
E02000245,Ealing 008,103
E02000246,Ealing 009,93
E02000247,Ealing 010,231
E02000248,Ealing 011,274
E02000249,Ealing 012,150
E02000250,Ealing 013,96
E02000251,Ealing 014,136
E02000252,Ealing 015,121
E02000253,Ealing 016,137
E02000254,Ealing 017,168
E02000255,Ealing 018,154
E02000256,Ealing 019,380
E02000258,Ealing 021,111
E02000259,Ealing 022,165
E02000260,Ealing 023,184
E02000261,Ealing 024,175
E02000262,Ealing 025,108
E02000263,Ealing 026,319
E02000264,Ealing 027,310
E02000265,Ealing 028,102
E02000266,Ealing 029,209
E02000267,Ealing 030,96
E02000268,Ealing 031,216
E02000269,Ealing 032,145
E02000270,Ealing 033,50
E02000271,Ealing 034,140
E02000272,Ealing 035,92
E02000275,Ealing 038,324
E02000276,Ealing 039,63
E02000277,Enfield 001,186
E02000278,Enfield 002,184
E02000279,Enfield 003,345
E02000280,Enfield 004,425
E02000281,Enfield 005,134
E02000282,Enfield 006,154
E02000283,Enfield 007,213
E02000284,Enfield 008,143
E02000285,Enfield 009,54
E02000286,Enfield 010,511
E02000287,Enfield 011,958
E02000288,Enfield 012,271
E02000289,Enfield 013,375
E02000290,Enfield 014,126
E02000291,Enfield 015,166
E02000292,Enfield 016,175
E02000293,Enfield 017,616
E02000294,Enfield 018,231
E02000295,Enfield 019,245
E02000296,Enfield 020,212
E02000297,Enfield 021,179
E02000298,Enfield 022,440
E02000299,Enfield 023,303
E02000300,Enfield 024,219
E02000301,Enfield 025,241
E02000302,Enfield 026,79
E02000303,Enfield 027,161
E02000304,Enfield 028,292
E02000305,Enfield 029,105
E02000306,Enfield 030,131
E02000307,Enfield 031,272
E02000308,Enfield 032,113
E02000309,Enfield 033,336
E02000311,Enfield 035,174
E02000312,Enfield 036,133
E02000313,Greenwich 001,117
E02000314,Greenwich 002,299
E02000315,Greenwich 003,128
E02000317,Greenwich 005,69
E02000318,Greenwich 006,277
E02000319,Greenwich 007,196
E02000320,Greenwich 008,121
E02000321,Greenwich 009,94
E02000323,Greenwich 011,141
E02000324,Greenwich 012,111
E02000326,Greenwich 014,113
E02000327,Greenwich 015,76
E02000328,Greenwich 016,158
E02000329,Greenwich 017,88
E02000331,Greenwich 019,97
E02000332,Greenwich 020,218
E02000333,Greenwich 021,323
E02000334,Greenwich 022,144
E02000335,Greenwich 023,44
E02000337,Greenwich 025,96
E02000339,Greenwich 027,117
E02000340,Greenwich 028,292
E02000341,Greenwich 029,153
E02000342,Greenwich 030,74
E02000343,Greenwich 031,139
E02000344,Greenwich 032,160
E02000345,Hackney 001,81
E02000346,Hackney 002,16
E02000347,Hackney 003,53
E02000348,Hackney 004,45
E02000350,Hackney 006,60
E02000351,Hackney 007,42
E02000352,Hackney 008,27
E02000353,Hackney 009,34
E02000354,Hackney 010,77
E02000355,Hackney 011,76
E02000356,Hackney 012,22
E02000357,Hackney 013,52
E02000358,Hackney 014,69
E02000359,Hackney 015,81
E02000360,Hackney 016,55
E02000361,Hackney 017,31
E02000362,Hackney 018,80
E02000363,Hackney 019,19
E02000364,Hackney 020,53
E02000366,Hackney 022,73
E02000367,Hackney 023,70
E02000368,Hackney 024,64
E02000369,Hackney 025,34
E02000370,Hackney 026,27
