Middle layer Super Output Areas Code,Middle layer Super Output Areas,Detached
E02000975,Westminster 016,7
E02000976,Westminster 017,17
E02000977,Westminster 018,26
E02000978,Westminster 019,74
E02000979,Westminster 020,21
E02000980,Westminster 021,6
E02000981,Westminster 022,23
E02000982,Westminster 023,10
E02000983,Westminster 024,11
E02003237,Peterborough 001,1568
E02003238,Peterborough 002,1145
E02003239,Peterborough 003,2107
E02003240,Peterborough 004,1141
E02003241,Peterborough 005,1279
E02003242,Peterborough 006,834
E02003243,Peterborough 007,389
E02003244,Peterborough 008,423
E02003245,Peterborough 009,220
E02003246,Peterborough 010,442
E02003247,Peterborough 011,462
E02003248,Peterborough 012,1019
E02003249,Peterborough 013,900
E02003250,Peterborough 014,434
E02003251,Peterborough 015,2036
E02003252,Peterborough 016,986
E02003253,Peterborough 017,635
E02003254,Peterborough 018,2275
E02003255,Peterborough 019,1902
E02003257,Peterborough 021,411
E02003258,Luton 001,1774
E02003259,Luton 002,76
E02003260,Luton 003,133
E02003261,Luton 004,771
E02003262,Luton 005,439
E02003263,Luton 006,462
E02003264,Luton 007,1100
E02003265,Luton 008,388
E02003266,Luton 009,240
E02003267,Luton 010,322
E02003268,Luton 011,414
E02003269,Luton 012,659
E02003270,Luton 013,389
E02003271,Luton 014,1013
E02003272,Luton 015,240
E02003273,Luton 016,367
E02003274,Luton 017,250
E02003276,Luton 019,210
E02003277,Luton 020,182
E02003278,Luton 021,488
E02003279,Southend-on-Sea 001,1125
E02003280,Southend-on-Sea 002,766
E02003281,Southend-on-Sea 003,988
E02003282,Southend-on-Sea 004,769
E02003283,Southend-on-Sea 005,776
E02003284,Southend-on-Sea 006,383
E02003285,Southend-on-Sea 007,275
E02003286,Southend-on-Sea 008,906
E02003287,Southend-on-Sea 009,1416
E02003288,Southend-on-Sea 010,176
E02003289,Southend-on-Sea 011,428
E02003290,Southend-on-Sea 012,879
E02003291,Southend-on-Sea 013,662
E02003292,Southend-on-Sea 014,147
E02003293,Southend-on-Sea 015,193
E02003294,Southend-on-Sea 016,1285
E02003295,Southend-on-Sea 017,1172
E02003296,Thurrock 001,576
E02003297,Thurrock 002,195
E02003298,Thurrock 003,245
E02003299,Thurrock 004,1066
E02003300,Thurrock 005,505
E02003301,Thurrock 006,589
E02003302,Thurrock 007,145
E02003303,Thurrock 008,240
E02003304,Thurrock 009,374
E02003305,Thurrock 010,496
E02003307,Thurrock 012,286
E02003308,Thurrock 013,301
E02003309,Thurrock 014,366
E02003311,Thurrock 016,482
E02003312,Thurrock 017,160
E02003313,Thurrock 018,241
E02003314,Medway 001,517
E02003315,Medway 002,749
E02003316,Medway 003,1013
E02003317,Medway 004,543
E02003318,Medway 005,678
E02003319,Medway 006,302
E02003320,Medway 007,438
E02003321,Medway 008,173
E02003322,Medway 009,100
E02003323,Medway 010,201
E02003324,Medway 011,115
E02003325,Medway 012,116
E02003326,Medway 013,215
E02003327,Medway 014,251
E02003328,Medway 015,128
E02003329,Medway 016,163
E02003330,Medway 017,109
E02003331,Medway 018,126
E02003332,Medway 019,296
E02003333,Medway 020,206
E02003334,Medway 021,129
E02003335,Medway 022,134
E02003336,Medway 023,364
E02003337,Medway 024,300
E02003338,Medway 025,335
E02003339,Medway 026,577
E02003340,Medway 027,166
E02003341,Medway 028,688
E02003342,Medway 029,499
E02003343,Medway 030,1210
E02003344,Medway 031,505
E02003345,Medway 032,478
E02003346,Medway 033,616
E02003347,Medway 034,489
E02003348,Medway 035,1614
E02003349,Medway 036,505
E02003350,Medway 037,545
E02003351,Medway 038,448
E02003352,Bracknell Forest 001,1257
E02003353,Bracknell Forest 002,1949
E02003354,Bracknell Forest 003,1886
E02003355,Bracknell Forest 004,133
E02003356,Bracknell Forest 005,1068
E02003357,Bracknell Forest 006,406
E02003358,Bracknell Forest 007,577
E02003359,Bracknell Forest 008,303
E02003360,Bracknell Forest 009,1061
E02003361,Bracknell Forest 010,242
E02003362,Bracknell Forest 011,314
E02003363,Bracknell Forest 012,1123
E02003364,Bracknell Forest 013,962
E02003365,Bracknell Forest 014,1324
E02003366,Bracknell Forest 015,926
E02003367,West Berkshire 001,1185
E02003368,West Berkshire 002,1017
E02003369,West Berkshire 003,1119
E02003370,West Berkshire 004,1409
E02003371,West Berkshire 005,681
E02003372,West Berkshire 006,904
E02003373,West Berkshire 007,1739
E02003374,West Berkshire 008,634
E02003375,West Berkshire 009,666
E02003376,West Berkshire 010,620
E02003377,West Berkshire 011,1802
E02003378,West Berkshire 012,771
E02003379,West Berkshire 013,605
E02003380,West Berkshire 014,712
E02003381,West Berkshire 015,1206
E02003382,West Berkshire 016,726
E02003383,West Berkshire 017,1064
E02003384,West Berkshire 018,1299
E02003385,West Berkshire 019,694
E02003386,West Berkshire 020,672
E02003387,West Berkshire 021,1515
E02003388,West Berkshire 022,991
E02003389,Reading 001,1295
E02003390,Reading 002,1768
E02003391,Reading 003,711
E02003392,Reading 004,249
E02003393,Reading 005,943
E02003394,Reading 006,181
E02003395,Reading 007,194
E02003396,Reading 008,319
E02003397,Reading 009,399
E02003398,Reading 010,184
E02003400,Reading 012,293
E02003401,Reading 013,257
E02003402,Reading 014,366
E02003403,Reading 015,311
E02003404,Reading 016,351
E02003405,Reading 017,172
E02003406,Reading 018,166
E02003407,Slough 001,257
E02003408,Slough 002,233
E02003409,Slough 003,593
E02003410,Slough 004,216
E02003411,Slough 005,306
E02003412,Slough 006,340
E02003414,Slough 008,491
E02003415,Slough 009,257
E02003416,Slough 010,647
E02003417,Slough 011,787
E02003418,Slough 012,445
E02003419,Slough 013,312
E02003420,Slough 014,178
E02003421,Windsor and Maidenhead 001,989
E02003422,Windsor and Maidenhead 002,2061
E02003423,Windsor and Maidenhead 003,413
E02003424,Windsor and Maidenhead 004,1647
E02003425,Windsor and Maidenhead 005,839
E02003426,Windsor and Maidenhead 006,1536
E02003427,Windsor and Maidenhead 007,412
E02003428,Windsor and Maidenhead 008,1213
E02003429,Windsor and Maidenhead 009,1613
E02003430,Windsor and Maidenhead 010,249
E02003431,Windsor and Maidenhead 011,935
E02003432,Windsor and Maidenhead 012,229
E02003433,Windsor and Maidenhead 013,286
E02003434,Windsor and Maidenhead 014,587
E02003435,Windsor and Maidenhead 015,867
E02003436,Windsor and Maidenhead 016,1608
E02003437,Windsor and Maidenhead 017,1228
E02003438,Windsor and Maidenhead 018,2000
E02003439,Wokingham 001,1171
E02003440,Wokingham 002,1716
E02003441,Wokingham 003,1121
E02003442,Wokingham 004,1493
E02003443,Wokingham 005,603
E02003444,Wokingham 006,989
E02003445,Wokingham 007,584
E02003446,Wokingham 008,1827
E02003447,Wokingham 009,1737
E02003448,Wokingham 010,1501
E02003449,Wokingham 011,1268
E02003450,Wokingham 012,1902
E02003451,Wokingham 013,867
E02003452,Wokingham 014,1625
E02003453,Wokingham 015,1925
E02003454,Wokingham 016,1587
E02003455,Wokingham 017,1646
E02003456,Wokingham 018,1183
E02003457,Wokingham 019,2742
E02003458,Wokingham 020,2025
E02003459,Milton Keynes 001,1678
E02003460,Milton Keynes 002,2044
E02003461,Milton Keynes 003,831
E02003462,Milton Keynes 004,890
E02003463,Milton Keynes 005,1126
E02003464,Milton Keynes 006,434
E02003465,Milton Keynes 007,1204
E02003466,Milton Keynes 008,110
E02003467,Milton Keynes 009,528
E02003468,Milton Keynes 010,530
E02003469,Milton Keynes 011,1041
E02003470,Milton Keynes 012,170
E02003471,Milton Keynes 013,628
E02003472,Milton Keynes 014,198
E02003473,Milton Keynes 015,1138
E02003474,Milton Keynes 016,1271
E02003476,Milton Keynes 018,361
E02003478,Milton Keynes 020,1099
E02003479,Milton Keynes 021,506
E02003480,Milton Keynes 022,1211
E02003481,Milton Keynes 023,333
E02003482,Milton Keynes 024,1419
E02003483,Milton Keynes 025,1846
E02003484,Milton Keynes 026,1021
E02003485,Milton Keynes 027,724
E02003486,Milton Keynes 028,1705
E02003487,Milton Keynes 029,756
E02003488,Milton Keynes 030,432
E02003489,Milton Keynes 031,681
E02003490,Milton Keynes 032,537
E02003491,Brighton and Hove 001,330
E02003492,Brighton and Hove 002,104
E02003493,Brighton and Hove 003,1294
E02003494,Brighton and Hove 004,681
E02003495,Brighton and Hove 005,507
E02003496,Brighton and Hove 006,514
E02003497,Brighton and Hove 007,1307
E02003498,Brighton and Hove 008,98
E02003499,Brighton and Hove 009,141
E02003500,Brighton and Hove 010,136
E02003501,Brighton and Hove 011,799
E02003502,Brighton and Hove 012,189
E02003503,Brighton and Hove 013,445
E02003504,Brighton and Hove 014,78
E02003505,Brighton and Hove 015,41
E02003506,Brighton and Hove 016,57
E02003507,Brighton and Hove 017,1525
E02003508,Brighton and Hove 018,69
E02003509,Brighton and Hove 019,115
E02003510,Brighton and Hove 020,113
E02003511,Brighton and Hove 021,266
E02003512,Brighton and Hove 022,25
E02003513,Brighton and Hove 023,323
E02003514,Brighton and Hove 024,40
E02003515,Brighton and Hove 025,170
E02003516,Brighton and Hove 026,34
E02003517,Brighton and Hove 027,48
E02003518,Brighton and Hove 028,142
E02003519,Brighton and Hove 029,33
E02003520,Brighton and Hove 030,47
E02003521,Brighton and Hove 031,34
E02003522,Brighton and Hove 032,143
E02003523,Brighton and Hove 033,2695
E02003524,Portsmouth 001,77
E02003525,Portsmouth 002,63
E02003526,Portsmouth 003,981
E02003527,Portsmouth 004,122
E02003529,Portsmouth 006,110
E02003530,Portsmouth 007,92
E02003531,Portsmouth 008,283
E02003532,Portsmouth 009,58
E02003533,Portsmouth 010,50
E02003534,Portsmouth 011,79
E02003535,Portsmouth 012,82
E02003536,Portsmouth 013,66
E02003537,Portsmouth 014,81
E02003538,Portsmouth 015,114
E02003540,Portsmouth 017,201
E02003541,Portsmouth 018,51
E02003542,Portsmouth 019,60
E02003543,Portsmouth 020,98
E02003544,Portsmouth 021,45
E02003545,Portsmouth 022,141
E02003546,Portsmouth 023,190
E02003547,Portsmouth 024,94
E02003548,Portsmouth 025,125
E02003549,Southampton 001,1120
E02003550,Southampton 002,394
E02003551,Southampton 003,230
E02003552,Southampton 004,67
E02003553,Southampton 005,152
E02003554,Southampton 006,677
E02003555,Southampton 007,254
E02003556,Southampton 008,782
E02003557,Southampton 009,519
E02003558,Southampton 010,256
E02003559,Southampton 011,835
E02003560,Southampton 012,127
E02003561,Southampton 013,212
E02003562,Southampton 014,879
E02003563,Southampton 015,198
E02003564,Southampton 016,784
E02003565,Southampton 017,199
E02003566,Southampton 018,482
E02003567,Southampton 019,169
E02003568,Southampton 020,300
E02003569,Southampton 021,197
E02003570,Southampton 022,188
E02003571,Southampton 023,97
E02003572,Southampton 024,945
E02003573,Southampton 025,735
E02003574,Southampton 026,718
E02003575,Southampton 027,256
E02003576,Southampton 028,248
E02003578,Southampton 030,528
E02003579,Southampton 031,571
E02003580,Southampton 032,107
E02003581,Isle of Wight 001,416
E02003582,Isle of Wight 002,1761
E02003583,Isle of Wight 003,893
E02003584,Isle of Wight 004,384
E02003585,Isle of Wight 005,1739
E02003586,Isle of Wight 006,1086
E02003587,Isle of Wight 007,797
E02003588,Isle of Wight 008,883
E02003589,Isle of Wight 009,343
E02003590,Isle of Wight 010,2042
E02003591,Isle of Wight 011,1324
E02003592,Isle of Wight 012,1936
E02003593,Isle of Wight 013,1529
E02003594,Isle of Wight 014,1174
E02003595,Isle of Wight 015,2177
E02003596,Isle of Wight 016,1065
E02003597,Isle of Wight 017,1343
E02003598,Isle of Wight 018,1130
E02003599,Central Bedfordshire 001,584
E02003600,Central Bedfordshire 002,660
E02003601,Central Bedfordshire 003,1299
E02003602,Central Bedfordshire 004,1373
E02003603,Central Bedfordshire 005,1008
E02003604,Central Bedfordshire 006,1190
E02003605,Central Bedfordshire 007,1652
E02003606,Central Bedfordshire 008,1883
E02003607,Central Bedfordshire 009,1505
E02003608,Central Bedfordshire 010,1444
E02003609,Central Bedfordshire 011,1583
E02003610,Central Bedfordshire 012,1430
E02003611,Central Bedfordshire 013,1548
E02003612,Central Bedfordshire 014,1572
E02003613,Central Bedfordshire 015,818
E02003614,Central Bedfordshire 016,1082
E02003615,Central Bedfordshire 017,1902
E02003616,Bedford 001,1354
E02003617,Bedford 002,1856
E02003618,Bedford 003,1168
E02003619,Bedford 004,2303
E02003620,Bedford 005,1438
E02003621,Bedford 006,1316
E02003622,Bedford 007,552
E02003623,Bedford 008,2398
E02003624,Bedford 009,587
E02003625,Bedford 010,375
E02003626,Bedford 011,607
E02003627,Bedford 012,268
E02003628,Bedford 013,418
E02003629,Bedford 014,423
E02003630,Bedford 015,293
E02003631,Bedford 016,669
E02003632,Bedford 017,439
E02003633,Bedford 018,735
E02003635,Bedford 020,1554
E02003636,Central Bedfordshire 018,983
E02003637,Central Bedfordshire 019,1730
E02003638,Central Bedfordshire 020,1149
E02003639,Central Bedfordshire 021,560
E02003640,Central Bedfordshire 022,722
E02003641,Central Bedfordshire 023,833
E02003642,Central Bedfordshire 025,209
E02003643,Central Bedfordshire 024,1157
E02003644,Central Bedfordshire 026,775
E02003645,Central Bedfordshire 027,190
E02003646,Central Bedfordshire 028,584
E02003647,Central Bedfordshire 029,525
E02003648,Central Bedfordshire 030,216
E02003649,Central Bedfordshire 031,705
E02003650,Central Bedfordshire 032,1534
E02003651,Central Bedfordshire 033,950
E02003652,Buckinghamshire 001,1752
E02003653,Buckinghamshire 002,905
E02003654,Buckinghamshire 003,1241
E02003655,Buckinghamshire 004,2042
E02003656,Buckinghamshire 005,1160
E02003657,Buckinghamshire 006,1591
E02003658,Buckinghamshire 007,1560
E02003659,Buckinghamshire 009,1516
E02003660,Buckinghamshire 008,2046
E02003661,Buckinghamshire 010,986
E02003662,Buckinghamshire 012,461
E02003663,Buckinghamshire 011,971
E02003664,Buckinghamshire 013,94
E02003665,Buckinghamshire 014,304
E02003666,Buckinghamshire 015,233
E02003667,Buckinghamshire 016,696
E02003668,Buckinghamshire 018,1027
E02003669,Buckinghamshire 017,94
E02003670,Buckinghamshire 019,859
E02003671,Buckinghamshire 020,139
E02003672,Buckinghamshire 021,2509
E02003673,Buckinghamshire 022,1899
E02003674,Buckinghamshire 023,1248
E02003675,Buckinghamshire 024,1061
E02003676,Buckinghamshire 029,1828
E02003677,Buckinghamshire 027,785
E02003678,Buckinghamshire 028,630
E02003679,Buckinghamshire 030,281
E02003680,Buckinghamshire 031,2060
E02003681,Buckinghamshire 032,1673
E02003682,Buckinghamshire 034,935
E02003683,Buckinghamshire 035,1252
E02003685,Buckinghamshire 047,1955
E02003686,Buckinghamshire 050,1903
E02003687,Buckinghamshire 054,1038
E02003688,Buckinghamshire 053,2222
E02003689,Buckinghamshire 058,2124
E02003690,Buckinghamshire 059,967
E02003691,Buckinghamshire 063,1414
E02003692,Buckinghamshire 064,1311
E02003693,Buckinghamshire 065,1317
E02003694,Buckinghamshire 066,643
E02003695,Buckinghamshire 067,1141
E02003696,Buckinghamshire 026,1190
E02003697,Buckinghamshire 025,1546
E02003698,Buckinghamshire 033,1987
E02003699,Buckinghamshire 037,879
E02003701,Buckinghamshire 038,946
E02003702,Buckinghamshire 040,1664
E02003703,Buckinghamshire 041,963
E02003704,Buckinghamshire 045,980
E02003705,Buckinghamshire 042,154
E02003706,Buckinghamshire 043,424
E02003707,Buckinghamshire 044,392
E02003708,Buckinghamshire 046,225
E02003709,Buckinghamshire 048,123
E02003710,Buckinghamshire 049,1229
E02003711,Buckinghamshire 051,486
E02003712,Buckinghamshire 052,829
E02003713,Buckinghamshire 055,1213
E02003714,Buckinghamshire 056,703
E02003715,Buckinghamshire 057,1849
E02003716,Buckinghamshire 060,792
E02003717,Buckinghamshire 062,1306
E02003718,Buckinghamshire 061,460
E02003719,Cambridge 001,269
E02003720,Cambridge 002,489
E02003721,Cambridge 003,330
E02003722,Cambridge 004,392
E02003723,Cambridge 005,409
E02003724,Cambridge 006,188
E02003725,Cambridge 007,533
E02003726,Cambridge 008,127
E02003727,Cambridge 009,181
E02003728,Cambridge 010,331
E02003729,Cambridge 011,503
E02003731,Cambridge 013,1071
E02003732,East Cambridgeshire 001,1371
E02003733,East Cambridgeshire 002,1832
E02003734,East Cambridgeshire 003,1775
E02003735,East Cambridgeshire 004,1302
E02003736,East Cambridgeshire 005,2135
E02003737,East Cambridgeshire 006,1838
E02003738,East Cambridgeshire 007,1339
E02003739,East Cambridgeshire 008,1392
E02003740,East Cambridgeshire 009,1142
E02003742,Fenland 001,1932
E02003743,Fenland 002,1135
E02003744,Fenland 003,2235
E02003745,Fenland 004,2682
E02003746,Fenland 005,1611
E02003747,Fenland 006,2470
E02003748,Fenland 007,1142
E02003749,Fenland 008,1518
E02003750,Fenland 009,1695
E02003751,Fenland 010,1920
E02003752,Fenland 011,1814
E02003753,Huntingdonshire 001,1936
E02003754,Huntingdonshire 002,1376
E02003755,Huntingdonshire 003,1519
E02003756,Huntingdonshire 004,1582
E02003757,Huntingdonshire 005,1510
E02003758,Huntingdonshire 006,1853
E02003759,Huntingdonshire 007,1462
E02003760,Huntingdonshire 008,356
E02003761,Huntingdonshire 009,1313
E02003762,Huntingdonshire 010,2213
E02003763,Huntingdonshire 011,1430
E02003764,Huntingdonshire 012,1366
E02003765,Huntingdonshire 013,788
E02003766,Huntingdonshire 014,1181
E02003767,Huntingdonshire 015,1768
E02003768,Huntingdonshire 016,2197
E02003769,Huntingdonshire 017,1532
E02003770,Huntingdonshire 018,1674
E02003771,Huntingdonshire 019,617
E02003772,Huntingdonshire 020,1418
E02003773,Huntingdonshire 021,863
E02003774,Huntingdonshire 022,590
E02003775,South Cambridgeshire 001,1647
E02003776,South Cambridgeshire 002,1285
E02003777,South Cambridgeshire 003,1744
E02003778,South Cambridgeshire 004,967
E02003780,South Cambridgeshire 006,1356
E02003781,South Cambridgeshire 007,1087
E02003784,South Cambridgeshire 010,1706
E02003785,South Cambridgeshire 011,1450
E02003786,South Cambridgeshire 012,1076
E02003787,South Cambridgeshire 013,1424
E02003788,South Cambridgeshire 014,1721
E02003789,South Cambridgeshire 015,690
E02003790,South Cambridgeshire 016,1709
E02003791,South Cambridgeshire 017,1528
E02003792,South Cambridgeshire 018,1805
E02003793,South Cambridgeshire 019,1338
E02004356,Eastbourne 001,558
E02004357,Eastbourne 002,324
E02004358,Eastbourne 003,907
E02004359,Eastbourne 004,1066
E02004361,Eastbourne 006,1468
E02004362,Eastbourne 007,129
E02004363,Eastbourne 008,728
E02004364,Eastbourne 009,400
E02004365,Eastbourne 010,81
E02004366,Eastbourne 011,74
E02004367,Eastbourne 012,751
E02004368,Hastings 001,1525
E02004369,Hastings 002,2332
E02004370,Hastings 003,364
E02004371,Hastings 004,481
E02004372,Hastings 005,189
E02004373,Hastings 006,610
E02004374,Hastings 007,314
E02004375,Hastings 008,583
E02004376,Hastings 009,108
E02004377,Hastings 010,1138
E02004378,Hastings 011,88
E02004379,Lewes 001,1527
E02004380,Lewes 002,2012
E02004381,Lewes 003,348
E02004382,Lewes 004,753
E02004383,Lewes 005,554
E02004384,Lewes 006,1481
E02004385,Lewes 007,1453
E02004386,Lewes 008,688
E02004387,Lewes 009,371
E02004388,Lewes 010,1053
E02004389,Lewes 011,2586
E02004390,Lewes 012,1858
E02004391,Lewes 013,609
E02004392,Rother 001,1642
E02004393,Rother 002,1617
E02004394,Rother 003,1701
E02004395,Rother 004,937
E02004396,Rother 005,2590
E02004397,Rother 006,1559
E02004398,Rother 007,558
E02004399,Rother 008,1486
E02004400,Rother 009,3568
E02004401,Rother 010,1681
E02004402,Rother 011,380
E02004403,Wealden 001,1210
E02004404,Wealden 002,1355
E02004405,Wealden 003,1309
E02004406,Wealden 004,1905
E02004407,Wealden 005,1660
E02004408,Wealden 006,1007
E02004409,Wealden 007,1372
E02004410,Wealden 008,2004
E02004411,Wealden 009,1061
E02004412,Wealden 010,1444
E02004413,Wealden 011,1571
E02004414,Wealden 012,1015
E02004415,Wealden 013,1492
E02004416,Wealden 014,1573
E02004417,Wealden 015,1007
E02004418,Wealden 016,911
E02004419,Wealden 017,594
E02004420,Wealden 018,2638
E02004421,Wealden 019,930
E02004422,Wealden 020,2237
E02004423,Wealden 021,1543
E02004424,Basildon 001,1359
E02004425,Basildon 002,820
E02004426,Basildon 003,1162
E02004427,Basildon 004,1281
E02004428,Basildon 005,753
E02004429,Basildon 006,1177
E02004430,Basildon 007,1103
E02004431,Basildon 008,1074
E02004432,Basildon 009,1169
E02004433,Basildon 010,914
E02004434,Basildon 011,726
E02004435,Basildon 012,153
E02004436,Basildon 013,136
E02004437,Basildon 014,861
E02004438,Basildon 015,117
E02004439,Basildon 016,254
E02004440,Basildon 017,110
E02004441,Basildon 018,393
E02004442,Basildon 019,243
E02004443,Basildon 020,619
E02004444,Basildon 021,1799
E02004445,Basildon 022,437
E02004446,Braintree 001,1500
E02004447,Braintree 002,1550
E02004448,Braintree 003,1215
E02004449,Braintree 004,454
E02004450,Braintree 005,1279
E02004451,Braintree 006,1465
E02004452,Braintree 007,1535
E02004453,Braintree 008,315
E02004454,Braintree 009,621
E02004455,Braintree 010,1369
E02004456,Braintree 011,571
E02004457,Braintree 012,1028
E02004458,Braintree 013,1674
E02004459,Braintree 014,1604
E02004460,Braintree 015,642
E02004461,Braintree 016,135
E02004462,Braintree 017,816
E02004463,Braintree 018,1287
E02004464,Brentwood 001,2013
E02004465,Brentwood 002,953
E02004466,Brentwood 003,565
E02004467,Brentwood 004,418
E02004468,Brentwood 005,2648
E02004469,Brentwood 006,912
E02004470,Brentwood 007,603
E02004471,Brentwood 008,839
E02004472,Brentwood 009,864
E02004473,Castle Point 001,618
E02004474,Castle Point 002,1143
E02004475,Castle Point 003,1092
E02004476,Castle Point 004,1666
E02004477,Castle Point 005,1114
E02004478,Castle Point 006,776
E02004479,Castle Point 007,1131
E02004480,Castle Point 008,1450
E02004481,Castle Point 009,1686
E02004482,Castle Point 010,642
E02004483,Castle Point 011,1906
E02004484,Castle Point 012,2356
E02004485,Chelmsford 001,1628
E02004486,Chelmsford 002,1089
E02004487,Chelmsford 003,881
E02004488,Chelmsford 004,1037
E02004489,Chelmsford 005,1631
E02004490,Chelmsford 006,250
E02004491,Chelmsford 007,1049
E02004492,Chelmsford 008,964
E02004493,Chelmsford 009,761
E02004495,Chelmsford 011,962
E02004496,Chelmsford 012,611
E02004497,Chelmsford 013,1350
E02004498,Chelmsford 014,717
E02004499,Chelmsford 015,153
E02004500,Chelmsford 016,2345
E02004501,Chelmsford 017,907
E02004502,Chelmsford 018,1461
E02004503,Chelmsford 019,1263
E02004504,Chelmsford 020,1820
E02004505,Chelmsford 021,1127
E02004506,Colchester 001,1750
E02004507,Colchester 002,1176
E02004508,Colchester 003,1396
E02004512,Colchester 007,505
E02004513,Colchester 008,237
E02004514,Colchester 009,1173
E02004515,Colchester 010,1967
E02004516,Colchester 011,368
E02004517,Colchester 012,1667
E02004518,Colchester 013,630
E02004519,Colchester 014,1331
E02004520,Colchester 015,489
E02004521,Colchester 016,710
E02004522,Colchester 017,1183
E02004523,Colchester 018,586
E02004524,Colchester 019,1986
E02004525,Colchester 020,1297
E02004526,Colchester 021,2179
E02004527,Epping Forest 001,981
E02004528,Epping Forest 002,1609
E02004529,Epping Forest 003,1505
E02004530,Epping Forest 004,691
E02004531,Epping Forest 005,611
E02004532,Epping Forest 006,575
E02004533,Epping Forest 007,215
E02004534,Epping Forest 008,419
E02004535,Epping Forest 009,551
E02004536,Epping Forest 010,685
E02004537,Epping Forest 011,91
E02004538,Epping Forest 012,1167
E02004539,Epping Forest 013,282
E02004540,Epping Forest 014,749
E02004541,Epping Forest 015,736
E02004542,Epping Forest 016,1071
E02004543,Epping Forest 017,672
E02004544,Harlow 001,929
E02004545,Harlow 002,118
E02004546,Harlow 003,147
E02004547,Harlow 004,234
E02004548,Harlow 005,1022
E02004549,Harlow 006,230
E02004550,Harlow 007,156
E02004551,Harlow 008,142
E02004552,Harlow 009,352
E02004553,Harlow 010,288
E02004554,Harlow 011,247
E02004555,Maldon 001,1286
E02004556,Maldon 002,2068
E02004557,Maldon 003,1248
E02004558,Maldon 004,618
E02004559,Maldon 005,1225
E02004560,Maldon 006,1831
E02004561,Maldon 007,2655
E02004562,Maldon 008,1612
E02004563,Rochford 001,978
E02004564,Rochford 002,1456
E02004566,Rochford 004,451
E02004567,Rochford 005,1339
E02004568,Rochford 006,1114
E02004569,Rochford 007,892
E02004570,Rochford 008,1057
E02004571,Rochford 009,1147
E02004572,Rochford 010,954
E02004573,Tendring 001,287
E02004574,Tendring 002,571
E02004575,Tendring 003,2112
E02004576,Tendring 004,1909
E02004577,Tendring 005,1378
E02004578,Tendring 006,1206
E02004579,Tendring 007,1845
E02004580,Tendring 008,3288
E02004581,Tendring 009,1820
E02004582,Tendring 010,1212
E02004583,Tendring 011,1451
E02004584,Tendring 012,2054
E02004585,Tendring 013,1773
E02004586,Tendring 014,1373
E02004587,Tendring 015,917
E02004588,Tendring 016,277
E02004589,Tendring 017,1005
E02004590,Tendring 018,2521
E02004591,Uttlesford 001,1425
E02004592,Uttlesford 002,1220
E02004593,Uttlesford 003,1833
E02004594,Uttlesford 004,1655
E02004595,Uttlesford 005,2476
E02004596,Uttlesford 006,1742
E02004597,Uttlesford 007,1413
E02004598,Uttlesford 008,2116
E02004599,Uttlesford 009,1627
E02004675,Basingstoke and Deane 001,848
E02004676,Basingstoke and Deane 002,1729
E02004677,Basingstoke and Deane 003,1726
E02004678,Basingstoke and Deane 004,1317
E02004679,Basingstoke and Deane 005,2066
E02004680,Basingstoke and Deane 006,1305
E02004681,Basingstoke and Deane 007,513
E02004682,Basingstoke and Deane 008,1217
E02004683,Basingstoke and Deane 009,150
E02004684,Basingstoke and Deane 010,671
E02004685,Basingstoke and Deane 011,352
E02004686,Basingstoke and Deane 012,268
E02004687,Basingstoke and Deane 013,513
E02004688,Basingstoke and Deane 014,296
E02004689,Basingstoke and Deane 015,1340
E02004690,Basingstoke and Deane 016,480
E02004691,Basingstoke and Deane 017,1863
E02004692,Basingstoke and Deane 018,2065
E02004693,Basingstoke and Deane 019,377
E02004694,Basingstoke and Deane 020,1106
E02004695,Basingstoke and Deane 021,1837
E02004696,Basingstoke and Deane 022,1151
E02004697,East Hampshire 001,1384
E02004698,East Hampshire 002,341
E02004699,East Hampshire 003,1369
E02004700,East Hampshire 004,448
E02004702,East Hampshire 006,911
E02004703,East Hampshire 007,3309
E02004704,East Hampshire 008,1157
E02004705,East Hampshire 009,1634
E02004706,East Hampshire 010,1352
E02004707,East Hampshire 011,2222
E02004708,East Hampshire 012,803
E02004709,East Hampshire 013,1980
E02004710,East Hampshire 014,1473
E02004712,Eastleigh 001,2523
E02004713,Eastleigh 002,1202
E02004714,Eastleigh 003,1598
E02004715,Eastleigh 004,383
E02004716,Eastleigh 005,924
E02004717,Eastleigh 006,451
E02004718,Eastleigh 007,87
E02004719,Eastleigh 008,2448
E02004720,Eastleigh 009,2085
E02004721,Eastleigh 010,2001
E02004722,Eastleigh 011,717
E02004723,Eastleigh 012,1952
E02004724,Eastleigh 013,1320
E02004725,Eastleigh 014,409
E02004726,Eastleigh 015,876
E02004727,Fareham 001,2110
E02004728,Fareham 002,1575
E02004729,Fareham 003,510
E02004730,Fareham 004,1781
E02004731,Fareham 005,1862
E02004732,Fareham 006,1849
E02004733,Fareham 007,1351
E02004734,Fareham 008,1071
E02004735,Fareham 009,1240
E02004736,Fareham 010,796
E02004737,Fareham 011,158
E02004738,Fareham 012,428
E02004739,Fareham 013,1239
E02004740,Fareham 014,1526
E02004741,Gosport 001,454
E02004742,Gosport 002,282
E02004743,Gosport 003,228
E02004744,Gosport 004,105
E02004745,Gosport 005,245
E02004746,Gosport 006,1734
E02004747,Gosport 007,116
E02004748,Gosport 008,149
E02004749,Gosport 009,978
E02004750,Gosport 010,535
